,Date,Open,High,Low,Close
2496,2020-12-14,29.26,29.53,28.545,28.73
2495,2020-12-11,29.25,29.5081,28.9,28.96
2494,2020-12-10,29.04,29.69,29.04,29.43
2493,2020-12-09,29.57,29.65,29.1,29.42
2492,2020-12-08,29.63,30.39,29.56,29.58
2491,2020-12-07,30.91,30.91,30.02,30.06
2490,2020-12-04,30.85,31.3,30.77,31.08
2489,2020-12-03,30.33,30.7,30.1,30.43
2488,2020-12-02,28.99,29.96,28.91,29.67
2487,2020-12-01,28.92,29.5503,28.57,29.08
2486,2020-11-30,29.96,30.14,28.69,28.69
2485,2020-11-27,30.36,30.5,29.71,30.18
2484,2020-11-25,31.25,31.475,30.16,30.49
2483,2020-11-24,31.12,31.54,30.69,31.38
2482,2020-11-23,29.06,30.78,28.99,30.26
2481,2020-11-20,28.74,28.84,28.395,28.54
2480,2020-11-19,27.93,28.95,27.6971,28.93
2479,2020-11-18,29.26,29.45,28.13,28.18
2478,2020-11-17,28.0,29.19,27.705,29.19
2477,2020-11-16,27.64,28.46,27.25,28.23
2476,2020-11-13,25.4,26.74,25.345,26.6
2475,2020-11-12,25.74,25.74,24.82,25.17
2474,2020-11-11,26.72,26.72,25.43,25.86
2473,2020-11-10,25.34,26.94,25.2,26.79
2472,2020-11-09,23.02,25.7496,23.02,25.13
2471,2020-11-06,21.78,21.93,20.81,20.96
2470,2020-11-05,22.0,22.05,21.42,21.77
2469,2020-11-04,21.76,22.2,21.38,21.48
2468,2020-11-03,21.64,22.13,21.54,21.97
2467,2020-11-02,21.31,21.31,20.83,21.27
2466,2020-10-30,20.99,21.38,20.745,20.93
2465,2020-10-29,21.01,21.68,20.73,21.19
2464,2020-10-28,21.76,21.97,20.92,21.02
2463,2020-10-27,23.56,23.82,22.4,22.4
2462,2020-10-26,24.08,24.08,23.31,23.68
2461,2020-10-23,24.57,24.75,24.17,24.37
2460,2020-10-22,24.07,24.39,23.86,24.34
2459,2020-10-21,23.86,24.04,23.58,23.99
2458,2020-10-20,23.86,24.2,23.805,23.88
2457,2020-10-19,24.14,24.14,23.58,23.6
2456,2020-10-16,24.45,24.56,23.95,24.16
2455,2020-10-15,24.11,24.86,24.05,24.6
2454,2020-10-14,24.91,25.05,24.34,24.36
2453,2020-10-13,25.85,25.9,24.8,25.03
2452,2020-10-12,25.95,26.41,25.72,26.16
2451,2020-10-09,25.86,26.41,25.5,26.17
2450,2020-10-08,24.92,25.8,24.87,25.78
2449,2020-10-07,25.59,25.62,24.64,24.71
2448,2020-10-06,25.94,26.26,25.37,25.41
2447,2020-10-05,25.65,25.95,24.99,25.63
2446,2020-10-02,24.36,25.51,24.3,25.45
2445,2020-10-01,24.06,24.81,24.06,24.8
2444,2020-09-30,24.15,24.54,23.65,24.09
2443,2020-09-29,24.43,24.43,23.53,23.98
2442,2020-09-28,23.71,24.64,23.71,24.48
2441,2020-09-25,23.01,23.4,22.94,23.39
2440,2020-09-24,23.14,23.5489,22.72,23.12
2439,2020-09-23,23.7,23.895,22.97,23.03
2438,2020-09-22,23.51,24.01,23.38,23.8
2437,2020-09-21,24.71,24.71,23.37,23.52
2436,2020-09-18,26.11,26.11,25.09,25.16
2435,2020-09-17,26.01,26.475,25.83,26.02
2434,2020-09-16,25.88,26.67,25.82,26.34
2433,2020-09-15,25.55,26.14,25.55,25.65
2432,2020-09-14,24.83,25.61,24.77,25.48
2431,2020-09-11,25.26,25.26,24.521,24.66
2430,2020-09-10,25.31,25.38,24.86,25.14
2429,2020-09-09,25.8,26.12,25.24,25.3
2428,2020-09-08,25.99,26.18,25.48,25.92
2427,2020-09-04,26.32,26.48,25.55,26.15
2426,2020-09-03,25.86,26.66,25.86,26.04
2425,2020-09-02,25.41,25.78,25.09,25.76
2424,2020-09-01,25.3,25.56,25.09,25.46
2423,2020-08-31,25.6,25.78,25.25,25.55
2422,2020-08-28,25.95,25.95,25.45,25.72
2421,2020-08-27,25.5,26.24,25.5,25.85
2420,2020-08-26,25.94,26.02,25.11,25.31
2419,2020-08-25,25.96,26.34,25.49,25.61
2418,2020-08-24,25.05,25.83,24.7,25.77
2417,2020-08-21,25.42,25.68,24.84,24.99
2416,2020-08-20,25.01,26.0,25.01,25.6
2415,2020-08-19,26.17,26.3242,25.2,25.29
2414,2020-08-18,26.78,26.88,26.04,26.16
2413,2020-08-17,27.1,27.27,26.68,26.87
2412,2020-08-14,27.15,27.65,27.01,27.16
2411,2020-08-13,27.46,28.14,27.31,27.34
2410,2020-08-12,28.19,28.28,27.37,27.66
2409,2020-08-11,28.43,28.71,27.8,27.84
2408,2020-08-10,27.37,28.42,27.37,27.82
2407,2020-08-07,26.92,27.44,26.87,27.33
2406,2020-08-06,26.84,27.4,26.79,27.12
2405,2020-08-05,27.58,27.62,26.72,26.99
2404,2020-08-04,26.7,27.62,26.7,27.3
2403,2020-08-03,27.05,27.16,26.1,26.66
2402,2020-07-31,26.12,27.0,25.88,27.0
2401,2020-07-30,26.39,26.69,25.9,26.33
2400,2020-07-29,27.0,27.66,26.1,27.0
2399,2020-07-28,25.55,26.96,25.55,26.84
2398,2020-07-27,25.36,25.81,24.78,25.72
2397,2020-07-24,26.1,26.14,25.51,25.57
2396,2020-07-23,25.93,26.72,25.83,26.18
2395,2020-07-22,25.73,26.4,25.41,26.19
2394,2020-07-21,25.49,26.06,25.49,25.69
2393,2020-07-20,26.04,26.05,24.96,25.1
2392,2020-07-17,26.3,26.53,25.92,26.37
2391,2020-07-16,26.6,26.64,26.13,26.26
2390,2020-07-15,27.14,27.55,26.55,26.77
2389,2020-07-14,26.68,26.95,25.92,26.37
2388,2020-07-13,27.43,27.43,26.27,26.61
2387,2020-07-10,26.47,27.18,26.42,27.18
2386,2020-07-09,25.84,26.46,25.43,26.43
2385,2020-07-08,26.34,26.54,25.37,26.01
2384,2020-07-07,26.87,27.01,26.47,26.54
2383,2020-07-06,28.87,28.9,27.29,27.31
2382,2020-07-02,28.88,29.04,28.02,28.09
2381,2020-07-01,27.92,28.58,27.83,28.13
2380,2020-06-30,28.05,28.64,27.52,27.84
2379,2020-06-29,28.52,28.7,27.85,28.2
2378,2020-06-26,27.61,28.12,27.21,27.89
2377,2020-06-25,27.06,27.95,26.92,27.94
2376,2020-06-24,27.88,28.12,26.38,27.3
2375,2020-06-23,28.86,29.14,28.15,28.45
2374,2020-06-22,28.02,28.58,27.6,28.34
2373,2020-06-19,30.24,30.3,28.28,28.28
2372,2020-06-18,29.23,30.09,29.23,29.73
2371,2020-06-17,31.21,31.21,29.85,29.87
2370,2020-06-16,31.8,31.97,30.88,31.2
2369,2020-06-15,28.48,30.49,28.48,30.11
2368,2020-06-12,29.83,30.29,28.86,29.95
2367,2020-06-11,28.92,29.92,28.04,28.25
2366,2020-06-10,32.86,33.05,30.89,30.89
2365,2020-06-09,33.78,34.26,33.13,33.29
2364,2020-06-08,33.77,34.87,33.35,34.85
2363,2020-06-05,32.85,34.09,32.54,32.83
2362,2020-06-04,29.39,31.12,28.53,31.11
2361,2020-06-03,27.62,29.64,27.59,29.42
2360,2020-06-02,27.04,27.28,26.63,26.98
2359,2020-06-01,26.15,27.08,26.15,26.59
2358,2020-05-29,26.68,26.84,25.99,26.17
2357,2020-05-28,28.51,28.51,26.85,27.16
2356,2020-05-27,28.01,28.52,27.21,28.09
2355,2020-05-26,26.36,27.22,25.87,27.0
2354,2020-05-22,26.17,26.27,25.1,25.17
2353,2020-05-21,25.72,26.62,25.46,25.93
2352,2020-05-20,25.78,26.0,25.08,25.81
2351,2020-05-19,25.79,25.79,25.05,25.1
2350,2020-05-18,24.59,26.42,24.59,26.0
2349,2020-05-15,24.41,24.64,23.61,24.38
2348,2020-05-14,23.31,24.91,22.64,24.58
2347,2020-05-13,24.71,24.81,23.57,23.91
2346,2020-05-12,26.38,26.6,24.84,25.03
2345,2020-05-11,27.27,27.67,26.06,26.06
2344,2020-05-08,27.38,27.84,27.15,27.82
2343,2020-05-07,27.13,27.59,26.42,26.74
2342,2020-05-06,27.13,27.55,26.55,26.77
2341,2020-05-05,27.95,28.32,27.02,27.09
2340,2020-05-04,26.65,27.48,26.52,27.32
2339,2020-05-01,27.17,27.84,26.68,27.38
2338,2020-04-30,28.7,29.61,28.08,28.32
2337,2020-04-29,29.28,30.02,28.78,29.42
2336,2020-04-28,28.73,29.58,27.99,29.02
2335,2020-04-27,26.21,27.88,26.04,27.59
2334,2020-04-24,26.23,26.43,25.53,25.98
2333,2020-04-23,26.1,26.57,25.68,26.13
2332,2020-04-22,25.89,26.35,25.23,26.15
2331,2020-04-21,24.57,25.71,24.57,25.46
2330,2020-04-20,25.61,26.46,25.3,25.55
2329,2020-04-17,26.65,27.29,26.07,26.25
2328,2020-04-16,26.58,27.05,25.2,25.59
2327,2020-04-15,28.19,29.26,26.75,26.85
2326,2020-04-14,29.06,29.76,28.92,29.37
2325,2020-04-13,29.24,29.29,27.8,28.3
2324,2020-04-09,26.93,29.76,26.88,29.59
2323,2020-04-08,25.0,26.98,24.5,26.75
2322,2020-04-07,24.41,25.95,24.32,24.68
2321,2020-04-06,22.55,23.97,22.42,23.65
2320,2020-04-03,22.42,22.9,20.83,21.48
2319,2020-04-02,22.13,23.84,22.13,22.7
2318,2020-04-01,23.75,23.76,22.15,22.6
2317,2020-03-31,24.55,25.57,24.18,25.0
2316,2020-03-30,24.98,24.98,23.5,24.67
2315,2020-03-27,23.48,25.28,23.08,24.69
2314,2020-03-26,23.39,24.82,22.46,24.43
2313,2020-03-25,23.7,25.19,21.93,22.88
2312,2020-03-24,23.05,24.33,22.5,23.87
2311,2020-03-23,22.22,22.96,21.06,22.05
2310,2020-03-20,22.7,24.54,22.06,22.46
2309,2020-03-19,21.56,23.03,20.15,22.53
2308,2020-03-18,22.79,24.35,21.18,21.77
2307,2020-03-17,25.04,25.42,23.31,24.37
2306,2020-03-16,30.29,32.33,24.52,24.58
2305,2020-03-13,32.02,34.09,29.96,33.67
2304,2020-03-12,33.53,33.72,30.41,30.42
2303,2020-03-11,37.54,37.62,35.41,35.64
2302,2020-03-10,37.99,38.77,36.59,38.77
2301,2020-03-09,39.33,39.58,37.11,37.31
2300,2020-03-06,41.25,41.88,40.04,41.28
2299,2020-03-05,42.3,42.59,41.72,42.25
2298,2020-03-04,42.52,43.27,42.52,43.06
2297,2020-03-03,42.9,43.65,41.53,41.95
2296,2020-03-02,40.91,42.97,40.91,42.91
2295,2020-02-28,40.97,41.72,39.85,41.45
2294,2020-02-27,42.76,43.66,41.75,41.82
2293,2020-02-26,44.14,44.32,43.53,43.55
2292,2020-02-25,45.33,45.33,43.83,44.06
2291,2020-02-24,44.77,45.57,44.77,45.28
2290,2020-02-21,45.49,45.68,45.3,45.5
2289,2020-02-20,45.49,45.62,45.16,45.39
2288,2020-02-19,46.05,46.22,45.07,45.52
2287,2020-02-18,46.72,46.72,45.97,46.04
2286,2020-02-14,46.15,46.68,45.93,46.67
2285,2020-02-13,46.1,46.71,45.82,46.0
2284,2020-02-12,45.34,46.18,44.64,46.18
2283,2020-02-11,46.29,46.57,45.93,46.06
2282,2020-02-10,46.2,46.43,46.05,46.15
2281,2020-02-07,46.88,46.94,46.06,46.07
2280,2020-02-06,46.69,46.88,46.36,46.75
2279,2020-02-05,46.54,46.88,46.355,46.54
2278,2020-02-04,46.42,46.62,46.24,46.38
2277,2020-02-03,45.72,46.38,45.72,46.16
2276,2020-01-31,46.39,46.7,45.34,45.56
2275,2020-01-30,46.87,47.21,46.37,46.63
2274,2020-01-29,47.32,47.43,47.07,47.13
2273,2020-01-28,47.73,47.94,47.27,47.34
2272,2020-01-27,47.47,47.79,47.22,47.61
2271,2020-01-24,47.97,48.15,47.48,47.74
2270,2020-01-23,47.61,48.03,47.5,47.91
2269,2020-01-22,47.56,47.74,47.34,47.62
2268,2020-01-21,46.87,47.57,46.68,47.55
2267,2020-01-17,46.58,47.03,46.29,46.83
2266,2020-01-16,46.32,46.58,46.29,46.4
2265,2020-01-15,45.83,46.48,45.83,46.24
2264,2020-01-14,46.03,46.03,45.44,45.76
2263,2020-01-13,45.57,46.12,45.52,46.09
2262,2020-01-10,45.4,45.64,45.24,45.56
2261,2020-01-09,45.43,45.75,45.26,45.4
2260,2020-01-08,45.32,45.63,45.22,45.48
2259,2020-01-07,46.05,46.05,45.14,45.34
2258,2020-01-06,45.81,46.59,45.59,46.22
2257,2020-01-03,45.16,45.94,45.01,45.88
2256,2020-01-02,46.15,46.23,44.76,44.98
