,Date,Open,High,Low,Close
1268,2020-12-14,37.19,38.0975,36.36,36.36
1267,2020-12-11,37.02,37.5,37.02,37.5
1266,2020-12-10,36.93,37.49,36.69,37.49
1265,2020-12-09,38.42,39.0371,36.66,36.66
1264,2020-12-08,37.49,38.83,37.49,38.83
1263,2020-12-07,36.9,38.21,36.4933,37.31
1262,2020-12-04,35.63,37.2299,35.63,37.0
1261,2020-12-03,37.0,37.3707,35.58,35.58
1260,2020-12-02,37.48,37.49,36.7,36.85
1259,2020-12-01,37.21,39.0,36.65,37.61
1258,2020-11-30,37.94,38.25,36.4,38.25
1257,2020-11-27,37.93,38.53,37.45,38.53
1256,2020-11-25,37.97,38.95,37.04,37.53
1255,2020-11-24,36.85,38.98,36.85,38.42
1254,2020-11-23,37.24,37.37,36.63,36.63
1253,2020-11-20,36.05,37.81,35.77,37.81
1252,2020-11-19,36.06,36.9,36.05,36.48
1251,2020-11-18,38.01,38.01,35.77,35.83
1250,2020-11-17,36.18,37.93,36.18,37.93
1249,2020-11-16,35.36,36.45,35.36,36.43
1248,2020-11-13,36.95,37.3,34.7,34.7
1247,2020-11-12,37.57,37.98,35.95,36.91
1246,2020-11-11,37.57,38.31,37.18,38.06
1245,2020-11-10,37.33,38.94,37.33,37.65
1244,2020-11-09,36.36,39.17,36.36,36.83
1243,2020-11-06,35.04,35.33,33.99,35.28
1242,2020-11-05,34.2,35.35,33.88,35.34
1241,2020-11-04,33.39,34.17,32.9001,34.17
1240,2020-11-03,32.87,33.99,32.87,33.22
1239,2020-11-02,32.3068,33.13,32.22,32.25
1238,2020-10-30,32.23,32.67,32.1,32.1
1237,2020-10-29,32.47,32.76,31.55,32.02
1236,2020-10-28,33.27,33.8746,31.63,32.71
1235,2020-10-27,34.12,34.48,33.8,34.0
1234,2020-10-26,34.73,34.75,33.8,34.5
1233,2020-10-23,34.77,35.095,34.51,34.89
1232,2020-10-22,35.08,35.3,34.18,34.7
1231,2020-10-21,34.97,34.98,34.5,34.95
1230,2020-10-20,34.77,35.27,34.57,35.15
1229,2020-10-19,34.5,35.0,34.29,34.77
1228,2020-10-16,35.01,35.25,34.84,34.94
1227,2020-10-15,34.68,35.04,34.45,35.04
1226,2020-10-14,34.71,35.4,34.25,35.35
1225,2020-10-13,35.4,35.4,34.21,34.21
1224,2020-10-12,35.31,35.58,34.95,35.37
1223,2020-10-09,34.6,35.32,34.3101,34.52
1222,2020-10-08,33.86,35.25,33.86,34.11
1221,2020-10-07,33.1,34.47,33.1,33.51
1220,2020-10-06,35.9,36.01,33.07,33.07
1219,2020-10-05,36.23,36.51,35.51,35.76
1218,2020-10-02,35.2,36.18,34.39,36.18
1217,2020-10-01,35.96,36.58,35.38,35.38
1216,2020-09-30,36.06,36.72,35.905,36.13
1215,2020-09-29,36.59,36.76,36.31,36.58
1214,2020-09-28,36.18,37.3,35.9,36.89
1213,2020-09-25,34.96,36.1,34.95,35.63
1212,2020-09-24,37.47,37.47,33.9,34.82
1211,2020-09-23,36.04,36.57,35.52,35.93
1210,2020-09-22,36.81,36.81,35.88,35.95
1209,2020-09-21,36.51,36.87,35.9,36.25
1208,2020-09-18,37.29,37.53,36.63,37.3
1207,2020-09-17,36.44,37.39,36.44,37.36
1206,2020-09-16,37.12,37.295,36.915,36.95
1205,2020-09-15,36.83,37.01,36.58,36.85
1204,2020-09-14,36.59,37.31,36.28,36.39
1203,2020-09-11,36.72,36.73,36.05,36.05
1202,2020-09-10,37.3,37.973,36.14,36.22
1201,2020-09-09,37.75,38.0,37.16,37.16
1200,2020-09-08,38.17,38.17,37.34,37.5
1199,2020-09-04,39.45,40.01,38.56,38.56
1198,2020-09-03,38.89,39.58,38.89,39.31
1197,2020-09-02,38.95,39.78,38.07,39.19
1196,2020-09-01,38.83,39.3,38.59,38.97
1195,2020-08-31,38.7,39.3,38.17,38.65
1194,2020-08-28,38.82,39.7,38.2794,38.88
1193,2020-08-27,38.91,39.12,38.31,38.31
1192,2020-08-26,38.5,38.89,38.15,38.51
1191,2020-08-25,38.56,38.67,38.305,38.4
1190,2020-08-24,38.24,38.79,38.0,38.0
1189,2020-08-21,38.52,38.67,37.79,38.01
1188,2020-08-20,37.7,38.71,37.7,38.66
1187,2020-08-19,38.57,38.62,37.8,37.86
1186,2020-08-18,38.59,39.02,37.98,38.22
1185,2020-08-17,37.7,38.71,37.31,38.36
1184,2020-08-14,39.53,39.53,37.44,37.89
1183,2020-08-13,39.41,39.75,38.1,38.78
1182,2020-08-12,40.55,40.7,39.19,39.48
1181,2020-08-11,40.21,40.9,39.67,39.93
1180,2020-08-10,41.36,42.26,39.76,39.76
1179,2020-08-07,40.04,41.21,39.99,41.07
1178,2020-08-06,40.27,40.88,39.7,40.16
1177,2020-08-05,40.2,40.78,39.79,40.16
1176,2020-08-04,40.03,40.75,39.74,40.26
1175,2020-08-03,40.09,40.93,39.99,40.17
1174,2020-07-31,39.66,40.44,39.33,40.44
1173,2020-07-30,39.74,40.46,39.19,39.38
1172,2020-07-29,38.24,41.01,38.02,40.27
1171,2020-07-28,41.43,41.43,38.13,38.13
1170,2020-07-27,41.81,42.38,41.15,41.44
1169,2020-07-24,38.33,42.1,37.99,41.85
