,Date,Open,High,Low,Close
785,2020-12-14,1.43,1.52,1.34,1.51
784,2020-12-11,1.33,1.49,1.23,1.44
783,2020-12-10,1.17,1.21,1.1,1.21
782,2020-12-09,1.19,1.3,1.12,1.22
781,2020-12-08,1.04,1.2,1.02,1.17
780,2020-12-07,1.08,1.08,1.02,1.03
779,2020-12-04,1.07,1.09,1.02,1.06
778,2020-12-03,1.0,1.11,0.99,1.06
777,2020-12-02,1.01,1.0201,0.97,1.0
776,2020-12-01,1.04,1.05,1.01,1.04
775,2020-11-30,1.07,1.09,1.0,1.03
774,2020-11-27,1.04,1.08,1.0,1.06
773,2020-11-25,1.0,1.02,0.965,1.0
772,2020-11-24,1.02,1.02,0.95,0.9849
771,2020-11-23,0.99,1.04,0.96,0.9901
770,2020-11-20,0.98,0.99,0.921,0.961
769,2020-11-19,0.9545,0.96,0.9169,0.956
768,2020-11-18,0.95,1.07,0.925,0.9589
767,2020-11-17,0.96,0.96,0.9131,0.9372
766,2020-11-16,0.9744,0.9744,0.936,0.961
765,2020-11-13,0.97,0.995,0.921,0.96
764,2020-11-12,0.92,0.968,0.9001,0.9298
763,2020-11-11,0.9304,0.9432,0.9,0.92
762,2020-11-10,0.9801,0.99,0.9053,0.926
761,2020-11-09,1.1,1.13,0.95,0.9878
760,2020-11-06,1.02,1.08,1.01,1.06
759,2020-11-05,1.06,1.09,1.01,1.03
758,2020-11-04,1.02,1.04,0.98,1.0
757,2020-11-03,0.948,1.04,0.94,0.987
756,2020-11-02,0.9706,0.976,0.91,0.94
755,2020-10-30,0.99,1.01,0.96,0.96
754,2020-10-29,0.9885,1.06,0.98,1.0
753,2020-10-28,1.01,1.02,0.86,0.96
752,2020-10-27,1.07,1.0885,1.02,1.05
751,2020-10-26,1.12,1.17,1.04,1.07
750,2020-10-23,1.15,1.16,1.11,1.14
749,2020-10-22,1.14,1.19,1.12,1.15
748,2020-10-21,1.15,1.18,1.12,1.16
747,2020-10-20,1.18,1.1875,1.15,1.16
746,2020-10-19,1.21,1.21,1.18,1.18
745,2020-10-16,1.23,1.236,1.19,1.2
744,2020-10-15,1.21,1.27,1.17,1.24
743,2020-10-14,1.25,1.25,1.21,1.22
742,2020-10-13,1.26,1.28,1.22,1.25
741,2020-10-12,1.35,1.68,1.22,1.27
740,2020-10-09,1.25,1.34,1.19,1.33
739,2020-10-08,1.26,1.26,1.2148,1.25
738,2020-10-07,1.22,1.26,1.19,1.245
737,2020-10-06,1.24,1.26,1.21,1.22
736,2020-10-05,1.26,1.3,1.21,1.22
735,2020-10-02,1.24,1.39,1.17,1.38
