,Date,Open,High,Low,Close
1923,2020-12-14,20.03,22.76,19.41,19.66
1922,2020-12-11,18.28,19.9881,18.2,19.69
1921,2020-12-10,17.39,18.6,17.19,18.24
1920,2020-12-09,18.77,18.93,17.21,17.37
1919,2020-12-08,18.85,19.1,18.01,18.87
1918,2020-12-07,18.39,19.37,18.0281,18.76
1917,2020-12-04,18.6,18.6365,18.01,18.24
1916,2020-12-03,18.27,18.8099,18.19,18.35
1915,2020-12-02,18.71,18.71,17.14,18.19
1914,2020-12-01,17.08,18.94,17.03,18.74
1913,2020-11-30,15.95,17.38,15.91,16.84
1912,2020-11-27,15.66,16.25,15.58,15.74
1911,2020-11-25,16.01,16.3572,15.3001,15.56
1910,2020-11-24,16.59,16.9,16.02,16.16
1909,2020-11-23,17.38,17.38,16.5,16.56
1908,2020-11-20,16.81,17.35,16.6,17.2
1907,2020-11-19,16.79,17.33,16.62,16.79
1906,2020-11-18,17.36,17.6366,16.8,17.0
1905,2020-11-17,18.0,18.29,16.825,17.52
1904,2020-11-16,17.89,18.25,17.6,17.97
1903,2020-11-13,18.04,18.86,17.38,17.74
1902,2020-11-12,18.94,19.95,18.39,19.41
1901,2020-11-11,18.57,19.2,18.115,19.2
1900,2020-11-10,17.8,18.8,17.8,18.57
1899,2020-11-09,21.25,21.49,17.54,17.8
1898,2020-11-06,20.35,21.81,20.0,20.57
1897,2020-11-05,19.73,20.5,19.2201,20.31
1896,2020-11-04,19.42,19.5399,19.0,19.32
1895,2020-11-03,18.03,19.61,18.03,18.66
1894,2020-11-02,17.43,20.23,17.24,17.87
1893,2020-10-30,17.56,17.7591,16.51,16.81
1892,2020-10-29,16.79,17.77,16.75,17.47
1891,2020-10-28,16.44,16.99,16.41,16.87
1890,2020-10-27,16.45,16.97,16.4,16.8
1889,2020-10-26,16.5,17.5293,16.11,16.38
1888,2020-10-23,16.77,17.02,16.5,16.62
1887,2020-10-22,17.23,17.23,16.26,16.67
1886,2020-10-21,17.43,17.56,17.085,17.23
1885,2020-10-20,17.5,18.09,16.82,17.44
1884,2020-10-19,17.88,19.21,17.22,17.36
1883,2020-10-16,18.14,18.49,17.7,17.79
1882,2020-10-15,16.83,18.31,16.6,18.06
1881,2020-10-14,17.29,17.53,16.82,17.17
1880,2020-10-13,17.51,17.51,16.575,17.17
1879,2020-10-12,16.8,17.75,16.25,17.55
1878,2020-10-09,17.34,17.34,16.39,16.76
1877,2020-10-08,17.29,17.5,16.11,17.23
1876,2020-10-07,14.81,17.45,14.81,17.09
1875,2020-10-06,15.93,15.97,14.66,15.0
1874,2020-10-05,14.33,16.05,14.33,15.85
1873,2020-10-02,14.08,14.49,13.49,14.23
1872,2020-10-01,14.62,15.27,13.5562,14.32
1871,2020-09-30,14.98,15.42,14.38,14.585
1870,2020-09-29,15.61,15.81,14.77,15.03
1869,2020-09-28,15.9,17.18,15.5,15.61
1868,2020-09-25,15.47,16.08,15.33,15.76
1867,2020-09-24,16.12,16.77,15.33,15.47
1866,2020-09-23,17.99,17.99,16.15,16.23
1865,2020-09-22,16.0,19.2,15.75,18.0
1864,2020-09-21,15.4,15.71,14.7,15.39
1863,2020-09-18,15.0,15.93,14.75,15.85
1862,2020-09-17,13.02,15.35,13.01,14.97
1861,2020-09-16,12.77,14.17,12.6701,13.41
1860,2020-09-15,13.6,13.95,12.21,12.64
1859,2020-09-14,16.79,16.8,14.39,14.6
1858,2020-09-11,15.87,16.77,15.06,16.58
1857,2020-09-10,16.2,16.3671,15.3,15.79
1856,2020-09-09,16.56,17.12,16.01,16.13
1855,2020-09-08,18.0,18.48,16.35,16.53
1854,2020-09-04,17.19,19.75,16.8301,18.23
1853,2020-09-03,17.97,18.0833,16.8,17.19
1852,2020-09-02,18.36,18.9899,16.72,17.97
1851,2020-09-01,19.55,19.9399,18.01,18.12
1850,2020-08-31,19.18,19.9678,18.795,19.05
1849,2020-08-28,20.53,20.53,18.83,19.49
1848,2020-08-27,20.49,22.0,19.02,20.16
1847,2020-08-26,19.52,19.66,18.16,19.0
1846,2020-08-25,19.01,19.93,18.41,19.71
1845,2020-08-24,21.69,22.8,17.62,19.32
1844,2020-08-21,18.85,22.2859,18.85,21.28
1843,2020-08-20,17.0,20.395,16.4319,18.65
1842,2020-08-19,16.16,17.15,15.81,16.91
1841,2020-08-18,14.15,16.4153,14.15,16.17
1840,2020-08-17,13.62,14.63,13.51,14.07
1839,2020-08-14,13.52,13.69,12.5032,13.55
1838,2020-08-13,12.81,13.62,12.66,13.6
1837,2020-08-12,13.38,13.38,12.32,12.66
1836,2020-08-11,14.14,14.16,12.67,13.43
1835,2020-08-10,13.59,14.62,13.5,14.14
1834,2020-08-07,12.88,13.95,12.24,13.46
1833,2020-08-06,12.2,13.32,12.2,12.99
1832,2020-08-05,13.85,14.65,11.25,11.77
1831,2020-08-04,14.87,14.87,13.5,13.9
1830,2020-08-03,14.72,15.89,14.35,14.87
1829,2020-07-31,14.8,14.98,14.305,14.69
1828,2020-07-30,14.47,14.94,14.25,14.76
1827,2020-07-29,14.94,15.11,14.5,14.66
1826,2020-07-28,15.01,15.2,14.85,14.94
1825,2020-07-27,14.74,15.48,14.501,15.1
1824,2020-07-24,15.1,15.16,14.65,14.91
1823,2020-07-23,15.55,16.0,14.75,15.28
1822,2020-07-22,15.55,15.6,15.22,15.55
1821,2020-07-21,15.53,15.7,15.46,15.53
1820,2020-07-20,15.54,15.55,15.1,15.44
1819,2020-07-17,13.91,15.98,13.85,15.38
1818,2020-07-16,14.12,14.12,13.21,13.8
1817,2020-07-15,14.02,14.25,13.46,14.09
1816,2020-07-14,12.2,14.0,12.2,13.8
1815,2020-07-13,11.69,12.13,11.5,11.98
1814,2020-07-10,10.93,11.55,10.76,11.3
1813,2020-07-09,10.15,10.91,10.15,10.8
1812,2020-07-08,10.3,10.3,10.04,10.19
1811,2020-07-07,9.85,10.5,9.51,10.25
1810,2020-07-06,10.45,10.49,9.83,9.95
1809,2020-07-02,10.25,10.5,10.1,10.32
1808,2020-07-01,9.92,10.24,9.9,10.17
1807,2020-06-30,9.9,10.53,9.76,10.0
1806,2020-06-29,9.46,9.9,9.39,9.87
1805,2020-06-26,9.31,9.6,9.31,9.41
1804,2020-06-25,8.94,9.39,8.87,9.26
1803,2020-06-24,9.01,9.49,8.82,8.91
1802,2020-06-23,9.03,9.4,8.7,9.4
1801,2020-06-22,10.18,10.18,9.05,9.24
1800,2020-06-19,9.85,10.19,9.29,9.9
1799,2020-06-18,9.23,9.98,9.21,9.9
1798,2020-06-17,8.84,10.19,8.73,9.2
1797,2020-06-16,8.56,8.92,8.56,8.6
1796,2020-06-15,8.02,8.67,7.69,8.4
1795,2020-06-12,8.04,8.62,8.04,8.61
1794,2020-06-11,8.86,8.86,7.92,8.03
1793,2020-06-10,8.9,9.1,8.8,8.87
1792,2020-06-09,8.9,9.08,8.53,9.05
1791,2020-06-08,8.6,9.05,8.26,8.93
1790,2020-06-05,9.42,9.42,8.68,8.73
1789,2020-06-04,9.47,9.53,8.75,8.86
1788,2020-06-03,9.67,10.01,9.31,9.59
1787,2020-06-02,8.96,9.6,8.96,9.6
1786,2020-06-01,8.67,9.5,8.52,8.82
1785,2020-05-29,8.75,9.49,8.1,8.47
1784,2020-05-28,7.42,8.73,7.3,8.63
1783,2020-05-27,7.12,7.49,7.0,7.33
1782,2020-05-26,7.5,7.75,7.0,7.04
1781,2020-05-22,7.62,7.8,7.38,7.51
1780,2020-05-21,7.94,7.98,7.28,7.61
1779,2020-05-20,7.78,8.2,7.78,7.98
1778,2020-05-19,7.54,7.99,7.54,7.72
1777,2020-05-18,8.06,8.53,7.35,7.56
1776,2020-05-15,9.22,9.8,7.51,7.75
1775,2020-05-14,7.96,9.0,7.7,8.78
1774,2020-05-13,8.89,9.0,7.9,8.1
1773,2020-05-12,8.23,9.0,8.23,8.79
1772,2020-05-11,8.0,8.66,7.54,8.07
1771,2020-05-08,7.99,8.0,7.5,7.99
