,Date,Open,High,Low,Close
5314,2020-12-14,3.74,4.05,3.7,4.03
5313,2020-12-11,3.75,3.8,3.53,3.5738
5312,2020-12-10,3.83,3.84,3.63,3.82
5311,2020-12-09,3.8,4.0,3.73,3.88
5310,2020-12-08,4.2,4.24,3.61,3.72
5309,2020-12-07,3.4,4.1,3.35,4.07
5308,2020-12-04,3.22,3.33,3.15,3.32
5307,2020-12-03,3.1,3.2,3.02,3.15
5306,2020-12-02,3.15,3.15,2.91,3.09
5305,2020-12-01,3.25,3.25,3.0536,3.12
5304,2020-11-30,3.19,3.2501,2.9,3.19
5303,2020-11-27,2.85,3.17,2.825,3.15
5302,2020-11-25,2.84,2.84,2.57,2.79
5301,2020-11-24,2.51,2.9,2.5,2.84
5300,2020-11-23,2.3,2.5,2.2,2.5
5299,2020-11-20,2.14,2.2,2.09,2.16
5298,2020-11-19,2.05,2.13,2.02,2.11
5297,2020-11-18,2.1,2.1106,1.98,2.07
5296,2020-11-17,2.0,2.13,2.0,2.11
5295,2020-11-16,2.05,2.1,1.96,2.06
5294,2020-11-13,2.07,2.11,1.97,2.08
5293,2020-11-12,1.9337,2.25,1.9,2.09
5292,2020-11-11,1.93,1.9499,1.88,1.94
5291,2020-11-10,1.9,1.94,1.85,1.9
5290,2020-11-09,1.84,1.96,1.83,1.86
5289,2020-11-06,1.84,2.09,1.8252,1.83
5288,2020-11-05,1.81,1.84,1.81,1.83
5287,2020-11-04,1.87,1.9,1.81,1.81
5286,2020-11-03,1.83,1.8702,1.82,1.85
5285,2020-11-02,1.89,1.9034,1.82,1.82
5284,2020-10-30,1.9,1.96,1.8002,1.88
5283,2020-10-29,1.83,1.95,1.83,1.9
5282,2020-10-28,1.92,1.92,1.82,1.82
5281,2020-10-27,1.97,2.0099,1.9,1.94
5280,2020-10-26,2.04,2.04,1.96,1.97
5279,2020-10-23,2.1,2.14,2.0,2.03
5278,2020-10-22,2.01,2.0899,2.01,2.08
5277,2020-10-21,2.035,2.07,2.0,2.03
5276,2020-10-20,2.06,2.07,2.01,2.02
5275,2020-10-19,2.23,2.23,2.05,2.06
5274,2020-10-16,2.0077,2.1399,2.0077,2.1
5273,2020-10-15,2.02,2.12,1.97,2.07
5272,2020-10-14,2.14,2.19,2.02,2.04
5271,2020-10-13,2.06,2.7,2.05,2.23
5270,2020-10-12,2.07,2.08,2.04,2.05
5269,2020-10-09,2.04,2.1,2.03,2.06
5268,2020-10-08,2.06,2.08,2.01,2.05
5267,2020-10-07,2.01,2.09,2.0,2.01
5266,2020-10-06,2.04,2.09,1.98,2.0
5265,2020-10-05,2.0,2.07,2.0,2.02
5264,2020-10-02,1.9,2.01,1.9,2.0
5263,2020-10-01,1.92,1.9799,1.91,1.9299
5262,2020-09-30,1.89,1.98,1.89,1.92
5261,2020-09-29,1.88,1.92,1.8728,1.89
5260,2020-09-28,1.9,1.93,1.88,1.89
5259,2020-09-25,1.9,1.93,1.88,1.9
5258,2020-09-24,1.88,2.0025,1.88,1.93
5257,2020-09-23,2.01,2.025,1.87,1.87
5256,2020-09-22,2.05,2.06,1.99,1.99
5255,2020-09-21,2.01,2.07,1.9985,2.03
5254,2020-09-18,2.07,2.13,2.04,2.04
5253,2020-09-17,2.1,2.14,2.065,2.07
5252,2020-09-16,2.09,2.191,2.09,2.12
5251,2020-09-15,2.06,2.172,2.04,2.1
5250,2020-09-14,2.08,2.1,2.0201,2.06
5249,2020-09-11,2.05,2.116,2.04,2.04
5248,2020-09-10,2.15,2.1858,2.05,2.05
5247,2020-09-09,2.08,2.2,2.03,2.18
5246,2020-09-08,2.07,2.13,2.021,2.09
5245,2020-09-04,2.06,2.1292,2.05,2.1
5244,2020-09-03,2.11,2.17,2.06,2.1
5243,2020-09-02,2.15,2.17,2.1,2.12
5242,2020-09-01,2.26,2.2619,2.14,2.18
5241,2020-08-31,2.25,2.25,2.2,2.23
5240,2020-08-28,2.32,2.37,2.24,2.28
5239,2020-08-27,2.21,2.3591,2.21,2.34
5238,2020-08-26,2.39,2.44,2.3,2.36
5237,2020-08-25,2.5,2.54,2.34,2.41
5236,2020-08-24,2.36,2.49,2.34,2.48
5235,2020-08-21,2.3,2.39,2.23,2.34
5234,2020-08-20,2.28,2.35,2.25,2.3
5233,2020-08-19,2.15,2.33,2.12,2.27
5232,2020-08-18,2.28,2.28,2.16,2.21
5231,2020-08-17,2.2,2.33,2.1701,2.24
5230,2020-08-14,2.16,2.2,2.15,2.185
5229,2020-08-13,2.17,2.23,2.13,2.18
5228,2020-08-12,2.18,2.26,2.11,2.13
5227,2020-08-11,2.4,2.47,2.27,2.31
5226,2020-08-10,2.33,2.39,2.2901,2.34
5225,2020-08-07,2.32,2.3871,2.23,2.37
5224,2020-08-06,2.37,2.43,2.3,2.31
5223,2020-08-05,2.48,2.48,2.35,2.39
5222,2020-08-04,2.31,2.48,2.27,2.44
5221,2020-08-03,2.18,2.29,2.15,2.26
5220,2020-07-31,2.26,2.32,2.17,2.22
5219,2020-07-30,2.15,2.2999,2.13,2.25
5218,2020-07-29,2.24,2.255,2.15,2.17
5217,2020-07-28,2.32,2.32,2.23,2.24
5216,2020-07-27,2.4,2.405,2.27,2.32
5215,2020-07-24,2.38,2.44,2.31,2.36
5214,2020-07-23,2.373,2.44,2.32,2.41
5213,2020-07-22,2.2803,2.41,2.2803,2.37
5212,2020-07-21,2.45,2.54,2.3,2.39
5211,2020-07-20,2.56,2.59,2.41,2.44
5210,2020-07-17,2.56,2.74,2.52,2.58
5209,2020-07-16,2.59,2.7,2.53,2.62
5208,2020-07-15,2.68,2.84,2.55,2.59
5207,2020-07-14,2.45,2.63,2.45,2.59
5206,2020-07-13,2.72,2.73,2.49,2.51
5205,2020-07-10,2.8,2.9,2.71,2.73
5204,2020-07-09,2.71,2.88,2.61,2.81
5203,2020-07-08,2.78,2.96,2.62,2.66
5202,2020-07-07,2.85,2.91,2.8,2.86
5201,2020-07-06,3.38,3.38,2.84,2.92
5200,2020-07-02,3.22,3.46,3.2,3.25
5199,2020-07-01,3.36,3.47,3.03,3.2
5198,2020-06-30,3.61,3.93,3.33,3.44
5197,2020-06-29,3.4,3.58,3.2604,3.49
5196,2020-06-26,2.53,3.1846,2.4314,2.97
5195,2020-06-25,2.15,2.59,2.15,2.53
5194,2020-06-24,2.31,2.35,2.07,2.17
5193,2020-06-23,2.55,2.6,2.295,2.34
5192,2020-06-22,2.66,2.6796,2.52,2.55
5191,2020-06-19,2.81,2.87,2.63,2.66
5190,2020-06-18,3.01,3.04,2.75,2.8
5189,2020-06-17,3.15,3.17,3.0,3.04
5188,2020-06-16,3.27,3.47,3.1101,3.13
5187,2020-06-15,3.22,3.25,3.05,3.2
5186,2020-06-12,3.34,3.5,3.18,3.25
5185,2020-06-11,3.11,3.38,2.8,3.18
5184,2020-06-10,4.17,4.39,3.33,3.53
5183,2020-06-09,3.45,4.4,3.3,4.055
