,Date,Open,High,Low,Close
355,2020-12-14,23.9,24.125,22.93,23.05
354,2020-12-11,24.4,24.99,23.48,23.75
353,2020-12-10,24.49,24.99,24.24,24.5
352,2020-12-09,24.86,25.65,24.07,24.54
351,2020-12-08,24.4,24.82,23.65,24.77
350,2020-12-07,25.25,25.565,24.36,24.36
349,2020-12-04,25.29,27.18,24.87,25.3
348,2020-12-03,25.62,25.8,25.17,25.38
347,2020-12-02,26.0,26.31,25.22,25.49
346,2020-12-01,26.89,27.24,25.58,25.95
345,2020-11-30,27.67,28.29,26.1,26.52
344,2020-11-27,27.54,27.95,27.0,27.79
343,2020-11-25,28.28,28.39,26.66,27.3
342,2020-11-24,27.82,28.44,27.53,28.32
341,2020-11-23,27.7,28.02,27.21,27.73
340,2020-11-20,27.42,27.93,26.83,27.7
339,2020-11-19,27.77,27.8,26.65,27.41
338,2020-11-18,27.41,28.4301,27.02,27.8
337,2020-11-17,27.25,27.69,26.4,27.4
336,2020-11-16,27.23,27.74,26.98,27.245
335,2020-11-13,27.32,28.33,26.7,27.17
334,2020-11-12,27.93,28.08,27.09,27.1
333,2020-11-11,26.81,28.41,26.81,27.9
332,2020-11-10,26.79,28.94,25.58,26.65
331,2020-11-09,26.99,27.6,25.91,26.64
330,2020-11-06,26.48,27.0,26.0,26.09
329,2020-11-05,25.7,27.47,25.12,26.6
328,2020-11-04,25.0,25.93,24.31,25.29
327,2020-11-03,24.49,25.5399,24.13,24.88
326,2020-11-02,24.3,25.13,23.87,24.26
325,2020-10-30,23.76,24.6,23.2701,24.0
324,2020-10-29,23.85,24.18,23.27,23.99
323,2020-10-28,24.63,25.01,23.52,23.87
322,2020-10-27,25.93,26.19,24.39,25.02
321,2020-10-26,26.13,26.39,25.615,25.92
320,2020-10-23,25.29,26.375,25.1219,26.37
319,2020-10-22,25.55,25.685,24.875,25.25
318,2020-10-21,25.32,26.18,25.18,25.5
317,2020-10-20,25.18,25.88,24.75,25.2
316,2020-10-19,25.56,25.865,24.19,24.88
315,2020-10-16,29.015,29.015,26.86,26.86
314,2020-10-15,27.52,28.08,26.98,28.05
313,2020-10-14,26.15,27.81,25.81,27.59
312,2020-10-13,25.89,26.995,24.93,25.92
311,2020-10-12,26.19,26.5,25.63,25.86
310,2020-10-09,26.39,26.635,25.73,25.91
309,2020-10-08,26.49,26.76,25.81,26.43
308,2020-10-07,26.75,26.89,25.48,26.6
307,2020-10-06,27.46,27.86,26.32,26.62
306,2020-10-05,26.87,27.57,26.5,27.45
305,2020-10-02,26.65,27.1,26.24,26.71
304,2020-10-01,27.33,27.335,26.6,26.93
303,2020-09-30,27.02,27.37,26.72,27.24
302,2020-09-29,26.85,27.02,26.0601,26.89
301,2020-09-28,27.5,28.59,26.545,27.0
300,2020-09-25,25.63,26.0,25.01,25.95
299,2020-09-24,24.89,26.45,24.69,25.63
298,2020-09-23,25.66,25.99,24.76,24.96
297,2020-09-22,24.53,25.62,24.24,25.47
296,2020-09-21,23.41,24.37,23.215,24.37
295,2020-09-18,24.45,24.73,23.33,23.86
294,2020-09-17,24.97,25.05,23.98,24.46
293,2020-09-16,26.42,26.825,24.83,25.43
292,2020-09-15,26.64,27.73,25.98,26.61
291,2020-09-14,25.17,26.24,25.13,26.16
290,2020-09-11,26.29,26.98,24.64,25.22
289,2020-09-10,25.98,26.4,25.76,26.0
288,2020-09-09,25.73,26.64,25.41,25.94
287,2020-09-08,24.6,25.63,24.15,25.48
286,2020-09-04,25.5,25.5185,23.32,24.85
285,2020-09-03,24.91,25.48,24.5,25.26
284,2020-09-02,25.49,25.715,24.855,25.03
283,2020-09-01,25.66,25.66,23.52,25.48
282,2020-08-31,25.4,26.2,25.1,25.57
281,2020-08-28,24.86,26.05,23.4738,25.4
280,2020-08-27,23.64,24.0,23.02,23.25
279,2020-08-26,24.35,24.35,23.46,23.6
278,2020-08-25,24.04,24.41,23.92,24.22
277,2020-08-24,24.53,24.53,23.84,24.1
276,2020-08-21,24.77,24.89,24.27,24.44
275,2020-08-20,25.0,25.07,24.48,24.67
274,2020-08-19,24.73,25.65,24.29,25.03
273,2020-08-18,24.82,25.1898,24.645,24.96
272,2020-08-17,26.01,26.275,24.75,24.75
271,2020-08-14,25.89,26.35,25.49,25.92
270,2020-08-13,25.54,27.25,25.54,25.93
269,2020-08-12,25.96,25.96,24.6,25.53
268,2020-08-11,26.52,27.0,25.81,25.83
267,2020-08-10,26.79,27.29,25.92,26.41
266,2020-08-07,26.66,26.93,26.2919,26.74
265,2020-08-06,26.49,27.15,26.23,26.88
264,2020-08-05,25.73,26.59,25.73,26.54
263,2020-08-04,25.64,26.11,25.18,25.62
262,2020-08-03,26.14,26.22,25.64,25.82
261,2020-07-31,26.33,26.65,25.91,26.15
260,2020-07-30,25.67,26.59,25.61,26.21
259,2020-07-29,24.63,26.025,24.585,25.86
258,2020-07-28,25.02,25.02,24.33,24.6
257,2020-07-27,25.22,25.78,24.59,25.07
256,2020-07-24,25.97,26.115,24.84,25.3
255,2020-07-23,26.04,26.44,25.9,26.26
254,2020-07-22,26.88,27.08,25.6,26.23
253,2020-07-21,23.84,28.12,23.84,26.88
252,2020-07-20,23.14,23.94,22.76,23.7
251,2020-07-17,22.42,23.29,22.42,22.99
250,2020-07-16,22.62,23.0,22.3,22.48
249,2020-07-15,23.22,23.44,22.7,22.76
248,2020-07-14,22.63,23.03,21.93,22.92
247,2020-07-13,23.24,23.24,22.59,22.78
246,2020-07-10,24.23,24.23,22.95,23.1
245,2020-07-09,24.42,24.42,24.09,24.35
244,2020-07-08,24.19,24.58,23.59,24.32
243,2020-07-07,24.31,24.35,23.61,24.15
242,2020-07-06,23.46,24.85,23.43,24.49
241,2020-07-02,23.28,23.68,22.79,23.4
240,2020-07-01,23.46,23.52,22.53,22.98
239,2020-06-30,22.65,23.66,22.46,23.44
238,2020-06-29,22.84,23.0,22.5,22.66
237,2020-06-26,23.14,23.14,22.37,22.8
236,2020-06-25,23.21,23.97,22.58,23.36
235,2020-06-24,23.94,24.1,23.23,23.31
234,2020-06-23,23.98,24.56,23.67,24.17
233,2020-06-22,24.2,24.44,23.51,23.81
232,2020-06-19,23.69,24.29,23.47,24.21
231,2020-06-18,23.64,24.15,23.02,23.51
230,2020-06-17,22.97,23.91,22.63,23.76
229,2020-06-16,23.1,23.11,22.4,22.92
228,2020-06-15,22.63,22.76,21.96,22.54
227,2020-06-12,22.19,23.23,21.89,23.08
226,2020-06-11,21.71,22.24,20.77,21.92
225,2020-06-10,22.005,22.55,21.02,22.36
224,2020-06-09,20.65,21.95,20.4,21.94
223,2020-06-08,20.87,21.01,20.21,21.01
222,2020-06-05,21.07,21.46,20.45,20.68
221,2020-06-04,21.02,21.16,19.79,21.0
220,2020-06-03,20.79,21.96,19.584,21.09
219,2020-06-02,19.68,20.02,19.03,19.84
218,2020-06-01,19.87,20.7,19.22,19.5
217,2020-05-29,20.1,22.34,19.13,19.65
216,2020-05-28,18.17,18.99,17.595,18.85
215,2020-05-27,17.3,18.12,17.0381,18.05
214,2020-05-26,17.52,17.87,16.85,17.25
213,2020-05-22,17.85,17.9,16.92,16.99
212,2020-05-21,17.61,18.22,17.18,17.9
211,2020-05-20,17.81,19.59,17.28,17.66
210,2020-05-19,19.87,20.62,19.47,19.5
209,2020-05-18,20.5,21.41,19.91,20.06
208,2020-05-15,19.54,20.12,19.39,19.91
207,2020-05-14,18.99,20.18,18.99,19.79
206,2020-05-13,21.06,21.28,19.18,19.4
205,2020-05-12,21.61,22.07,20.99,20.99
204,2020-05-11,21.35,22.05,21.3,21.61
203,2020-05-08,21.0,21.45,20.4227,21.4
202,2020-05-07,21.5,21.73,19.69,20.69
201,2020-05-06,20.9,21.91,20.74,21.47
200,2020-05-05,21.06,21.54,20.32,20.67
199,2020-05-04,20.0,21.1,19.6006,20.84
198,2020-05-01,21.25,21.558,19.87,20.25
197,2020-04-30,21.57,22.13,20.905,21.74
196,2020-04-29,21.25,22.39,21.25,21.87
195,2020-04-28,18.66,21.56,18.66,20.97
194,2020-04-27,17.4,18.935,17.01,18.45
193,2020-04-24,18.48,19.1,16.2001,17.25
192,2020-04-23,19.11,19.59,18.195,18.53
191,2020-04-22,19.05,19.368,18.4025,19.04
190,2020-04-21,18.25,18.83,17.77,18.66
189,2020-04-20,18.52,18.82,17.96,18.66
188,2020-04-17,20.15,20.8,18.23,18.62
187,2020-04-16,18.6,19.77,18.095,19.59
186,2020-04-15,18.85,19.65,18.15,18.48
185,2020-04-14,19.84,22.0,18.81,19.38
184,2020-04-13,20.62,21.08,19.02,19.59
183,2020-04-09,21.48,22.13,20.07,20.69
