,Date,Open,High,Low,Close
1736,2020-12-14,2.02,2.04,1.97,1.97
1735,2020-12-11,2.0,2.09,1.97,2.01
1734,2020-12-10,2.0,2.0262,1.97,2.01
1733,2020-12-09,2.06,2.06,1.97,1.98
1732,2020-12-08,2.03,2.075,1.9952,2.03
1731,2020-12-07,2.05,2.05,1.97,2.02
1730,2020-12-04,2.04,2.0489,1.97,2.04
1729,2020-12-03,1.99,2.12,1.96,2.02
1728,2020-12-02,2.06,2.54,1.98,2.04
1727,2020-12-01,2.05,2.06,1.98,2.0
1726,2020-11-30,1.94,2.07,1.87,2.04
1725,2020-11-27,1.84,1.9355,1.83,1.91
1724,2020-11-25,1.88,1.89,1.82,1.83
1723,2020-11-24,2.04,2.04,1.85,1.88
1722,2020-11-23,1.89,2.04,1.821,2.0
1721,2020-11-20,1.85,1.94,1.78,1.87
1720,2020-11-19,1.86,1.866,1.76,1.82
1719,2020-11-18,1.92,1.92,1.77,1.89
1718,2020-11-17,1.9,1.9389,1.82,1.91
1717,2020-11-16,1.85,1.9989,1.83,1.94
1716,2020-11-13,1.87,2.1,1.87,2.01
1715,2020-11-12,2.18,2.94,2.08,2.22
1714,2020-11-11,1.71,1.74,1.65,1.72
1713,2020-11-10,1.75,1.75,1.65,1.69
1712,2020-11-09,1.82,1.84,1.66,1.73
1711,2020-11-06,1.77,1.97,1.76,1.87
1710,2020-11-05,1.77,1.85,1.71,1.82
1709,2020-11-04,1.8,1.82,1.7,1.76
1708,2020-11-03,1.82,1.84,1.76,1.78
1707,2020-11-02,1.85,1.8747,1.74,1.78
1706,2020-10-30,1.95,1.9522,1.8,1.85
1705,2020-10-29,2.02,2.02,1.87,1.95
1704,2020-10-28,2.02,2.08,1.9,2.05
1703,2020-10-27,2.13,2.1776,2.03,2.06
1702,2020-10-26,2.24,2.2575,2.12,2.19
1701,2020-10-23,2.23,2.25,2.19,2.21
1700,2020-10-22,2.17,2.26,2.17,2.21
1699,2020-10-21,2.23,2.27,2.16,2.18
1698,2020-10-20,2.25,2.27,2.2,2.23
1697,2020-10-19,2.32,2.34,2.2264,2.27
1696,2020-10-16,2.35,2.35,2.26,2.27
1695,2020-10-15,2.31,2.34,2.28,2.3
1694,2020-10-14,2.44,2.44,2.31,2.35
1693,2020-10-13,2.27,2.46,2.27,2.45
1692,2020-10-12,2.33,2.33,2.27,2.31
1691,2020-10-09,2.35,2.35,2.28,2.34
1690,2020-10-08,2.3,2.3392,2.29,2.31
1689,2020-10-07,2.335,2.37,2.2801,2.3
1688,2020-10-06,2.32,2.38,2.27,2.32
1687,2020-10-05,2.3,2.39,2.25,2.27
1686,2020-10-02,2.19,2.34,2.19,2.27
1685,2020-10-01,2.25,2.28,2.2038,2.22
1684,2020-09-30,2.21,2.27,2.156,2.25
1683,2020-09-29,2.24,2.32,2.16,2.16
1682,2020-09-28,2.24,2.25,2.11,2.23
1681,2020-09-25,2.09,2.21,2.08,2.15
1680,2020-09-24,2.14,2.17,1.97,2.05
1679,2020-09-23,2.44,2.4493,2.18,2.25
1678,2020-09-22,2.45,2.48,2.35,2.44
1677,2020-09-21,2.5,2.54,2.4,2.44
1676,2020-09-18,2.41,2.64,2.41,2.55
1675,2020-09-17,2.43,2.49,2.35,2.44
1674,2020-09-16,2.39,2.6101,2.39,2.44
1673,2020-09-15,2.33,2.4058,2.3,2.37
1672,2020-09-14,2.3,2.45,2.255,2.31
1671,2020-09-11,2.23,2.39,2.16,2.24
1670,2020-09-10,2.42,2.49,2.24,2.27
1669,2020-09-09,2.26,2.5,2.2,2.41
1668,2020-09-08,2.07,2.77,2.0604,2.38
1667,2020-09-04,2.27,2.3162,2.0,2.22
1666,2020-09-03,2.5,2.5599,2.31,2.36
1665,2020-09-02,2.61,2.62,2.41,2.53
1664,2020-09-01,2.51,2.68,2.48,2.62
1663,2020-08-31,2.73,2.7448,2.42,2.52
1662,2020-08-28,2.73,2.89,2.63,2.72
1661,2020-08-27,3.91,3.95,2.7,2.85
1660,2020-08-26,3.92,4.22,3.92,4.16
1659,2020-08-25,4.0,4.36,3.75,4.08
1658,2020-08-24,5.02,5.0999,4.27,4.38
1657,2020-08-21,5.87,5.89,4.69,5.25
1656,2020-08-20,6.17,6.3,5.86,5.91
1655,2020-08-19,6.29,6.4198,6.07,6.26
1654,2020-08-18,6.11,6.5,5.78,6.46
1653,2020-08-17,6.12,6.84,5.86,6.33
1652,2020-08-14,5.48,6.12,5.13,6.06
1651,2020-08-13,5.6,5.66,5.3,5.46
1650,2020-08-12,5.49,5.82,5.29,5.5
1649,2020-08-11,5.75,5.85,5.35,5.44
1648,2020-08-10,6.16,6.97,6.16,6.54
1647,2020-08-07,5.5,6.0923,5.34,5.98
1646,2020-08-06,5.44,5.72,5.2343,5.51
1645,2020-08-05,5.11,5.575,4.9847,5.29
1644,2020-08-04,5.01,5.15,4.95,4.99
1643,2020-08-03,5.17,5.25,4.82,5.02
1642,2020-07-31,5.68,6.25,4.9601,5.19
1641,2020-07-30,4.94,5.85,4.87,5.49
1640,2020-07-29,5.02,5.2,4.96,4.97
1639,2020-07-28,5.02,5.31,4.9501,5.07
1638,2020-07-27,4.92,5.15,4.6,5.08
1637,2020-07-24,5.21,5.33,4.68,4.94
1636,2020-07-23,5.66,5.6999,5.27,5.33
1635,2020-07-22,5.52,5.7999,5.22,5.53
1634,2020-07-21,5.55,6.23,5.05,5.47
1633,2020-07-20,4.38,6.4,4.16,5.655
1632,2020-07-17,4.48,4.54,4.22,4.4
1631,2020-07-16,3.89,4.49,3.81,4.29
1630,2020-07-15,4.0,4.0,3.6,3.9
1629,2020-07-14,3.45,4.14,3.41,3.995
1628,2020-07-13,3.41,3.6,3.305,3.47
1627,2020-07-10,3.51,3.53,3.373,3.4
1626,2020-07-09,3.37,3.58,3.27,3.49
1625,2020-07-08,3.37,3.5,3.26,3.38
1624,2020-07-07,3.41,3.44,3.18,3.38
1623,2020-07-06,3.53,3.53,3.368,3.44
1622,2020-07-02,3.52,3.6,3.48,3.56
1621,2020-07-01,3.45,3.56,3.391,3.52
1620,2020-06-30,3.53,3.554,3.351,3.48
1619,2020-06-29,3.68,3.81,3.51,3.58
1618,2020-06-26,3.65,3.78,3.5,3.67
1617,2020-06-25,3.54,3.6701,3.41,3.62
1616,2020-06-24,3.47,3.57,3.33,3.54
1615,2020-06-23,3.53,4.05,3.45,3.5
1614,2020-06-22,3.3,3.4,3.3,3.34
1613,2020-06-19,3.26,3.38,3.26,3.32
1612,2020-06-18,3.31,3.34,3.23,3.26
1611,2020-06-17,3.33,3.39,3.265,3.34
1610,2020-06-16,3.4,3.44,3.26,3.34
1609,2020-06-15,3.28,3.42,3.12,3.28
1608,2020-06-12,3.48,3.48,3.3,3.371
1607,2020-06-11,3.51,3.78,3.3,3.35
1606,2020-06-10,3.89,3.9,3.63,3.7
1605,2020-06-09,3.77,4.05,3.64,3.84
1604,2020-06-08,3.59,3.87,3.57,3.69
1603,2020-06-05,3.53,3.74,3.51,3.59
1602,2020-06-04,3.52,3.81,3.45,3.68
1601,2020-06-03,3.5,3.54,3.3902,3.51
1600,2020-06-02,3.52,3.5795,3.41,3.5
1599,2020-06-01,3.36,3.69,3.36,3.5
1598,2020-05-29,3.39,3.44,3.3,3.4
