,Date,Open,High,Low,Close
5314,2020-12-14,15.57,15.57,14.54,14.63
5313,2020-12-11,14.5,14.73,14.3,14.52
5312,2020-12-10,14.69,14.81,14.62,14.74
5311,2020-12-09,14.75,14.935,14.58,14.8
5310,2020-12-08,14.44,14.83,14.44,14.63
5309,2020-12-07,15.31,15.31,14.61,14.64
5308,2020-12-04,15.19,15.51,15.1711,15.4
5307,2020-12-03,14.86,15.105,14.68,14.95
5306,2020-12-02,14.35,15.05,14.17,14.83
5305,2020-12-01,14.46,14.93,14.32,14.45
5304,2020-11-30,14.61,14.69,14.005,14.2
5303,2020-11-27,14.97,15.08,14.49,14.76
5302,2020-11-25,15.16,15.18,14.72,15.09
5301,2020-11-24,15.7,15.79,15.17,15.18
5300,2020-11-23,14.84,15.25,14.66,14.93
5299,2020-11-20,14.09,14.55,13.92,14.55
5298,2020-11-19,13.82,14.24,13.51,14.22
5297,2020-11-18,14.5,14.76,13.895,13.91
5296,2020-11-17,13.9,14.365,13.7,14.36
5295,2020-11-16,14.51,14.71,13.98,14.18
5294,2020-11-13,12.83,13.55,12.83,13.47
5293,2020-11-12,12.96,13.09,12.41,12.69
5292,2020-11-11,13.6,13.79,12.83,13.23
5291,2020-11-10,12.77,13.74,12.62,13.7
5290,2020-11-09,10.39,13.16,10.39,12.64
5289,2020-11-06,9.98,10.08,9.34,9.46
5288,2020-11-05,9.67,9.96,9.61,9.92
5287,2020-11-04,9.98,9.98,9.34,9.69
5286,2020-11-03,9.71,10.19,9.7,10.11
5285,2020-11-02,9.52,9.55,9.26,9.51
5284,2020-10-30,9.34,9.56,9.19,9.33
5283,2020-10-29,9.19,9.57,9.1,9.45
5282,2020-10-28,9.63,9.7,9.27,9.29
5281,2020-10-27,10.23,10.44,9.8,9.8
5280,2020-10-26,10.42,10.42,10.08,10.24
5279,2020-10-23,10.23,10.58,10.23,10.56
5278,2020-10-22,9.84,10.17,9.83,10.12
5277,2020-10-21,9.96,10.0,9.68,9.89
5276,2020-10-20,9.81,10.01,9.81,9.94
5275,2020-10-19,9.93,10.06,9.68,9.68
5274,2020-10-16,10.15,10.2599,9.78,9.89
5273,2020-10-15,10.11,10.34,10.085,10.22
5272,2020-10-14,10.17,10.3999,10.08,10.21
5271,2020-10-13,10.47,10.59,10.21,10.36
5270,2020-10-12,10.52,10.69,10.3134,10.64
5269,2020-10-09,10.82,10.855,10.41,10.55
5268,2020-10-08,10.63,10.785,10.51,10.71
5267,2020-10-07,10.94,10.99,10.49,10.52
5266,2020-10-06,10.98,11.09,10.72,10.86
5265,2020-10-05,11.11,11.2,10.7,10.85
5264,2020-10-02,10.36,11.16,10.36,11.13
5263,2020-10-01,10.47,10.84,10.38,10.66
5262,2020-09-30,10.4,10.7,10.31,10.5
