,Date,Open,High,Low,Close
5314,2020-12-14,105.4,106.0,104.6,104.87
5313,2020-12-11,104.51,105.65,103.816,104.43
5312,2020-12-10,104.91,105.72,104.32,105.42
5311,2020-12-09,105.01,105.8636,104.835,105.19
5310,2020-12-08,102.64,105.72,102.44,105.45
5309,2020-12-07,103.7,104.4,102.71,103.41
5308,2020-12-04,104.2,104.88,103.72,104.36
5307,2020-12-03,103.09,104.3,102.7,103.83
5306,2020-12-02,104.06,105.24,102.96,103.68
5305,2020-12-01,103.51,104.84,103.27,104.29
5304,2020-11-30,103.28,103.875,102.15,102.35
5303,2020-11-27,103.24,104.295,102.82,104.14
5302,2020-11-25,104.16,104.28,102.745,103.95
5301,2020-11-24,102.55,105.22,101.36,104.88
5300,2020-11-23,101.2,101.41,100.01,101.31
5299,2020-11-20,100.35,101.73,99.92,100.18
5298,2020-11-19,99.2,100.81,98.15,100.37
5297,2020-11-18,99.56,102.01,98.55,100.07
5296,2020-11-17,98.06,99.74,97.05,99.37
5295,2020-11-16,98.49,98.83,97.08,98.06
5294,2020-11-13,95.19,97.12,95.19,96.71
5293,2020-11-12,94.16,95.495,93.95,94.81
5292,2020-11-11,95.11,95.345,93.98,94.37
5291,2020-11-10,94.79,94.91,93.07,94.44
5290,2020-11-09,96.63,96.99,91.155,93.89
5289,2020-11-06,91.34,92.48,90.42,91.15
5288,2020-11-05,93.26,94.14,90.07,90.41
5287,2020-11-04,91.57,94.1,90.6,92.04
5286,2020-11-03,92.4,94.32,92.285,92.92
5285,2020-11-02,90.04,91.235,89.12,90.9
5284,2020-10-30,88.28,89.4,87.7,88.75
5283,2020-10-29,87.44,89.43,86.51,88.59
5282,2020-10-28,87.75,88.95,87.33,88.0
5281,2020-10-27,90.58,90.88,89.0,89.04
5280,2020-10-26,90.57,90.89,89.53,90.82
5279,2020-10-23,92.52,92.655,90.91,91.25
5278,2020-10-22,90.845,91.95,90.11,91.69
5277,2020-10-21,90.92,91.87,90.3,90.76
5276,2020-10-20,92.25,92.53,90.9253,91.08
5275,2020-10-19,92.12,93.1,91.05,91.42
5274,2020-10-16,91.82,93.27,91.82,92.58
5273,2020-10-15,90.04,92.27,89.9,91.71
5272,2020-10-14,91.88,93.1023,91.24,91.28
5271,2020-10-13,94.02,94.66,91.37,91.79
5270,2020-10-12,93.11,94.845,92.9,94.26
5269,2020-10-09,93.89,93.97,92.77,92.86
5268,2020-10-08,93.6,94.91,93.26,93.58
5267,2020-10-07,93.4,94.84,93.03,93.29
5266,2020-10-06,93.99,94.83,92.27,92.65
5265,2020-10-05,93.81,94.95,93.14,93.68
5264,2020-10-02,91.34,94.36,91.18,93.02
5263,2020-10-01,95.1,95.15,91.66,92.26
5262,2020-09-30,93.55,94.68,93.32,94.14
5261,2020-09-29,92.84,93.79,92.29,93.44
5260,2020-09-28,92.31,94.13,91.89,93.22
5259,2020-09-25,89.07,91.595,88.92,91.28
5258,2020-09-24,89.68,91.195,88.78,89.98
5257,2020-09-23,92.25,93.06,89.57,89.62
5256,2020-09-22,92.72,94.0,91.61,92.34
5255,2020-09-21,90.04,92.57,89.72,92.03
5254,2020-09-18,92.54,92.98,90.91,91.28
5253,2020-09-17,95.0,95.22,92.26,92.8
5252,2020-09-16,95.15,97.56,94.94,95.91
5251,2020-09-15,95.6,96.58,93.98,94.84
5250,2020-09-14,94.4,95.57,94.27,94.95
5249,2020-09-11,92.81,94.14,92.476,93.82
5248,2020-09-10,93.11,94.09,92.58,92.62
5247,2020-09-09,91.93,93.69,91.61,92.54
5246,2020-09-08,93.72,93.79,91.07,91.25
5245,2020-09-04,94.63,95.17,92.64,93.81
5244,2020-09-03,95.2,97.39,92.53,93.34
5243,2020-09-02,92.73,95.08,92.14,94.59
5242,2020-09-01,92.9,93.63,92.28,92.96
5241,2020-08-31,94.27,94.3,92.35,93.0
5240,2020-08-28,94.89,94.89,93.65,94.3
5239,2020-08-27,93.01,95.12,92.85,94.13
5238,2020-08-26,93.39,94.08,92.66,93.01
5237,2020-08-25,95.35,95.55,93.61,93.77
5236,2020-08-24,94.79,95.13,93.08,95.0
5235,2020-08-21,95.49,95.87,94.03,94.49
5234,2020-08-20,93.64,96.07,93.5031,95.36
5233,2020-08-19,94.99,95.87,93.88,94.28
5232,2020-08-18,95.21,95.6676,94.5,94.68
5231,2020-08-17,96.32,96.66,95.11,95.23
5230,2020-08-14,95.65,96.71,95.17,96.12
5229,2020-08-13,95.52,96.91,95.06,96.26
5228,2020-08-12,98.2,98.58,95.855,96.23
5227,2020-08-11,98.72,99.16,96.56,96.83
5226,2020-08-10,97.1,97.6,96.62,97.25
5225,2020-08-07,94.06,96.98,94.06,96.91
5224,2020-08-06,94.45,95.85,94.21,94.48
5223,2020-08-05,98.19,100.56,93.885,94.76
5222,2020-08-04,96.58,97.62,95.84,96.24
5221,2020-08-03,94.53,97.24,94.0,96.19
5220,2020-07-31,92.05,94.52,91.85,94.39
5219,2020-07-30,92.5,93.165,91.92,92.08
5218,2020-07-29,92.31,94.39,92.245,94.0
5217,2020-07-28,92.7,93.06,91.96,92.27
5216,2020-07-27,93.99,94.16,91.665,92.7
5215,2020-07-24,94.77,95.472,92.893,94.36
5214,2020-07-23,93.34,95.41,93.34,94.67
5213,2020-07-22,91.36,93.76,91.33,93.52
5212,2020-07-21,91.43,92.93,91.28,91.86
5211,2020-07-20,91.26,92.22,90.82,90.93
5210,2020-07-17,92.02,92.08,90.16,91.67
5209,2020-07-16,89.77,93.02,89.65,91.61
5208,2020-07-15,91.93,91.93,89.35,90.13
5207,2020-07-14,88.39,90.42,88.3,89.73
5206,2020-07-13,88.27,89.53,86.37,88.5
5205,2020-07-10,86.24,87.53,85.69,86.97
5204,2020-07-09,88.57,88.79,84.97,85.82
5203,2020-07-08,89.19,90.95,87.69,88.22
5202,2020-07-07,95.06,95.21,92.42,92.65
5201,2020-07-06,95.83,96.82,95.09,95.64
5200,2020-07-02,97.07,97.26,93.87,94.09
5199,2020-07-01,96.73,97.43,95.37,95.53
5198,2020-06-30,95.55,97.68,95.41,96.99
5197,2020-06-29,95.56,95.88,94.58,95.44
5196,2020-06-26,94.5,95.7,93.71,94.58
5195,2020-06-25,93.37,95.88,93.25,95.83
5194,2020-06-24,95.8,95.9,92.88,92.95
5193,2020-06-23,98.92,99.28,96.54,96.66
5192,2020-06-22,97.89,98.58,96.94,97.16
5191,2020-06-19,101.0,101.0,97.51,98.73
5190,2020-06-18,97.46,99.02,96.6,98.75
5189,2020-06-17,99.13,99.65,97.7,97.95
5188,2020-06-16,100.63,101.08,97.21,99.12
5187,2020-06-15,93.09,98.41,92.7,97.83
5186,2020-06-12,97.34,97.5,93.26,95.7
5185,2020-06-11,99.73,100.23,94.78,94.79
5184,2020-06-10,102.98,104.0,101.69,101.98
5183,2020-06-09,105.41,105.88,102.81,103.21
5182,2020-06-08,105.65,107.08,104.77,106.99
5181,2020-06-05,106.45,106.6,102.86,105.47
5180,2020-06-04,99.9,102.09,99.25,101.86
5179,2020-06-03,100.25,100.91,99.71,100.41
5178,2020-06-02,99.4,99.72,98.34,99.0
5177,2020-06-01,98.36,99.59,97.97,99.07
5176,2020-05-29,97.69,98.03,96.1,97.81
5175,2020-05-28,98.59,99.31,96.92,98.26
5174,2020-05-27,96.41,97.75,94.53,97.73
5173,2020-05-26,97.9,98.12,93.87,94.05
5172,2020-05-22,94.43,95.06,92.69,94.82
5171,2020-05-21,96.49,96.84,92.08,94.13
5170,2020-05-20,98.57,98.94,96.75,96.99
5169,2020-05-19,98.37,99.39,97.22,97.27
5168,2020-05-18,98.29,100.03,98.06,99.04
5167,2020-05-15,93.08,95.61,92.05,95.38
5166,2020-05-14,91.18,94.15,89.51,93.92
5165,2020-05-13,96.93,97.39,91.45,92.08
5164,2020-05-12,102.07,102.56,97.53,97.55
5163,2020-05-11,99.87,102.42,98.78,101.84
5162,2020-05-08,102.6,102.8,100.64,100.79
5161,2020-05-07,102.58,104.05,100.16,100.85
5160,2020-05-06,102.33,104.29,101.03,101.48
5159,2020-05-05,101.15,103.32,101.15,102.15
5158,2020-05-04,98.98,100.74,98.16,100.34
5157,2020-05-01,99.97,100.59,98.9,99.74
5156,2020-04-30,103.62,104.98,101.22,101.72
5155,2020-04-29,104.55,106.72,102.77,105.82
5154,2020-04-28,105.19,106.74,101.68,101.84
5153,2020-04-27,101.81,103.58,101.65,103.09
5152,2020-04-24,100.71,101.75,99.25,101.44
5151,2020-04-23,102.64,103.29,99.42,99.45
5150,2020-04-22,101.88,102.85,99.89,101.99
5149,2020-04-21,99.28,102.27,98.42,100.09
5148,2020-04-20,103.18,105.27,101.49,102.72
5147,2020-04-17,103.0,105.79,100.12,104.92
5146,2020-04-16,97.77,100.24,97.61,99.93
5145,2020-04-15,98.73,99.9,97.47,97.94
5144,2020-04-14,100.11,103.11,99.11,102.44
5143,2020-04-13,101.82,102.25,97.38,98.0
5142,2020-04-09,98.94,102.19,97.8,100.34
5141,2020-04-08,94.04,98.37,91.5,97.25
5140,2020-04-07,97.6,99.57,92.26,92.53
5139,2020-04-06,90.53,94.63,88.64,93.52
5138,2020-04-03,85.09,86.99,83.75,85.96
5137,2020-04-02,86.27,89.73,84.04,85.79
5136,2020-04-01,86.49,88.8,85.35,86.4
5135,2020-03-31,93.4,94.19,91.21,91.73
5134,2020-03-30,88.28,95.29,85.48,94.64
5133,2020-03-27,86.11,92.59,85.13,88.46
5132,2020-03-26,83.11,90.51,83.01,89.5
5131,2020-03-25,77.86,86.71,75.01,83.0
5130,2020-03-24,78.1,79.18,75.7,77.92
5129,2020-03-23,71.74,75.92,68.86,73.23
5128,2020-03-20,76.36,78.66,70.76,73.87
5127,2020-03-19,74.13,78.52,70.73,74.69
5126,2020-03-18,81.64,83.75,64.13,75.55
5125,2020-03-17,87.16,90.65,85.27,87.94
5124,2020-03-16,78.0,90.54,78.0,84.98
5123,2020-03-13,89.46,93.06,83.1,92.77
5122,2020-03-12,86.04,90.38,83.72,83.8
5121,2020-03-11,96.25,96.68,90.55,92.77
5120,2020-03-10,99.36,100.2,94.58,99.26
5119,2020-03-09,99.57,100.16,94.02,95.61
5118,2020-03-06,104.21,107.71,103.91,107.14
5117,2020-03-05,111.15,112.09,107.04,108.46
5116,2020-03-04,111.33,114.89,110.17,114.51
5115,2020-03-03,112.43,113.58,108.0,109.2
5114,2020-03-02,104.59,112.76,104.59,112.67
5113,2020-02-28,106.58,107.9,102.91,105.25
5112,2020-02-27,114.59,115.03,109.87,109.92
5111,2020-02-26,117.96,119.01,115.72,115.73
5110,2020-02-25,120.75,120.8,117.14,117.31
5109,2020-02-24,121.45,122.37,120.18,120.54
5108,2020-02-21,123.29,124.03,122.92,123.62
5107,2020-02-20,123.99,124.48,123.05,123.46
5106,2020-02-19,124.6,125.0,123.85,124.26
5105,2020-02-18,125.4,125.92,124.11,124.3
5104,2020-02-14,124.93,125.59,124.65,125.57
5103,2020-02-13,123.65,124.92,123.2,124.89
5102,2020-02-12,125.25,125.25,122.95,123.78
5101,2020-02-11,123.9,125.41,123.72,125.1
5100,2020-02-10,124.34,124.83,123.27,123.95
5099,2020-02-07,123.87,124.76,123.61,124.43
5098,2020-02-06,124.77,125.43,123.79,123.89
5097,2020-02-05,121.07,124.94,121.07,124.67
5096,2020-02-04,120.16,121.16,119.91,119.95
5095,2020-02-03,119.0,120.07,118.8,119.05
5094,2020-01-31,119.21,120.11,118.27,118.54
5093,2020-01-30,117.59,119.98,117.57,119.88
5092,2020-01-29,118.5,118.72,117.67,118.36
5091,2020-01-28,116.88,118.15,116.88,117.54
5090,2020-01-27,117.0,117.93,116.56,116.58
5089,2020-01-24,118.24,118.75,117.48,118.28
5088,2020-01-23,117.06,118.39,116.1,118.15
5087,2020-01-22,118.24,118.69,117.59,117.65
5086,2020-01-21,117.15,118.27,117.06,117.8
5085,2020-01-17,116.4,117.62,115.85,117.55
5084,2020-01-16,114.54,116.16,114.27,116.15
5083,2020-01-15,113.62,114.63,113.05,114.26
5082,2020-01-14,114.35,114.39,113.44,113.8
5081,2020-01-13,113.48,114.49,113.45,114.48
5080,2020-01-10,113.96,114.16,113.18,113.45
5079,2020-01-09,113.0,113.91,112.72,113.78
