,Date,Open,High,Low,Close
784,2020-12-14,57.07,57.74,56.22,56.88
783,2020-12-11,55.92,56.62,55.35,56.5
782,2020-12-10,54.93,56.55,54.79,55.68
781,2020-12-09,57.7,57.71,54.36,54.93
780,2020-12-08,54.0,55.12,52.0001,55.08
779,2020-12-07,54.17,54.81,53.62,54.42
778,2020-12-04,52.67,54.18,52.27,53.955
777,2020-12-03,51.8,53.72,51.72,52.3
776,2020-12-02,52.35,52.81,51.4,52.03
775,2020-12-01,54.39,54.39,52.42,53.0
774,2020-11-30,53.0,54.48,52.83,53.9
773,2020-11-27,51.95,53.46,51.92,53.18
772,2020-11-25,51.87,52.415,50.9596,51.77
771,2020-11-24,51.0,51.22,50.645,50.96
770,2020-11-23,51.0,51.38,50.11,51.11
769,2020-11-20,50.19,51.94,49.99,51.03
768,2020-11-19,49.3,50.98,49.28,50.73
767,2020-11-18,49.4,50.17,49.0,49.25
766,2020-11-17,49.05,49.81,48.28,49.45
765,2020-11-16,48.81,49.71,48.28,49.07
764,2020-11-13,49.5,50.49,48.52,49.01
763,2020-11-12,50.0,50.47,48.48,48.89
762,2020-11-11,48.77,50.67,48.62,49.83
761,2020-11-10,48.95,49.24,47.78,48.71
760,2020-11-09,50.5,51.04,48.71,48.89
759,2020-11-06,45.48,50.33,45.13,50.05
758,2020-11-05,47.0,48.49,46.61,47.58
757,2020-11-04,45.13,46.92,44.685,46.43
756,2020-11-03,44.61,45.15,44.0,44.72
755,2020-11-02,43.42,44.42,43.26,44.09
754,2020-10-30,44.81,45.37,42.48,43.03
753,2020-10-29,43.79,45.39,43.35,45.08
752,2020-10-28,44.88,45.37,43.44,43.68
751,2020-10-27,45.76,46.2,45.48,45.78
750,2020-10-26,47.06,47.09,45.295,45.54
749,2020-10-23,46.23,47.42,45.87,47.39
748,2020-10-22,45.3,46.06,44.8,45.93
747,2020-10-21,46.73,47.13,45.25,45.4
746,2020-10-20,46.5,46.79,45.94,46.49
745,2020-10-19,46.36,46.705,45.8651,46.25
744,2020-10-16,45.83,46.525,45.7356,46.28
743,2020-10-15,45.45,46.35,45.14,46.02
742,2020-10-14,47.43,47.43,45.57,46.26
741,2020-10-13,46.26,46.9794,45.705,45.77
740,2020-10-12,45.15,46.28,44.97,46.2
739,2020-10-09,45.04,45.82,44.84,45.1
738,2020-10-08,46.03,46.22,44.54,44.68
737,2020-10-07,45.59,46.15,44.93,44.99
736,2020-10-06,45.0,45.99,44.4801,45.39
735,2020-10-05,43.33,44.98,42.76,44.92
734,2020-10-02,42.2,43.525,41.95,43.0
733,2020-10-01,42.46,43.77,42.23,43.53
732,2020-09-30,41.58,42.53,41.315,41.98
731,2020-09-29,41.87,42.38,41.39,41.7
730,2020-09-28,42.0,42.62,41.79,41.88
729,2020-09-25,39.8,41.62,39.66,41.43
728,2020-09-24,39.93,40.61,39.365,39.88
727,2020-09-23,42.58,42.67,39.96,40.11
726,2020-09-22,42.23,42.77,41.285,42.67
725,2020-09-21,41.3,41.97,40.63,41.87
724,2020-09-18,41.55,42.15,40.75,41.93
723,2020-09-17,39.52,40.8,38.63,40.66
722,2020-09-16,39.99,41.82,39.72,40.38
721,2020-09-15,39.42,39.9899,39.26,39.7
720,2020-09-14,37.8,39.28,37.8,39.06
719,2020-09-11,38.8,38.98,37.24,37.67
718,2020-09-10,40.57,41.49,38.66,38.71
717,2020-09-09,39.19,40.03,38.73,39.75
716,2020-09-08,38.74,39.7,38.57,38.91
715,2020-09-04,40.78,40.83,38.47,39.93
714,2020-09-03,42.95,42.95,39.86,40.49
713,2020-09-02,43.2,43.51,42.51,43.31
712,2020-09-01,41.94,43.35,41.33,43.0
711,2020-08-31,42.51,42.78,41.87,42.02
710,2020-08-28,42.61,42.8999,42.37,42.6
709,2020-08-27,42.61,43.01,41.81,42.24
708,2020-08-26,42.33,43.16,42.33,42.63
707,2020-08-25,42.0,42.35,41.67,42.25
706,2020-08-24,41.48,41.87,40.98,41.81
705,2020-08-21,41.8,41.8,40.83,40.91
704,2020-08-20,41.07,42.06,40.99,41.75
703,2020-08-19,41.45,41.88,40.6824,41.47
702,2020-08-18,40.45,41.81,40.26,41.35
701,2020-08-17,40.1,40.87,39.8,40.35
700,2020-08-14,40.89,41.09,39.9,39.96
699,2020-08-13,39.98,41.21,39.36,40.89
698,2020-08-12,39.19,40.25,38.96,40.15
697,2020-08-11,38.69,39.59,38.0838,38.68
696,2020-08-10,40.94,40.94,38.5,38.8
695,2020-08-07,42.51,44.34,40.29,41.03
694,2020-08-06,41.93,42.035,40.16,41.14
693,2020-08-05,40.92,42.9,40.71,42.09
692,2020-08-04,40.3,40.79,39.93,40.67
691,2020-08-03,40.76,40.78,40.0,40.29
690,2020-07-31,40.36,40.4,39.22,40.3
689,2020-07-30,39.91,40.81,39.565,40.51
688,2020-07-29,39.56,40.79,39.38,40.46
687,2020-07-28,39.48,39.54,38.73,39.17
686,2020-07-27,38.44,39.78,38.44,39.71
685,2020-07-24,38.57,39.0,38.1,38.19
684,2020-07-23,38.91,40.48,38.73,38.95
683,2020-07-22,39.24,39.7,38.93,39.12
682,2020-07-21,39.75,39.99,39.0,39.2
681,2020-07-20,38.1,39.54,37.73,39.41
680,2020-07-17,37.27,38.44,36.96,38.05
679,2020-07-16,37.59,37.7,36.62,37.31
678,2020-07-15,37.87,38.69,37.62,37.95
677,2020-07-14,37.09,37.52,36.21,37.49
676,2020-07-13,38.86,39.16,36.97,37.02
675,2020-07-10,38.78,39.1,38.16,38.56
674,2020-07-09,39.0,39.37,37.96,38.69
673,2020-07-08,38.91,39.27,38.34,39.0
672,2020-07-07,39.09,39.98,38.74,38.8
671,2020-07-06,39.0,39.66,38.52,39.05
670,2020-07-02,41.0,41.0,39.04,39.4
669,2020-07-01,39.09,40.54,39.09,40.31
668,2020-06-30,38.83,39.96,38.23,39.75
667,2020-06-29,38.43,39.03,37.91,38.79
666,2020-06-26,39.75,39.75,38.04,38.14
665,2020-06-25,38.98,39.89,38.565,39.83
664,2020-06-24,39.25,39.6795,38.04,39.14
663,2020-06-23,39.61,39.97,39.38,39.565
662,2020-06-22,37.99,39.28,37.95,39.15
661,2020-06-19,39.45,39.925,37.73,37.84
660,2020-06-18,38.49,39.415,38.49,39.06
659,2020-06-17,38.61,39.045,38.39,38.56
658,2020-06-16,38.54,38.71,37.0,38.2
657,2020-06-15,36.54,37.95,35.86,37.68
656,2020-06-12,36.26,37.74,36.26,37.02
655,2020-06-11,38.76,38.76,35.79,36.24
654,2020-06-10,39.21,39.64,38.99,39.42
653,2020-06-09,38.51,39.6,38.51,39.14
652,2020-06-08,40.0,40.33,38.885,38.93
651,2020-06-05,39.56,40.61,39.05,40.21
650,2020-06-04,39.44,39.97,38.85,39.25
649,2020-06-03,39.89,41.23,39.3677,39.89
648,2020-06-02,39.0,39.89,38.3388,39.82
647,2020-06-01,39.27,39.505,38.94,38.94
646,2020-05-29,37.47,39.2,37.47,39.09
645,2020-05-28,38.05,38.51,37.56,37.6
644,2020-05-27,38.1,38.21,36.5,37.69
643,2020-05-26,37.1,38.1,36.63,37.69
642,2020-05-22,36.1,36.54,35.77,36.29
641,2020-05-21,35.97,36.47,35.7,35.9
640,2020-05-20,35.0,36.02,34.52,35.85
639,2020-05-19,34.48,35.52,34.48,34.55
638,2020-05-18,33.37,34.86,32.64,34.54
637,2020-05-15,31.71,32.32,30.92,32.25
636,2020-05-14,31.71,32.44,30.88,31.89
635,2020-05-13,33.11,33.335,31.13,32.16
634,2020-05-12,33.35,34.36,32.98,33.26
633,2020-05-11,33.52,34.0,32.94,33.15
632,2020-05-08,33.43,35.03,32.13,34.34
631,2020-05-07,33.44,33.48,32.34,32.65
630,2020-05-06,31.75,32.79,31.36,32.62
629,2020-05-05,32.37,32.92,31.76,31.94
628,2020-05-04,31.05,31.63,30.44,31.53
627,2020-05-01,32.08,32.41,30.28,31.09
626,2020-04-30,32.73,33.17,32.05,32.99
625,2020-04-29,31.89,33.33,31.355,33.0
624,2020-04-28,31.74,31.8,30.41,30.69
623,2020-04-27,30.68,31.4,30.49,31.07
622,2020-04-24,30.26,30.37,29.8,30.15
621,2020-04-23,30.19,31.0,30.02,30.06
620,2020-04-22,30.49,30.52,29.7,30.07
619,2020-04-21,30.26,30.3,28.78,29.77
618,2020-04-20,30.05,31.03,29.87,30.83
617,2020-04-17,29.24,30.73,29.09,30.51
616,2020-04-16,28.42,29.31,28.17,29.02
615,2020-04-15,28.0,28.515,27.62,28.31
614,2020-04-14,28.72,29.375,28.2,28.81
613,2020-04-13,28.08,28.31,27.57,28.17
612,2020-04-09,27.32,28.405,26.945,28.34
611,2020-04-08,25.97,27.44,25.45,27.01
610,2020-04-07,26.08,26.7,25.61,25.7
609,2020-04-06,24.64,25.65,24.38,25.31
608,2020-04-03,23.44,24.1518,23.22,23.49
607,2020-04-02,23.57,24.58,23.04,23.44
606,2020-04-01,25.93,26.93,23.14,23.57
605,2020-03-31,24.73,27.216,24.68,26.5
604,2020-03-30,25.15,25.41,24.64,24.87
603,2020-03-27,25.17,26.13,24.4,24.96
602,2020-03-26,24.81,26.45,24.31,25.63
601,2020-03-25,25.1,26.34,24.26,24.49
600,2020-03-24,26.6,27.31,24.7,25.2
599,2020-03-23,26.22,27.1,24.76,25.16
598,2020-03-20,28.17,28.3716,25.43,25.72
597,2020-03-19,29.14,32.4407,27.73,27.94
596,2020-03-18,27.93,30.75,27.53,29.27
595,2020-03-17,24.6,29.8,23.81,29.67
594,2020-03-16,27.8,27.8,24.91,25.11
593,2020-03-13,27.75,29.272,25.36,29.22
592,2020-03-12,27.29,28.51,26.29,26.3
591,2020-03-11,29.39,30.2,28.71,29.21
590,2020-03-10,29.1,30.16,28.06,30.15
589,2020-03-09,28.83,29.865,27.98,28.21
588,2020-03-06,30.32,31.49,30.32,31.01
587,2020-03-05,32.66,33.5,30.95,31.3
586,2020-03-04,34.99,35.23,33.19,33.295
585,2020-03-03,35.04,35.63,33.56,34.32
584,2020-03-02,35.01,35.17,33.31,35.14
583,2020-02-28,34.87,36.49,33.0,34.8
582,2020-02-27,33.91,34.18,32.86,33.205
581,2020-02-26,34.48,35.61,34.3,34.8
580,2020-02-25,36.0,36.12,34.085,34.34
579,2020-02-24,34.95,36.08,34.81,35.87
578,2020-02-21,37.78,37.78,36.0,36.32
577,2020-02-20,38.32,38.655,37.76,37.79
576,2020-02-19,38.1,38.41,37.74,38.3
575,2020-02-18,38.29,38.58,37.99,38.06
574,2020-02-14,38.97,39.11,37.875,38.18
573,2020-02-13,37.93,39.24,37.85,38.87
572,2020-02-12,37.87,38.31,37.465,38.08
571,2020-02-11,38.62,38.86,37.605,37.63
570,2020-02-10,38.97,39.0,38.23,38.31
569,2020-02-07,39.18,39.47,38.85,38.97
568,2020-02-06,39.24,39.44,38.65,39.35
567,2020-02-05,39.39,39.39,38.72,38.75
566,2020-02-04,39.0,39.16,38.42,38.85
565,2020-02-03,37.37,38.57,37.02,38.49
564,2020-01-31,38.04,38.24,36.84,36.95
563,2020-01-30,37.0,38.06,36.79,38.04
562,2020-01-29,38.03,38.09,37.165,37.26
561,2020-01-28,37.1,38.445,36.91,37.67
560,2020-01-27,35.55,36.89,35.455,36.72
559,2020-01-24,36.25,36.74,35.93,36.38
558,2020-01-23,37.91,39.18,35.905,36.1
557,2020-01-22,39.51,39.665,39.23,39.35
556,2020-01-21,39.16,39.64,38.96,39.31
555,2020-01-17,39.52,39.645,38.92,39.1
554,2020-01-16,39.53,39.66,39.05,39.19
553,2020-01-15,38.98,39.74,38.98,39.41
552,2020-01-14,38.46,39.085,37.97,38.94
551,2020-01-13,37.86,38.53,37.66,38.53
550,2020-01-10,37.78,37.845,37.21,37.59
549,2020-01-09,38.0,38.0,37.38,37.66
548,2020-01-08,37.16,37.8,37.035,37.62
547,2020-01-07,37.19,37.34,36.87,37.06
546,2020-01-06,36.48,37.26,36.48,37.17
545,2020-01-03,36.13,36.86,36.13,36.81
544,2020-01-02,36.18,37.07,35.97,36.86
543,2019-12-31,36.17,36.455,35.71,35.91
542,2019-12-30,36.45,36.5,35.68,36.13
541,2019-12-27,36.99,37.33,36.1737,36.64
540,2019-12-26,36.47,36.93,36.34,36.89
539,2019-12-24,36.31,36.41,36.09,36.28
538,2019-12-23,36.26,36.71,36.12,36.475
537,2019-12-20,35.09,36.54,35.035,36.36
536,2019-12-19,34.99,35.23,34.32,34.95
535,2019-12-18,34.33,35.18,34.02,34.82
534,2019-12-17,34.31,34.46,33.955,34.41
533,2019-12-16,34.06,34.69,34.06,34.31
532,2019-12-13,33.03,34.0,32.92,33.99
531,2019-12-12,32.28,33.07,32.15,32.99
530,2019-12-11,31.37,32.52,31.16,32.48
529,2019-12-10,31.59,31.62,31.24,31.36
528,2019-12-09,31.86,32.03,31.51,31.52
527,2019-12-06,32.5,32.62,31.71,32.0
526,2019-12-05,32.3,32.87,32.13,32.23
525,2019-12-04,32.48,32.48,32.04,32.39
524,2019-12-03,32.23,32.45,31.94,32.24
523,2019-12-02,33.33,33.33,31.08,32.71
522,2019-11-29,33.32,33.91,33.01,33.17
521,2019-11-27,33.28,33.75,33.14,33.72
520,2019-11-26,32.01,33.23,31.79,33.13
519,2019-11-25,32.26,32.47,31.85,32.005
518,2019-11-22,32.15,32.2,31.48,32.19
517,2019-11-21,30.31,32.04,29.94,32.02
516,2019-11-20,29.9,30.45,29.67,30.15
515,2019-11-19,29.48,30.27,29.42,30.08
514,2019-11-18,28.76,29.76,28.61,29.39
513,2019-11-15,28.63,28.99,28.21,28.88
512,2019-11-14,28.25,28.54,27.91,28.38
511,2019-11-13,28.51,28.9699,28.0,28.32
510,2019-11-12,28.61,29.67,28.485,28.58
509,2019-11-11,29.65,29.93,28.8,28.87
508,2019-11-08,32.61,33.4,29.0,30.0
507,2019-11-07,38.01,38.34,37.355,37.47
506,2019-11-06,37.88,38.18,37.565,37.73
505,2019-11-05,37.29,38.05,37.01,38.04
504,2019-11-04,37.76,37.96,36.92,36.95
503,2019-11-01,37.12,37.48,36.66,37.42
502,2019-10-31,36.69,36.9,36.27,36.87
501,2019-10-30,36.24,36.67,35.88,36.59
500,2019-10-29,36.13,36.36,35.92,36.07
499,2019-10-28,35.75,36.19,35.53,36.12
498,2019-10-25,35.22,35.75,34.82,35.71
497,2019-10-24,34.65,35.5,34.52,35.16
496,2019-10-23,33.91,34.56,33.75,34.3
495,2019-10-22,34.78,35.02,33.97,34.095
494,2019-10-21,34.31,34.72,33.96,34.55
493,2019-10-18,35.06,35.06,33.68,33.82
492,2019-10-17,34.74,35.3,34.65,35.26
491,2019-10-16,35.06,35.06,34.25,34.69
490,2019-10-15,34.77,34.94,34.5096,34.85
489,2019-10-14,34.58,34.95,34.1312,34.58
488,2019-10-11,34.79,35.4101,34.36,34.56
487,2019-10-10,34.24,34.58,33.6,34.24
486,2019-10-09,34.03,34.2,33.58,33.88
485,2019-10-08,33.69,34.01,33.145,33.51
484,2019-10-07,33.93,34.57,33.51,33.88
483,2019-10-04,33.25,34.07,32.9,33.93
482,2019-10-03,33.01,33.14,32.15,33.0
481,2019-10-02,33.16,33.245,32.53,33.05
480,2019-10-01,34.85,34.99,33.46,33.5
479,2019-09-30,34.49,34.86,34.148,34.62
478,2019-09-27,35.53,35.53,34.06,34.39
477,2019-09-26,35.4,35.69,34.84,35.34
476,2019-09-25,34.01,35.29,33.47,35.21
475,2019-09-24,34.86,35.08,33.36,33.85
474,2019-09-23,34.13,34.62,33.715,34.5
473,2019-09-20,34.65,34.71,33.46,34.07
472,2019-09-19,34.43,35.1,34.11,34.54
471,2019-09-18,34.97,35.1,33.71,34.12
470,2019-09-17,34.34,35.13,34.0,34.98
469,2019-09-16,33.79,34.74,33.5,34.21
468,2019-09-13,33.82,35.36,33.52,33.77
467,2019-09-12,33.16,34.4102,33.08,33.58
466,2019-09-11,30.89,32.96,30.5925,32.93
465,2019-09-10,32.23,32.98,31.65,32.42
464,2019-09-09,33.43,33.52,31.91,32.46
463,2019-09-06,33.91,34.58,33.12,33.18
462,2019-09-05,34.41,34.41,32.92,33.82
461,2019-09-04,33.72,34.09,33.46,33.75
460,2019-09-03,34.16,34.405,32.99,33.29
459,2019-08-30,34.1,34.59,33.92,34.36
458,2019-08-29,32.89,33.73,32.28,33.63
457,2019-08-28,32.42,32.79,31.75,32.38
456,2019-08-27,32.83,33.04,32.22,32.64
455,2019-08-26,32.63,32.76,32.15,32.62
454,2019-08-23,32.88,33.1,32.17,32.3
453,2019-08-22,33.67,33.7,32.77,32.97
452,2019-08-21,34.15,34.15,33.365,33.51
451,2019-08-20,34.55,34.55,33.58,33.64
450,2019-08-19,35.18,35.25,34.3,34.46
449,2019-08-16,34.23,34.92,34.0,34.89
448,2019-08-15,33.95,34.27,33.42,34.0
447,2019-08-14,34.01,34.4,33.83,34.1
446,2019-08-13,33.65,34.96,33.65,34.81
445,2019-08-12,35.05,35.4,33.51,34.01
444,2019-08-09,39.71,39.71,34.4,35.06
443,2019-08-08,41.43,42.11,41.065,41.99
442,2019-08-07,39.96,41.37,39.285,40.95
441,2019-08-06,39.95,40.91,39.87,40.39
440,2019-08-05,39.51,39.98,39.15,39.69
439,2019-08-02,41.02,41.02,39.94,40.64
438,2019-08-01,41.78,42.5,41.18,41.34
437,2019-07-31,42.84,42.9079,41.43,41.61
436,2019-07-30,42.3,42.8,42.14,42.62
435,2019-07-29,43.0,43.02,41.78,42.73
434,2019-07-26,42.78,43.28,42.7,42.87
433,2019-07-25,42.31,42.9,41.7177,42.53
432,2019-07-24,42.0,42.78,41.845,42.6
431,2019-07-23,42.54,42.54,41.25,42.19
430,2019-07-22,41.67,42.8,41.5,42.38
429,2019-07-19,42.08,42.58,41.345,41.4
428,2019-07-18,41.55,42.12,41.19,42.08
427,2019-07-17,41.88,42.052,41.515,41.59
