,Date,Open,High,Low,Close
307,2020-12-14,10.01,10.0108,9.97,10.0
306,2020-12-11,10.0,10.06,9.98,10.0
305,2020-12-10,10.01,10.0435,9.99,10.0
304,2020-12-09,10.0,10.0,9.99,9.99
303,2020-12-08,10.0,10.03,9.97,9.99
302,2020-12-07,9.98,10.02,9.98,10.02
301,2020-12-04,9.98,10.05,9.96,9.98
300,2020-12-03,10.0,10.0,9.96,9.98
299,2020-12-02,9.93,10.09,9.93,9.96
298,2020-12-01,9.93,9.95,9.93,9.93
297,2020-11-30,9.95,9.95,9.91,9.93
296,2020-11-27,9.91,9.91,9.91,9.91
295,2020-11-25,9.91,9.91,9.91,9.91
294,2020-11-24,9.95,9.95,9.91,9.91
293,2020-11-23,9.86,9.91,9.86,9.9
292,2020-11-20,9.85,9.8867,9.85,9.8867
291,2020-11-19,9.88,9.88,9.86,9.88
290,2020-11-18,9.87,9.9,9.85,9.9
289,2020-11-17,9.92,9.92,9.85,9.86
288,2020-11-16,9.85,9.86,9.85,9.86
287,2020-11-13,9.85,9.85,9.85,9.85
286,2020-11-12,9.85,9.85,9.85,9.85
285,2020-11-11,9.89,9.89,9.89,9.89
284,2020-11-10,9.8501,9.89,9.85,9.89
283,2020-11-09,9.96,9.96,9.88,9.88
282,2020-11-06,9.86,9.93,9.86,9.93
281,2020-11-05,9.85,9.92,9.85,9.88
280,2020-11-04,9.91,9.95,9.91,9.95
279,2020-11-03,9.84,9.92,9.84,9.92
278,2020-11-02,9.92,9.93,9.87,9.92
277,2020-10-30,9.8472,9.85,9.82,9.85
276,2020-10-29,9.87,9.88,9.85,9.85
275,2020-10-28,9.85,9.85,9.82,9.82
274,2020-10-27,9.89,9.89,9.88,9.88
273,2020-10-26,9.88,9.905,9.88,9.9
272,2020-10-23,9.91,9.91,9.91,9.91
271,2020-10-22,9.905,9.93,9.905,9.93
270,2020-10-21,9.9175,9.9175,9.875,9.88
269,2020-10-20,9.9,9.9,9.9,9.9
268,2020-10-19,9.96,9.96,9.96,9.96
267,2020-10-16,9.9215,9.9215,9.92,9.92
266,2020-10-15,9.91,9.93,9.91,9.93
265,2020-10-14,9.91,9.925,9.91,9.92
264,2020-10-13,9.94,9.94,9.94,9.94
263,2020-10-12,9.96,9.96,9.94,9.94
262,2020-10-09,9.92,9.93,9.92,9.925
261,2020-10-08,9.94,9.94,9.94,9.94
260,2020-10-07,9.92,9.95,9.92,9.95
259,2020-10-06,9.98,9.98,9.92,9.96
258,2020-10-05,9.97,9.98,9.95,9.95
257,2020-10-02,9.98,9.98,9.93,9.95
256,2020-10-01,9.85,10.03,9.85,10.025
255,2020-09-30,10.02,10.02,9.93,9.93
254,2020-09-29,10.0,10.05,9.97,9.97
253,2020-09-28,9.94,10.05,9.93,10.025
252,2020-09-25,9.97,10.15,9.96,10.06
251,2020-09-24,9.94,9.94,9.94,9.94
250,2020-09-23,10.0,10.12,10.0,10.05
249,2020-09-22,10.0,10.05,10.0,10.05
248,2020-09-21,10.0,10.05,10.0,10.05
247,2020-09-18,9.92,10.03,9.9175,10.0
246,2020-09-17,9.93,9.96,9.93,9.93
245,2020-09-16,9.96,9.96,9.93,9.93
244,2020-09-15,9.85,9.96,9.85,9.93
243,2020-09-14,9.92,9.92,9.9,9.9
242,2020-09-11,9.85,9.92,9.85,9.92
241,2020-09-10,9.96,9.96,9.88,9.88
240,2020-09-09,9.92,9.93,9.89,9.9
239,2020-09-08,9.9,9.92,9.88,9.88
238,2020-09-04,9.96,9.96,9.89,9.9
237,2020-09-03,9.82,9.99,9.82,9.92
236,2020-09-02,9.97,9.97,9.86,9.86
235,2020-09-01,9.93,9.97,9.87,9.97
234,2020-08-31,9.85,9.92,9.85,9.85
233,2020-08-28,9.95,9.95,9.85,9.85
232,2020-08-27,9.85,9.9099,9.85,9.9099
231,2020-08-26,9.85,9.85,9.85,9.85
230,2020-08-25,9.95,9.95,9.9,9.9
229,2020-08-24,9.925,9.925,9.925,9.925
228,2020-08-21,9.9,9.925,9.9,9.925
227,2020-08-20,9.9,9.95,9.87,9.95
226,2020-08-19,10.02,10.02,9.9,9.98
225,2020-08-18,9.97,10.0,9.97,9.98
224,2020-08-17,9.93,9.965,9.93,9.94
223,2020-08-14,10.06,10.06,9.95,9.99
222,2020-08-13,10.0,10.0,9.94,9.98
221,2020-08-12,9.95,9.99,9.94,9.95
220,2020-08-11,9.98,9.98,9.98,9.98
219,2020-08-10,9.97,9.99,9.93,9.98
218,2020-08-07,9.97,9.97,9.97,9.97
217,2020-08-06,9.97,9.97,9.97,9.97
216,2020-08-05,10.05,10.05,9.97,9.97
215,2020-08-04,10.0,10.05,10.0,10.05
214,2020-08-03,10.11,10.11,10.01,10.01
213,2020-07-31,10.03,10.08,10.02,10.08
212,2020-07-30,10.07,10.12,10.03,10.05
211,2020-07-29,10.05,10.12,10.05,10.12
210,2020-07-28,10.07,10.11,10.06,10.11
209,2020-07-27,10.06,10.1,10.03,10.1
208,2020-07-24,10.05,10.08,10.05,10.05
207,2020-07-23,10.05,10.08,10.05,10.08
