,Date,Open,High,Low,Close
1653,2020-12-14,2.3,2.3471,2.22,2.28
1652,2020-12-11,2.3,2.42,2.25,2.25
1651,2020-12-10,2.3,2.42,2.25,2.28
1650,2020-12-09,2.63,2.65,2.25,2.32
1649,2020-12-08,2.51,2.7,2.5,2.6
1648,2020-12-07,2.5252,2.67,2.48,2.57
1647,2020-12-04,2.8,2.87,2.65,2.68
1646,2020-12-03,2.47,3.6,2.47,2.885
1645,2020-12-02,2.11,2.3,2.08,2.27
1644,2020-12-01,2.18,2.2,2.08,2.11
1643,2020-11-30,2.14,2.21,2.05,2.19
1642,2020-11-27,2.0859,2.28,2.01,2.21
1641,2020-11-25,2.03,2.05,1.96,2.04
1640,2020-11-24,2.2,2.21,2.01,2.05
1639,2020-11-23,2.09,2.2,2.06,2.14
1638,2020-11-20,2.05,2.2,2.04,2.06
1637,2020-11-19,2.1,2.11,1.9747,2.02
1636,2020-11-18,2.24,2.26,2.07,2.1
1635,2020-11-17,2.18,2.27,2.12,2.23
1634,2020-11-16,2.21,2.23,2.1,2.2
1633,2020-11-13,2.14,2.38,2.06,2.21
1632,2020-11-12,2.35,2.375,2.03,2.12
1631,2020-11-11,3.28,3.58,3.2,3.49
1630,2020-11-10,3.55,3.7,3.28,3.29
1629,2020-11-09,4.09,4.14,3.35,3.42
1628,2020-11-06,4.3,4.46,4.01,4.32
1627,2020-11-05,3.66,4.43,3.634,4.31
1626,2020-11-04,3.55,3.8,3.46,3.6
1625,2020-11-03,3.85,3.9,3.5,3.51
1624,2020-11-02,3.73,3.9,3.61,3.75
1623,2020-10-30,3.94,4.05,3.53,3.69
1622,2020-10-29,3.505,4.03,3.4,3.98
1621,2020-10-28,3.55,3.6499,3.3,3.39
1620,2020-10-27,3.94,3.97,3.62,3.65
1619,2020-10-26,4.02,4.39,3.9,3.99
1618,2020-10-23,4.7,4.73,3.89,4.02
1617,2020-10-22,5.01,5.1,4.6,4.69
1616,2020-10-21,4.38,5.08,4.38,4.95
1615,2020-10-20,4.55,4.85,4.3,4.46
1614,2020-10-19,3.86,4.87,3.82,4.5
1613,2020-10-16,3.59,4.0,3.49,3.79
1612,2020-10-15,3.41,3.55,3.3,3.54
1611,2020-10-14,3.59,3.6,3.39,3.53
1610,2020-10-13,3.23,3.55,3.23,3.46
1609,2020-10-12,3.415,3.415,3.17,3.26
1608,2020-10-09,3.47,3.54,3.34,3.39
1607,2020-10-08,3.67,3.715,3.45,3.49
1606,2020-10-07,3.55,3.85,3.48,3.67
1605,2020-10-06,3.56,3.7,3.37,3.47
1604,2020-10-05,3.4,3.65,3.33,3.47
1603,2020-10-02,3.48,3.88,3.38,3.48
1602,2020-10-01,3.14,3.9,3.14,3.7
1601,2020-09-30,3.15,3.28,2.98,3.2
1600,2020-09-29,2.86,3.29,2.78,3.17
1599,2020-09-28,2.72,2.88,2.61,2.875
1598,2020-09-25,2.6,2.89,2.52,2.7
1597,2020-09-24,2.82,2.85,2.58,2.62
1596,2020-09-23,3.01,3.0241,2.7,2.77
1595,2020-09-22,3.08,3.34,2.94,3.05
1594,2020-09-21,2.8,3.08,2.67,3.03
