,Date,Open,High,Low,Close
5314,2020-12-14,93.93,95.96,93.93,94.61
5313,2020-12-11,92.8,95.14,92.8,93.58
5312,2020-12-10,93.72,94.33,90.09,93.49
5311,2020-12-09,88.55,95.84,88.28,94.67
5310,2020-12-08,88.71,89.19,86.62,87.48
5309,2020-12-07,87.96,89.64,86.7,89.59
5308,2020-12-04,88.12,89.59,87.0,87.57
5307,2020-12-03,87.67,89.7,87.16,87.31
5306,2020-12-02,88.9,88.9,86.865,87.76
5305,2020-12-01,89.32,89.87,87.51,89.13
5304,2020-11-30,93.0,93.21,86.58,87.51
5303,2020-11-27,91.43,93.81,90.29,92.87
5302,2020-11-25,88.82,93.2,88.82,91.65
5301,2020-11-24,102.52,103.7,88.7906,89.62
5300,2020-11-23,99.98,105.35,99.7494,104.7
5299,2020-11-20,97.66,99.11,97.07,98.45
5298,2020-11-19,95.99,99.33,95.685,98.88
5297,2020-11-18,98.57,98.57,96.51,96.7
5296,2020-11-17,95.51,98.6,93.88,97.82
5295,2020-11-16,93.9,96.49,92.78,96.28
5294,2020-11-13,89.28,92.56,88.88,91.99
5293,2020-11-12,88.75,90.775,86.5512,88.23
5292,2020-11-11,89.5,89.81,86.885,89.19
5291,2020-11-10,90.44,90.81,88.455,88.87
5290,2020-11-09,96.02,101.4,89.03,89.25
5289,2020-11-06,92.83,92.99,90.31,91.0
5288,2020-11-05,91.46,94.39,91.46,92.57
5287,2020-11-04,87.26,90.89,83.1581,90.66
5286,2020-11-03,89.37,90.475,88.5,89.05
5285,2020-11-02,83.69,87.28,82.395,87.28
5284,2020-10-30,83.19,83.3,80.725,82.61
5283,2020-10-29,80.64,84.3,79.92,83.86
5282,2020-10-28,80.32,84.317,78.986,81.16
5281,2020-10-27,83.13,84.12,82.32,82.73
5280,2020-10-26,85.32,85.53,82.17,83.42
5279,2020-10-23,87.84,87.84,85.945,86.74
5278,2020-10-22,88.86,89.0,85.325,87.0
5277,2020-10-21,90.305,91.51,87.21,88.34
5276,2020-10-20,91.73,93.975,90.94,91.78
5275,2020-10-19,93.33,93.52,90.54,90.82
5274,2020-10-16,92.33,93.64,91.335,92.95
5273,2020-10-15,88.5,92.69,88.0,92.49
5272,2020-10-14,91.19,91.6648,89.48,89.99
5271,2020-10-13,91.71,91.79,90.02,90.51
5270,2020-10-12,91.9,93.0,91.4116,92.36
5269,2020-10-09,92.35,92.74,91.0601,91.84
5268,2020-10-08,91.65,92.78,89.39,90.81
5267,2020-10-07,89.47,92.3,89.22,90.54
5266,2020-10-06,86.35,90.77,86.275,88.24
5265,2020-10-05,84.85,86.84,84.765,86.66
5264,2020-10-02,80.78,84.47,80.63,83.91
5263,2020-10-01,79.03,82.39,78.48,82.13
5262,2020-09-30,77.88,80.31,77.86,78.54
5261,2020-09-29,78.32,78.65,76.95,77.47
5260,2020-09-28,76.75,78.91,76.41,78.3
5259,2020-09-25,74.04,76.67,74.0,75.4
5258,2020-09-24,74.62,77.05,73.81,74.94
