,Date,Open,High,Low,Close
5185,2020-12-14,30.21,31.05,29.78,29.95
5184,2020-12-11,29.45,30.31,29.14,29.93
5183,2020-12-10,30.37,30.425,29.1503,29.7
5182,2020-12-09,31.33,31.74,30.28,30.57
5181,2020-12-08,29.41,31.485,29.41,31.34
5180,2020-12-07,28.93,29.886,28.875,29.65
5179,2020-12-04,28.24,29.48,28.24,29.33
5178,2020-12-03,28.41,28.63,27.58,28.25
5177,2020-12-02,27.84,28.49,27.46,28.31
5176,2020-12-01,29.68,30.008,27.07,28.2
5175,2020-11-30,29.31,30.23,28.97,29.56
5174,2020-11-27,29.26,29.67,28.775,29.48
5173,2020-11-25,29.07,29.51,28.5,29.26
5172,2020-11-24,28.8,30.11,28.52,29.19
5171,2020-11-23,28.29,28.77,27.792,28.22
5170,2020-11-20,27.58,28.1,27.2367,28.02
5169,2020-11-19,28.01,28.01,27.16,27.86
5168,2020-11-18,28.93,29.1388,28.12,28.15
5167,2020-11-17,28.24,29.5,28.19,28.82
5166,2020-11-16,28.03,28.78,27.9,28.76
5165,2020-11-13,26.76,28.0,26.55,27.8
5164,2020-11-12,27.01,27.01,26.02,26.21
5163,2020-11-11,27.32,27.32,26.25,27.22
5162,2020-11-10,25.25,27.39,25.25,27.18
5161,2020-11-09,25.96,26.36,24.79,25.21
5160,2020-11-06,26.8,27.2192,23.55,23.69
5159,2020-11-05,28.19,29.0,26.0,26.66
5158,2020-11-04,27.87,28.605,27.06,28.17
5157,2020-11-03,27.84,28.4,27.37,28.11
5156,2020-11-02,25.95,27.56,25.8,27.5
5155,2020-10-30,26.07,26.36,25.0,25.49
5154,2020-10-29,27.11,27.11,26.0,26.32
5153,2020-10-28,27.24,27.805,26.62,27.32
5152,2020-10-27,28.47,28.47,27.54,27.79
5151,2020-10-26,28.59,28.66,28.07,28.51
5150,2020-10-23,27.68,29.21,27.68,28.95
5149,2020-10-22,27.48,27.928,26.78,27.72
5148,2020-10-21,27.9,28.01,27.25,27.29
5147,2020-10-20,29.27,29.27,27.61,27.95
5146,2020-10-19,29.6,30.1965,28.895,29.0
5145,2020-10-16,29.14,30.5,29.14,29.79
5144,2020-10-15,28.5,29.42,28.13,29.21
5143,2020-10-14,28.84,29.365,28.84,29.0
5142,2020-10-13,29.59,30.255,28.81,28.99
5141,2020-10-12,30.72,30.72,30.08,30.56
5140,2020-10-09,30.5,31.2299,30.35,30.78
5139,2020-10-08,29.5,30.33,29.5,30.19
5138,2020-10-07,29.11,29.33,28.02,29.14
5137,2020-10-06,29.24,29.64,28.66,29.03
5136,2020-10-05,28.88,29.4,28.77,29.13
5135,2020-10-02,27.91,28.96,27.6,28.59
5134,2020-10-01,28.45,28.7,28.21,28.39
5133,2020-09-30,28.34,29.02,28.15,28.21
5132,2020-09-29,27.64,28.52,27.64,28.24
5131,2020-09-28,27.55,28.24,27.55,27.72
5130,2020-09-25,26.62,27.68,26.62,27.25
5129,2020-09-24,27.85,27.85,26.72,26.86
5128,2020-09-23,28.36,28.89,27.31,28.13
5127,2020-09-22,28.46,28.67,27.7,28.29
5126,2020-09-21,29.49,29.49,27.515,28.23
5125,2020-09-18,30.25,30.48,29.79,30.36
5124,2020-09-17,29.13,30.01,29.13,29.84
5123,2020-09-16,28.47,29.67,28.45,29.49
5122,2020-09-15,28.7,28.9467,28.3,28.35
5121,2020-09-14,28.04,28.58,27.4975,28.41
5120,2020-09-11,28.01,28.05,27.45,27.62
5119,2020-09-10,28.82,28.82,27.68,27.68
5118,2020-09-09,29.36,29.36,28.05,28.64
5117,2020-09-08,28.82,29.62,28.58,29.0
5116,2020-09-04,30.33,30.33,28.14,29.15
5115,2020-09-03,31.16,31.535,29.84,29.93
5114,2020-09-02,30.52,31.46,29.82,31.28
