,Date,Open,High,Low,Close
3778,2020-12-14,4.0,4.16,3.87,3.93
3777,2020-12-11,3.87,4.1406,3.86,4.04
3776,2020-12-10,3.68,3.93,3.62,3.78
3775,2020-12-09,3.97,3.97,3.57,3.62
3774,2020-12-08,3.96,4.2,3.88,3.95
3773,2020-12-07,3.82,3.97,3.82,3.94
3772,2020-12-04,3.91,4.1899,3.74,3.74
3771,2020-12-03,3.62,4.22,3.6,3.98
3770,2020-12-02,4.35,4.35,3.62,3.69
3769,2020-12-01,4.3795,4.5688,3.85,4.4
3768,2020-11-30,3.1,5.15,3.1,4.81
3767,2020-11-27,2.71,2.78,2.71,2.78
3766,2020-11-25,2.76,2.81,2.59,2.79
3765,2020-11-24,2.625,2.81,2.625,2.81
3764,2020-11-23,2.66,2.66,2.5806,2.65
3763,2020-11-20,2.67,2.67,2.55,2.55
3762,2020-11-19,2.72,2.72,2.52,2.68
3761,2020-11-18,2.52,2.7,2.52,2.7
3760,2020-11-17,2.27,2.53,2.26,2.42
3759,2020-11-16,2.25,2.325,2.19,2.3
3758,2020-11-13,2.26,2.3,2.09,2.15
3757,2020-11-12,2.14,2.3242,2.14,2.29
3756,2020-11-11,2.1,2.14,2.0642,2.14
3755,2020-11-10,2.06,2.18,1.9712,2.12
3754,2020-11-09,2.07,2.15,2.0,2.08
3753,2020-11-06,1.9,2.08,1.87,2.05
3752,2020-11-05,1.8,1.87,1.79,1.85
3751,2020-11-04,1.8,1.8,1.7749,1.8
3750,2020-11-03,1.82,1.83,1.7601,1.78
3749,2020-11-02,1.78,1.84,1.74,1.83
3748,2020-10-30,1.8,1.85,1.75,1.75
3747,2020-10-29,1.8066,1.87,1.77,1.775
3746,2020-10-28,1.705,1.84,1.6232,1.79
3745,2020-10-27,1.69,1.9199,1.61,1.73
3744,2020-10-26,1.7284,1.7399,1.69,1.69
3743,2020-10-23,1.75,1.75,1.71,1.73
3742,2020-10-22,1.69,1.76,1.69,1.71
3741,2020-10-21,1.65,1.73,1.65,1.72
3740,2020-10-20,1.73,1.76,1.67,1.67
3739,2020-10-19,1.74,1.77,1.73,1.77
3738,2020-10-16,1.68,1.76,1.68,1.745
3737,2020-10-15,1.6982,1.71,1.65,1.71
3736,2020-10-14,1.74,1.74,1.67,1.71
3735,2020-10-13,1.7,1.79,1.69,1.78
3734,2020-10-12,1.68,1.75,1.66,1.7
3733,2020-10-09,1.71,1.75,1.65,1.66
3732,2020-10-08,1.78,1.79,1.65,1.74
3731,2020-10-07,1.71,1.83,1.68,1.69
3730,2020-10-06,1.74,1.74,1.67,1.72
3729,2020-10-05,1.74,1.74,1.62,1.7
3728,2020-10-02,1.61,1.73,1.61,1.72
3727,2020-10-01,1.74,1.74,1.65,1.74
3726,2020-09-30,1.71,1.72,1.5607,1.69
3725,2020-09-29,1.41,1.68,1.4,1.67
3724,2020-09-28,1.41,1.5,1.38,1.38
3723,2020-09-25,1.46,1.55,1.4,1.41
3722,2020-09-24,1.41,1.51,1.36,1.43
3721,2020-09-23,1.4,1.41,1.38,1.39
3720,2020-09-22,1.46,1.49,1.37,1.39
3719,2020-09-21,1.48,1.48,1.4,1.4
3718,2020-09-18,1.4,1.48,1.4,1.48
3717,2020-09-17,1.34,1.41,1.34,1.37
3716,2020-09-16,1.4001,1.4501,1.4,1.4
3715,2020-09-15,1.4698,1.47,1.4,1.4
3714,2020-09-14,1.47,1.63,1.4,1.46
3713,2020-09-11,1.34,1.65,1.28,1.51
3712,2020-09-10,1.34,1.34,1.27,1.28
3711,2020-09-09,1.34,1.34,1.26,1.27
3710,2020-09-08,1.3,1.3428,1.25,1.3
3709,2020-09-04,1.37,1.37,1.3,1.33
3708,2020-09-03,1.4554,1.4554,1.3,1.31
3707,2020-09-02,1.4235,1.48,1.4,1.48
3706,2020-09-01,1.45,1.46,1.41,1.46
3705,2020-08-31,1.45,1.46,1.4,1.41
3704,2020-08-28,1.5,1.5,1.46,1.5
3703,2020-08-27,1.45,1.53,1.4,1.5
3702,2020-08-26,1.44,1.566,1.42,1.47
3701,2020-08-25,1.45,1.45,1.4,1.4001
3700,2020-08-24,1.45,1.45,1.42,1.43
3699,2020-08-21,1.4027,1.43,1.4,1.43
3698,2020-08-20,1.45,1.47,1.4,1.4
3697,2020-08-19,1.415,1.47,1.4,1.45
3696,2020-08-18,1.455,1.49,1.41,1.41
3695,2020-08-17,1.5,1.5,1.4001,1.4344
3694,2020-08-14,1.5,1.52,1.38,1.44
3693,2020-08-13,1.55,1.55,1.5,1.5
3692,2020-08-12,1.56,1.5701,1.5,1.51
3691,2020-08-11,1.59,1.61,1.52,1.59
3690,2020-08-10,1.47,1.6199,1.47,1.56
3689,2020-08-07,1.58,1.5979,1.45,1.5
3688,2020-08-06,1.6813,1.6813,1.6,1.62
3687,2020-08-05,1.65,1.68,1.61,1.68
3686,2020-08-04,1.65,1.65,1.6,1.61
3685,2020-08-03,1.62,1.64,1.55,1.64
3684,2020-07-31,1.64,1.65,1.54,1.54
3683,2020-07-30,1.68,1.7,1.58,1.59
3682,2020-07-29,1.7,1.765,1.59,1.705
3681,2020-07-28,1.69,1.82,1.69,1.71
3680,2020-07-27,1.77,1.8248,1.73,1.74
3679,2020-07-24,1.9,1.95,1.78,1.79
3678,2020-07-23,1.87,2.13,1.8029,1.88
3677,2020-07-22,1.7,1.869,1.7,1.75
3676,2020-07-21,1.65,1.68,1.57,1.65
3675,2020-07-20,1.49,1.68,1.45,1.57
3674,2020-07-17,1.42,1.45,1.39,1.41
3673,2020-07-16,1.47,1.48,1.41,1.42
3672,2020-07-15,1.45,1.47,1.45,1.45
3671,2020-07-14,1.4,1.41,1.35,1.38
3670,2020-07-13,1.49,1.49,1.4,1.4
3669,2020-07-10,1.5,1.52,1.5,1.5
3668,2020-07-09,1.59,1.59,1.5,1.5
3667,2020-07-08,1.63,1.63,1.58,1.62
3666,2020-07-07,1.73,1.78,1.63,1.63
3665,2020-07-06,1.67,1.78,1.64,1.68
3664,2020-07-02,1.61,1.67,1.6,1.67
3663,2020-07-01,1.63,1.64,1.56,1.62
3662,2020-06-30,1.65,1.65,1.62,1.64
3661,2020-06-29,1.7,1.7,1.65,1.65
3660,2020-06-26,1.67,1.77,1.6,1.65
3659,2020-06-25,1.62,1.71,1.61,1.6497
3658,2020-06-24,1.7,1.71,1.65,1.65
3657,2020-06-23,1.65,1.7,1.6,1.69
3656,2020-06-22,1.69,1.72,1.65,1.67
3655,2020-06-19,1.69,1.77,1.69,1.69
3654,2020-06-18,1.75,1.7914,1.66,1.68
3653,2020-06-17,1.8,1.82,1.72,1.73
3652,2020-06-16,1.85,1.94,1.73,1.7648
3651,2020-06-15,1.82,1.92,1.801,1.89
3650,2020-06-12,1.9,1.93,1.82,1.8711
3649,2020-06-11,1.93,1.94,1.86,1.8899
