,Date,Open,High,Low,Close
2459,2020-12-14,2.98,3.13,2.72,2.8
2458,2020-12-11,3.15,3.19,2.82,2.83
2457,2020-12-10,3.24,3.24,3.05,3.13
2456,2020-12-09,3.21,3.21,3.085,3.085
2455,2020-12-08,3.037,3.25,3.037,3.145
2454,2020-12-07,3.11,3.146,3.0,3.03
2453,2020-12-04,3.08,3.1572,3.08,3.11
2452,2020-12-03,3.25,3.25,3.0794,3.12
2451,2020-12-02,3.205,3.45,3.0,3.18
2450,2020-12-01,3.169,3.2295,3.1201,3.2
2449,2020-11-30,3.15,3.17,3.12,3.17
2448,2020-11-27,3.2,3.2,3.12,3.17
2447,2020-11-25,3.1927,3.1927,3.12,3.144
2446,2020-11-24,3.1585,3.17,3.12,3.145
2445,2020-11-23,3.12,3.15,3.1,3.135
2444,2020-11-20,3.12,3.2276,3.12,3.13
2443,2020-11-19,3.15,3.25,3.06,3.14
2442,2020-11-18,3.3,3.3,3.09,3.17
2441,2020-11-17,3.16,3.25,3.12,3.25
2440,2020-11-16,3.83,3.9,3.08,3.14
2439,2020-11-13,3.9,3.9,3.55,3.6501
2438,2020-11-12,3.65,3.9881,3.633,3.94
2437,2020-11-11,3.4611,3.65,3.4611,3.65
2436,2020-11-10,3.5,3.5573,3.45,3.5
2435,2020-11-09,3.5,3.56,3.21,3.53
2434,2020-11-06,3.38,3.46,3.35,3.38
2433,2020-11-05,3.2764,3.3888,3.2764,3.36
2432,2020-11-04,3.22,3.28,3.04,3.28
2431,2020-11-03,3.25,3.2759,3.2299,3.27
2430,2020-11-02,3.2,3.2,3.0938,3.1586
2429,2020-10-30,3.2099,3.21,3.021,3.12
2428,2020-10-29,3.2,3.3088,3.125,3.21
2427,2020-10-28,3.04,3.04,2.96,3.0
2426,2020-10-27,3.3,3.33,3.135,3.16
2425,2020-10-26,3.5,3.5,3.33,3.34
2424,2020-10-23,3.49,3.53,3.4,3.48
2423,2020-10-22,3.47,3.57,3.45,3.45
2422,2020-10-21,3.53,3.53,3.3,3.47
2421,2020-10-20,3.53,3.56,3.41,3.47
2420,2020-10-19,3.42,3.55,3.3201,3.44
