,Date,Open,High,Low,Close
5314,2020-12-14,74.68,78.27,74.68,74.91
5313,2020-12-11,73.64,75.03,72.66,74.06
5312,2020-12-10,68.49,74.11,68.1366,74.005
5311,2020-12-09,68.66,72.17,67.9781,68.9
5310,2020-12-08,66.17,68.34,65.7033,68.18
5309,2020-12-07,65.2,66.72,64.35,65.85
5308,2020-12-04,63.93,65.57,63.0335,65.29
5307,2020-12-03,64.43,65.0,63.5,63.98
5306,2020-12-02,62.03,65.0,61.21,64.72
5305,2020-12-01,63.34,63.94,61.96,62.64
5304,2020-11-30,63.25,65.62,61.92,62.53
5303,2020-11-27,57.01,63.0,56.9474,62.99
5302,2020-11-25,60.17,60.17,56.05,57.02
5301,2020-11-24,65.5,66.75,58.02,60.39
5300,2020-11-23,68.26,69.5644,66.56,68.2
5299,2020-11-20,68.07,69.3,66.8539,68.8
5298,2020-11-19,69.64,72.5,68.38,68.92
5297,2020-11-18,70.96,72.48,67.63,68.36
5296,2020-11-17,68.46,71.45,67.64,70.79
5295,2020-11-16,70.0,70.9029,67.4,69.07
5294,2020-11-13,70.08,70.98,68.43,68.54
5293,2020-11-12,69.56,71.6205,68.92,69.23
5292,2020-11-11,68.65,70.4799,68.3,69.56
5291,2020-11-10,68.52,69.26,66.81,68.68
5290,2020-11-09,69.38,70.4,67.52,68.1
5289,2020-11-06,66.41,66.93,64.54,66.45
5288,2020-11-05,65.0,66.12,62.7611,65.97
5287,2020-11-04,59.2,64.96,59.2,64.34
5286,2020-11-03,59.31,60.29,57.341,59.47
5285,2020-11-02,57.72,58.9,56.8,58.22
5284,2020-10-30,57.13,58.58,55.57,57.3
5283,2020-10-29,59.86,59.87,56.72,58.09
5282,2020-10-28,60.28,60.82,58.12,59.42
5281,2020-10-27,59.69,62.75,58.815,61.69
5280,2020-10-26,58.25,60.49,57.95,59.1
5279,2020-10-23,58.6,59.035,57.35,58.88
5278,2020-10-22,57.27,59.85,57.01,58.56
5277,2020-10-21,54.79,58.5,54.4213,56.72
5276,2020-10-20,50.08,54.94,49.5,54.74
5275,2020-10-19,49.18,52.0,48.21,50.08
5274,2020-10-16,48.85,50.7,48.39,49.38
5273,2020-10-15,48.19,50.86,46.11,48.85
5272,2020-10-14,46.27,46.71,44.29,44.46
5271,2020-10-13,46.18,47.19,45.65,46.52
5270,2020-10-12,46.67,47.01,45.14,46.39
5269,2020-10-09,48.21,48.59,45.79,46.05
5268,2020-10-08,51.3425,51.3425,47.24,48.01
5267,2020-10-07,46.42,48.34,46.2079,48.1
5266,2020-10-06,46.97,48.4599,46.08,46.405
5265,2020-10-05,44.19,47.27,44.19,47.11
5264,2020-10-02,43.75,44.7,42.44,43.82
5263,2020-10-01,43.12,45.44,42.97,44.76
5262,2020-09-30,43.64,44.36,42.65,43.06
5261,2020-09-29,43.61,44.29,43.22,43.42
5260,2020-09-28,45.17,45.17,42.4,43.68
5259,2020-09-25,43.98,45.1,43.65,44.915
5258,2020-09-24,44.17,45.73,42.99,44.31
5257,2020-09-23,43.51,45.8167,43.28,44.64
5256,2020-09-22,42.25,44.1,41.6,43.8
5255,2020-09-21,41.67,43.56,41.26,41.71
5254,2020-09-18,46.4741,46.4894,41.76,43.1
5253,2020-09-17,46.36,48.95,45.55,45.75
5252,2020-09-16,40.05,53.12,40.05,47.43
5251,2020-09-15,34.48,34.96,33.61,33.8
5250,2020-09-14,33.86,34.68,33.22,34.04
5249,2020-09-11,35.53,35.66,32.86,33.21
5248,2020-09-10,36.3189,37.805,34.9,35.2
5247,2020-09-09,35.77,36.71,35.21,36.14
5246,2020-09-08,35.25,36.8,34.5495,35.47
5245,2020-09-04,37.5,37.98,34.002,36.04
5244,2020-09-03,39.5,39.605,36.75,37.06
5243,2020-09-02,39.01,40.063,37.6601,39.83
5242,2020-09-01,41.88,42.74,38.89,39.0
5241,2020-08-31,42.58,43.64,42.05,42.24
5240,2020-08-28,42.0,43.01,41.52,41.97
5239,2020-08-27,42.62,42.67,40.33,41.84
5238,2020-08-26,43.24,43.83,42.23,42.37
5237,2020-08-25,42.74,43.63,42.165,43.33
5236,2020-08-24,43.33,43.365,41.52,42.86
5235,2020-08-21,42.8,43.3116,42.085,42.49
5234,2020-08-20,44.44,44.8,41.98,43.06
5233,2020-08-19,44.83,45.73,43.76,44.97
5232,2020-08-18,45.77,46.4011,43.35,44.54
5231,2020-08-17,42.15,46.54,42.15,45.7
5230,2020-08-14,42.61,42.85,41.4,42.01
5229,2020-08-13,42.45,42.91,40.81,42.71
5228,2020-08-12,40.63,43.015,40.63,42.81
5227,2020-08-11,41.17,42.18,40.21,40.58
5226,2020-08-10,40.07,40.78,39.61,40.37
5225,2020-08-07,41.5,42.0,39.56,40.23
5224,2020-08-06,43.09,44.39,40.01,41.02
5223,2020-08-05,44.72,44.72,42.67,43.56
5222,2020-08-04,44.0,44.63,43.29,44.12
5221,2020-08-03,43.41,44.49,42.88,44.38
5220,2020-07-31,45.55,45.8,42.62,43.07
5219,2020-07-30,43.67,46.0,43.27,45.45
5218,2020-07-29,45.77,46.3,44.0,44.3
5217,2020-07-28,48.25,48.4899,45.47,45.51
5216,2020-07-27,46.49,48.44,46.0,48.34
5215,2020-07-24,45.72,46.82,45.0401,46.21
5214,2020-07-23,48.8,49.4,46.32,46.66
