,Date,Open,High,Low,Close
201,2020-12-14,11.3,11.43,11.01,11.03
200,2020-12-11,11.27,11.35,11.13,11.25
199,2020-12-10,11.05,11.47,10.96,11.46
198,2020-12-09,11.2,11.39,11.05,11.09
197,2020-12-08,11.25,11.5,11.13,11.22
196,2020-12-07,11.29,11.35,11.06,11.25
195,2020-12-04,11.25,11.5,11.23,11.46
194,2020-12-03,11.06,11.5,11.05,11.21
193,2020-12-02,10.79,11.03,10.63,10.95
192,2020-12-01,11.5,11.5,10.78,10.83
191,2020-11-30,11.69,11.69,11.26,11.32
190,2020-11-27,11.92,11.92,11.69,11.7
189,2020-11-25,11.72,11.97,11.59,11.92
188,2020-11-24,11.75,12.1,11.69,11.77
187,2020-11-23,11.93,11.93,11.65,11.75
186,2020-11-20,11.66,11.89,11.53,11.76
185,2020-11-19,11.5,11.8,11.41,11.72
184,2020-11-18,11.8,12.0,11.47,11.51
183,2020-11-17,11.27,11.74,11.18,11.7
182,2020-11-16,11.37,11.49,11.12,11.44
181,2020-11-13,10.49,11.14,10.4708,11.03
180,2020-11-12,10.9,11.06,10.39,10.44
179,2020-11-11,10.58,11.0,10.5,10.95
178,2020-11-10,10.61,10.69,10.02,10.51
177,2020-11-09,10.05,10.54,9.835,10.51
176,2020-11-06,9.57,9.67,9.41,9.47
175,2020-11-05,9.4,9.73,9.4,9.57
174,2020-11-04,9.47,9.56,9.17,9.37
173,2020-11-03,9.2,9.56,9.19,9.51
172,2020-11-02,8.78,9.15,8.75,9.1
171,2020-10-30,8.86,8.86,8.58,8.63
170,2020-10-29,8.5,8.915,8.46,8.87
169,2020-10-28,9.04,9.17,8.5,8.56
168,2020-10-27,9.06,9.29,8.94,9.26
167,2020-10-26,9.31,9.31,8.95,8.99
166,2020-10-23,9.3,9.51,9.23,9.37
165,2020-10-22,9.4,9.55,9.26,9.3
164,2020-10-21,9.56,9.59,9.2702,9.31
163,2020-10-20,9.34,9.59,9.34,9.55
162,2020-10-19,9.62,9.66,9.28,9.3
161,2020-10-16,10.06,10.18,9.57,9.71
160,2020-10-15,9.38,10.06,9.27,10.03
159,2020-10-14,9.21,9.67,9.21,9.49
158,2020-10-13,9.35,9.45,9.2,9.34
157,2020-10-12,9.29,9.4736,9.17,9.35
156,2020-10-09,9.36,9.41,9.09,9.28
155,2020-10-08,9.29,9.29,9.06,9.25
154,2020-10-07,8.96,9.265,8.9104,9.16
153,2020-10-06,9.32,9.32,8.82,8.85
152,2020-10-05,9.21,9.32,9.2,9.25
151,2020-10-02,8.86,9.07,8.86,9.05
150,2020-10-01,8.94,9.06,8.9,9.05
149,2020-09-30,8.76,9.23,8.76,8.94
148,2020-09-29,8.78,8.9718,8.68,8.76
147,2020-09-28,8.8,8.99,8.62,8.7
146,2020-09-25,8.88,8.94,8.66,8.73
145,2020-09-24,8.72,9.03,8.56,8.91
144,2020-09-23,8.83,9.0,8.67,8.7
143,2020-09-22,9.06,9.07,8.83,8.84
142,2020-09-21,9.47,9.515,8.93,8.93
141,2020-09-18,9.72,9.8,9.48,9.78
140,2020-09-17,9.72,9.86,9.57,9.74
139,2020-09-16,9.66,9.96,9.5175,9.82
138,2020-09-15,9.68,9.8,9.49,9.68
137,2020-09-14,9.46,9.51,9.3,9.4
136,2020-09-11,9.1,9.45,9.1,9.33
135,2020-09-10,8.92,9.553,8.92,9.23
134,2020-09-09,8.7,9.02,8.69,8.91
133,2020-09-08,8.9,8.915,8.62,8.65
132,2020-09-04,8.6,9.0,8.57,8.94
131,2020-09-03,8.5,8.78,8.5,8.59
130,2020-09-02,8.49,8.66,8.4,8.53
129,2020-09-01,8.51,8.57,8.31,8.55
128,2020-08-31,8.68,8.715,8.51,8.63
127,2020-08-28,8.25,8.61,8.25,8.59
126,2020-08-27,8.55,8.58,8.175,8.25
125,2020-08-26,8.19,8.72,8.19,8.55
124,2020-08-25,8.39,8.51,8.15,8.21
123,2020-08-24,8.28,8.5,8.2,8.38
122,2020-08-21,8.17,8.23,8.115,8.17
121,2020-08-20,8.12,8.243,8.09,8.19
120,2020-08-19,8.47,8.51,8.1121,8.22
119,2020-08-18,8.57,8.605,8.43,8.47
118,2020-08-17,8.84,8.86,8.45,8.63
117,2020-08-14,8.37,8.85,8.36,8.78
116,2020-08-13,8.22,8.62,8.2,8.47
115,2020-08-12,8.89,8.89,8.19,8.35
114,2020-08-11,8.5,8.98,8.266,8.5
113,2020-08-10,7.61,7.94,7.6,7.77
112,2020-08-07,7.3,7.6342,7.26,7.55
111,2020-08-06,7.16,7.39,7.16,7.29
110,2020-08-05,7.07,7.24,7.02,7.19
109,2020-08-04,6.99,7.24,6.98,7.11
108,2020-08-03,7.11,7.18,6.96,7.04
107,2020-07-31,7.04,7.17,6.92,7.11
106,2020-07-30,7.12,7.1974,7.0,7.1
105,2020-07-29,7.24,7.325,7.09,7.24
104,2020-07-28,7.27,7.35,7.09,7.2
103,2020-07-27,7.24,7.43,7.16,7.32
102,2020-07-24,7.65,7.8,7.23,7.27
101,2020-07-23,7.22,7.69,7.1,7.64
100,2020-07-22,7.01,7.12,7.01,7.08
