,Date,Open,High,Low,Close
3429,2020-12-14,20.6,20.6098,20.55,20.6098
3428,2020-12-11,20.65,20.65,20.65,20.65
3427,2020-12-10,20.65,20.7822,20.65,20.7822
3426,2020-12-09,20.78,20.85,20.7,20.72
3425,2020-12-08,20.75,20.88,20.75,20.8
3424,2020-12-07,20.87,20.87,20.7716,20.86
3423,2020-12-04,20.86,20.86,20.75,20.76
3422,2020-12-03,20.85,20.85,20.75,20.75
3421,2020-12-02,20.85,20.85,20.75,20.8
3420,2020-12-01,20.775,20.85,20.75,20.7501
3419,2020-11-30,20.65,20.8071,20.65,20.8
3418,2020-11-27,20.725,20.725,20.725,20.725
3417,2020-11-25,20.65,20.85,20.65,20.85
3416,2020-11-24,20.83,20.85,20.7743,20.7743
3415,2020-11-23,20.75,20.85,20.73,20.73
3414,2020-11-20,20.75,20.89,20.68,20.7375
3413,2020-11-19,20.65,20.74,20.55,20.66
3412,2020-11-18,20.69,20.74,20.65,20.73
3411,2020-11-17,20.55,20.75,20.55,20.68
3410,2020-11-16,20.75,20.75,20.51,20.62
3409,2020-11-13,20.6,20.75,20.6,20.67
3408,2020-11-12,20.51,20.51,20.51,20.51
3407,2020-11-11,20.47,20.51,20.47,20.51
3406,2020-11-10,20.6,20.6,20.48,20.49
3405,2020-11-09,20.65,20.65,20.57,20.57
3404,2020-11-06,20.61,20.63,20.61,20.63
3403,2020-11-05,20.5,20.65,20.5,20.64
3402,2020-11-04,20.45,20.65,20.4,20.4001
3401,2020-11-03,20.5,20.5,20.37,20.37
3400,2020-11-02,20.5,20.5,20.4,20.4
3399,2020-10-30,20.4,20.5,20.4,20.5
3398,2020-10-29,20.43,20.5499,20.42,20.5499
3397,2020-10-28,20.35,20.55,20.35,20.452
3396,2020-10-27,20.5,20.5,20.4,20.42
3395,2020-10-26,20.48,20.4999,20.45,20.4998
3394,2020-10-23,20.52,20.65,20.2,20.2
3393,2020-10-22,20.65,20.65,20.52,20.63
3392,2020-10-21,20.57,20.65,20.56,20.64
3391,2020-10-20,20.65,20.65,20.51,20.5716
3390,2020-10-19,20.34,20.65,20.34,20.65
3389,2020-10-16,20.5,20.535,20.4,20.4
3388,2020-10-15,20.4,20.5,20.3,20.5
3387,2020-10-14,20.5,20.5,20.42,20.42
3386,2020-10-13,20.42,20.81,20.4,20.62
3385,2020-10-12,20.11,21.0,20.1,20.57
3384,2020-10-09,14.99,15.075,14.815,15.075
3383,2020-10-08,14.73,15.26,14.7,14.73
3382,2020-10-07,14.6,14.775,14.38,14.71
3381,2020-10-06,14.95,14.95,14.63,14.95
3380,2020-10-05,14.9,14.95,14.9,14.9401
3379,2020-10-02,14.2,14.95,14.2,14.75
3378,2020-10-01,14.5,14.95,14.15,14.545
3377,2020-09-30,14.61,14.8,14.61,14.8
3376,2020-09-29,14.12,14.37,14.12,14.25
3375,2020-09-28,14.6,14.6,14.32,14.32
3374,2020-09-25,15.0,15.0,14.648,14.7
3373,2020-09-24,15.0,15.0,14.7895,14.7895
3372,2020-09-23,14.96,14.99,14.5,14.9
3371,2020-09-22,14.6,14.859,14.5,14.859
3370,2020-09-21,14.2,14.31,14.14,14.2
3369,2020-09-18,13.96,14.31,13.75,14.3099
3368,2020-09-17,14.52,14.62,14.52,14.62
3367,2020-09-16,14.5,14.69,14.452,14.5023
3366,2020-09-15,14.51,14.535,14.2,14.2
3365,2020-09-14,14.02,14.15,14.02,14.14
3364,2020-09-11,13.91,13.91,13.91,13.91
3363,2020-09-10,13.81,13.985,13.8,13.8
3362,2020-09-09,14.32,14.32,13.925,13.925
3361,2020-09-08,13.75,13.8,13.75,13.8
3360,2020-09-04,13.62,13.9,13.26,13.26
3359,2020-09-03,13.58,13.7,13.58,13.7
3358,2020-09-02,13.56,13.83,13.56,13.8063
3357,2020-09-01,13.9,14.035,13.16,13.8906
3356,2020-08-31,14.02,14.1357,13.7,14.08
3355,2020-08-28,14.7,15.6543,13.7,14.5
3354,2020-08-27,14.41,14.65,14.41,14.65
3353,2020-08-26,14.81,14.81,14.41,14.7999
3352,2020-08-25,14.5,14.6,14.5,14.504
3351,2020-08-24,15.01,15.01,14.75,14.75
3350,2020-08-21,14.65,14.88,14.4,14.88
3349,2020-08-20,14.705,14.705,14.705,14.705
3348,2020-08-19,14.9,14.9,14.75,14.75
3347,2020-08-18,14.82,15.45,14.2,14.575
3346,2020-08-17,15.0,15.0,14.56,14.5662
3345,2020-08-14,14.97,14.97,14.97,14.97
3344,2020-08-13,14.37,14.415,13.7401,14.37
3343,2020-08-12,14.37,14.695,14.37,14.37
3342,2020-08-11,14.38,14.6,14.37,14.37
3341,2020-08-10,15.65,15.93,14.5,14.67
3340,2020-08-07,15.29,15.29,14.79,15.01
3339,2020-08-06,15.59,16.06,15.3118,15.45
3338,2020-08-05,16.575,16.575,15.41,15.41
3337,2020-08-04,16.82,16.82,16.65,16.65
3336,2020-08-03,16.77,16.8,16.15,16.8
3335,2020-07-31,16.45,16.84,16.4203,16.6
3334,2020-07-30,17.36,17.42,17.065,17.065
3333,2020-07-29,17.33,17.33,17.02,17.02
3332,2020-07-28,16.59,17.31,16.59,17.31
3331,2020-07-27,17.06,17.06,16.56,16.56
3330,2020-07-24,17.02,17.02,16.5,16.5
3329,2020-07-23,16.9,16.972,16.465,16.972
3328,2020-07-22,17.51,18.0,16.415,17.1807
3327,2020-07-21,17.26,17.68,17.26,17.51
3326,2020-07-20,18.0,18.0,16.5,16.5
3325,2020-07-17,17.25,17.25,16.91,16.91
3324,2020-07-16,16.82,16.99,16.63,16.99
3323,2020-07-15,16.86,16.86,16.21,16.8
3322,2020-07-14,15.74,16.15,15.35,16.15
3321,2020-07-13,15.96,17.01,15.18,15.91
3320,2020-07-10,15.15,15.95,15.15,15.26
3319,2020-07-09,15.24,15.5,14.79,14.79
3318,2020-07-08,15.22,15.22,14.5,14.5
3317,2020-07-07,15.63,15.63,14.97,15.04
3316,2020-07-06,14.53,14.89,14.53,14.88
3315,2020-07-02,14.99,14.99,14.99,14.99
3314,2020-07-01,15.5,15.56,14.48,14.93
3313,2020-06-30,14.53,15.78,14.53,15.78
3312,2020-06-29,14.02,15.28,14.01,14.89
3311,2020-06-26,14.32,15.0,13.8,14.89
3310,2020-06-25,13.95,14.3,13.46,14.0
3309,2020-06-24,12.82,13.36,12.82,13.36
3308,2020-06-23,13.45,13.45,13.2196,13.3941
3307,2020-06-22,13.42,13.53,13.22,13.22
3306,2020-06-19,13.4,13.4,12.81,12.88
3305,2020-06-18,12.5,12.95,12.5,12.95
3304,2020-06-17,14.68,15.014,12.49,12.49
3303,2020-06-16,14.5,14.7,14.5,14.7
3302,2020-06-15,13.27,14.0027,12.97,14.0027
3301,2020-06-12,14.26,14.26,13.3701,13.3701
3300,2020-06-11,14.65,14.65,13.68,13.7
3299,2020-06-10,14.26,14.65,13.91,14.65
3298,2020-06-09,15.5,15.5,14.834,14.9613
3297,2020-06-08,14.76,15.23,14.3149,15.23
3296,2020-06-05,14.0,14.76,14.0,14.76
3295,2020-06-04,14.85,14.85,14.53,14.57
3294,2020-06-03,13.5,14.85,13.5,14.85
3293,2020-06-02,14.6,14.7739,14.6,14.7739
3292,2020-06-01,14.72,14.76,14.42,14.55
3291,2020-05-29,14.85,14.85,14.717,14.717
3290,2020-05-28,14.01,14.01,14.01,14.01
3289,2020-05-27,15.01,15.01,14.1785,14.18
3288,2020-05-26,14.5992,14.5992,14.5992,14.5992
3287,2020-05-22,13.8501,13.8501,13.8501,13.8501
3286,2020-05-21,14.05,14.73,13.85,13.8501
3285,2020-05-20,13.6,13.6,13.0,13.029
3284,2020-05-19,13.28,13.58,12.7201,12.7201
3283,2020-05-18,13.5999,13.5999,13.2712,13.2712
