,Date,Open,High,Low,Close
5314,2020-12-14,3.6,3.62,3.5,3.53
5313,2020-12-11,3.3982,3.58,3.3982,3.58
5312,2020-12-10,3.52,3.5631,3.41,3.5202
5311,2020-12-09,3.54,3.59,3.45,3.53
5310,2020-12-08,3.405,3.54,3.36,3.5
5309,2020-12-07,3.47,3.5392,3.3,3.42
5308,2020-12-04,3.34,3.43,3.31,3.42
5307,2020-12-03,3.2,3.48,3.16,3.35
5306,2020-12-02,3.14,3.2,3.0509,3.2
5305,2020-12-01,3.0296,3.13,3.0296,3.13
5304,2020-11-30,3.1,3.12,3.03,3.07
5303,2020-11-27,3.13,3.13,3.0102,3.0999
5302,2020-11-25,3.0,3.11,3.0,3.11
5301,2020-11-24,3.07,3.11,2.9846,3.0808
5300,2020-11-23,2.72,3.1,2.72,3.01
5299,2020-11-20,2.7,2.71,2.65,2.69
5298,2020-11-19,2.68,2.8,2.62,2.68
5297,2020-11-18,2.79,2.98,2.63,2.73
5296,2020-11-17,2.67,2.67,2.5502,2.6
5295,2020-11-16,2.68,2.69,2.59,2.61
5294,2020-11-13,2.71,2.71,2.64,2.67
5293,2020-11-12,2.7,2.7325,2.64,2.67
5292,2020-11-11,2.7054,2.7336,2.6811,2.7
5291,2020-11-10,2.6574,2.75,2.62,2.71
5290,2020-11-09,2.6,2.68,2.6,2.68
5289,2020-11-06,2.6109,2.65,2.6002,2.64
5288,2020-11-05,2.63,2.665,2.61,2.65
5287,2020-11-04,2.5705,2.72,2.57,2.72
5286,2020-11-03,2.65,2.7222,2.54,2.595
5285,2020-11-02,2.69,2.69,2.55,2.64
5284,2020-10-30,2.63,2.8,2.54,2.64
5283,2020-10-29,2.7,2.7,2.56,2.66
5282,2020-10-28,2.62,2.81,2.5945,2.66
5281,2020-10-27,2.6,2.7,2.5984,2.63
5280,2020-10-26,2.64,2.645,2.56,2.56
5279,2020-10-23,2.65,2.7,2.61,2.61
5278,2020-10-22,2.638,2.66,2.61,2.61
5277,2020-10-21,2.61,2.6956,2.61,2.64
5276,2020-10-20,2.68,2.69,2.62,2.64
5275,2020-10-19,2.65,2.665,2.61,2.61
5274,2020-10-16,2.65,2.71,2.65,2.68
5273,2020-10-15,2.68,2.75,2.68,2.71
5272,2020-10-14,2.7343,2.75,2.67,2.67
5271,2020-10-13,2.69,2.755,2.65,2.72
5270,2020-10-12,2.67,2.75,2.6623,2.7
5269,2020-10-09,2.8,2.82,2.66,2.69
5268,2020-10-08,2.7,2.98,2.65,2.73
5267,2020-10-07,2.68,2.76,2.6791,2.737
5266,2020-10-06,2.74,2.8,2.67,2.67
5265,2020-10-05,2.74,2.79,2.67,2.69
5264,2020-10-02,2.595,2.77,2.595,2.73
5263,2020-10-01,2.71,2.75,2.65,2.65
5262,2020-09-30,2.73,2.76,2.7,2.7
5261,2020-09-29,2.78,2.79,2.7,2.75
