,Date,Open,High,Low,Close
5313,2020-12-14,2.39,2.39,2.2,2.28
5312,2020-12-11,2.49,2.49,2.24,2.26
5311,2020-12-10,2.36,2.39,2.24,2.39
5310,2020-12-09,2.276,2.47,2.2678,2.39
5309,2020-12-08,2.26,2.3,2.25,2.27
5308,2020-12-07,2.18,2.3,2.16,2.3
5307,2020-12-04,2.14,2.24,2.12,2.185
5306,2020-12-03,2.23,2.23,2.14,2.14
5305,2020-12-02,2.1,2.25,2.1,2.18
5304,2020-12-01,2.2,2.2,2.1,2.12
5303,2020-11-30,2.295,2.295,2.12,2.12
5302,2020-11-27,2.25,2.31,2.25,2.27
5301,2020-11-25,2.33,2.33,2.23,2.2699
5300,2020-11-24,2.34,2.34,2.2201,2.29
5299,2020-11-23,2.17,2.45,2.15,2.25
5298,2020-11-20,2.19,2.19,2.08,2.1402
5297,2020-11-19,2.1,2.29,2.1,2.16
5296,2020-11-18,2.12,2.12,2.08,2.11
5295,2020-11-17,2.04,2.15,1.96,2.12
5294,2020-11-16,2.12,2.12,1.95,1.95
5293,2020-11-13,2.1,2.24,1.91,2.1
5292,2020-11-12,1.96,1.97,1.845,1.86
5291,2020-11-11,1.88,1.96,1.85,1.92
5290,2020-11-10,1.84,2.06,1.83,1.89
5289,2020-11-09,1.78,1.92,1.78,1.86
5288,2020-11-06,1.7753,1.92,1.7753,1.89
5287,2020-11-05,1.78,1.87,1.75,1.842
5286,2020-11-04,1.87,1.87,1.78,1.79
5285,2020-11-03,1.73,1.87,1.73,1.84
5284,2020-11-02,1.72,1.8,1.71,1.75
5283,2020-10-30,1.81,1.82,1.7,1.7
5282,2020-10-29,1.81,1.85,1.74,1.79
5281,2020-10-28,1.9,1.9421,1.69,1.74
5280,2020-10-27,1.87,2.2399,1.82,1.91
5279,2020-10-26,2.0,2.08,1.8419,1.86
5278,2020-10-23,1.92,2.08,1.9,2.03
5277,2020-10-22,1.8526,1.97,1.8526,1.89
5276,2020-10-21,1.89,1.92,1.81,1.86
5275,2020-10-20,1.93,1.93,1.83,1.87
5274,2020-10-19,1.82,2.09,1.8,1.94
5273,2020-10-16,1.85,1.8503,1.7601,1.82
5272,2020-10-15,1.77,1.9598,1.69,1.87
5271,2020-10-14,1.81,1.99,1.7623,1.82
5270,2020-10-13,1.75,1.85,1.745,1.78
5269,2020-10-12,1.72,1.89,1.72,1.75
5268,2020-10-09,1.78,2.11,1.73,1.79
5267,2020-10-08,1.66,1.8505,1.66,1.8
5266,2020-10-07,1.66,1.7,1.63,1.7
5265,2020-10-06,1.6528,1.75,1.6399,1.65
5264,2020-10-05,1.63,1.74,1.62,1.62
5263,2020-10-02,1.62,1.75,1.57,1.6693
5262,2020-10-01,1.75,1.85,1.61,1.68
5261,2020-09-30,1.7,1.935,1.6,1.75
5260,2020-09-29,1.55,2.33,1.55,2.07
5259,2020-09-28,1.47,1.58,1.44,1.5484
5258,2020-09-25,1.41,1.49,1.41,1.46
5257,2020-09-24,1.45,1.5,1.4,1.472
5256,2020-09-23,1.4832,1.65,1.45,1.4537
5255,2020-09-22,1.48,1.48,1.4601,1.48
5254,2020-09-21,1.48,1.495,1.46,1.48
