,Date,Open,High,Low,Close
404,2020-12-14,5.59,5.8299,5.5,5.66
403,2020-12-11,5.63,5.7483,5.44,5.5
402,2020-12-10,5.38,5.67,5.26,5.64
401,2020-12-09,5.66,5.69,5.27,5.38
400,2020-12-08,5.52,5.6581,5.43,5.6
399,2020-12-07,5.63,5.73,5.48,5.52
398,2020-12-04,5.4,5.66,5.35,5.57
397,2020-12-03,5.46,5.5599,5.39,5.4
396,2020-12-02,5.31,5.54,5.19,5.46
395,2020-12-01,5.78,5.78,5.31,5.31
394,2020-11-30,5.74,5.91,5.6324,5.7
393,2020-11-27,5.64,5.85,5.64,5.74
392,2020-11-25,5.97,6.04,5.55,5.65
391,2020-11-24,5.5,6.0,5.4319,5.97
390,2020-11-23,5.45,5.5,5.35,5.39
389,2020-11-20,5.32,5.39,5.22,5.35
388,2020-11-19,5.41,5.5,5.26,5.41
387,2020-11-18,5.45,5.45,5.23,5.28
386,2020-11-17,5.4,5.4,5.13,5.21
385,2020-11-16,5.19,5.4,5.01,5.33
384,2020-11-13,5.27,5.43,5.19,5.29
383,2020-11-12,5.45,5.5,4.9,5.15
382,2020-11-11,5.05,5.35,4.84,5.33
381,2020-11-10,4.9,5.16,4.7,5.04
380,2020-11-09,4.79,4.93,4.7,4.79
379,2020-11-06,4.72,4.79,4.6,4.61
378,2020-11-05,4.8,4.96,4.72,4.75
377,2020-11-04,4.64,4.85,4.5101,4.81
376,2020-11-03,4.57,4.69,4.47,4.63
375,2020-11-02,4.25,4.51,4.25,4.51
374,2020-10-30,4.545,4.545,4.2,4.24
373,2020-10-29,4.56,4.56,4.27,4.42
372,2020-10-28,4.75,4.75,4.32,4.4
371,2020-10-27,4.75,4.8,4.6701,4.75
370,2020-10-26,4.44,4.49,4.315,4.43
369,2020-10-23,4.52,4.56,4.44,4.45
368,2020-10-22,4.46,4.58,4.415,4.5
367,2020-10-21,4.51,4.5999,4.4,4.47
366,2020-10-20,4.67,4.735,4.5,4.53
365,2020-10-19,4.87,4.9,4.6,4.62
364,2020-10-16,4.82,4.9499,4.72,4.82
363,2020-10-15,4.9,4.905,4.61,4.84
362,2020-10-14,5.02,5.08,4.89,4.94
361,2020-10-13,4.93,5.08,4.875,5.07
360,2020-10-12,4.99,5.01,4.8735,4.93
359,2020-10-09,5.08,5.1138,4.895,4.93
358,2020-10-08,5.07,5.15,4.93,5.06
357,2020-10-07,4.84,4.99,4.8,4.96
356,2020-10-06,4.84,4.99,4.76,4.79
355,2020-10-05,4.81,4.85,4.71,4.83
354,2020-10-02,4.61,4.785,4.55,4.71
353,2020-10-01,4.62,4.72,4.51,4.7
352,2020-09-30,4.7,4.78,4.55,4.62
351,2020-09-29,4.62,4.76,4.56,4.69
350,2020-09-28,4.82,4.82,4.5,4.64
349,2020-09-25,4.31,4.75,4.31,4.71
348,2020-09-24,4.435,4.435,4.07,4.12
347,2020-09-23,4.63,4.63,4.28,4.29
346,2020-09-22,4.61,4.74,4.16,4.7
345,2020-09-21,4.72,4.72,4.51,4.66
344,2020-09-18,4.8,4.95,4.7,4.81
343,2020-09-17,4.69,4.85,4.63,4.775
342,2020-09-16,4.73,4.87,4.7,4.725
341,2020-09-15,4.83,4.97,4.71,4.73
340,2020-09-14,4.64,4.99,4.6,4.86
339,2020-09-11,4.7,4.71,4.55,4.55
338,2020-09-10,4.76,4.93,4.67,4.68
337,2020-09-09,4.69,4.83,4.6,4.68
336,2020-09-08,4.43,4.74,4.26,4.67
335,2020-09-04,4.53,4.53,4.15,4.42
334,2020-09-03,4.65,4.81,4.45,4.48
333,2020-09-02,4.87,4.87,4.5,4.67
332,2020-09-01,5.09,5.09,4.82,4.89
331,2020-08-31,5.1,5.1,4.88,5.0
330,2020-08-28,5.15,5.2099,5.0,5.075
329,2020-08-27,5.37,5.4,5.06,5.17
328,2020-08-26,5.37,5.42,5.2,5.32
327,2020-08-25,5.27,5.37,5.18,5.34
326,2020-08-24,5.42,5.42,5.05,5.25
325,2020-08-21,5.61,5.644,5.16,5.32
324,2020-08-20,5.64,5.75,5.36,5.69
323,2020-08-19,5.87,5.87,5.3,5.73
322,2020-08-18,5.92,5.95,5.62,5.76
321,2020-08-17,5.99,5.99,5.72,5.91
320,2020-08-14,5.5,5.78,5.45,5.71
319,2020-08-13,5.9,6.01,5.21,5.43
318,2020-08-12,5.8,6.19,5.62,5.89
317,2020-08-11,5.29,5.6793,5.19,5.48
316,2020-08-10,5.19,5.25,4.9801,5.24
315,2020-08-07,5.22,5.2357,5.02,5.155
314,2020-08-06,5.21,5.34,5.1,5.23
313,2020-08-05,5.35,5.5,5.06,5.3
312,2020-08-04,5.01,5.28,4.95,5.22
311,2020-08-03,4.84,5.02,4.58,4.98
310,2020-07-31,4.75,4.8,4.4298,4.49
309,2020-07-30,4.5,4.72,4.36,4.61
308,2020-07-29,4.61,4.67,4.46,4.51
307,2020-07-28,4.27,4.55,4.19,4.5
306,2020-07-27,4.35,4.51,4.16,4.2
305,2020-07-24,4.51,4.65,4.3738,4.41
304,2020-07-23,4.62,4.79,4.5,4.51
303,2020-07-22,4.77,4.8,4.5,4.62
302,2020-07-21,5.02,5.14,4.77,4.8
301,2020-07-20,5.19,5.32,4.84,4.95
300,2020-07-17,4.68,5.11,4.65,5.11
299,2020-07-16,4.44,4.8,4.35,4.69
298,2020-07-15,4.35,4.67,4.1,4.435
297,2020-07-14,4.35,4.57,4.25,4.29
296,2020-07-13,5.14,5.14,4.48,4.49
295,2020-07-10,5.19,5.27,4.96,5.09
294,2020-07-09,5.17,5.26,5.06,5.14
293,2020-07-08,5.09,5.15,5.01,5.15
292,2020-07-07,5.17,5.21,4.96,5.04
291,2020-07-06,5.41,5.429,4.97,5.08
290,2020-07-02,5.45,5.505,5.25,5.29
289,2020-07-01,5.48,5.637,5.42,5.48
288,2020-06-30,5.5,5.96,5.36,5.53
287,2020-06-29,5.14,5.255,4.95,5.22
286,2020-06-26,5.29,5.475,4.9,5.08
285,2020-06-25,5.29,5.49,4.82,5.29
284,2020-06-24,5.36,5.36,4.925,5.0
283,2020-06-23,5.71,5.77,5.11,5.39
282,2020-06-22,5.75,5.8,5.57,5.7
281,2020-06-19,5.83,5.9,5.52,5.83
280,2020-06-18,5.53,5.82,5.53,5.75
279,2020-06-17,5.46,5.65,5.32,5.53
278,2020-06-16,5.45,5.495,5.09,5.39
277,2020-06-15,4.97,5.48,4.96,5.44
276,2020-06-12,5.01,5.0759,4.755,5.02
275,2020-06-11,5.22,5.22,4.77,4.83
274,2020-06-10,5.65,5.65,5.25,5.32
273,2020-06-09,5.64,5.83,5.54,5.63
272,2020-06-08,5.32,5.7,5.19,5.59
271,2020-06-05,5.57,5.68,5.18,5.33
270,2020-06-04,5.71,5.845,5.375,5.5
269,2020-06-03,5.92,6.03,5.75,5.79
268,2020-06-02,6.0,6.04,5.67,5.96
267,2020-06-01,6.2,6.255,5.66,6.03
266,2020-05-29,5.68,6.19,5.61,6.0
265,2020-05-28,5.85,6.35,5.55,5.67
264,2020-05-27,5.55,5.5677,4.8001,5.17
263,2020-05-26,6.58,6.7442,5.44,5.45
262,2020-05-22,5.57,6.66,5.5696,6.2
261,2020-05-21,4.58,5.43,4.5672,5.25
260,2020-05-20,4.22,4.35,4.13,4.2
259,2020-05-19,4.13,4.435,4.11,4.22
258,2020-05-18,4.08,4.26,3.9,4.11
257,2020-05-15,4.57,4.57,3.91,3.97
256,2020-05-14,5.21,5.6,4.11,4.39
255,2020-05-13,5.99,6.01,5.12,5.34
254,2020-05-12,7.11,7.2898,5.88,5.99
253,2020-05-11,7.21,7.73,6.5325,7.7
252,2020-05-08,6.8,7.55,6.6868,7.33
251,2020-05-07,5.86,6.72,5.86,6.7
250,2020-05-06,6.0,7.24,5.18,5.65
249,2020-05-05,4.75,4.9,4.532,4.86
248,2020-05-04,4.8,4.83,4.5,4.78
247,2020-05-01,4.65,4.9,4.5201,4.83
246,2020-04-30,4.76,4.85,4.3919,4.66
245,2020-04-29,4.9,4.9,4.645,4.88
244,2020-04-28,5.0,5.0,4.5,4.72
243,2020-04-27,4.39,4.98,4.39,4.9
242,2020-04-24,4.47,4.5,4.25,4.37
241,2020-04-23,4.32,4.5,4.231,4.38
240,2020-04-22,4.04,4.2,3.9425,4.18
239,2020-04-21,3.92,4.0,3.702,3.92
238,2020-04-20,3.58,3.9,3.51,3.8
237,2020-04-17,3.51,3.6,3.3367,3.5
236,2020-04-16,3.36,3.63,3.2901,3.47
235,2020-04-15,3.28,3.5,3.25,3.25
234,2020-04-14,3.46,3.62,3.43,3.44
233,2020-04-13,3.46,3.46,3.2903,3.42
232,2020-04-09,3.56,3.56,3.35,3.49
231,2020-04-08,3.49,3.5,3.14,3.46
230,2020-04-07,3.5,3.5499,3.35,3.42
229,2020-04-06,3.42,3.5,3.34,3.5
228,2020-04-03,2.8,3.43,2.8,3.38
227,2020-04-02,2.89,3.3733,2.8,3.24
226,2020-04-01,3.25,3.43,2.94,2.94
225,2020-03-31,3.33,3.42,3.2,3.42
224,2020-03-30,2.81,3.5,2.81,3.4
223,2020-03-27,3.02,3.02,2.6,2.61
222,2020-03-26,2.815,2.99,2.7496,2.98
221,2020-03-25,2.965,2.965,2.46,2.8
220,2020-03-24,2.91,2.95,2.7065,2.95
219,2020-03-23,3.04,3.35,2.45,2.7
218,2020-03-20,2.29,3.05,2.28,3.0
217,2020-03-19,2.97,2.97,2.25,2.39
216,2020-03-18,2.25,2.6,2.25,2.25
215,2020-03-17,2.66,2.915,2.25,2.4
214,2020-03-16,2.3,3.0,2.25,2.49
213,2020-03-13,2.909,3.0896,2.865,3.08
212,2020-03-12,3.09,3.18,2.86,2.86
211,2020-03-11,3.24,3.435,3.23,3.32
210,2020-03-10,3.37,3.37,3.23,3.27
209,2020-03-09,3.36,3.59,3.23,3.31
208,2020-03-06,3.62,4.1493,3.62,3.76
207,2020-03-05,3.5,3.85,3.5,3.58
206,2020-03-04,3.81,3.81,3.35,3.45
205,2020-03-03,4.0,4.0,3.33,3.38
204,2020-03-02,3.78,3.99,3.61,3.8
203,2020-02-28,3.65,3.8,3.615,3.765
202,2020-02-27,3.69,3.7418,3.554,3.63
201,2020-02-26,4.512,4.512,3.7,3.73
200,2020-02-25,4.725,4.73,4.5,4.54
199,2020-02-24,4.95,5.0,4.6,4.6
198,2020-02-21,4.88,4.99,4.8798,4.95
197,2020-02-20,4.6,4.8298,4.6,4.75
196,2020-02-19,4.67,4.6792,4.61,4.62
195,2020-02-18,4.795,4.795,4.6,4.61
194,2020-02-14,4.65,4.74,4.6,4.64
193,2020-02-13,4.61,4.8076,4.6,4.68
192,2020-02-12,4.7825,4.7825,4.6,4.72
191,2020-02-11,4.68,4.8798,4.65,4.66
190,2020-02-10,4.7348,4.7356,4.62,4.71
189,2020-02-07,4.8769,4.99,4.76,4.85
188,2020-02-06,4.88,4.95,4.74,4.91
187,2020-02-05,4.8,4.88,4.67,4.84
186,2020-02-04,4.83,4.86,4.67,4.75
185,2020-02-03,4.89,4.98,4.83,4.85
184,2020-01-31,4.86,4.98,4.82,4.84
183,2020-01-30,5.02,5.3281,4.84,4.85
182,2020-01-29,5.25,5.3525,5.001,5.07
181,2020-01-28,5.33,5.46,5.16,5.21
180,2020-01-27,5.08,5.29,4.94,5.24
179,2020-01-24,5.0,5.12,4.92,5.09
178,2020-01-23,4.99,5.12,4.9,5.08
177,2020-01-22,5.16,5.29,5.07,5.08
176,2020-01-21,4.99,5.29,4.99,5.06
175,2020-01-17,4.96,5.18,4.78,4.98
174,2020-01-16,4.54,4.95,4.5236,4.88
173,2020-01-15,4.72,5.2091,4.255,4.57
172,2020-01-14,4.91,4.96,4.08,4.67
171,2020-01-13,5.0,5.04,4.77,4.9
170,2020-01-10,4.96,5.0,4.95,4.99
169,2020-01-09,4.69,5.32,4.6401,4.98
168,2020-01-08,4.5,4.62,4.1578,4.58
167,2020-01-07,4.02,4.1195,3.88,4.09
166,2020-01-06,4.0,4.12,3.9472,3.97
165,2020-01-03,3.95,4.2,3.891,3.92
164,2020-01-02,3.88,4.2,3.88,4.12
163,2019-12-31,3.72,4.01,3.63,4.01
162,2019-12-30,3.89,4.22,3.6297,3.7
161,2019-12-27,4.01,4.3899,3.8,3.83
160,2019-12-26,3.56,4.29,3.56,4.1
159,2019-12-24,3.48,3.61,3.46,3.56
158,2019-12-23,3.45,3.69,3.42,3.45
157,2019-12-20,3.38,3.59,3.33,3.41
156,2019-12-19,3.4285,3.48,3.35,3.39
155,2019-12-18,3.49,3.5,3.4,3.4
154,2019-12-17,3.4313,3.5,3.36,3.41
153,2019-12-16,3.47,3.6,3.36,3.36
152,2019-12-13,3.53,3.575,3.4,3.48
151,2019-12-12,3.51,3.6291,3.38,3.55
150,2019-12-11,3.47,3.6722,3.43,3.535
149,2019-12-10,3.47,3.735,3.33,3.49
148,2019-12-09,3.33,3.75,3.33,3.5
147,2019-12-06,4.34,4.34,3.42,3.59
146,2019-12-05,4.58,4.87,4.25,4.49
145,2019-12-04,4.79,4.7999,4.41,4.62
