,Date,Open,High,Low,Close
554,2020-12-14,25.75,25.75,25.59,25.59
553,2020-12-11,25.7,25.7973,25.7,25.745
552,2020-12-10,25.79,25.8,25.65,25.71
551,2020-12-09,25.861,25.861,25.7,25.83
550,2020-12-08,25.65,25.68,25.65,25.67
549,2020-12-07,25.65,25.87,25.65,25.68
548,2020-12-04,25.75,25.75,25.7,25.7
547,2020-12-03,25.65,25.8229,25.65,25.795
546,2020-12-02,25.64,25.97,25.62,25.65
545,2020-12-01,25.86,25.87,25.86,25.87
544,2020-11-30,26.0,26.0,25.84,25.86
543,2020-11-27,25.96,25.96,25.96,25.96
542,2020-11-25,25.96,25.96,25.96,25.96
541,2020-11-24,26.01,26.03,26.0,26.03
540,2020-11-23,25.81,26.335,25.81,26.2
539,2020-11-20,25.6,26.6,25.59,25.65
538,2020-11-19,25.75,25.75,25.75,25.75
537,2020-11-18,25.72,25.75,25.6,25.75
536,2020-11-17,25.66,25.75,25.59,25.59
535,2020-11-16,25.63,25.63,25.5,25.63
534,2020-11-13,25.54,25.625,25.54,25.54
533,2020-11-12,25.76,25.95,25.54,25.541
532,2020-11-11,26.24,26.65,26.24,26.65
531,2020-11-10,25.71,26.98,25.71,25.75
530,2020-11-09,25.67,25.84,25.67,25.84
529,2020-11-06,25.6,25.6,25.6,25.6
528,2020-11-05,25.45,25.6,25.45,25.6
527,2020-11-04,25.615,25.615,25.49,25.55
526,2020-11-03,25.45,25.45,25.45,25.45
525,2020-11-02,25.5221,25.55,25.5,25.55
524,2020-10-30,25.65,25.65,25.35,25.39
523,2020-10-29,25.3815,25.65,25.3815,25.65
522,2020-10-28,25.45,25.7,25.45,25.7
521,2020-10-27,25.36,25.36,25.36,25.36
520,2020-10-26,25.36,25.36,25.36,25.36
519,2020-10-23,25.47,25.5,25.47,25.5
518,2020-10-22,25.33,25.37,25.3,25.37
517,2020-10-21,25.5,25.5,25.5,25.5
516,2020-10-20,25.5,25.5,25.5,25.5
515,2020-10-19,25.35,25.75,25.3,25.31
514,2020-10-16,25.66,25.75,25.5,25.7
513,2020-10-15,25.3131,25.6391,25.3131,25.4798
512,2020-10-14,25.6459,25.6459,25.6459,25.6459
511,2020-10-13,25.4948,25.4948,25.4948,25.4948
510,2020-10-12,25.5,25.67,25.48,25.48
509,2020-10-09,25.5,25.5,25.5,25.5
508,2020-10-08,25.4998,25.56,25.4998,25.5
507,2020-10-07,25.56,25.56,25.4636,25.4636
506,2020-10-06,25.4,25.4225,25.4,25.4225
505,2020-10-05,25.4,25.5451,25.4,25.5
504,2020-10-02,25.4,25.4,25.4,25.4
503,2020-10-01,25.4,25.51,25.4,25.5
502,2020-09-30,25.72,25.72,25.45,25.72
501,2020-09-29,25.43,27.06,25.2018,25.52
500,2020-09-28,25.22,25.6,25.21,25.6
499,2020-09-25,25.3698,25.3698,25.11,25.11
498,2020-09-24,25.16,25.2,25.12,25.12
497,2020-09-23,25.15,25.15,25.15,25.15
496,2020-09-22,25.3,25.3,25.16,25.3
495,2020-09-21,25.2,25.38,25.15,25.32
494,2020-09-18,25.21,25.25,25.15,25.25
493,2020-09-17,25.37,25.37,25.21,25.21
492,2020-09-16,25.5499,25.5499,25.3,25.3
491,2020-09-15,25.3905,25.57,25.3,25.3001
490,2020-09-14,25.44,25.44,25.32,25.4125
489,2020-09-11,25.389,25.389,25.389,25.389
488,2020-09-10,25.41,25.5,25.29,25.389
487,2020-09-09,25.71,25.71,25.46,25.6542
486,2020-09-08,25.31,25.88,25.3,25.88
485,2020-09-04,25.47,25.47,25.47,25.47
484,2020-09-03,25.65,25.65,25.6267,25.6267
483,2020-09-02,25.4,25.9094,25.4,25.41
482,2020-09-01,25.44,26.0,25.4,25.4
481,2020-08-31,25.68,25.7,25.68,25.7
480,2020-08-28,25.5,25.5,25.5,25.5
479,2020-08-27,25.7,25.7,25.7,25.7
478,2020-08-26,25.52,25.8,25.52,25.7
477,2020-08-25,25.65,25.65,25.2137,25.26
476,2020-08-24,25.37,25.7,25.37,25.5
475,2020-08-21,25.44,25.5,25.3732,25.3732
474,2020-08-20,25.64,25.64,25.55,25.55
473,2020-08-19,25.2501,25.87,25.2501,25.7
472,2020-08-18,25.2501,25.47,25.2501,25.35
471,2020-08-17,25.41,25.95,25.31,25.31
470,2020-08-14,25.27,25.43,25.2602,25.35
469,2020-08-13,25.46,25.64,25.25,25.6
468,2020-08-12,25.46,25.81,25.442,25.7
467,2020-08-11,25.47,25.5768,25.47,25.5589
466,2020-08-10,25.3,25.65,25.3,25.49
465,2020-08-07,25.35,25.49,25.32,25.34
464,2020-08-06,25.47,25.48,25.25,25.4
