,Date,Open,High,Low,Close
555,2020-12-14,36.27,36.44,35.4,35.45
554,2020-12-11,35.36,35.8981,35.24,35.76
553,2020-12-10,35.47,35.69,34.92,35.58
552,2020-12-09,36.0,36.49,35.56,35.58
551,2020-12-08,35.17,35.9,35.17,35.43
550,2020-12-07,34.71,35.86,34.5,35.64
549,2020-12-04,34.93,35.1,34.35,35.05
548,2020-12-03,34.3,34.58,33.95,34.16
547,2020-12-02,33.83,34.57,33.51,34.31
546,2020-12-01,34.25,34.87,33.52,33.72
545,2020-11-30,34.84,34.84,33.31,33.5
544,2020-11-27,35.41,35.84,34.53,34.9
543,2020-11-25,35.36,35.9,34.83,35.81
542,2020-11-24,34.4,35.505,34.06,35.47
541,2020-11-23,33.3,33.91,33.12,33.85
540,2020-11-20,33.38,33.38,32.48,32.84
539,2020-11-19,33.79,33.95,33.0,33.5
538,2020-11-18,34.66,34.9,33.97,34.0
537,2020-11-17,33.96,34.63,33.2,34.54
536,2020-11-16,34.04,34.37,33.44,34.17
535,2020-11-13,32.35,32.98,32.25,32.8
534,2020-11-12,32.24,32.24,31.31,31.88
533,2020-11-11,33.19,33.28,32.26,32.84
532,2020-11-10,32.46,34.2,32.29,33.08
531,2020-11-09,30.0,33.43,30.0,32.57
530,2020-11-06,29.27,29.3233,28.44,28.48
529,2020-11-05,28.29,29.4,28.29,29.09
528,2020-11-04,28.63,29.0,27.88,28.31
527,2020-11-03,29.0,29.675,28.86,29.46
526,2020-11-02,27.92,28.595,27.68,28.49
525,2020-10-30,27.03,28.89,27.03,27.26
524,2020-10-29,25.71,26.32,25.5,26.15
523,2020-10-28,25.87,26.48,25.72,26.0
522,2020-10-27,27.32,27.6,26.57,26.58
521,2020-10-26,27.35,27.47,26.98,27.42
520,2020-10-23,27.77,28.28,27.57,27.81
519,2020-10-22,26.88,27.79,26.88,27.53
518,2020-10-21,26.66,26.9,26.59,26.69
517,2020-10-20,26.91,27.2555,26.63,26.66
516,2020-10-19,26.67,27.14,26.51,26.6
515,2020-10-16,26.49,26.77,26.16,26.46
514,2020-10-15,25.78,26.65,25.74,26.62
513,2020-10-14,26.23,26.47,26.01,26.01
512,2020-10-13,26.4,26.52,26.09,26.33
511,2020-10-12,26.06,26.84,25.92,26.68
510,2020-10-09,26.85,26.9,26.15,26.2
509,2020-10-08,25.97,26.54,25.71,26.44
508,2020-10-07,25.77,26.32,25.37,25.62
507,2020-10-06,25.49,26.45,25.17,25.54
506,2020-10-05,24.88,25.2,24.7,25.11
505,2020-10-02,23.19,24.58,23.1388,24.47
504,2020-10-01,23.33,23.66,22.85,23.61
503,2020-09-30,23.59,24.0,23.215,23.31
502,2020-09-29,23.73,23.73,23.15,23.42
501,2020-09-28,22.94,23.92,22.94,23.69
500,2020-09-25,21.67,22.67,21.67,22.54
499,2020-09-24,21.72,22.47,21.27,21.95
498,2020-09-23,22.54,22.95,21.54,21.55
497,2020-09-22,22.89,23.31,21.85,22.36
496,2020-09-21,22.44,23.03,22.05,23.03
495,2020-09-18,23.7,23.7,22.76,23.11
494,2020-09-17,23.5,23.9,23.265,23.6
493,2020-09-16,23.48,24.15,23.19,23.93
492,2020-09-15,23.93,23.93,23.28,23.35
491,2020-09-14,23.85,24.13,23.66,23.93
490,2020-09-11,23.43,23.98,23.11,23.7
489,2020-09-10,23.91,23.91,23.13,23.31
488,2020-09-09,24.19,24.19,23.3344,23.61
487,2020-09-08,24.61,24.61,23.59,23.94
486,2020-09-04,25.38,25.57,24.45,24.91
485,2020-09-03,25.1,25.78,24.58,24.7
484,2020-09-02,24.83,25.015,24.63,24.95
483,2020-09-01,24.5,25.11,24.35,24.81
482,2020-08-31,25.16,25.37,24.76,24.78
481,2020-08-28,25.39,25.44,24.9001,25.35
480,2020-08-27,25.04,25.73,24.5,25.38
479,2020-08-26,25.27,25.36,24.68,24.78
478,2020-08-25,25.49,25.71,25.05,25.37
477,2020-08-24,24.3,25.21,24.05,25.16
476,2020-08-21,23.99,24.45,23.98,24.13
475,2020-08-20,24.03,24.5,23.95,24.26
474,2020-08-19,24.4,24.84,24.19,24.52
473,2020-08-18,24.82,24.825,24.0464,24.18
472,2020-08-17,24.76,24.89,24.4,24.87
471,2020-08-14,24.36,25.14,24.17,24.89
470,2020-08-13,24.85,25.05,24.44,24.59
469,2020-08-12,25.93,26.23,24.6,25.05
468,2020-08-11,25.37,25.93,25.21,25.37
467,2020-08-10,24.14,25.14,24.14,24.75
466,2020-08-07,23.4,24.08,23.16,24.08
465,2020-08-06,22.99,23.6,22.7529,23.41
464,2020-08-05,22.48,23.07,22.26,23.01
463,2020-08-04,22.1,22.27,21.84,22.18
462,2020-08-03,22.29,22.4,21.88,22.11
461,2020-07-31,22.21,22.442,21.66,22.41
460,2020-07-30,21.97,23.18,21.75,22.57
459,2020-07-29,20.48,21.39,20.42,21.2
458,2020-07-28,20.44,20.93,20.44,20.53
457,2020-07-27,20.61,20.8,20.21,20.67
456,2020-07-24,20.99,21.1102,20.64,20.71
455,2020-07-23,20.36,21.27,20.36,21.1
454,2020-07-22,20.87,21.025,20.37,20.53
453,2020-07-21,20.34,21.24,20.34,21.22
452,2020-07-20,20.34,20.5,20.04,20.15
451,2020-07-17,21.21,21.24,20.5,20.61
450,2020-07-16,21.13,21.65,20.85,21.23
449,2020-07-15,20.48,21.61,20.17,21.48
448,2020-07-14,20.01,20.23,19.5,19.73
447,2020-07-13,20.25,20.5,19.74,20.13
446,2020-07-10,19.66,20.18,19.56,20.16
445,2020-07-09,19.95,20.05,18.97,19.55
444,2020-07-08,20.03,20.38,19.46,19.99
443,2020-07-07,20.52,20.68,20.03,20.17
442,2020-07-06,21.67,21.96,20.6,20.84
441,2020-07-02,21.63,21.94,21.06,21.15
440,2020-07-01,22.0,22.17,20.63,20.87
439,2020-06-30,21.24,22.16,21.11,22.08
438,2020-06-29,19.94,21.55,19.9,21.51
437,2020-06-26,19.96,20.06,19.19,19.75
436,2020-06-25,19.96,20.57,19.72,20.28
435,2020-06-24,20.59,20.64,19.69,20.14
434,2020-06-23,21.9,22.1,20.92,21.09
433,2020-06-22,20.76,21.53,20.4,21.33
432,2020-06-19,21.87,21.88,20.745,21.02
431,2020-06-18,21.36,22.15,21.35,21.5
430,2020-06-17,22.87,22.87,21.7,21.85
429,2020-06-16,22.95,23.025,21.815,22.68
428,2020-06-15,20.31,22.04,20.31,21.7
427,2020-06-12,22.47,22.47,20.73,21.47
426,2020-06-11,21.83,22.16,21.09,21.13
425,2020-06-10,24.74,24.74,23.32,23.38
424,2020-06-09,24.99,25.78,24.34,25.01
423,2020-06-08,25.74,26.06,25.03,25.25
422,2020-06-05,25.21,25.83,24.85,25.13
421,2020-06-04,22.53,23.94,22.17,23.93
420,2020-06-03,22.23,23.28,22.17,22.79
419,2020-06-02,22.18,22.28,21.41,21.55
418,2020-06-01,22.0,22.82,21.68,21.7
417,2020-05-29,21.58,22.39,21.18,21.8
416,2020-05-28,24.0,24.05,21.98,22.08
415,2020-05-27,23.1,23.79,22.68,23.74
414,2020-05-26,21.09,22.45,20.92,22.13
413,2020-05-22,20.73,20.96,19.99,20.28
412,2020-05-21,20.21,20.99,20.21,20.62
411,2020-05-20,20.1,20.85,19.99,20.16
410,2020-05-19,20.66,21.16,19.62,19.64
409,2020-05-18,20.05,21.09,19.73,21.01
408,2020-05-15,18.73,19.07,18.24,18.77
407,2020-05-14,17.95,19.04,17.14,18.97
406,2020-05-13,19.23,19.23,18.23,18.6
405,2020-05-12,20.85,21.0,19.26,19.35
404,2020-05-11,21.47,21.47,20.71,20.74
403,2020-05-08,21.16,22.1,20.955,22.05
402,2020-05-07,20.59,21.2,20.34,20.48
401,2020-05-06,20.94,21.2644,20.1,20.12
400,2020-05-05,22.36,22.495,20.87,20.88
399,2020-05-04,21.36,21.88,21.11,21.79
398,2020-05-01,22.5,22.5,21.2,21.95
397,2020-04-30,23.71,24.29,22.35,23.05
396,2020-04-29,20.58,21.92,20.575,21.56
395,2020-04-28,19.88,20.3,19.24,19.91
394,2020-04-27,17.81,19.26,17.81,18.94
393,2020-04-24,17.36,17.81,16.94,17.61
392,2020-04-23,17.24,17.8699,17.18,17.22
391,2020-04-22,17.74,17.9,17.04,17.09
390,2020-04-21,16.61,17.38,16.5,17.17
389,2020-04-20,17.12,18.09,16.81,17.46
388,2020-04-17,17.42,18.05,17.2801,17.81
387,2020-04-16,16.8,16.91,15.9,16.51
386,2020-04-15,17.11,17.3866,16.64,17.0
385,2020-04-14,18.75,18.79,17.61,18.14
384,2020-04-13,20.0,20.2,17.85,18.07
383,2020-04-09,19.37,20.38,19.128,20.35
382,2020-04-08,18.15,19.215,17.91,18.5
381,2020-04-07,18.42,19.38,17.41,17.71
380,2020-04-06,15.68,17.59,15.68,17.53
379,2020-04-03,16.33,16.81,14.63,14.86
378,2020-04-02,16.16,17.28,15.72,16.66
377,2020-04-01,17.14,17.67,16.25,16.45
376,2020-03-31,18.26,18.69,17.58,18.13
375,2020-03-30,17.96,18.55,17.3812,18.43
374,2020-03-27,17.68,18.73,17.5,18.18
373,2020-03-26,17.37,18.62,17.0659,18.62
372,2020-03-25,17.17,18.16,16.37,17.21
371,2020-03-24,15.09,17.09,15.02,17.05
370,2020-03-23,15.48,15.74,14.01,14.59
369,2020-03-20,16.51,16.69,14.22,15.55
368,2020-03-19,14.67,17.27,13.685,16.44
367,2020-03-18,15.7,16.71,14.11,14.86
366,2020-03-17,16.04,17.09,15.01,16.84
365,2020-03-16,16.2,16.86,15.5,15.75
364,2020-03-13,17.86,18.98,17.01,18.92
363,2020-03-12,17.27,18.22,16.2,17.02
362,2020-03-11,20.03,20.2,18.34,18.51
361,2020-03-10,20.24,20.76,19.63,20.63
360,2020-03-09,20.0,20.5,17.07,19.32
359,2020-03-06,22.43,23.05,21.61,22.13
358,2020-03-05,23.22,23.4436,22.56,23.36
357,2020-03-04,23.63,24.0167,23.0,23.96
356,2020-03-03,25.75,25.77,23.33,23.59
355,2020-03-02,24.94,25.98,24.61,25.93
354,2020-02-28,23.97,25.25,23.81,24.91
353,2020-02-27,25.14,25.556,24.235,24.81
352,2020-02-26,26.16,26.205,25.59,25.76
351,2020-02-25,26.93,26.93,25.85,26.0
350,2020-02-24,27.1,27.2,26.71,26.94
349,2020-02-21,28.5,28.506,27.91,28.07
348,2020-02-20,28.15,28.62,28.15,28.53
347,2020-02-19,28.59,28.78,28.3,28.34
346,2020-02-18,29.33,29.4,28.399,28.42
345,2020-02-14,29.29,29.41,28.97,29.31
344,2020-02-13,28.75,29.27,28.7,29.27
343,2020-02-12,28.65,28.97,28.52,28.8
342,2020-02-11,28.54,28.9474,28.42,28.43
341,2020-02-10,28.42,28.63,28.4,28.54
340,2020-02-07,28.58,28.92,28.42,28.54
339,2020-02-06,28.7,28.89,28.3524,28.8
338,2020-02-05,28.76,28.93,27.69,28.65
337,2020-02-04,28.38,28.72,28.19,28.38
336,2020-02-03,27.53,27.965,27.2701,27.87
335,2020-01-31,28.25,28.36,28.015,28.17
334,2020-01-30,27.44,28.79,27.01,28.43
333,2020-01-29,28.14,28.17,26.97,27.01
332,2020-01-28,28.18,28.48,28.0,28.1
331,2020-01-27,27.76,28.3,27.76,27.96
330,2020-01-24,29.44,29.48,28.2,28.45
329,2020-01-23,30.07,30.11,28.71,29.49
328,2020-01-22,30.16,30.51,30.0316,30.28
327,2020-01-21,30.27,30.42,29.96,30.06
326,2020-01-17,30.51,30.54,30.22,30.45
325,2020-01-16,29.95,30.49,29.88,30.32
324,2020-01-15,29.66,29.89,29.48,29.81
323,2020-01-14,29.45,30.18,29.4,29.82
322,2020-01-13,29.5,29.54,29.17,29.41
321,2020-01-10,29.5,29.67,29.25,29.57
320,2020-01-09,29.51,29.64,29.3,29.51
319,2020-01-08,29.17,29.42,29.02,29.32
318,2020-01-07,29.77,29.77,29.069,29.15
317,2020-01-06,29.48,29.75,29.19,29.65
316,2020-01-03,29.51,29.93,29.4795,29.91
315,2020-01-02,30.37,30.4156,29.77,30.04
314,2019-12-31,30.47,30.69,30.24,30.28
313,2019-12-30,30.33,30.73,30.3,30.48
312,2019-12-27,30.6,30.62,30.27,30.4
311,2019-12-26,30.31,30.6,30.1,30.41
310,2019-12-24,30.25,30.38,30.12,30.31
309,2019-12-23,30.2,30.38,30.08,30.24
308,2019-12-20,30.41,30.72,30.18,30.2
307,2019-12-19,30.38,30.45,30.16,30.35
306,2019-12-18,30.41,30.55,30.18,30.34
305,2019-12-17,29.83,30.27,29.7,30.19
304,2019-12-16,29.74,30.0,29.63,29.78
303,2019-12-13,29.25,29.59,29.12,29.44
302,2019-12-12,28.62,29.5,28.62,29.29
301,2019-12-11,28.79,28.98,28.522,28.6
300,2019-12-10,29.03,29.16,28.59,28.7
299,2019-12-09,28.86,29.21,28.85,29.04
298,2019-12-06,29.24,29.6,28.93,28.99
297,2019-12-05,29.0,29.08,28.735,28.81
296,2019-12-04,28.79,29.22,28.72,28.81
295,2019-12-03,28.6,28.86,28.22,28.66
294,2019-12-02,29.53,29.62,28.781,28.96
293,2019-11-29,29.34,29.54,29.14,29.45
292,2019-11-27,29.64,29.74,29.3182,29.42
291,2019-11-26,29.49,29.8,29.25,29.43
290,2019-11-25,29.14,29.8,29.02,29.58
289,2019-11-22,28.21,29.19,28.02,29.12
288,2019-11-21,28.69,28.69,28.03,28.08
287,2019-11-20,28.96,29.12,28.28,28.59
286,2019-11-19,29.05,29.32,28.76,29.12
