,Date,Open,High,Low,Close
5314,2020-12-14,59.15,59.37,56.39,56.49
5313,2020-12-11,57.85,59.605,57.7501,58.3
5312,2020-12-10,57.74,59.06,57.74,58.64
5311,2020-12-09,58.5,59.67,58.225,58.56
5310,2020-12-08,58.53,59.36,57.5801,58.33
5309,2020-12-07,57.14,59.02,57.14,58.79
5308,2020-12-04,57.28,57.66,56.5,57.66
5307,2020-12-03,56.71,57.25,56.08,56.47
5306,2020-12-02,54.22,58.07,54.22,56.77
5305,2020-12-01,55.64,55.645,54.125,54.51
5304,2020-11-30,56.82,57.03,54.15,54.23
5303,2020-11-27,57.37,57.97,56.58,57.25
5302,2020-11-25,56.53,58.05,56.325,57.75
5301,2020-11-24,56.3,57.87,55.275,57.58
5300,2020-11-23,55.05,55.37,54.39,54.95
5299,2020-11-20,54.1,55.38,53.29,54.18
5298,2020-11-19,54.62,55.07,53.535,54.94
5297,2020-11-18,56.61,57.03,54.55,54.58
5296,2020-11-17,55.31,56.5213,54.01,56.08
5295,2020-11-16,54.91,56.23,54.4555,56.22
5294,2020-11-13,51.32,53.46,51.32,52.95
5293,2020-11-12,51.87,52.57,50.01,50.59
5292,2020-11-11,55.09,55.09,52.01,52.68
5291,2020-11-10,53.0,55.37,52.28,54.94
5290,2020-11-09,48.44,53.34,46.73,52.09
5289,2020-11-06,45.58,45.735,44.24,44.51
5288,2020-11-05,43.01,45.47,42.8999,45.3
5287,2020-11-04,45.65,45.97,43.03,43.14
5286,2020-11-03,46.0,46.8,45.49,46.46
5285,2020-11-02,45.0,45.54,44.5,45.43
5284,2020-10-30,43.94,44.86,43.94,44.45
5283,2020-10-29,43.06,44.375,42.38,44.23
5282,2020-10-28,43.21,43.67,42.98,43.06
5281,2020-10-27,45.58,45.58,44.06,44.12
5280,2020-10-26,45.96,45.96,45.21,45.77
5279,2020-10-23,47.69,48.01,45.95,46.23
5278,2020-10-22,45.81,47.275,45.6,47.11
5277,2020-10-21,44.56,45.72,44.56,45.62
5276,2020-10-20,44.74,45.4,44.23,44.72
5275,2020-10-19,43.83,44.66,43.69,44.18
5274,2020-10-16,42.1,44.2,42.1,43.82
5273,2020-10-15,42.89,44.37,42.58,44.31
5272,2020-10-14,44.04,44.46,43.56,43.58
5271,2020-10-13,44.97,44.97,43.88,44.16
5270,2020-10-12,44.46,45.12,43.88,45.1
5269,2020-10-09,45.54,45.54,44.42,44.56
5268,2020-10-08,44.81,45.28,44.26,44.95
5267,2020-10-07,44.16,44.69,43.63,44.42
5266,2020-10-06,44.15,45.31,43.45,43.55
5265,2020-10-05,42.77,43.7,42.77,43.51
5264,2020-10-02,40.53,42.45,40.53,42.27
5263,2020-10-01,40.74,41.23,40.07,40.94
5262,2020-09-30,41.03,41.58,40.57,40.84
5261,2020-09-29,41.09,41.09,39.88,40.78
5260,2020-09-28,40.94,42.0,40.94,41.55
5259,2020-09-25,39.33,40.42,39.33,40.34
5258,2020-09-24,39.36,40.76,39.2513,39.82
5257,2020-09-23,39.9,40.67,39.2,39.2
5256,2020-09-22,41.34,41.975,39.55,39.93
5255,2020-09-21,42.27,42.51,40.48,41.19
5254,2020-09-18,44.07,44.155,42.66,43.46
5253,2020-09-17,43.68,44.0,43.36,43.63
5252,2020-09-16,45.46,45.46,43.59,44.22
5251,2020-09-15,44.96,45.44,43.65,43.74
5250,2020-09-14,43.88,45.13,43.77,44.82
5249,2020-09-11,43.51,43.995,43.03,43.55
5248,2020-09-10,44.53,44.66,43.45,43.455
5247,2020-09-09,44.63,44.78,43.89,44.32
5246,2020-09-08,44.35,45.01,43.52,44.15
5245,2020-09-04,45.33,45.77,44.435,44.89
5244,2020-09-03,44.59,46.19,44.29,44.41
5243,2020-09-02,43.76,44.877,43.62,44.54
5242,2020-09-01,43.79,45.17,43.495,43.95
5241,2020-08-31,44.65,44.84,44.0,44.0
5240,2020-08-28,45.31,45.71,44.57,44.84
5239,2020-08-27,44.39,45.7,44.39,44.9
5238,2020-08-26,46.05,46.05,44.225,44.25
5237,2020-08-25,46.7,46.7,45.6,46.08
5236,2020-08-24,44.66,46.19,44.13,46.19
5235,2020-08-21,44.33,44.45,43.58,44.23
5234,2020-08-20,44.28,44.82,44.02,44.46
5233,2020-08-19,43.97,45.16,43.85,44.86
5232,2020-08-18,45.12,45.12,43.86,44.06
5231,2020-08-17,45.29,45.44,44.75,44.94
5230,2020-08-14,44.61,45.86,44.3,45.58
5229,2020-08-13,45.19,45.33,44.6,45.0
5228,2020-08-12,46.89,46.89,44.58,45.61
5227,2020-08-11,46.11,46.95,45.54,45.87
5226,2020-08-10,45.19,46.25,44.9,45.33
5225,2020-08-07,42.64,44.95,42.58,44.84
5224,2020-08-06,42.67,43.59,42.61,42.88
5223,2020-08-05,42.55,43.22,42.42,43.08
5222,2020-08-04,43.02,43.41,42.0,42.37
5221,2020-08-03,42.67,44.13,41.66,42.84
5220,2020-07-31,45.8,46.37,42.8,43.56
5219,2020-07-30,45.53,47.0,45.51,46.14
5218,2020-07-29,45.0,46.99,44.61,46.76
5217,2020-07-28,38.67,39.51,38.51,39.08
5216,2020-07-27,39.34,39.39,38.66,38.97
5215,2020-07-24,40.0,40.23,39.45,39.47
5214,2020-07-23,38.93,40.26,38.93,39.9
5213,2020-07-22,38.88,39.38,38.48,39.0
5212,2020-07-21,38.49,39.93,38.49,39.38
