,Date,Open,High,Low,Close
5314,2020-12-14,235.0,237.63,228.37,228.62
5313,2020-12-11,232.82,236.22,228.33,230.33
5312,2020-12-10,228.1,237.01,228.02,234.43
5311,2020-12-09,238.64,240.84,228.28,232.06
5310,2020-12-08,238.7,241.7,234.46,236.57
5309,2020-12-07,238.5,244.08,237.11,238.17
5308,2020-12-04,236.36,238.1799,230.25,232.71
5307,2020-12-03,228.3,242.0,226.53,237.2
5306,2020-12-02,213.01,224.99,210.3,223.85
5305,2020-12-01,214.31,218.09,213.0,213.01
5304,2020-11-30,215.7,217.7799,208.5188,210.71
5303,2020-11-27,218.25,219.93,216.04,216.5
5302,2020-11-25,217.71,221.0,213.09,217.61
5301,2020-11-24,219.43,222.95,215.76,218.49
5300,2020-11-23,203.24,214.2099,201.87,211.53
5299,2020-11-20,204.59,206.58,199.17,199.62
5298,2020-11-19,200.45,209.44,199.9007,205.67
5297,2020-11-18,223.02,223.02,203.0,203.3
5296,2020-11-17,200.25,211.2,196.05,210.05
5295,2020-11-16,194.56,202.94,191.3501,202.4
5294,2020-11-13,178.9997,187.27,178.71,187.11
5293,2020-11-12,178.95,184.59,176.25,176.72
5292,2020-11-11,189.89,190.0,180.41,182.15
5291,2020-11-10,182.8,193.95,180.38,188.69
5290,2020-11-09,179.0,184.46,172.16,179.36
5289,2020-11-06,156.33,158.47,154.52,157.74
5288,2020-11-05,152.48,157.63,152.1009,157.09
5287,2020-11-04,153.17,155.4,151.17,151.63
5286,2020-11-03,151.83,154.82,150.64,153.65
5285,2020-11-02,145.75,149.59,143.38,148.6
5284,2020-10-30,147.2,149.1699,141.58,144.39
5283,2020-10-29,148.03,150.1,146.6,148.29
5282,2020-10-28,153.0,153.95,148.0,148.14
5281,2020-10-27,159.16,160.25,155.0,155.24
5280,2020-10-26,164.95,165.5,159.05,160.83
5279,2020-10-23,169.99,170.26,166.05,167.36
5278,2020-10-22,164.7,169.63,164.095,169.07
5277,2020-10-21,166.44,167.63,163.82,163.86
5276,2020-10-20,168.29,169.29,166.18,167.24
5275,2020-10-19,169.09,170.84,166.11,167.11
5274,2020-10-16,171.22,173.42,167.27,167.35
5273,2020-10-15,161.01,164.54,158.73,164.24
5272,2020-10-14,162.7,165.17,162.49,163.24
5271,2020-10-13,165.36,165.5299,162.09,162.14
5270,2020-10-12,167.75,169.2,165.95,167.35
5269,2020-10-09,169.93,170.0,166.82,167.33
5268,2020-10-08,166.22,168.09,163.5401,168.0
5267,2020-10-07,163.71,166.3447,162.38,164.61
5266,2020-10-06,173.04,175.56,159.33,159.54
5265,2020-10-05,169.49,172.08,167.51,171.2
5264,2020-10-02,161.86,169.78,161.8,168.08
5263,2020-10-01,170.15,172.76,165.57,167.86
5262,2020-09-30,164.5,170.98,164.11,165.26
5261,2020-09-29,164.77,165.5,162.01,163.6
5260,2020-09-28,160.33,168.0,159.2,166.08
5259,2020-09-25,146.85,156.3116,146.415,156.03
5258,2020-09-24,150.29,150.31,145.02,146.05
5257,2020-09-23,157.33,160.42,150.89,151.18
5256,2020-09-22,156.81,160.0678,154.95,156.8
5255,2020-09-21,157.83,158.83,154.2,156.35
5254,2020-09-18,165.66,169.72,161.02,161.14
5253,2020-09-17,164.63,168.455,161.05,167.53
5252,2020-09-16,161.95,170.57,160.31,167.46
5251,2020-09-15,166.65,168.84,163.33,163.49
5250,2020-09-14,161.75,165.94,158.9,165.35
5249,2020-09-11,158.0,161.3592,156.32,160.23
5248,2020-09-10,160.96,163.78,157.57,157.69
5247,2020-09-09,161.61,163.06,157.0,160.78
5246,2020-09-08,165.8,166.9,160.5,161.08
5245,2020-09-04,171.31,172.83,164.0,171.05
5244,2020-09-03,175.0,180.85,168.12,168.77
5243,2020-09-02,172.7398,175.0,171.45,174.78
5242,2020-09-01,170.71,175.49,169.25,172.1
5241,2020-08-31,174.65,175.2699,171.7,171.82
5240,2020-08-28,175.11,177.28,172.57,175.8
5239,2020-08-27,174.71,181.31,173.5601,174.2
5238,2020-08-26,173.8,174.4299,171.35,171.9
5237,2020-08-25,180.46,180.63,172.44,174.73
5236,2020-08-24,168.78,178.27,167.93,178.27
5235,2020-08-21,168.35,170.0839,167.27,167.5
5234,2020-08-20,168.54,170.84,165.86,169.58
5233,2020-08-19,170.44,174.1,169.09,169.27
5232,2020-08-18,172.01,173.238,169.01,170.23
5231,2020-08-17,178.24,178.29,171.4085,172.01
5230,2020-08-14,173.09,179.47,172.35,178.08
5229,2020-08-13,173.62,179.47,172.4301,174.73
5228,2020-08-12,184.01,184.149,173.19,175.44
5227,2020-08-11,184.51,189.97,179.53,180.13
5226,2020-08-10,171.36,179.79,171.33,179.41
5225,2020-08-07,171.5,171.8599,168.7,170.02
5224,2020-08-06,172.8,175.57,170.6,172.2
5223,2020-08-05,167.6,174.98,166.4,174.28
5222,2020-08-04,164.63,167.4,163.01,165.07
5221,2020-08-03,156.51,163.58,153.41,162.27
5220,2020-07-31,161.55,163.4,156.26,158.0
5219,2020-07-30,162.88,164.5499,160.64,161.95
5218,2020-07-29,172.9,173.01,162.25,166.01
5217,2020-07-28,168.5,173.74,168.23,170.84
5216,2020-07-27,173.19,174.14,169.0,170.21
5215,2020-07-24,175.68,181.0999,173.6,173.76
5214,2020-07-23,178.0,182.5,175.42,176.45
