,Date,Open,High,Low,Close
4593,2020-12-14,8.12,8.19,7.75,8.09
4592,2020-12-11,8.55,8.66,8.079,8.18
4591,2020-12-10,9.07,9.15,8.41,8.75
4590,2020-12-09,9.23,9.49,9.0,9.19
4589,2020-12-08,9.09,9.18,8.91,9.13
4588,2020-12-07,9.48,9.48,8.97,9.18
4587,2020-12-04,9.43,9.66,9.26,9.35
4586,2020-12-03,9.39,9.79,9.24,9.38
4585,2020-12-02,9.34,9.37,8.5801,9.29
4584,2020-12-01,9.78,9.78,9.1,9.43
4583,2020-11-30,10.14,10.2,9.3,9.53
4582,2020-11-27,10.19,10.28,9.85,10.17
4581,2020-11-25,9.94,10.33,9.7,10.12
4580,2020-11-24,10.4,10.49,9.7,9.95
4579,2020-11-23,10.08,10.6,10.0738,10.4
4578,2020-11-20,9.8,10.5,9.62,9.85
4577,2020-11-19,8.91,9.72,8.81,9.7
4576,2020-11-18,8.41,9.44,8.33,8.97
4575,2020-11-17,8.07,8.48,7.99,8.33
4574,2020-11-16,8.33,8.399,7.925,8.14
4573,2020-11-13,8.3,8.55,8.07,8.23
4572,2020-11-12,8.12,8.65,8.0,8.26
4571,2020-11-11,7.91,8.18,7.81,8.14
4570,2020-11-10,7.91,8.25,7.6201,7.85
4569,2020-11-09,9.11,9.1789,7.7,7.71
4568,2020-11-06,9.08,9.3,8.67,9.12
4567,2020-11-05,8.1297,9.43,8.1201,9.07
4566,2020-11-04,7.83,8.45,7.5,8.0
4565,2020-11-03,8.0,8.07,7.73,7.87
4564,2020-11-02,7.33,7.88,7.16,7.73
4563,2020-10-30,7.2,7.61,6.84,7.34
4562,2020-10-29,7.51,7.56,7.07,7.39
4561,2020-10-28,7.2,7.65,6.01,7.52
4560,2020-10-27,8.06,8.45,7.6352,8.12
4559,2020-10-26,8.16,8.2,7.63,7.99
4558,2020-10-23,8.18,8.35,8.04,8.21
4557,2020-10-22,8.26,8.27,7.8,8.11
4556,2020-10-21,8.75,8.75,8.1,8.26
4555,2020-10-20,8.96,9.04,8.12,8.17
4554,2020-10-19,9.1,9.518,8.67,8.89
4553,2020-10-16,8.76,9.72,8.675,9.05
4552,2020-10-15,8.02,8.85,7.88,8.69
4551,2020-10-14,8.37,8.68,8.01,8.22
4550,2020-10-13,7.89,8.41,7.8,8.3
4549,2020-10-12,8.22,8.22,7.57,7.96
4548,2020-10-09,8.5125,8.63,8.06,8.1
4547,2020-10-08,8.68,8.86,8.31,8.56
4546,2020-10-07,7.97,8.6,7.87,8.52
4545,2020-10-06,8.0,8.64,7.41,7.75
4544,2020-10-05,8.02,8.235,7.69,7.99
4543,2020-10-02,7.46,8.18,7.4,7.86
4542,2020-10-01,7.6,7.95,7.27,7.85
4541,2020-09-30,6.44,7.6,6.43,7.48
4540,2020-09-29,6.39,6.71,6.16,6.44
4539,2020-09-28,6.02,6.4,5.89,6.38
4538,2020-09-25,5.74,5.99,5.6601,5.95
4537,2020-09-24,6.1,6.11,5.68,5.73
4536,2020-09-23,6.1802,6.49,6.08,6.14
4535,2020-09-22,6.48,6.48,5.82,6.14
4534,2020-09-21,6.59,6.6867,6.08,6.38
4533,2020-09-18,6.33,7.17,6.245,6.77
4532,2020-09-17,5.71,6.38,5.68,6.28
4531,2020-09-16,5.8,6.05,5.59,5.86
4530,2020-09-15,5.65,5.9,5.48,5.81
4529,2020-09-14,6.05,6.12,5.48,5.6
4528,2020-09-11,6.2,6.4,5.9666,6.08
4527,2020-09-10,5.73,6.25,5.65,6.1
4526,2020-09-09,5.57,5.75,5.42,5.69
4525,2020-09-08,5.65,5.65,5.41,5.45
4524,2020-09-04,5.77,5.94,5.4066,5.72
4523,2020-09-03,5.97,6.18,5.58,5.68
4522,2020-09-02,6.12,6.14,5.7,6.01
4521,2020-09-01,5.83,6.09,5.77,6.0
4520,2020-08-31,6.28,6.2829,5.78,5.91
4519,2020-08-28,6.28,6.55,6.23,6.31
4518,2020-08-27,6.77,6.77,6.15,6.27
4517,2020-08-26,6.35,6.87,6.1603,6.85
4516,2020-08-25,6.1,6.1492,5.85,5.98
4515,2020-08-24,6.32,6.4767,5.855,6.07
4514,2020-08-21,6.79,6.89,6.21,6.25
4513,2020-08-20,6.57,6.9,6.42,6.81
4512,2020-08-19,6.23,6.74,6.18,6.71
4511,2020-08-18,6.5,6.59,6.1366,6.24
4510,2020-08-17,6.81,6.8772,6.37,6.48
4509,2020-08-14,6.35,7.06,6.3304,6.65
4508,2020-08-13,6.51,6.689,6.211,6.42
4507,2020-08-12,6.76,6.95,6.31,6.55
4506,2020-08-11,7.44,7.47,6.6,6.685
4505,2020-08-10,8.0,8.08,7.22,7.51
4504,2020-08-07,6.3,8.47,6.3,7.81
4503,2020-08-06,5.88,6.45,5.81,6.22
4502,2020-08-05,5.63,6.11,5.62,5.94
4501,2020-08-04,5.5,5.75,5.47,5.54
4500,2020-08-03,5.62,5.99,5.41,5.49
4499,2020-07-31,5.92,6.18,5.195,5.6
4498,2020-07-30,6.27,6.88,5.58,5.66
4497,2020-07-29,6.21,6.93,5.54,6.58
4496,2020-07-28,4.6,4.8,4.35,4.47
4495,2020-07-27,4.43,4.6484,3.85,4.59
4494,2020-07-24,3.95,4.458,3.82,4.41
4493,2020-07-23,4.18,4.27,3.7,4.01
4492,2020-07-22,3.57,4.38,3.5,4.34
4491,2020-07-21,3.75,3.87,3.46,3.57
4490,2020-07-20,3.14,3.65,3.04,3.62
4489,2020-07-17,2.98,3.17,2.96,3.14
4488,2020-07-16,2.76,3.0,2.73,2.98
4487,2020-07-15,2.75,2.83,2.61,2.81
4486,2020-07-14,2.52,2.65,2.46,2.62
4485,2020-07-13,2.66,2.81,2.51,2.55
4484,2020-07-10,2.68,2.95,2.58,2.66
4483,2020-07-09,3.17,3.36,2.46,2.67
4482,2020-07-08,1.87,1.94,1.8,1.92
4481,2020-07-07,1.9,1.92,1.85,1.85
4480,2020-07-06,1.95,1.96,1.85,1.94
4479,2020-07-02,1.97,1.97,1.87,1.9
4478,2020-07-01,1.93,1.98,1.87,1.9
4477,2020-06-30,1.9,1.97,1.84,1.94
4476,2020-06-29,1.82,1.9899,1.82,1.91
4475,2020-06-26,2.05,2.05,1.85,1.85
4474,2020-06-25,1.78,2.16,1.78,2.07
4473,2020-06-24,1.95,1.96,1.75,1.81
4472,2020-06-23,2.05,2.05,1.95,1.98
4471,2020-06-22,1.98,2.05,1.9,2.01
4470,2020-06-19,2.07,2.075,1.89,1.98
4469,2020-06-18,1.98,2.06,1.93,2.05
4468,2020-06-17,2.03,2.07,1.95,1.98
4467,2020-06-16,2.13,2.18,2.01,2.01
4466,2020-06-15,1.95,2.05,1.83,2.0
4465,2020-06-12,2.02,2.05,1.91,2.0
4464,2020-06-11,1.88,2.05,1.75,1.87
4463,2020-06-10,2.33,2.37,2.07,2.15
4462,2020-06-09,2.36,2.39,2.26,2.32
4461,2020-06-08,2.42,2.45,2.29,2.42
4460,2020-06-05,2.49,2.59,2.27,2.28
4459,2020-06-04,2.78,2.78,2.21,2.38
4458,2020-06-03,2.26,2.8,2.24,2.73
4457,2020-06-02,2.01,2.25,1.96,2.24
4456,2020-06-01,2.0,2.15,1.86,1.93
4455,2020-05-29,1.87,1.93,1.75,1.86
4454,2020-05-28,2.09,2.12,1.73,1.9
4453,2020-05-27,2.0,2.04,1.72,1.94
4452,2020-05-26,1.87,2.1,1.85,1.91
4451,2020-05-22,1.6,1.77,1.53,1.75
4450,2020-05-21,1.42,1.6,1.36,1.55
4449,2020-05-20,1.45,1.47,1.32,1.36
4448,2020-05-19,1.25,1.65,1.21,1.45
4447,2020-05-18,1.23,1.3,1.22,1.24
4446,2020-05-15,1.13,1.22,1.12,1.18
4445,2020-05-14,1.15,1.22,1.08,1.17
4444,2020-05-13,1.21,1.25,1.13,1.19
4443,2020-05-12,1.32,1.34,1.23,1.26
4442,2020-05-11,1.27,1.32,1.2,1.28
4441,2020-05-08,1.16,1.34,1.15,1.26
4440,2020-05-07,1.17,1.21,1.14,1.18
4439,2020-05-06,1.26,1.29,1.12,1.14
4438,2020-05-05,1.24,1.32,1.23,1.25
4437,2020-05-04,1.29,1.35,1.2,1.25
4436,2020-05-01,1.37,1.37,1.17,1.2
4435,2020-04-30,1.3,1.39,1.23,1.37
4434,2020-04-29,1.27,1.4,1.25,1.28
4433,2020-04-28,1.14,1.27,1.12,1.18
4432,2020-04-27,1.0,1.2,0.98,1.09
4431,2020-04-24,0.94,0.95,0.92,0.94
4430,2020-04-23,0.96,0.96,0.91,0.94
4429,2020-04-22,0.94,0.98,0.91,0.93
4428,2020-04-21,0.98,1.0,0.9,0.93
4427,2020-04-20,0.97,1.02,0.93,0.98
4426,2020-04-17,0.98,1.02,0.86,0.93
4425,2020-04-16,0.99,1.0,0.88,0.89
4424,2020-04-15,1.06,1.08,0.91,0.97
4423,2020-04-14,0.99,1.02,0.95,1.01
4422,2020-04-13,1.0,1.03,0.9,0.96
4421,2020-04-09,0.99,1.07,0.95,0.97
4420,2020-04-08,0.88,0.95,0.82,0.95
4419,2020-04-07,0.9,0.94,0.79,0.84
4418,2020-04-06,0.76,0.85,0.74,0.83
4417,2020-04-03,0.75,0.79,0.65,0.71
4416,2020-04-02,0.98,1.0,0.67,0.72
4415,2020-04-01,1.05,1.07,0.97,0.98
4414,2020-03-31,1.07,1.1,1.06,1.07
4413,2020-03-30,1.2,1.2,1.05,1.05
4412,2020-03-27,1.28,1.28,1.1,1.21
4411,2020-03-26,1.19,1.29,1.18,1.25
4410,2020-03-25,1.26,1.4,1.15,1.17
4409,2020-03-24,1.06,1.22,1.03,1.22
4408,2020-03-23,0.96,1.12,0.9,1.01
4407,2020-03-20,1.07,1.22,0.85,0.89
4406,2020-03-19,1.0,1.08,0.97,1.01
4405,2020-03-18,1.2,1.28,0.94,0.97
4404,2020-03-17,1.3,1.42,1.2,1.25
4403,2020-03-16,1.4,1.42,1.23,1.27
4402,2020-03-13,1.52,1.59,1.4,1.5
4401,2020-03-12,1.64,1.64,1.36,1.38
4400,2020-03-11,1.9,1.96,1.7,1.71
4399,2020-03-10,2.01,2.04,1.9,1.92
4398,2020-03-09,2.1,2.11,1.87,1.92
4397,2020-03-06,2.23,2.26,2.13,2.24
4396,2020-03-05,2.21,2.28,2.2,2.25
4395,2020-03-04,2.21,2.32,2.17,2.27
4394,2020-03-03,2.3,2.33,2.13,2.2
4393,2020-03-02,2.21,2.31,2.13,2.3
4392,2020-02-28,2.18,2.26,2.08,2.23
4391,2020-02-27,2.26,2.35,2.21,2.27
4390,2020-02-26,2.57,2.7,2.26,2.33
4389,2020-02-25,3.3,3.35,2.93,2.94
4388,2020-02-24,3.51,3.51,3.24,3.27
4387,2020-02-21,3.64,3.64,3.54,3.57
4386,2020-02-20,3.56,3.72,3.55,3.63
4385,2020-02-19,3.57,3.6,3.54,3.56
4384,2020-02-18,3.59,3.61,3.52,3.54
4383,2020-02-14,3.37,3.56,3.37,3.54
4382,2020-02-13,3.35,3.41,3.34,3.37
4381,2020-02-12,3.36,3.38,3.29,3.35
4380,2020-02-11,3.4,3.4,3.35,3.38
