,Date,Open,High,Low,Close
1225,2020-12-14,226.8,232.6941,224.745,228.06
1224,2020-12-11,228.3,231.5,225.97,228.25
1223,2020-12-10,223.99,228.66,220.5,227.95
1222,2020-12-09,228.43,229.23,219.2,222.45
1221,2020-12-08,223.29,229.5,221.375,228.09
1220,2020-12-07,228.0,228.0,221.51,223.61
1219,2020-12-04,222.57,228.64,220.64,222.88
1218,2020-12-03,228.22,231.9,220.1,221.31
1217,2020-12-02,228.7,233.275,224.815,227.0
1216,2020-12-01,260.01,262.5,243.54,246.49
1215,2020-11-30,282.88,286.04,253.03,255.69
1214,2020-11-27,266.7,288.005,266.7,285.89
1213,2020-11-25,255.05,268.53,253.5,264.16
1212,2020-11-24,270.87,270.88,256.0,256.18
1211,2020-11-23,283.16,284.69,268.18,273.78
1210,2020-11-20,284.01,285.82,281.26,284.17
1209,2020-11-19,288.71,289.05,278.76,281.91
1208,2020-11-18,283.19,288.73,280.01,283.72
1207,2020-11-17,277.61,288.76,274.2,284.33
1206,2020-11-16,279.0,283.83,266.98,279.96
1205,2020-11-13,293.14,293.14,276.69,278.05
1204,2020-11-12,286.55,290.49,281.63,283.65
1203,2020-11-11,284.77,290.7889,279.87,285.0
1202,2020-11-10,278.0,283.14,275.62,282.51
1201,2020-11-09,288.0,290.52,276.22,280.0
1200,2020-11-06,285.01,295.98,277.94,293.45
1199,2020-11-05,306.86,306.87,299.54,300.0
1198,2020-11-04,302.08,317.82,301.8898,304.3
1197,2020-11-03,300.41,307.5,299.09,300.0
1196,2020-11-02,297.96,300.24,287.64,299.0
1195,2020-10-30,293.78,297.8139,287.345,296.52
1194,2020-10-29,299.48,301.87,298.385,299.5
1193,2020-10-28,301.52,302.015,296.1,299.24
1192,2020-10-27,298.21,307.46,296.25,301.53
1191,2020-10-26,298.03,303.96,295.27,301.28
1190,2020-10-23,302.5,304.97,291.01,299.0
1189,2020-10-22,301.65,308.11,296.95,303.79
1188,2020-10-21,300.0,305.41,300.0,302.57
1187,2020-10-20,301.52,303.22,298.0,299.9
1186,2020-10-19,319.4966,320.0,298.0125,301.52
1185,2020-10-16,303.99,322.98,301.84,316.61
1184,2020-10-15,300.73,306.57,297.575,304.07
1183,2020-10-14,305.64,309.0818,301.28,303.93
1182,2020-10-13,310.02,310.02,302.18,303.23
1181,2020-10-12,313.13,318.29,307.2,307.55
1180,2020-10-09,304.95,313.69,302.62,312.66
1179,2020-10-08,300.38,305.59,295.22,301.49
1178,2020-10-07,298.74,299.25,286.29,297.55
