,Date,Open,High,Low,Close
5148,2020-12-14,18.78,18.82,18.23,18.3
5147,2020-12-11,18.65,18.88,18.46,18.51
5146,2020-12-10,18.54,18.99,18.35,18.86
5145,2020-12-09,19.02,19.24,18.48,18.86
5144,2020-12-08,18.12,18.64,18.12,18.6
5143,2020-12-07,18.5,18.53,17.95,18.43
5142,2020-12-04,17.7,18.51,17.7,18.51
5141,2020-12-03,17.53,17.9,17.47,17.58
5140,2020-12-02,16.73,17.425,16.6786,17.39
5139,2020-12-01,16.94,17.19,16.72,16.75
5138,2020-11-30,17.42,17.61,16.31,16.4
5137,2020-11-27,17.6,17.79,17.285,17.63
5136,2020-11-25,17.85,18.0,17.49,17.63
5135,2020-11-24,17.91,18.4,17.785,17.87
5134,2020-11-23,17.2,17.64,17.09,17.31
5133,2020-11-20,16.85,17.06,16.66,17.03
5132,2020-11-19,16.61,17.06,16.46,17.01
5131,2020-11-18,17.13,17.54,16.83,16.85
5130,2020-11-17,16.27,17.0,15.96,16.89
5129,2020-11-16,16.44,16.92,16.235,16.75
5128,2020-11-13,15.23,15.74,15.16,15.62
5127,2020-11-12,15.31,15.5,14.83,15.03
5126,2020-11-11,16.33,16.33,15.33,15.65
5125,2020-11-10,15.76,16.39,15.35,16.26
5124,2020-11-09,13.98,16.13,13.97,15.53
5123,2020-11-06,13.12,13.36,12.77,12.81
5122,2020-11-05,12.5,13.16,12.487,12.99
5121,2020-11-04,13.27,13.41,12.31,12.39
5120,2020-11-03,13.56,13.7561,13.39,13.64
5119,2020-11-02,13.36,13.365,13.085,13.19
5118,2020-10-30,12.59,13.17,12.54,13.03
5117,2020-10-29,12.48,12.85,12.15,12.67
5116,2020-10-28,13.06,13.17,12.19,12.6
5115,2020-10-27,13.25,13.605,12.69,13.3
5114,2020-10-26,11.9,11.95,11.52,11.85
5113,2020-10-23,11.97,12.1634,11.72,11.97
5112,2020-10-22,11.22,11.82,11.11,11.79
5111,2020-10-21,11.1,11.22,10.92,11.19
5110,2020-10-20,10.98,11.22,10.96,11.05
5109,2020-10-19,11.09,11.23,10.83,10.85
5108,2020-10-16,10.7,11.1911,10.7,11.0
5107,2020-10-15,10.36,10.76,10.31,10.68
5106,2020-10-14,10.75,10.82,10.48,10.53
5105,2020-10-13,11.06,11.17,10.7,10.71
5104,2020-10-12,10.92,11.22,10.83,11.21
5103,2020-10-09,11.35,11.42,10.96,10.98
5102,2020-10-08,11.08,11.3,10.9648,11.22
5101,2020-10-07,10.73,11.03,10.6457,10.92
5100,2020-10-06,10.86,11.14,10.54,10.59
5099,2020-10-05,10.69,10.87,10.57,10.66
5098,2020-10-02,9.98,10.65,9.86,10.65
5097,2020-10-01,10.18,10.32,9.8,10.23
5096,2020-09-30,9.88,10.38,9.86,10.11
5095,2020-09-29,9.79,9.92,9.65,9.82
5094,2020-09-28,9.52,9.955,9.52,9.84
5093,2020-09-25,9.25,9.68,9.24,9.41
5092,2020-09-24,8.75,9.29,8.55,9.16
5091,2020-09-23,9.09,9.36,8.71,8.71
