,Date,Open,High,Low,Close
1788,2020-12-14,4.81,4.9,4.57,4.8
1787,2020-12-11,4.92,4.98,4.71,4.76
1786,2020-12-10,4.53,4.97,4.4333,4.93
1785,2020-12-09,4.67,4.94,4.35,4.6
1784,2020-12-08,4.6,4.76,4.53,4.65
1783,2020-12-07,4.64,4.76,4.4501,4.65
1782,2020-12-04,4.46,4.92,4.44,4.57
1781,2020-12-03,4.25,4.5512,4.23,4.38
1780,2020-12-02,4.13,4.315,4.0201,4.23
1779,2020-12-01,4.26,4.42,4.1,4.17
1778,2020-11-30,4.65,4.65,4.04,4.09
1777,2020-11-27,4.41,4.63,4.33,4.62
1776,2020-11-25,4.4,4.48,4.15,4.38
1775,2020-11-24,4.42,4.68,4.41,4.48
1774,2020-11-23,3.91,4.47,3.8752,4.25
1773,2020-11-20,4.0,4.0,3.82,3.86
1772,2020-11-19,3.9,4.0316,3.8,3.99
1771,2020-11-18,3.92,4.09,3.81,3.93
1770,2020-11-17,3.7,3.88,3.55,3.84
1769,2020-11-16,4.02,4.07,3.56,3.71
1768,2020-11-13,3.0,3.38,3.0,3.34
1767,2020-11-12,3.47,3.49,2.96,2.96
1766,2020-11-11,3.5,3.55,3.35,3.44
1765,2020-11-10,3.48,3.605,3.1,3.52
1764,2020-11-09,3.13,4.1,3.1,3.65
1763,2020-11-06,2.55,2.5563,2.44,2.47
1762,2020-11-05,2.52,2.596,2.49,2.53
1761,2020-11-04,2.53,2.565,2.435,2.47
1760,2020-11-03,2.46,2.57,2.4,2.52
1759,2020-11-02,2.39,2.48,2.3775,2.42
1758,2020-10-30,2.4,2.46,2.3032,2.42
1757,2020-10-29,2.24,2.41,2.17,2.36
1756,2020-10-28,2.39,2.39,2.1811,2.25
1755,2020-10-27,2.36,2.37,2.32,2.34
1754,2020-10-26,2.35,2.3959,2.29,2.36
1753,2020-10-23,2.45,2.5,2.34,2.39
1752,2020-10-22,2.38,2.47,2.38,2.43
1751,2020-10-21,2.38,2.4237,2.32,2.4
1750,2020-10-20,2.4,2.45,2.37,2.37
1749,2020-10-19,2.37,2.45,2.32,2.37
1748,2020-10-16,2.44,2.44,2.35,2.37
1747,2020-10-15,2.38,2.5,2.3399,2.44
1746,2020-10-14,2.5,2.53,2.38,2.41
1745,2020-10-13,2.53,2.53,2.44,2.48
1744,2020-10-12,2.54,2.56,2.45,2.55
1743,2020-10-09,2.57,2.575,2.47,2.52
1742,2020-10-08,2.51,2.5899,2.46,2.55
1741,2020-10-07,2.59,2.59,2.5,2.51
1740,2020-10-06,2.59,2.6,2.53,2.55
1739,2020-10-05,2.59,2.595,2.5,2.53
1738,2020-10-02,2.39,2.57,2.36,2.55
1737,2020-10-01,2.52,2.57,2.421,2.51
1736,2020-09-30,2.55,2.67,2.49,2.5
1735,2020-09-29,2.54,2.59,2.485,2.52
1734,2020-09-28,2.51,2.66,2.47,2.53
1733,2020-09-25,2.42,2.52,2.42,2.46
1732,2020-09-24,2.29,2.47,2.27,2.38
1731,2020-09-23,2.5,2.57,2.26,2.26
1730,2020-09-22,2.48,2.53,2.43,2.46
1729,2020-09-21,2.6,2.69,2.42,2.48
1728,2020-09-18,2.69,2.81,2.63,2.69
1727,2020-09-17,2.6,2.72,2.5626,2.7
1726,2020-09-16,2.68,2.75,2.55,2.68
1725,2020-09-15,2.62,2.74,2.605,2.65
1724,2020-09-14,2.58,2.625,2.51,2.59
1723,2020-09-11,2.53,2.58,2.46,2.54
1722,2020-09-10,2.5,2.57,2.495,2.5
1721,2020-09-09,2.52,2.53,2.485,2.5
1720,2020-09-08,2.5,2.56,2.45,2.5
1719,2020-09-04,2.43,2.5399,2.35,2.5
1718,2020-09-03,2.44,2.52,2.35,2.36
1717,2020-09-02,2.41,2.46,2.35,2.4
1716,2020-09-01,2.33,2.5,2.32,2.41
1715,2020-08-31,2.54,2.69,2.39,2.39
1714,2020-08-28,2.48,2.56,2.42,2.52
1713,2020-08-27,2.31,2.49,2.31,2.42
1712,2020-08-26,2.35,2.43,2.28,2.28
1711,2020-08-25,2.44,2.49,2.31,2.38
1710,2020-08-24,2.29,2.45,2.255,2.4
1709,2020-08-21,2.44,2.48,2.245,2.25
1708,2020-08-20,2.3,2.4822,2.3,2.43
1707,2020-08-19,2.37,2.45,2.32,2.39
1706,2020-08-18,2.49,2.5161,2.35,2.36
1705,2020-08-17,2.6,2.65,2.46,2.47
1704,2020-08-14,2.57,2.7,2.51,2.63
1703,2020-08-13,2.78,2.81,2.6148,2.62
1702,2020-08-12,3.15,3.15,2.56,2.8
1701,2020-08-11,3.03,3.15,2.835,3.06
1700,2020-08-10,2.9,3.02,2.85,2.92
1699,2020-08-07,2.75,2.89,2.7,2.86
1698,2020-08-06,2.55,2.83,2.54,2.8
1697,2020-08-05,2.51,2.55,2.44,2.55
1696,2020-08-04,2.45,2.57,2.45,2.47
1695,2020-08-03,2.47,2.52,2.36,2.49
1694,2020-07-31,2.51,2.5199,2.31,2.44
1693,2020-07-30,2.5,2.58,2.4,2.51
1692,2020-07-29,2.6,2.6,2.375,2.55
1691,2020-07-28,2.24,2.5599,2.24,2.45
1690,2020-07-27,2.37,2.44,2.26,2.29
1689,2020-07-24,2.44,2.4504,2.32,2.37
1688,2020-07-23,2.39,2.49,2.36,2.46
1687,2020-07-22,2.46,2.4869,2.37,2.41
1686,2020-07-21,2.49,2.59,2.46,2.46
1685,2020-07-20,2.68,2.68,2.39,2.42
1684,2020-07-17,2.65,2.7,2.56,2.66
1683,2020-07-16,2.89,2.94,2.64,2.66
1682,2020-07-15,2.76,2.91,2.66,2.89
1681,2020-07-14,2.69,2.72,2.5,2.55
1680,2020-07-13,2.48,2.85,2.4,2.68
1679,2020-07-10,2.31,2.44,2.24,2.42
1678,2020-07-09,2.43,2.48,2.32,2.33
1677,2020-07-08,2.5,2.53,2.43,2.47
1676,2020-07-07,2.75,2.77,2.51,2.52
1675,2020-07-06,2.89,2.96,2.71,2.79
1674,2020-07-02,3.11,3.14,2.78,2.79
1673,2020-07-01,2.86,3.08,2.83,2.95
1672,2020-06-30,3.06,3.08,2.81,2.86
1671,2020-06-29,2.61,3.1,2.61,3.06
1670,2020-06-26,2.7,2.77,2.55,2.6
1669,2020-06-25,2.69,2.71,2.55,2.7
1668,2020-06-24,2.71,2.73,2.47,2.69
1667,2020-06-23,3.19,3.2,2.74,2.77
1666,2020-06-22,3.26,3.3,2.96,2.98
1665,2020-06-19,3.45,3.6476,3.31,3.31
1664,2020-06-18,3.45,3.49,3.28,3.38
1663,2020-06-17,3.94,3.94,3.5275,3.53
1662,2020-06-16,4.24,4.35,3.8,3.86
1661,2020-06-15,3.72,4.06,3.6,3.87
1660,2020-06-12,4.12,4.24,3.68,4.02
1659,2020-06-11,3.9,4.044,3.6,3.79
1658,2020-06-10,4.95,4.95,4.12,4.33
1657,2020-06-09,5.36,5.47,4.9,5.03
1656,2020-06-08,5.09,5.56,4.97,5.51
1655,2020-06-05,4.67,5.17,4.67,4.78
1654,2020-06-04,4.32,4.591,4.2,4.52
1653,2020-06-03,3.66,4.35,3.66,4.32
1652,2020-06-02,3.3,3.7,3.3,3.54
1651,2020-06-01,3.44,3.4871,3.2,3.2
1650,2020-05-29,3.5,3.63,3.37,3.4
1649,2020-05-28,3.36,3.9,3.08,3.65
1648,2020-05-27,3.31,3.31,2.91,3.26
1647,2020-05-26,2.9,3.337,2.9,3.04
1646,2020-05-22,2.46,2.8,2.2501,2.64
1645,2020-05-21,2.71,2.71,2.42,2.42
1644,2020-05-20,2.46,2.78,2.46,2.67
1643,2020-05-19,2.45,2.68,2.32,2.42
1642,2020-05-18,2.31,2.575,2.26,2.49
1641,2020-05-15,2.14,2.36,2.12,2.19
1640,2020-05-14,2.22,2.3399,2.005,2.3
1639,2020-05-13,2.41,2.43,2.13,2.23
1638,2020-05-12,2.63,2.64,2.37,2.41
1637,2020-05-11,2.7,2.7,2.4301,2.63
1636,2020-05-08,2.49,2.77,2.41,2.77
1635,2020-05-07,2.38,2.65,2.34,2.4
1634,2020-05-06,2.71,2.745,2.29,2.38
1633,2020-05-05,2.77,3.09,2.65,2.66
1632,2020-05-04,2.72,2.78,2.43,2.65
1631,2020-05-01,3.05,3.2598,2.71,2.88
1630,2020-04-30,3.47,3.89,3.03,3.13
1629,2020-04-29,3.0,3.55,2.95,3.42
1628,2020-04-28,2.67,2.92,2.55,2.85
1627,2020-04-27,2.4,2.65,2.335,2.51
1626,2020-04-24,2.47,2.47,2.22,2.39
1625,2020-04-23,2.42,2.4954,2.31,2.41
1624,2020-04-22,2.49,2.5222,2.28,2.4
1623,2020-04-21,2.21,2.56,2.2,2.49
1622,2020-04-20,2.47,2.52,2.3,2.45
1621,2020-04-17,2.44,2.62,2.35,2.52
1620,2020-04-16,2.47,2.5,2.15,2.22
1619,2020-04-15,2.75,2.79,2.38,2.39
1618,2020-04-14,3.02,3.25,2.49,2.91
1617,2020-04-13,2.63,3.06,2.32,2.9
1616,2020-04-09,1.99,2.44,1.96,2.39
1615,2020-04-08,1.88,1.96,1.79,1.81
1614,2020-04-07,2.23,2.4,1.78,1.88
1613,2020-04-06,1.33,1.87,1.3201,1.78
1612,2020-04-03,1.23,1.28,1.16,1.24
1611,2020-04-02,1.47,1.75,1.22,1.24
1610,2020-04-01,1.6,1.63,1.32,1.32
1609,2020-03-31,1.73,1.98,1.62,1.7
1608,2020-03-30,1.9,1.9699,1.66,1.7
1607,2020-03-27,2.23,2.23,1.66,1.9
1606,2020-03-26,1.87,2.92,1.83,2.22
1605,2020-03-25,1.64,1.95,1.64,1.7
1604,2020-03-24,1.94,2.05,1.4,1.49
1603,2020-03-23,1.75,1.94,1.6109,1.85
1602,2020-03-20,1.88,1.97,1.69,1.74
1601,2020-03-19,1.3,1.79,1.16,1.7
1600,2020-03-18,2.21,2.31,1.14,1.15
1599,2020-03-17,2.2,2.38,1.79,2.37
1598,2020-03-16,2.8,2.85,2.15,2.16
1597,2020-03-13,3.24,3.24,2.75,2.99
1596,2020-03-12,4.3,4.38,2.8,2.81
1595,2020-03-11,5.32,5.36,4.305,4.37
1594,2020-03-10,5.5,5.67,5.32,5.5
1593,2020-03-09,6.01,6.19,5.48,5.5
1592,2020-03-06,6.29,6.3601,6.01,6.26
1591,2020-03-05,6.98,7.01,6.362,6.53
1590,2020-03-04,7.2,7.35,7.01,7.07
1589,2020-03-03,7.35,7.47,7.05,7.13
1588,2020-03-02,7.3,7.48,7.15,7.43
1587,2020-02-28,7.6,7.69,7.2,7.36
1586,2020-02-27,7.7,8.15,6.87,7.61
1585,2020-02-26,7.81,7.9,7.21,7.27
1584,2020-02-25,8.16,8.18,7.78,7.8
1583,2020-02-24,8.18,8.19,8.0709,8.15
