,Date,Open,High,Low,Close
3893,2020-12-14,36.04,36.39,35.4,35.44
3892,2020-12-11,35.84,36.08,35.3,35.77
3891,2020-12-10,35.1,36.1,34.76,36.03
3890,2020-12-09,35.5,36.2,35.11,35.48
3889,2020-12-08,36.76,36.97,35.21,35.3
3888,2020-12-07,35.74,37.34,35.24,37.0
3887,2020-12-04,35.95,36.22,34.42,35.3
3886,2020-12-03,35.23,36.33,34.9,35.93
3885,2020-12-02,35.66,35.97,34.71,35.23
3884,2020-12-01,38.4,38.48,35.72,35.93
3883,2020-11-30,37.81,38.09,36.68,37.41
3882,2020-11-27,37.3,38.09,37.25,37.93
3881,2020-11-25,37.13,37.52,36.5387,37.33
3880,2020-11-24,37.1,37.26,36.11,37.09
3879,2020-11-23,36.08,37.15,35.95,36.78
3878,2020-11-20,36.49,36.5,35.445,35.76
3877,2020-11-19,36.0,36.85,35.585,36.74
3876,2020-11-18,34.58,36.455,34.58,36.05
3875,2020-11-17,35.25,36.19,35.04,35.81
3874,2020-11-16,36.02,36.2398,35.1518,35.86
3873,2020-11-13,34.17,35.02,33.92,34.835
3872,2020-11-12,34.16,34.695,33.49,33.83
3871,2020-11-11,33.99,34.44,33.24,34.38
3870,2020-11-10,33.23,34.14,32.47,33.8
3869,2020-11-09,35.86,36.88,32.14,32.21
3868,2020-11-06,34.65,34.765,33.64,34.09
3867,2020-11-05,34.7,36.07,34.49,34.65
3866,2020-11-04,32.44,34.49,32.31,34.1
3865,2020-11-03,34.22,34.22,31.73,32.68
3864,2020-11-02,31.21,32.93,30.78,32.67
3863,2020-10-30,32.0,32.97,30.05,30.3
3862,2020-10-29,30.4,30.62,29.73,30.01
3861,2020-10-28,30.21,31.39,30.15,30.51
3860,2020-10-27,31.49,32.18,30.94,31.35
3859,2020-10-26,31.82,32.13,31.07,31.69
3858,2020-10-23,32.61,33.065,32.06,32.66
3857,2020-10-22,32.75,32.9,31.59,32.25
3856,2020-10-21,33.57,34.06,32.455,32.55
3855,2020-10-20,32.75,34.49,32.68,33.665
3854,2020-10-19,33.62,33.9,32.54,32.68
3853,2020-10-16,34.28,34.46,33.43,33.5
3852,2020-10-15,33.4,34.42,33.0,34.18
3851,2020-10-14,34.38,34.69,33.83,33.91
3850,2020-10-13,34.31,34.53,33.66,34.18
3849,2020-10-12,34.4,34.67,34.035,34.54
3848,2020-10-09,34.33,34.49,33.48,34.0
3847,2020-10-08,34.31,34.4,33.36,33.87
3846,2020-10-07,34.19,34.38,33.46,33.84
3845,2020-10-06,33.4114,34.36,33.26,33.42
3844,2020-10-05,34.15,34.42,32.83,33.39
3843,2020-10-02,32.2,33.88,32.2,33.69
3842,2020-10-01,32.96,33.275,32.48,33.16
3841,2020-09-30,32.23,33.21,32.15,32.62
3840,2020-09-29,32.26,32.52,31.95,32.0
3839,2020-09-28,31.44,32.38,31.32,32.295
3838,2020-09-25,29.65,30.75,29.58,30.59
3837,2020-09-24,29.6,30.8,29.26,30.03
3836,2020-09-23,30.85,31.01,29.325,29.6
3835,2020-09-22,30.22,30.88,29.73,30.83
