,Date,Open,High,Low,Close
104,2020-12-14,89.68,92.255,82.18,82.81
103,2020-12-11,91.37,96.72,85.07,89.51
102,2020-12-10,86.54,94.1,86.54,90.0
101,2020-12-09,89.97,95.97,85.86,87.62
100,2020-12-08,87.49,89.82,83.2341,89.35
99,2020-12-07,81.8,87.76,81.8,85.38
98,2020-12-04,77.58,82.16,77.44,81.28
97,2020-12-03,78.52,79.42,76.8101,77.27
96,2020-12-02,80.19,80.66,76.5,79.0
95,2020-12-01,84.68,85.25,79.52,79.93
94,2020-11-30,81.83,84.0,78.53,82.86
93,2020-11-27,77.79,82.83,76.59,81.94
92,2020-11-25,82.14,82.14,77.02,77.98
91,2020-11-24,83.58,84.54,80.45,82.49
90,2020-11-23,84.5,85.405,81.22,83.36
89,2020-11-20,83.31,84.89,79.26,83.78
88,2020-11-19,84.48,85.645,81.5,81.63
87,2020-11-18,88.3,96.17,87.305,93.01
86,2020-11-17,87.21,87.31,83.44,86.08
85,2020-11-16,98.93,98.93,85.51,90.17
84,2020-11-13,88.0,96.0475,81.1,95.0
83,2020-11-12,83.39,91.72,82.73,90.83
82,2020-11-11,87.92,88.11,81.28,82.57
81,2020-11-10,89.56,91.25,78.76,87.06
80,2020-11-09,83.0,87.78,82.57,87.73
79,2020-11-06,80.54,84.75,77.825,83.45
78,2020-11-05,75.545,80.2,75.545,79.74
77,2020-11-04,72.43,75.65,72.025,75.27
76,2020-11-03,70.38,72.395,70.38,71.96
75,2020-11-02,72.41,74.815,69.0,70.38
74,2020-10-30,74.73,75.48,71.525,72.57
73,2020-10-29,78.35,79.7523,74.3401,75.9
72,2020-10-28,73.45,78.38,71.32,78.06
71,2020-10-27,73.07,77.61,70.65,74.75
70,2020-10-26,75.45,75.85,73.385,73.8
69,2020-10-23,78.57,79.365,74.64,75.6
68,2020-10-22,76.86,79.33,76.52,78.56
67,2020-10-21,78.83,80.05,75.8,77.14
66,2020-10-20,76.0,81.21,76.0,78.56
65,2020-10-19,75.51,76.9548,73.73,74.96
64,2020-10-16,78.47,78.95,74.36,75.11
63,2020-10-15,80.17,80.5,75.5,77.44
62,2020-10-14,80.75,82.3766,79.71,80.39
61,2020-10-13,82.52,83.7,80.68,81.05
60,2020-10-12,83.59,84.78,82.435,83.61
59,2020-10-09,85.0,87.0,83.27,83.97
58,2020-10-08,87.3,88.1925,83.0,84.6
57,2020-10-07,85.88,89.67,85.17,86.5
56,2020-10-06,81.76,87.49,80.7,85.08
55,2020-10-05,78.63,85.5,77.93,81.62
54,2020-10-02,75.82,78.93,74.4,78.18
53,2020-10-01,76.63,80.88,75.055,76.99
52,2020-09-30,74.52,78.73,74.52,76.36
51,2020-09-29,70.04,76.87,68.1223,74.38
50,2020-09-28,67.75,71.98,67.2,70.19
49,2020-09-25,68.06,69.2665,65.96,66.6
48,2020-09-24,68.13,71.65,66.463,68.04
47,2020-09-23,70.51,72.0,65.04,68.69
46,2020-09-22,72.81,74.57,69.07,70.39
45,2020-09-21,72.0,73.9,68.7,72.69
44,2020-09-18,67.2,74.88,66.96,72.31
43,2020-09-17,61.35,68.3,61.185,66.51
42,2020-09-16,61.82,62.725,61.23,61.81
41,2020-09-15,61.63,63.62,60.1,61.71
40,2020-09-14,59.23,62.77,58.8064,60.57
39,2020-09-11,59.75,60.72,58.0,58.7
38,2020-09-10,60.55,62.8699,59.0,59.56
37,2020-09-09,60.9,62.23,59.43,60.02
36,2020-09-08,61.99,62.36,60.0,60.45
35,2020-09-04,62.7,65.62,60.8,62.4
34,2020-09-03,66.98,67.08,59.14,63.25
33,2020-09-02,65.33,66.915,65.01,66.17
32,2020-09-01,65.98,68.0899,64.55,64.88
31,2020-08-31,68.0,69.6,64.5,65.4
30,2020-08-28,61.8935,70.4,61.8935,67.71
29,2020-08-27,63.26,65.6,63.0,63.68
28,2020-08-26,68.06,68.4,61.03,63.0
27,2020-08-25,65.8,74.255,63.2998,71.85
26,2020-08-24,63.3,66.79,61.363,65.93
25,2020-08-21,61.19,63.48,60.0822,63.3
24,2020-08-20,57.7,63.12,56.1,61.52
23,2020-08-19,58.48,60.3035,56.7,57.73
22,2020-08-18,60.29,62.04,58.0,58.77
21,2020-08-17,62.37,63.45,58.535,59.75
20,2020-08-14,61.5,64.375,60.65,62.27
19,2020-08-13,60.45,65.01,60.05,61.11
18,2020-08-12,58.29,61.22,56.82,60.0
17,2020-08-11,58.35,59.99,55.85,56.42
16,2020-08-10,58.22,62.1,57.76,58.15
15,2020-08-07,64.67,65.2,57.31,57.55
14,2020-08-06,66.36,69.315,61.35,64.0
13,2020-08-05,72.94,72.94,65.765,65.96
12,2020-08-04,71.6,77.99,71.51,71.86
11,2020-08-03,59.99,71.22,59.51,71.2
10,2020-07-31,58.49,60.68,58.02,59.97
9,2020-07-30,58.74,60.0,56.97,58.6
8,2020-07-29,57.2,60.0,56.875,59.0
7,2020-07-28,57.63,59.0,56.125,57.9
6,2020-07-27,59.58,60.8,56.25,57.6
5,2020-07-24,58.16,59.93,57.01,59.5
4,2020-07-23,56.67,61.99,55.4,58.1
3,2020-07-22,56.98,57.79,55.0,56.0
2,2020-07-21,65.21,65.69,57.51,58.5
1,2020-07-20,58.51,64.5,58.51,62.1
0,2020-07-17,51.05,68.38,50.26,65.45
