,Date,Open,High,Low,Close
5027,2020-12-14,2.04,2.04,1.88,1.88
5026,2020-12-11,2.0402,2.05,1.9609,2.0
5025,2020-12-10,1.9451,2.06,1.9451,2.03
5024,2020-12-09,2.04,2.04,1.94,1.95
5023,2020-12-08,1.93,2.0399,1.93,1.98
5022,2020-12-07,2.1,2.16,1.98,1.98
5021,2020-12-04,2.2,2.2,2.1114,2.18
5020,2020-12-03,2.07,2.14,2.05,2.14
5019,2020-12-02,1.99,2.05,1.98,2.03
5018,2020-12-01,1.87,2.02,1.86,1.9
5017,2020-11-30,1.95,1.95,1.79,1.84
5016,2020-11-27,1.98,1.98,1.9284,1.95
5015,2020-11-25,1.91,1.9125,1.8301,1.91
5014,2020-11-24,1.95,1.9569,1.85,1.9069
5013,2020-11-23,1.95,1.98,1.89,1.95
5012,2020-11-20,1.88,1.89,1.8,1.89
5011,2020-11-19,2.0,2.0,1.9,1.93
5010,2020-11-18,1.86,2.0,1.81,1.94
5009,2020-11-17,1.75,1.86,1.69,1.79
5008,2020-11-16,1.61,1.8,1.61,1.75
5007,2020-11-13,1.49,1.6316,1.49,1.62
5006,2020-11-12,1.66,1.7,1.56,1.655
5005,2020-11-11,1.5001,1.62,1.5001,1.615
5004,2020-11-10,1.58,1.615,1.54,1.54
5003,2020-11-09,1.55,1.6,1.53,1.53
5002,2020-11-06,1.5,1.5,1.49,1.5
5001,2020-11-05,1.4962,1.55,1.48,1.54
5000,2020-11-04,1.52,1.59,1.42,1.45
4999,2020-11-03,1.6,1.66,1.52,1.53
4998,2020-11-02,1.58,1.62,1.54,1.58
4997,2020-10-30,1.6,1.6,1.56,1.57
4996,2020-10-29,1.6,1.61,1.56,1.59
4995,2020-10-28,1.57,1.6144,1.57,1.5923
4994,2020-10-27,1.55,1.62,1.53,1.6
4993,2020-10-26,1.54,1.55,1.5177,1.53
4992,2020-10-23,1.49,1.57,1.49,1.525
4991,2020-10-22,1.49,1.57,1.49,1.55
4990,2020-10-21,1.525,1.55,1.5,1.51
4989,2020-10-20,1.6,1.6,1.52,1.559
4988,2020-10-19,1.55,1.58,1.53,1.53
4987,2020-10-16,1.5301,1.6,1.5301,1.58
4986,2020-10-15,1.593,1.6,1.56,1.57
4985,2020-10-14,1.58,1.71,1.54,1.57
4984,2020-10-13,1.6,1.6,1.52,1.55
4983,2020-10-12,1.65,1.65,1.5501,1.56
4982,2020-10-09,1.65,1.7044,1.57,1.6
4981,2020-10-08,1.6,1.6,1.51,1.6
4980,2020-10-07,1.53,1.5899,1.5,1.55
4979,2020-10-06,1.53,1.5919,1.53,1.53
4978,2020-10-05,1.5,1.57,1.5,1.52
4977,2020-10-02,1.49,1.57,1.49,1.55
4976,2020-10-01,1.573,1.6,1.57,1.57
4975,2020-09-30,1.5401,1.6,1.5401,1.56
4974,2020-09-29,1.56,1.66,1.56,1.6262
4973,2020-09-28,1.56,1.5814,1.5,1.54
4972,2020-09-25,1.6,1.6,1.48,1.56
4971,2020-09-24,1.512,1.59,1.4999,1.54
4970,2020-09-23,1.5,1.63,1.4662,1.4662
4969,2020-09-22,1.5,1.65,1.5,1.55
4968,2020-09-21,1.65,1.65,1.51,1.53
4967,2020-09-18,1.7,1.73,1.605,1.63
4966,2020-09-17,1.77,1.77,1.61,1.7
4965,2020-09-16,1.73,1.73,1.61,1.7
4964,2020-09-15,1.7543,1.77,1.67,1.6873
4963,2020-09-14,1.73,1.77,1.71,1.77
4962,2020-09-11,1.64,1.72,1.64,1.72
4961,2020-09-10,1.6435,1.72,1.64,1.65
4960,2020-09-09,1.5064,1.71,1.5064,1.64
4959,2020-09-08,1.45,1.65,1.45,1.63
4958,2020-09-04,1.46,1.6,1.46,1.52
4957,2020-09-03,1.6513,1.66,1.492,1.545
4956,2020-09-02,1.64,1.72,1.6,1.62
4955,2020-09-01,1.45,1.7,1.45,1.65
4954,2020-08-31,1.63,1.727,1.51,1.56
4953,2020-08-28,1.67,1.67,1.62,1.6606
4952,2020-08-27,1.7,1.7449,1.7,1.7
4951,2020-08-26,1.69,1.71,1.648,1.7
4950,2020-08-25,1.62,1.78,1.62,1.73
4949,2020-08-24,1.82,1.83,1.665,1.67
4948,2020-08-21,1.84,1.86,1.82,1.83
4947,2020-08-20,1.79,1.87,1.73,1.86
4946,2020-08-19,1.76,1.8887,1.76,1.8
4945,2020-08-18,1.86,1.87,1.77,1.79
4944,2020-08-17,1.79,1.89,1.785,1.8
4943,2020-08-14,1.79,1.93,1.785,1.83
4942,2020-08-13,1.43,1.84,1.43,1.785
4941,2020-08-12,1.92,1.92,1.81,1.81
4940,2020-08-11,1.89,1.89,1.83,1.8673
4939,2020-08-10,1.87,1.8889,1.8201,1.87
4938,2020-08-07,1.82,1.86,1.77,1.84
4937,2020-08-06,1.76,1.84,1.7,1.84
4936,2020-08-05,1.65,1.86,1.5702,1.81
4935,2020-08-04,2.0,2.045,1.81,1.86
4934,2020-08-03,1.74,1.8195,1.72,1.72
4933,2020-07-31,1.92,1.92,1.6501,1.72
4932,2020-07-30,1.62,1.94,1.59,1.88
4931,2020-07-29,1.58,1.6,1.5503,1.56
4930,2020-07-28,1.67,1.67,1.5915,1.5915
4929,2020-07-27,1.7,1.7,1.57,1.59
4928,2020-07-24,1.66,1.71,1.6,1.61
