,Date,Open,High,Low,Close
2085,2020-12-14,25.12,25.19,25.04,25.06
2084,2020-12-11,25.17,25.231,25.1033,25.21
2083,2020-12-10,24.96,25.14,24.95,25.1
2082,2020-12-09,25.0,25.06,24.96,24.98
2081,2020-12-08,25.0,25.08,24.97,24.99
2080,2020-12-07,25.19,25.29,24.91,24.97
2079,2020-12-04,25.21,25.27,25.155,25.25
2078,2020-12-03,25.23,25.32,25.11,25.21
2077,2020-12-02,25.13,25.26,25.13,25.24
2076,2020-12-01,25.13,25.2,25.13,25.16
2075,2020-11-30,25.22,25.28,25.07,25.13
2074,2020-11-27,25.18,25.35,25.135,25.35
2073,2020-11-25,25.07,25.2,25.0501,25.16
2072,2020-11-24,25.13,25.1799,25.03,25.07
2071,2020-11-23,25.13,25.15,25.01,25.11
2070,2020-11-20,25.19,25.2196,25.15,25.17
2069,2020-11-19,25.2,25.239,25.19,25.22
2068,2020-11-18,25.23,25.2419,25.18,25.22
2067,2020-11-17,25.07,25.25,25.07,25.21
2066,2020-11-16,25.25,25.25,25.12,25.16
2065,2020-11-13,25.23,25.23,25.16,25.18
2064,2020-11-12,25.3,25.36,25.1701,25.29
2063,2020-11-11,25.13,25.25,25.08,25.25
2062,2020-11-10,25.14,25.216,25.11,25.11
2061,2020-11-09,25.18,25.25,25.02,25.17
2060,2020-11-06,25.1,25.24,24.99,25.2
2059,2020-11-05,25.07,25.15,25.0,25.0
2058,2020-11-04,24.95,25.15,24.95,25.05
2057,2020-11-03,25.03,25.06,24.95,24.98
2056,2020-11-02,24.99,25.08,24.86,24.92
2055,2020-10-30,24.95,24.99,24.825,24.86
2054,2020-10-29,24.87,25.0,24.83,24.91
2053,2020-10-28,24.9,24.94,24.78,24.88
2052,2020-10-27,24.9,24.9877,24.8696,24.92
2051,2020-10-26,24.98,25.054,24.82,24.87
2050,2020-10-23,25.03,25.05,24.97,24.99
2049,2020-10-22,25.08,25.47,24.9875,25.01
2048,2020-10-21,24.98,25.1,24.9201,25.07
2047,2020-10-20,24.8,25.01,24.8,24.98
2046,2020-10-19,24.86,24.8879,24.78,24.79
2045,2020-10-16,24.78,24.91,24.75,24.88
2044,2020-10-15,24.93,24.93,24.73,24.85
2043,2020-10-14,24.89,24.93,24.802,24.89
2042,2020-10-13,24.85,24.9378,24.821,24.89
2041,2020-10-12,24.9,24.973,24.71,24.8
2040,2020-10-09,24.9,25.02,24.87,24.9
2039,2020-10-08,24.9,25.1,24.9,24.92
2038,2020-10-07,24.95,25.04,24.9,24.9
2037,2020-10-06,24.91,25.05,24.91,25.0
2036,2020-10-05,25.01,25.06,24.86,24.86
2035,2020-10-02,25.04,25.1,24.91,25.0
2034,2020-10-01,25.04,25.1,25.01,25.06
2033,2020-09-30,24.84,25.06,24.84,24.99
2032,2020-09-29,24.99,25.0,24.88,24.9
2031,2020-09-28,25.0,25.05,24.9,24.98
2030,2020-09-25,24.92,25.06,24.92,25.0
2029,2020-09-24,24.71,24.918,24.71,24.9
2028,2020-09-23,24.93,25.0,24.88,24.92
2027,2020-09-22,24.93,24.99,24.896,24.99
2026,2020-09-21,24.96,25.0029,24.8622,24.95
2025,2020-09-18,24.99,25.02,24.93,24.98
2024,2020-09-17,24.94,25.0,24.882,25.0
2023,2020-09-16,25.04,25.04,24.94,24.99
2022,2020-09-15,24.9,25.02,24.8617,25.0
2021,2020-09-14,24.95,24.99,24.9001,24.95
2020,2020-09-11,24.94,25.0,24.92,25.0
2019,2020-09-10,24.9,24.97,24.8868,24.97
2018,2020-09-09,24.75,24.9,24.75,24.9
2017,2020-09-08,24.64,24.75,24.53,24.75
2016,2020-09-04,24.62,24.62,24.41,24.58
2015,2020-09-03,24.5,24.62,24.45,24.51
2014,2020-09-02,24.8,24.89,24.47,24.6
2013,2020-09-01,24.75,24.87,24.71,24.83
2012,2020-08-31,24.6,24.8194,24.6,24.76
2011,2020-08-28,24.3,24.62,24.3,24.57
2010,2020-08-27,24.51,24.51,24.33,24.335
2009,2020-08-26,24.7,24.7,24.47,24.5
2008,2020-08-25,24.76,24.76,24.62,24.68
2007,2020-08-24,24.77,24.81,24.68,24.78
2006,2020-08-21,24.75,24.8,24.68,24.77
2005,2020-08-20,24.67,24.8275,24.66,24.75
2004,2020-08-19,25.0,25.0,24.74,24.74
2003,2020-08-18,25.0,25.04,24.96,25.0
2002,2020-08-17,24.99,25.03,24.94,25.0
2001,2020-08-14,24.99,25.0,24.92,24.97
2000,2020-08-13,24.97,25.05,24.928,25.02
1999,2020-08-12,25.04,25.06,24.9502,25.05
1998,2020-08-11,25.08,25.08,25.03,25.05
1997,2020-08-10,25.05,25.0899,25.02,25.08
1996,2020-08-07,25.01,25.0499,25.0,25.01
1995,2020-08-06,24.98,25.08,24.95,25.03
1994,2020-08-05,24.97,25.06,24.965,25.03
1993,2020-08-04,24.88,25.0,24.88,24.98
1992,2020-08-03,24.86,25.0,24.805,24.87
1991,2020-07-31,24.75,24.831,24.75,24.78
1990,2020-07-30,24.7,24.74,24.7,24.74
1989,2020-07-29,24.66,24.75,24.66,24.68
1988,2020-07-28,24.67,24.739,24.66,24.67
1987,2020-07-27,24.47,24.69,24.47,24.65
1986,2020-07-24,24.56,24.56,24.47,24.55
1985,2020-07-23,24.47,24.54,24.47,24.53
1984,2020-07-22,24.44,24.52,24.41,24.45
1983,2020-07-21,24.31,24.45,24.31,24.42
1982,2020-07-20,24.26,24.38,24.25,24.32
1981,2020-07-17,24.11,24.31,24.09,24.3
1980,2020-07-16,24.17,24.18,24.02,24.08
1979,2020-07-15,24.11,24.18,24.04,24.11
1978,2020-07-14,24.14,24.18,24.1,24.13
1977,2020-07-13,24.19,24.21,24.13,24.15
1976,2020-07-10,24.14,24.21,24.02,24.15
1975,2020-07-09,24.16,24.25,24.08,24.18
1974,2020-07-08,24.0,24.11,23.95,24.05
1973,2020-07-07,23.81,23.99,23.78,23.99
1972,2020-07-06,23.81,23.87,23.71,23.78
1971,2020-07-02,23.82,23.845,23.62,23.74
1970,2020-07-01,23.8,23.9,23.64,23.69
1969,2020-06-30,23.67,23.8,23.67,23.76
1968,2020-06-29,23.75,23.75,23.64,23.74
1967,2020-06-26,23.75,23.75,23.65,23.69
1966,2020-06-25,23.86,24.0,23.7,23.71
1965,2020-06-24,23.89,23.89,23.73,23.79
1964,2020-06-23,23.86,23.86,23.75,23.8
1963,2020-06-22,23.69,23.87,23.68,23.75
1962,2020-06-19,23.66,23.87,23.66,23.75
1961,2020-06-18,23.99,23.99,23.64,23.72
1960,2020-06-17,23.94,23.95,23.84,23.86
1959,2020-06-16,23.66,23.95,23.66,23.95
1958,2020-06-15,23.78,23.78,23.69,23.73
1957,2020-06-12,23.79,23.95,23.73,23.78
1956,2020-06-11,23.88,23.9,23.69,23.82
1955,2020-06-10,23.85,23.95,23.78,23.94
1954,2020-06-09,23.75,23.82,23.65,23.79
1953,2020-06-08,23.67,23.82,23.67,23.73
1952,2020-06-05,23.83,23.9,23.69,23.73
1951,2020-06-04,23.85,23.91,23.74,23.78
1950,2020-06-03,23.85,23.93,23.78,23.82
1949,2020-06-02,23.84,23.94,23.77,23.85
1948,2020-06-01,23.82,23.95,23.76,23.82
1947,2020-05-29,23.53,23.76,23.47,23.7
1946,2020-05-28,23.49,23.59,23.38,23.48
1945,2020-05-27,23.5,23.5,23.15,23.4
1944,2020-05-26,23.2,23.44,23.17,23.32
1943,2020-05-22,23.1,23.17,23.01,23.1
1942,2020-05-21,23.0,23.0,22.83,23.0
1941,2020-05-20,22.74,22.97,22.68,22.83
