,Date,Open,High,Low,Close
4706,2020-12-14,2.06,2.44,1.98,2.07
4705,2020-12-11,2.29,2.4,1.85,1.99
4704,2020-12-10,1.48,2.1762,1.48,2.04
4703,2020-12-09,1.65,1.66,1.47,1.48
4702,2020-12-08,1.26,1.67,1.23,1.67
4701,2020-12-07,1.33,1.33,1.21,1.25
4700,2020-12-04,1.31,1.33,1.28,1.3
4699,2020-12-03,1.43,1.45,1.26,1.29
4698,2020-12-02,1.36,1.42,1.35,1.4
4697,2020-12-01,1.46,1.46,1.31,1.34
4696,2020-11-30,1.63,1.65,1.35,1.35
4695,2020-11-27,1.45,1.645,1.44,1.62
4694,2020-11-25,1.49,1.49,1.3,1.48
4693,2020-11-24,1.48,1.66,1.45,1.5
4692,2020-11-23,1.18,1.39,1.18,1.37
4691,2020-11-20,1.17,1.17,1.12,1.17
4690,2020-11-19,1.13,1.18,1.05,1.18
4689,2020-11-18,1.14,1.16,1.12,1.15
4688,2020-11-17,1.16,1.19,1.08,1.14
4687,2020-11-16,1.17,1.2,1.1,1.2
4686,2020-11-13,0.97,1.07,0.96,1.05
4685,2020-11-12,0.93,1.02,0.8685,0.9857
4684,2020-11-11,0.8501,0.97,0.84,0.8997
4683,2020-11-10,1.08,1.1,0.8,0.8311
4682,2020-11-09,1.28,1.455,1.06,1.08
4681,2020-11-06,1.23,1.26,1.15,1.17
4680,2020-11-05,1.2,1.26,1.18,1.23
4679,2020-11-04,1.33,1.33,1.2,1.2
4678,2020-11-03,1.34,1.36,1.26,1.31
4677,2020-11-02,1.31,1.36,1.23,1.31
4676,2020-10-30,1.31,1.41,1.24,1.29
4675,2020-10-29,1.26,1.31,1.17,1.3
4674,2020-10-28,1.39,1.4,1.28,1.28
4673,2020-10-27,1.54,1.57,1.43,1.44
4672,2020-10-26,1.58,1.6,1.46,1.53
4671,2020-10-23,1.6,1.645,1.54,1.57
4670,2020-10-22,1.67,1.7,1.53,1.59
4669,2020-10-21,1.64,1.77,1.6212,1.68
4668,2020-10-20,1.55,1.66,1.54,1.63
4667,2020-10-19,1.66,1.6678,1.51,1.53
4666,2020-10-16,1.68,1.77,1.6199,1.65
4665,2020-10-15,1.73,1.74,1.6,1.66
4664,2020-10-14,1.76,1.845,1.71,1.74
4663,2020-10-13,1.9,1.91,1.73,1.75
4662,2020-10-12,2.03,2.05,1.9,1.92
4661,2020-10-09,2.08,2.11,1.9,2.04
4660,2020-10-08,2.11,2.15,2.01,2.06
4659,2020-10-07,2.14,2.15,2.05,2.07
4658,2020-10-06,2.29,2.31,2.12,2.12
4657,2020-10-05,2.5,2.52,2.17,2.18
4656,2020-10-02,2.15,2.405,2.1,2.39
4655,2020-10-01,2.32,2.34,2.15,2.2
4654,2020-09-30,2.46,2.49,2.3,2.3
4653,2020-09-29,3.06,3.06,2.4001,2.44
4652,2020-09-28,3.06,3.31,2.99,3.12
4651,2020-09-25,3.35,3.44,3.03,3.05
4650,2020-09-24,3.48,3.65,3.39,3.4
4649,2020-09-23,3.93,4.0131,3.51,3.52
4648,2020-09-22,3.83,4.045,3.79,3.92
4647,2020-09-21,3.95,4.02,3.74,3.86
4646,2020-09-18,3.71,4.17,3.62,4.07
4645,2020-09-17,3.19,3.82,3.11,3.73
4644,2020-09-16,3.06,3.32,3.01,3.21
4643,2020-09-15,2.99,3.17,2.86,3.03
4642,2020-09-14,2.9,3.03,2.78,2.92
4641,2020-09-11,2.72,2.94,2.68,2.91
4640,2020-09-10,2.71,3.085,2.67,2.71
4639,2020-09-09,2.64,2.73,2.58,2.71
4638,2020-09-08,2.7,2.77,2.57,2.63
4637,2020-09-04,2.68,2.82,2.56,2.7
4636,2020-09-03,2.59,2.73,2.58,2.63
4635,2020-09-02,2.63,2.7,2.48,2.6
4634,2020-09-01,2.59,2.66,2.53,2.62
4633,2020-08-31,2.55,2.75,2.51,2.61
4632,2020-08-28,2.43,2.6,2.39,2.57
4631,2020-08-27,2.38,2.477,2.34,2.39
4630,2020-08-26,2.34,2.44,2.28,2.38
4629,2020-08-25,2.41,2.43,2.31,2.35
