,Date,Open,High,Low,Close
5314,2020-12-14,12.38,12.41,11.95,11.98
5313,2020-12-11,12.52,12.77,12.32,12.37
5312,2020-12-10,12.35,12.78,12.25,12.78
5311,2020-12-09,12.38,12.57,12.15,12.3
5310,2020-12-08,12.5,12.52,12.3,12.52
5309,2020-12-07,11.95,12.65,11.87,12.36
5308,2020-12-04,12.08,12.18,11.96,11.97
5307,2020-12-03,11.85,12.2643,11.64,12.0
5306,2020-12-02,11.66,11.85,11.58,11.77
5305,2020-12-01,11.46,11.72,11.38,11.63
5304,2020-11-30,10.84,11.18,10.6,11.1
5303,2020-11-27,10.55,10.92,10.22,10.87
5302,2020-11-25,10.96,11.2007,10.81,10.85
5301,2020-11-24,11.08,11.12,10.75,10.85
5300,2020-11-23,11.61,11.61,11.17,11.21
5299,2020-11-20,11.6,11.75,11.475,11.66
5298,2020-11-19,11.36,11.56,11.27,11.43
5297,2020-11-18,11.54,11.62,11.285,11.51
5296,2020-11-17,11.18,11.79,11.17,11.54
5295,2020-11-16,11.0,11.33,10.92,11.28
5294,2020-11-13,11.67,12.0,11.32,11.36
5293,2020-11-12,11.96,12.15,11.43,11.47
5292,2020-11-11,12.06,12.32,11.735,11.94
5291,2020-11-10,12.8,12.89,11.92,12.04
5290,2020-11-09,12.36,12.975,11.98,12.91
5289,2020-11-06,12.76,13.04,12.66,12.84
5288,2020-11-05,12.67,13.06,12.59,12.73
5287,2020-11-04,12.49,12.68,12.15,12.31
5286,2020-11-03,12.61,12.78,12.42,12.5
5285,2020-11-02,12.43,12.56,12.24,12.46
5284,2020-10-30,12.8,12.8,11.91,12.27
5283,2020-10-29,12.5,12.9,12.27,12.69
5282,2020-10-28,12.88,12.88,12.4475,12.62
5281,2020-10-27,12.8,13.44,12.69,13.3
5280,2020-10-26,12.92,13.2,12.79,12.89
5279,2020-10-23,13.01,13.17,12.77,12.97
5278,2020-10-22,12.87,13.27,12.76,13.03
5277,2020-10-21,12.79,13.24,12.79,13.0
5276,2020-10-20,12.16,12.66,12.15,12.66
5275,2020-10-19,12.54,12.58,12.16,12.16
5274,2020-10-16,12.21,12.4,12.11,12.32
5273,2020-10-15,12.12,12.4,12.022,12.2
5272,2020-10-14,12.55,12.67,12.26,12.33
5271,2020-10-13,12.5,12.5,12.1113,12.46
5270,2020-10-12,12.6,12.66,12.41,12.58
5269,2020-10-09,12.5,12.66,12.44,12.6
5268,2020-10-08,12.44,12.53,12.25,12.37
5267,2020-10-07,12.09,12.41,12.03,12.25
5266,2020-10-06,12.45,12.45,11.92,12.03
5265,2020-10-05,12.08,12.405,12.0,12.31
5264,2020-10-02,12.0,12.23,11.88,12.0
5263,2020-10-01,12.37,12.39,12.07,12.14
5262,2020-09-30,12.08,12.31,11.865,12.22
5261,2020-09-29,12.16,12.41,12.08,12.14
5260,2020-09-28,12.24,12.4,12.015,12.11
5259,2020-09-25,11.8,12.13,11.51,12.11
5258,2020-09-24,11.35,12.12,11.32,11.89
5257,2020-09-23,11.95,12.0,11.24,11.34
5256,2020-09-22,11.85,12.25,11.81,12.12
5255,2020-09-21,11.97,12.35,11.83,11.85
5254,2020-09-18,12.15,12.28,11.83,12.28
5253,2020-09-17,12.02,12.22,11.775,12.13
5252,2020-09-16,11.8,12.45,11.62,12.35
5251,2020-09-15,12.53,12.63,11.675,11.75
5250,2020-09-14,12.61,12.74,12.48,12.58
5249,2020-09-11,13.08,13.1,12.47,12.58
5248,2020-09-10,13.25,13.36,12.91,13.04
5247,2020-09-09,13.04,13.43,12.9,13.14
5246,2020-09-08,13.22,13.24,12.59,12.88
5245,2020-09-04,13.86,13.87,13.29,13.72
5244,2020-09-03,13.76,14.06,13.29,13.98
5243,2020-09-02,14.12,14.15,13.68,13.85
5242,2020-09-01,14.24,14.32,14.1,14.25
5241,2020-08-31,13.72,14.29,13.65,14.08
5240,2020-08-28,13.62,14.0,13.49,13.83
5239,2020-08-27,13.73,13.81,13.03,13.29
5238,2020-08-26,13.05,13.59,12.66,13.5
5237,2020-08-25,13.17,13.29,12.88,13.24
5236,2020-08-24,13.67,13.68,13.23,13.26
5235,2020-08-21,13.5,13.59,13.22,13.59
5234,2020-08-20,13.19,13.75,13.12,13.71
5233,2020-08-19,13.48,13.72,13.13,13.29
5232,2020-08-18,14.0,14.04,13.25,13.68
5231,2020-08-17,13.53,13.9,13.28,13.86
5230,2020-08-14,13.22,13.24,12.85,13.22
5229,2020-08-13,12.69,13.3,12.57,13.15
5228,2020-08-12,12.55,12.75,12.41,12.48
5227,2020-08-11,12.37,12.7,12.19,12.41
5226,2020-08-10,13.35,13.49,12.945,12.99
5225,2020-08-07,13.08,13.16,12.51,13.06
5224,2020-08-06,13.0,13.69,12.96,13.33
5223,2020-08-05,12.71,13.31,12.44,12.95
5222,2020-08-04,11.59,12.33,11.54,12.29
5221,2020-08-03,11.67,11.74,11.38,11.68
5220,2020-07-31,12.49,12.51,11.8,11.86
5219,2020-07-30,12.17,12.505,12.01,12.23
