,Date,Open,High,Low,Close
620,2020-12-14,13.75,14.17,13.48,14.08
619,2020-12-11,13.57,13.79,13.44,13.47
618,2020-12-10,13.51,13.75,13.26,13.71
617,2020-12-09,13.96,14.15,13.5104,13.7
616,2020-12-08,13.6,13.96,13.6,13.84
615,2020-12-07,13.67,13.775,13.45,13.75
614,2020-12-04,13.7,13.95,13.52,13.8
613,2020-12-03,13.88,14.02,13.4,13.42
612,2020-12-02,13.73,14.11,13.465,13.65
611,2020-12-01,13.96,14.19,13.59,13.67
610,2020-11-30,14.13,14.24,13.58,13.64
609,2020-11-27,14.5,14.67,14.1,14.26
608,2020-11-25,14.99,15.05,14.52,14.61
607,2020-11-24,14.99,15.0,14.68,14.96
606,2020-11-23,14.36,14.8,13.96,14.6
605,2020-11-20,13.63,14.2,13.61,14.18
604,2020-11-19,14.04,14.225,13.25,13.78
603,2020-11-18,14.52,15.21,13.77,14.27
602,2020-11-17,14.6,14.91,14.2,14.68
601,2020-11-16,14.81,15.04,14.48,14.72
600,2020-11-13,13.82,14.42,13.76,14.38
599,2020-11-12,13.91,14.1434,13.47,13.58
598,2020-11-11,14.45,14.54,13.73,14.1
597,2020-11-10,14.0,14.56,13.84,14.34
596,2020-11-09,13.98,14.43,13.35,13.94
595,2020-11-06,13.24,13.25,12.805,12.85
594,2020-11-05,12.67,13.34,12.66,13.12
593,2020-11-04,12.8,13.01,12.19,12.51
592,2020-11-03,13.44,13.5,12.91,13.17
591,2020-11-02,12.39,13.5,12.29,13.16
590,2020-10-30,12.08,12.33,11.9,12.23
589,2020-10-29,11.98,12.41,11.89,12.22
588,2020-10-28,12.09,12.385,11.805,12.03
587,2020-10-27,12.75,12.862,12.3,12.44
586,2020-10-26,12.75,12.91,12.51,12.83
585,2020-10-23,13.41,13.46,12.92,12.94
584,2020-10-22,12.99,13.33,12.6334,13.24
583,2020-10-21,12.88,13.05,12.64,12.85
582,2020-10-20,13.06,13.3296,12.93,12.95
581,2020-10-19,13.5,13.65,12.79,12.91
580,2020-10-16,13.16,13.42,12.99,13.36
579,2020-10-15,12.99,13.2,12.78,13.17
578,2020-10-14,13.47,13.59,13.07,13.07
577,2020-10-13,13.28,13.43,13.01,13.36
576,2020-10-12,13.29,13.48,13.13,13.42
575,2020-10-09,13.57,13.625,13.02,13.2
574,2020-10-08,13.73,13.98,13.35,13.48
573,2020-10-07,13.29,13.635,13.21,13.42
572,2020-10-06,13.0,13.3,12.64,13.0
571,2020-10-05,12.64,12.99,12.64,12.88
570,2020-10-02,11.81,12.66,11.65,12.58
569,2020-10-01,11.36,12.07,11.34,12.04
568,2020-09-30,11.84,12.25,11.36,11.4
567,2020-09-29,12.15,12.21,11.7,11.9
566,2020-09-28,12.03,12.28,12.01,12.08
565,2020-09-25,11.54,11.95,11.54,11.82
564,2020-09-24,11.77,11.98,11.56,11.7
563,2020-09-23,11.91,12.36,11.64,11.66
562,2020-09-22,11.06,11.99,10.9701,11.99
561,2020-09-21,11.75,11.8,10.93,11.1
560,2020-09-18,12.36,12.55,12.08,12.16
559,2020-09-17,11.99,12.33,11.875,12.24
558,2020-09-16,12.15,12.31,12.06,12.14
557,2020-09-15,12.2,12.32,11.92,12.12
556,2020-09-14,11.53,11.98,11.42,11.98
555,2020-09-11,11.61,11.71,11.27,11.37
554,2020-09-10,12.25,12.3124,11.42,11.51
553,2020-09-09,12.0,12.26,11.87,12.14
552,2020-09-08,12.27,12.27,11.9,11.9
551,2020-09-04,12.9,13.01,12.29,12.46
550,2020-09-03,13.19,13.36,12.62,12.69
549,2020-09-02,12.95,13.2,12.77,13.15
548,2020-09-01,12.17,12.93,12.17,12.92
547,2020-08-31,12.51,12.51,12.2,12.28
546,2020-08-28,12.41,12.67,12.11,12.58
545,2020-08-27,12.4,12.57,12.19,12.31
544,2020-08-26,12.5,12.76,12.31,12.31
543,2020-08-25,12.57,12.59,12.29,12.51
542,2020-08-24,12.18,12.56,12.03,12.53
541,2020-08-21,12.13,12.24,11.9,12.0
540,2020-08-20,11.97,12.27,11.97,12.16
539,2020-08-19,12.07,12.23,11.97,12.18
538,2020-08-18,12.19,12.31,12.05,12.1
537,2020-08-17,12.42,12.42,11.965,12.24
536,2020-08-14,12.22,12.65,12.22,12.45
535,2020-08-13,12.86,12.86,12.04,12.41
534,2020-08-12,13.48,13.49,12.75,12.76
533,2020-08-11,13.26,13.4294,13.15,13.25
532,2020-08-10,12.87,13.27,12.79,13.03
531,2020-08-07,12.45,13.02,12.45,12.84
530,2020-08-06,12.29,13.17,12.29,12.51
529,2020-08-05,12.78,12.78,11.86,12.24
528,2020-08-04,12.11,12.42,12.11,12.27
527,2020-08-03,12.29,12.39,12.11,12.25
526,2020-07-31,12.05,12.14,11.7116,12.12
525,2020-07-30,11.92,12.33,11.88,12.15
524,2020-07-29,11.71,12.19,11.71,12.18
523,2020-07-28,11.74,11.89,11.51,11.66
522,2020-07-27,11.7,11.9,11.595,11.83
521,2020-07-24,12.08,12.18,11.71,11.72
520,2020-07-23,11.82,12.3,11.81,12.1
519,2020-07-22,11.95,12.13,11.48,11.84
518,2020-07-21,11.79,12.12,11.7,11.99
517,2020-07-20,11.83,11.95,11.435,11.67
516,2020-07-17,11.94,12.17,11.82,11.95
515,2020-07-16,11.69,11.95,11.51,11.92
514,2020-07-15,11.4,11.88,11.4,11.75
513,2020-07-14,10.78,11.16,10.64,10.99
512,2020-07-13,10.86,11.11,10.5,10.85
511,2020-07-10,10.48,10.97,10.46,10.75
510,2020-07-09,10.98,10.98,10.38,10.49
509,2020-07-08,11.0,11.11,10.52,11.03
508,2020-07-07,11.48,11.68,11.0,11.02
507,2020-07-06,11.79,12.03,11.54,11.62
506,2020-07-02,11.68,12.05,11.43,11.49
505,2020-07-01,11.24,11.65,11.23,11.4
504,2020-06-30,11.32,11.46,11.05,11.2
503,2020-06-29,11.08,11.51,10.99,11.28
502,2020-06-26,10.65,11.05,10.58,10.8
501,2020-06-25,10.75,10.85,10.37,10.82
500,2020-06-24,11.17,11.36,10.76,10.86
499,2020-06-23,11.27,11.45,11.02,11.36
498,2020-06-22,11.43,11.4808,10.89,11.09
497,2020-06-19,11.52,11.84,11.27,11.55
496,2020-06-18,11.67,11.74,11.02,11.4
495,2020-06-17,11.98,12.23,11.57,11.87
494,2020-06-16,12.99,12.99,11.825,11.99
493,2020-06-15,11.85,12.51,11.85,12.37
492,2020-06-12,12.49,12.5,11.63,12.33
491,2020-06-11,13.23,13.23,11.31,11.94
490,2020-06-10,15.2,15.25,14.57,14.7
489,2020-06-09,15.9,16.145,15.2,15.23
488,2020-06-08,16.12,16.34,15.83,16.26
487,2020-06-05,15.6,16.07,15.43,15.81
486,2020-06-04,14.61,15.23,14.61,14.81
485,2020-06-03,14.71,15.0,14.59,14.87
484,2020-06-02,14.0,14.55,13.79,14.37
483,2020-06-01,13.83,14.49,13.75,13.89
482,2020-05-29,13.89,14.2033,13.4,13.69
481,2020-05-28,15.17,15.32,13.85,14.18
480,2020-05-27,14.44,14.75,14.01,14.73
479,2020-05-26,14.29,14.38,13.9,14.17
