,Date,Open,High,Low,Close
3273,2020-12-14,36.12,37.0,35.27,35.67
3272,2020-12-11,34.96,36.235,34.77,36.09
3271,2020-12-10,33.0,36.0,32.11,35.52
3270,2020-12-09,32.0,35.32,31.45,34.11
3269,2020-12-08,25.94,26.4,25.68,25.87
3268,2020-12-07,26.19,26.76,25.3177,26.17
3267,2020-12-04,25.53,26.37,25.14,26.31
3266,2020-12-03,25.24,25.39,24.8,25.2
3265,2020-12-02,24.34,25.29,24.01,25.15
3264,2020-12-01,24.95,25.0,24.24,24.43
3263,2020-11-30,26.0,26.0,24.18,24.28
3262,2020-11-27,25.85,25.9,25.07,25.9
3261,2020-11-25,24.89,25.78,24.41,25.73
3260,2020-11-24,25.43,25.8,24.54,24.87
3259,2020-11-23,23.17,25.41,22.935,24.64
3258,2020-11-20,22.59,23.05,22.25,22.86
3257,2020-11-19,22.45,23.2053,21.99,22.9
3256,2020-11-18,23.39,23.43,22.52,22.56
3255,2020-11-17,22.49,23.55,21.91,23.11
3254,2020-11-16,22.17,23.62,21.79,22.88
3253,2020-11-13,20.16,21.54,19.93,21.34
3252,2020-11-12,20.19,20.659,19.48,19.875
3251,2020-11-11,21.78,22.38,20.04,20.47
3250,2020-11-10,21.825,22.35,21.39,21.77
3249,2020-11-09,19.12,21.92,18.845,21.33
3248,2020-11-06,19.35,19.35,17.56,17.63
3247,2020-11-05,18.76,19.68,18.76,19.4
3246,2020-11-04,18.39,18.77,18.01,18.5
3245,2020-11-03,18.12,18.79,18.12,18.5
3244,2020-11-02,17.99,18.57,17.515,18.01
3243,2020-10-30,18.99,18.99,16.67,17.81
3242,2020-10-29,17.73,19.0599,17.57,17.94
3241,2020-10-28,18.58,18.7,17.655,17.76
3240,2020-10-27,19.63,19.79,18.74,18.99
3239,2020-10-26,20.05,20.35,19.3,19.78
3238,2020-10-23,20.73,21.18,20.32,20.45
3237,2020-10-22,19.58,20.74,19.33,20.57
3236,2020-10-21,19.35,19.92,19.255,19.32
3235,2020-10-20,20.03,20.36,19.4,19.43
3234,2020-10-19,20.43,20.55,19.76,19.81
3233,2020-10-16,20.42,20.99,20.17,20.2
3232,2020-10-15,20.53,20.78,19.905,20.42
3231,2020-10-14,21.07,21.25,20.71,20.82
3230,2020-10-13,21.04,21.64,20.88,21.08
3229,2020-10-12,21.14,21.24,20.62,21.21
3228,2020-10-09,21.43,21.43,20.71,21.03
3227,2020-10-08,21.17,21.75,20.9401,21.19
3226,2020-10-07,21.43,21.89,20.61,20.88
3225,2020-10-06,21.33,22.03,21.05,21.33
3224,2020-10-05,21.41,21.43,20.58,20.97
3223,2020-10-02,19.83,21.22,19.4,21.06
3222,2020-10-01,19.78,20.41,19.34,20.41
3221,2020-09-30,20.41,20.8329,19.44,19.8
3220,2020-09-29,20.24,20.5675,19.86,20.28
3219,2020-09-28,19.82,20.9,19.82,20.27
3218,2020-09-25,19.37,19.79,19.08,19.51
3217,2020-09-24,19.7,20.185,19.09,19.55
3216,2020-09-23,20.9,21.44,19.8,19.83
3215,2020-09-22,20.65,21.25,20.4,20.93
3214,2020-09-21,20.17,20.35,18.985,20.25
3213,2020-09-18,20.92,21.09,20.355,20.8
3212,2020-09-17,19.33,21.39,19.2,20.66
3211,2020-09-16,18.73,19.6,18.67,19.15
3210,2020-09-15,19.97,20.53,18.5575,18.72
3209,2020-09-14,19.56,20.1,19.485,19.78
3208,2020-09-11,19.65,19.94,19.245,19.4
3207,2020-09-10,20.0,20.4,19.675,19.68
3206,2020-09-09,20.83,20.89,19.59,19.9
3205,2020-09-08,21.25,21.43,20.62,20.7
3204,2020-09-04,22.57,22.6692,21.52,21.75
3203,2020-09-03,22.98,23.29,21.9,22.14
3202,2020-09-02,21.8,23.1,21.8,22.97
3201,2020-09-01,21.72,22.0,21.21,21.71
3200,2020-08-31,22.58,22.58,21.58,21.71
3199,2020-08-28,22.82,22.94,22.185,22.7
3198,2020-08-27,22.45,23.0916,22.215,22.8
3197,2020-08-26,22.85,23.0,22.365,22.48
3196,2020-08-25,22.86,23.0,22.385,22.84
3195,2020-08-24,22.01,22.73,21.6501,22.7
3194,2020-08-21,21.74,22.09,21.57,21.71
3193,2020-08-20,21.52,22.19,21.52,21.85
3192,2020-08-19,21.91,22.57,21.8,22.07
3191,2020-08-18,22.62,22.71,21.9,22.02
3190,2020-08-17,22.65,22.89,22.21,22.57
3189,2020-08-14,22.69,22.96,22.21,22.68
3188,2020-08-13,23.15,23.17,22.32,22.8
3187,2020-08-12,23.77,24.06,22.6336,23.27
3186,2020-08-11,22.66,23.97,22.645,23.62
3185,2020-08-10,21.51,23.19,21.4,22.32
3184,2020-08-07,23.78,24.25,21.09,21.4
3183,2020-08-06,23.4,24.425,23.31,24.25
3182,2020-08-05,23.57,24.4,23.4,23.69
3181,2020-08-04,21.99,23.56,21.75,23.05
