,Date,Open,High,Low,Close
2770,2020-12-14,1.9523,1.97,1.9001,1.9001
2769,2020-12-11,2.06,2.06,1.9,1.9
2768,2020-12-10,2.07,2.07,1.9089,1.94
2767,2020-12-09,1.96,2.09,1.92,1.97
2766,2020-12-08,2.07,2.1,1.89,1.965
2765,2020-12-07,2.2,2.3,2.1456,2.22
2764,2020-12-04,1.91,2.4,1.83,2.4
2763,2020-12-03,2.09,2.09,1.83,1.91
2762,2020-12-02,1.94,2.0292,1.94,2.0
2761,2020-12-01,1.91,1.94,1.91,1.94
2760,2020-11-30,1.98,2.01,1.9,1.9
2759,2020-11-27,2.06,2.06,2.05,2.06
2758,2020-11-25,2.09,2.14,2.01,2.0303
2757,2020-11-24,2.1687,2.23,2.1687,2.18
2756,2020-11-23,2.4,2.4,2.1,2.2455
2755,2020-11-20,2.4,2.4,2.17,2.28
2754,2020-11-19,1.95,2.29,1.95,2.29
2753,2020-11-18,2.25,2.2571,2.07,2.254
2752,2020-11-17,2.19,2.34,2.12,2.31
2751,2020-11-16,2.21,2.4,2.2,2.31
2750,2020-11-13,2.3473,2.4,2.3073,2.31
2749,2020-11-12,2.25,2.37,2.25,2.3066
2748,2020-11-11,2.2001,2.25,2.2001,2.25
2747,2020-11-10,1.9733,2.17,1.9733,2.1
2746,2020-11-09,2.22,2.22,2.0027,2.01
2745,2020-11-06,2.0965,2.15,2.08,2.11
2744,2020-11-05,2.1187,2.1187,2.1187,2.1187
2743,2020-11-04,1.95,2.1187,1.95,2.1187
2742,2020-11-03,1.855,2.1,1.855,2.05
2741,2020-11-02,1.84,1.89,1.84,1.89
2740,2020-10-30,1.9038,1.9038,1.85,1.85
2739,2020-10-29,1.94,1.94,1.94,1.94
2738,2020-10-28,2.03,2.03,1.82,1.87
2737,2020-10-27,1.85,2.17,1.85,2.007
2736,2020-10-26,1.8396,1.8396,1.8396,1.8396
2735,2020-10-23,2.0,2.0527,1.84,1.87
2734,2020-10-22,1.7216,2.1558,1.68,2.13
2733,2020-10-21,1.705,1.73,1.705,1.7299
2732,2020-10-20,1.68,1.8665,1.68,1.75
2731,2020-10-19,1.7001,1.7001,1.7001,1.7001
2730,2020-10-16,1.7,1.72,1.7,1.7001
2729,2020-10-15,1.71,1.71,1.71,1.71
2728,2020-10-14,1.71,1.71,1.71,1.71
2727,2020-10-13,1.77,1.77,1.71,1.71
2726,2020-10-12,1.7186,1.76,1.7186,1.735
2725,2020-10-09,1.74,1.78,1.74,1.75
2724,2020-10-08,1.8173,1.8173,1.8173,1.8173
2723,2020-10-07,1.81,1.8173,1.795,1.8173
2722,2020-10-06,1.9,1.9,1.78,1.81
2721,2020-10-05,1.82,2.0371,1.82,2.0371
2720,2020-10-02,1.81,1.87,1.805,1.805
2719,2020-10-01,1.94,1.94,1.88,1.88
2718,2020-09-30,1.95,2.0,1.95,1.975
2717,2020-09-29,1.966,1.9922,1.88,1.9814
2716,2020-09-28,2.02,2.02,1.93,1.975
2715,2020-09-25,2.04,2.05,2.04,2.05
2714,2020-09-24,2.0,2.0,2.0,2.0
2713,2020-09-23,1.99,1.99,1.99,1.99
2712,2020-09-22,2.06,2.06,2.06,2.06
2711,2020-09-21,2.06,2.06,2.06,2.06
2710,2020-09-18,2.03,2.04,2.02,2.04
2709,2020-09-17,2.06,2.06,2.06,2.06
2708,2020-09-16,2.035,2.06,2.035,2.06
2707,2020-09-15,2.05,2.0728,2.025,2.06
2706,2020-09-14,2.09,2.12,2.09,2.12
2705,2020-09-11,2.0027,2.0387,2.0,2.02
2704,2020-09-10,2.0305,2.0305,2.0305,2.0305
2703,2020-09-09,2.0305,2.0305,2.0305,2.0305
2702,2020-09-08,2.04,2.04,2.04,2.04
2701,2020-09-04,2.03,2.12,2.03,2.1
2700,2020-09-03,2.03,2.11,2.01,2.11
2699,2020-09-02,2.18,2.18,2.13,2.17
2698,2020-09-01,2.1,2.175,2.1,2.14
2697,2020-08-31,2.1,2.12,2.01,2.0528
2696,2020-08-28,2.0,2.12,2.0,2.1
2695,2020-08-27,1.93,2.0,1.93,2.0
2694,2020-08-26,1.95,2.01,1.895,2.01
2693,2020-08-25,2.07,2.07,1.94,1.96
2692,2020-08-24,1.94,2.01,1.9,1.95
