,Date,Open,High,Low,Close
1248,2020-12-14,1.59,1.65,1.52,1.56
1247,2020-12-11,1.63,1.64,1.55,1.621
1246,2020-12-10,1.62,1.8,1.57,1.64
1245,2020-12-09,1.66,1.7,1.63,1.66
1244,2020-12-08,1.71,1.7386,1.63,1.69
1243,2020-12-07,1.8,1.8,1.6201,1.7055
1242,2020-12-04,1.66,1.84,1.57,1.765
1241,2020-12-03,1.6,1.65,1.56,1.61
1240,2020-12-02,1.57,1.599,1.51,1.54
1239,2020-12-01,1.77,1.77,1.56,1.61
1238,2020-11-30,1.6122,1.6912,1.6,1.69
1237,2020-11-27,1.6328,1.66,1.6,1.62
1236,2020-11-25,1.62,1.66,1.6001,1.63
1235,2020-11-24,1.63,1.67,1.545,1.58
1234,2020-11-23,1.68,1.7299,1.61,1.65
1233,2020-11-20,1.6961,1.78,1.6,1.67
1232,2020-11-19,1.68,1.77,1.67,1.74
1231,2020-11-18,1.73,1.78,1.63,1.68
1230,2020-11-17,1.86,1.9799,1.68,1.73
1229,2020-11-16,1.64,2.0,1.61,1.78
1228,2020-11-13,1.61,1.69,1.61,1.64
1227,2020-11-12,1.59,1.68,1.59,1.68
1226,2020-11-11,1.61,1.7,1.55,1.67
1225,2020-11-10,1.75,1.76,1.62,1.68
1224,2020-11-09,1.9,1.9,1.75,1.75
1223,2020-11-06,1.88,2.02,1.87,1.91
1222,2020-11-05,1.85,2.1,1.85,1.97
1221,2020-11-04,1.74,1.98,1.74,1.89
1220,2020-11-03,1.71,1.9,1.71,1.83
1219,2020-11-02,1.65,1.82,1.65,1.77
1218,2020-10-30,1.63,1.79,1.588,1.73
1217,2020-10-29,1.75,1.77,1.6,1.7
1216,2020-10-28,1.75,1.865,1.7014,1.8
1215,2020-10-27,1.72,1.791,1.6501,1.77
1214,2020-10-26,1.67,1.82,1.52,1.78
1213,2020-10-23,1.51,1.98,1.5092,1.79
1212,2020-10-22,1.34,1.66,1.34,1.65
1211,2020-10-21,1.47,1.71,1.3903,1.58
1210,2020-10-20,1.85,1.87,1.34,1.87
1209,2020-10-19,3.0,4.1,1.95,2.29
1208,2020-10-16,0.8199,2.0,0.8199,1.1
1207,2020-10-15,0.767,0.8299,0.7669,0.82
1206,2020-10-14,0.84,0.84,0.76,0.767
1205,2020-10-13,0.8,0.89,0.7503,0.7608
1204,2020-10-12,0.81,0.8924,0.73,0.76
1203,2020-10-09,0.91,0.91,0.7309,0.8789
1202,2020-10-08,0.7812,0.85,0.7265,0.803
1201,2020-10-07,0.85,0.85,0.71,0.84
1200,2020-10-06,0.7399,0.9,0.7001,0.8261
1199,2020-10-05,0.91,0.91,0.8,0.908
1198,2020-10-02,0.89,0.9035,0.86,0.86
1197,2020-10-01,0.89,0.89,0.89,0.89
1196,2020-09-30,0.898,0.904,0.896,0.896
1195,2020-09-29,0.861,0.8999,0.861,0.8999
1194,2020-09-28,0.9,0.92,0.85,0.86
1193,2020-09-25,0.9,1.0,0.9,0.9268
1192,2020-09-24,0.998,0.998,0.9979,0.998
1191,2020-09-23,1.03,1.09,0.9001,0.9001
1190,2020-09-22,1.12,1.17,1.06,1.09
1189,2020-09-21,1.09,1.09,1.09,1.09
1188,2020-09-18,1.08,1.09,1.07,1.09
1187,2020-09-17,1.09,1.09,1.01,1.01
1186,2020-09-16,1.13,1.14,1.08,1.08
1185,2020-09-15,1.1154,1.1154,1.08,1.0801
1184,2020-09-14,1.12,1.15,1.1173,1.15
1183,2020-09-11,1.11,1.11,1.11,1.11
1182,2020-09-10,1.11,1.11,1.11,1.11
1181,2020-09-09,1.1138,1.1138,1.11,1.11
1180,2020-09-08,1.1506,1.1506,1.1506,1.1506
1179,2020-09-04,1.18,1.18,1.1506,1.1506
1178,2020-09-03,1.1106,1.15,1.11,1.11
1177,2020-09-02,1.23,1.23,1.15,1.15
1176,2020-09-01,1.12,1.1899,1.11,1.11
1175,2020-08-31,1.25,1.25,1.25,1.25
1174,2020-08-28,1.1401,1.24,1.14,1.24
1173,2020-08-27,1.13,1.308,1.13,1.308
1172,2020-08-26,1.14,1.26,1.12,1.26
1171,2020-08-25,1.13,1.2,1.12,1.2
1170,2020-08-24,1.28,1.28,1.12,1.18
1169,2020-08-21,1.31,1.31,1.31,1.31
1168,2020-08-20,1.38,1.38,1.38,1.38
1167,2020-08-19,1.38,1.38,1.38,1.38
1166,2020-08-18,1.47,1.47,1.2801,1.31
1165,2020-08-17,1.5599,1.5599,1.4301,1.47
1164,2020-08-14,1.61,1.61,1.48,1.48
1163,2020-08-13,1.64,1.64,1.6199,1.6199
1162,2020-08-12,1.6132,1.6132,1.5131,1.5131
1161,2020-08-11,1.52,1.6789,1.52,1.53
1160,2020-08-10,1.56,1.6375,1.56,1.6001
1159,2020-08-07,1.6969,1.7194,1.42,1.5
1158,2020-08-06,1.71,1.78,1.7001,1.7001
1157,2020-08-05,1.82,1.82,1.71,1.71
1156,2020-08-04,1.84,1.84,1.71,1.7231
