,Date,Open,High,Low,Close
5314,2020-12-14,21.7,21.7,20.59,20.66
5313,2020-12-11,22.02,22.02,20.59,20.64
5312,2020-12-10,20.95,21.4,20.95,21.31
5311,2020-12-09,21.33,21.59,21.1,21.5
5310,2020-12-08,20.77,21.3,20.67,21.06
5309,2020-12-07,20.97,21.13,20.61,21.02
5308,2020-12-04,21.28,21.28,20.33,21.06
5307,2020-12-03,20.46,20.46,20.12,20.21
5306,2020-12-02,19.95,20.4399,19.875,20.31
5305,2020-12-01,20.47,20.4773,19.72,20.0
5304,2020-11-30,20.49,20.73,19.59,19.68
5303,2020-11-27,20.71,20.945,20.285,20.56
5302,2020-11-25,20.67,20.98,20.155,20.75
5301,2020-11-24,21.01,21.01,20.27,20.67
5300,2020-11-23,20.0,20.35,19.75,19.82
5299,2020-11-20,19.83,20.09,19.77,20.05
5298,2020-11-19,19.77,20.3,19.3901,20.23
5297,2020-11-18,21.24,21.24,19.77,19.81
5296,2020-11-17,19.18,20.1209,19.13,19.86
5295,2020-11-16,18.88,19.58,18.69,19.51
5294,2020-11-13,19.17,19.17,18.43,18.48
5293,2020-11-12,19.18,19.56,18.84,18.84
5292,2020-11-11,20.76,20.76,19.1,19.6
5291,2020-11-10,20.29,21.47,20.2834,20.72
5290,2020-11-09,19.17,21.23,18.86,19.93
5289,2020-11-06,18.87,18.87,17.65,17.87
5288,2020-11-05,18.01,18.88,18.01,18.77
5287,2020-11-04,18.7,18.7,17.89,18.02
5286,2020-11-03,18.89,19.28,18.57,19.1
5285,2020-11-02,18.29,18.63,18.06,18.41
5284,2020-10-30,18.25,18.4017,17.95,18.14
5283,2020-10-29,18.01,18.29,17.4741,18.25
5282,2020-10-28,18.1,18.33,17.94,18.11
5281,2020-10-27,19.9,19.9,18.28,18.37
5280,2020-10-26,19.82,20.48,19.69,19.91
5279,2020-10-23,19.07,20.18,18.81,20.07
5278,2020-10-22,17.275,18.88,16.47,18.84
5277,2020-10-21,16.93,17.95,16.81,17.5
5276,2020-10-20,16.72,16.91,16.63,16.77
5275,2020-10-19,16.54,16.68,16.46,16.47
5274,2020-10-16,16.33,16.7637,16.2,16.46
5273,2020-10-15,15.85,16.59,15.55,16.45
5272,2020-10-14,16.14,16.41,16.03,16.1
5271,2020-10-13,16.63,17.04,16.23,16.23
5270,2020-10-12,16.68,17.09,16.56,16.92
5269,2020-10-09,16.89,16.95,16.52,16.69
5268,2020-10-08,16.79,16.9,16.42,16.8
5267,2020-10-07,16.36,16.71,16.29,16.62
5266,2020-10-06,16.1,16.79,16.02,16.25
5265,2020-10-05,15.85,16.07,15.655,16.04
5264,2020-10-02,15.37,15.67,14.85,15.61
5263,2020-10-01,14.88,15.09,14.61,15.07
5262,2020-09-30,14.88,15.05,14.75,14.87
5261,2020-09-29,14.7,14.88,14.51,14.8
5260,2020-09-28,14.63,15.0,14.47,14.81
5259,2020-09-25,14.29,14.52,14.12,14.35
5258,2020-09-24,14.05,14.77,14.0007,14.46
5257,2020-09-23,14.54,14.71,13.95,14.01
5256,2020-09-22,14.77,14.84,14.44,14.5
5255,2020-09-21,15.15,15.18,14.38,14.7
5254,2020-09-18,15.63,15.63,15.34,15.45
5253,2020-09-17,15.47,15.65,15.47,15.51
5252,2020-09-16,15.45,15.94,15.45,15.7
5251,2020-09-15,15.53,15.7191,15.38,15.45
5250,2020-09-14,15.58,15.79,15.41,15.51
5249,2020-09-11,15.51,15.74,15.14,15.56
5248,2020-09-10,15.56,15.67,15.0,15.36
5247,2020-09-09,15.85,16.0,15.62,15.63
5246,2020-09-08,16.33,16.58,15.74,15.79
5245,2020-09-04,16.43,16.75,16.28,16.53
5244,2020-09-03,15.99,16.48,15.86,16.24
5243,2020-09-02,16.18,16.57,15.9,16.0
5242,2020-09-01,16.0,16.27,15.85,16.27
5241,2020-08-31,16.3,16.51,15.89,15.95
5240,2020-08-28,16.54,16.67,16.24,16.36
5239,2020-08-27,16.7,16.9548,16.3,16.33
5238,2020-08-26,16.94,17.17,16.46,16.48
5237,2020-08-25,17.34,17.44,16.8,16.99
5236,2020-08-24,16.9,17.35,16.72,17.24
5235,2020-08-21,16.81,16.99,16.51,16.63
5234,2020-08-20,16.94,17.02,16.595,17.01
5233,2020-08-19,17.0566,17.62,17.0566,17.28
5232,2020-08-18,18.06,18.06,16.87,17.13
5231,2020-08-17,17.75,18.1,17.49,18.06
5230,2020-08-14,17.45,18.1,17.45,18.06
5229,2020-08-13,17.86,17.93,17.47,17.635
5228,2020-08-12,18.35,18.35,17.85,18.03
5227,2020-08-11,17.93,18.38,17.91,17.96
5226,2020-08-10,17.54,18.1,17.48,17.8
5225,2020-08-07,16.48,17.54,16.48,17.54
5224,2020-08-06,16.51,16.69,16.51,16.63
