,Date,Open,High,Low,Close
4182,2020-12-14,5.99,6.105,5.55,5.56
4181,2020-12-11,6.19,6.24,5.8601,5.9
4180,2020-12-10,6.15,6.47,6.0,6.22
4179,2020-12-09,6.6,6.64,5.96,6.17
4178,2020-12-08,6.2496,6.71,6.15,6.66
4177,2020-12-07,6.4,6.6,6.11,6.36
4176,2020-12-04,6.02,6.63,5.81,6.46
4175,2020-12-03,7.2094,7.6799,6.99,7.51
4174,2020-12-02,6.48,7.84,6.4,7.04
4173,2020-12-01,5.83,6.66,5.68,6.49
4172,2020-11-30,5.39,5.795,5.35,5.74
4171,2020-11-27,5.37,5.45,5.23,5.42
4170,2020-11-25,5.27,5.455,5.18,5.34
4169,2020-11-24,5.2,5.3397,5.005,5.28
4168,2020-11-23,5.04,5.2,4.94,5.2
4167,2020-11-20,5.04,5.09,4.92,5.07
4166,2020-11-19,4.92,5.09,4.81,5.09
4165,2020-11-18,4.63,5.02,4.6,4.915
4164,2020-11-17,4.54,4.5901,4.465,4.56
4163,2020-11-16,4.51,4.7299,4.4393,4.58
4162,2020-11-13,4.5,4.5101,4.36,4.38
4161,2020-11-12,4.42,4.56,4.34,4.43
4160,2020-11-11,4.13,4.51,4.13,4.48
4159,2020-11-10,4.11,4.29,4.0,4.15
4158,2020-11-09,4.44,4.45,3.91,4.11
4157,2020-11-06,4.75,4.83,4.55,4.735
4156,2020-11-05,4.59,4.67,4.37,4.43
4155,2020-11-04,4.5,4.7401,4.5,4.61
4154,2020-11-03,4.64,4.7,4.46,4.57
4153,2020-11-02,4.72,4.79,4.61,4.64
4152,2020-10-30,4.87,4.89,4.663,4.74
4151,2020-10-29,4.8,4.98,4.71,4.9
4150,2020-10-28,4.91,4.95,4.62,4.76
4149,2020-10-27,5.01,5.13,4.92,5.02
4148,2020-10-26,4.88,5.1,4.86,5.0
4147,2020-10-23,4.92,5.06,4.87,4.93
4146,2020-10-22,4.79,4.95,4.75,4.95
4145,2020-10-21,4.95,4.9527,4.8,4.81
4144,2020-10-20,4.94,5.07,4.84,4.91
4143,2020-10-19,4.84,4.96,4.805,4.95
4142,2020-10-16,4.98,5.15,4.82,4.85
4141,2020-10-15,4.73,4.84,4.62,4.82
4140,2020-10-14,4.8,4.8299,4.63,4.77
4139,2020-10-13,4.9,4.97,4.73,4.76
4138,2020-10-12,5.01,5.1,4.91,4.94
4137,2020-10-09,4.98,5.08,4.93,5.04
4136,2020-10-08,5.0823,5.09,4.965,4.99
4135,2020-10-07,5.01,5.2,4.9313,5.02
4134,2020-10-06,5.415,5.45,4.88,4.92
4133,2020-10-05,4.81,5.7,4.81,5.44
4132,2020-10-02,4.96,5.19,4.7,4.8
4131,2020-10-01,4.83,5.02,4.74,4.85
4130,2020-09-30,4.75,4.935,4.67,4.86
4129,2020-09-29,4.65,4.84,4.62,4.76
4128,2020-09-28,4.65,4.84,4.5889,4.72
4127,2020-09-25,4.2,4.73,4.17,4.675
4126,2020-09-24,4.32,4.38,4.11,4.17
4125,2020-09-23,4.68,4.73,4.32,4.35
4124,2020-09-22,4.8136,4.8136,4.56,4.68
4123,2020-09-21,4.74,4.89,4.49,4.83
4122,2020-09-18,4.52,4.7,4.34,4.66
4121,2020-09-17,4.16,4.6,4.09,4.5
4120,2020-09-16,4.12,4.31,4.07,4.17
4119,2020-09-15,4.26,4.29,4.1,4.16
4118,2020-09-14,4.15,4.345,4.06,4.32
4117,2020-09-11,4.16,4.16,4.01,4.12
4116,2020-09-10,4.05,4.39,3.9,4.1
4115,2020-09-09,3.95,4.27,3.74,4.08
4114,2020-09-08,3.4,3.8399,3.35,3.8
4113,2020-09-04,3.63,3.71,3.12,3.51
4112,2020-09-03,3.8,3.89,3.58,3.64
4111,2020-09-02,3.84,3.91,3.73,3.82
4110,2020-09-01,4.08,4.12,3.82,3.9
4109,2020-08-31,4.08,4.21,3.915,4.1
4108,2020-08-28,3.73,4.24,3.63,4.1
4107,2020-08-27,4.41,4.42,3.65,3.775
4106,2020-08-26,4.66,4.76,4.52,4.59
4105,2020-08-25,4.93,4.93,4.66,4.7
4104,2020-08-24,5.09,5.109,4.81,4.93
4103,2020-08-21,5.2,5.2139,5.04,5.07
4102,2020-08-20,5.46,5.48,5.17,5.22
4101,2020-08-19,5.23,5.64,5.2101,5.5
4100,2020-08-18,5.37,5.45,5.15,5.28
4099,2020-08-17,5.25,5.42,5.22,5.3
4098,2020-08-14,5.11,5.25,5.0,5.24
4097,2020-08-13,5.37,5.37,5.08,5.09
4096,2020-08-12,5.39,6.26,5.21,5.43
4095,2020-08-11,5.69,5.74,5.29,5.35
4094,2020-08-10,5.57,5.7301,5.5,5.69
4093,2020-08-07,4.9,5.49,4.71,5.49
4092,2020-08-06,5.83,5.89,5.33,5.44
4091,2020-08-05,5.9033,6.11,5.82,5.93
4090,2020-08-04,5.9,6.19,5.7,5.9
4089,2020-08-03,5.6372,6.27,5.43,5.87
4088,2020-07-31,5.3,5.83,5.12,5.53
4087,2020-07-30,4.99,5.41,4.83,5.36
4086,2020-07-29,5.1,5.14,4.93,5.06
4085,2020-07-28,5.27,5.329,5.03,5.07
4084,2020-07-27,5.1,5.3716,5.1,5.3
4083,2020-07-24,5.02,5.14,4.92,5.07
4082,2020-07-23,4.98,5.44,4.92,5.12
4081,2020-07-22,5.23,5.23,4.92,4.98
4080,2020-07-21,4.94,5.87,4.65,5.46
4079,2020-07-20,5.01,5.14,4.87,4.94
4078,2020-07-17,5.03,5.2,4.81,5.0
4077,2020-07-16,4.98,5.27,4.9,5.01
4076,2020-07-15,5.23,5.43,4.8,5.1
4075,2020-07-14,4.66,6.21,4.3,5.46
4074,2020-07-13,4.4,5.23,4.39,4.65
4073,2020-07-10,4.31,4.49,4.04,4.24
4072,2020-07-09,4.25,4.67,3.88,4.43
4071,2020-07-08,3.74,4.28,3.42,4.27
4070,2020-07-07,3.75,4.02,3.7,3.81
4069,2020-07-06,4.39,4.39,3.65,4.03
4068,2020-07-02,3.73,4.38,3.5,4.18
4067,2020-07-01,3.22,3.32,3.08,3.28
4066,2020-06-30,3.11,3.34,3.06,3.25
4065,2020-06-29,3.26,3.27,3.01,3.18
4064,2020-06-26,3.39,3.42,3.22,3.27
4063,2020-06-25,3.5,3.52,3.36,3.46
4062,2020-06-24,3.29,3.57,3.2,3.52
4061,2020-06-23,3.56,3.59,3.36,3.41
4060,2020-06-22,3.54,3.73,3.245,3.67
4059,2020-06-19,3.77,3.83,3.53,3.55
4058,2020-06-18,3.98,4.3,3.73,3.755
4057,2020-06-17,3.86,4.17,3.51,3.89
4056,2020-06-16,10.67,10.785,9.62,9.93
4055,2020-06-15,9.59,10.64,9.51,10.45
4054,2020-06-12,8.66,9.17,8.42,9.0
4053,2020-06-11,8.66,8.733,8.205,8.5
4052,2020-06-10,8.84,9.13,8.4102,8.95
