,Date,Open,High,Low,Close
1817,2020-12-14,10.56,10.6,10.1901,10.24
1816,2020-12-11,10.7,10.7,10.515,10.63
1815,2020-12-10,10.25,10.771,10.25,10.68
1814,2020-12-09,10.46,10.56,10.25,10.3
1813,2020-12-08,10.12,10.4586,10.12,10.35
1812,2020-12-07,10.6,10.6,10.25,10.27
1811,2020-12-04,10.31,10.77,10.1962,10.61
1810,2020-12-03,9.86,10.2074,9.7801,10.19
1809,2020-12-02,9.44,9.84,9.44,9.84
1808,2020-12-01,9.41,9.66,9.31,9.48
1807,2020-11-30,9.36,9.38,9.2,9.23
1806,2020-11-27,9.77,9.77,9.41,9.41
1805,2020-11-25,9.85,9.85,9.67,9.75
1804,2020-11-24,9.71,9.88,9.71,9.85
1803,2020-11-23,9.19,9.54,9.19,9.52
1802,2020-11-20,9.15,9.25,9.05,9.12
1801,2020-11-19,8.8,9.21,8.8,9.14
1800,2020-11-18,8.82,9.06,8.7427,8.86
1799,2020-11-17,8.5,8.79,8.5,8.76
1798,2020-11-16,8.53,8.81,8.5,8.67
1797,2020-11-13,8.29,8.46,8.29,8.42
1796,2020-11-12,8.3,8.3741,8.23,8.25
1795,2020-11-11,8.4,8.42,8.3,8.31
1794,2020-11-10,8.28,8.38,8.16,8.36
1793,2020-11-09,8.04,8.3,8.0,8.22
1792,2020-11-06,7.8,7.8175,7.62,7.62
1791,2020-11-05,7.69,7.87,7.69,7.82
1790,2020-11-04,7.71,7.746,7.5343,7.69
1789,2020-11-03,7.59,7.72,7.56,7.68
1788,2020-11-02,7.46,7.58,7.389,7.51
1787,2020-10-30,7.46,7.52,7.41,7.45
1786,2020-10-29,7.36,7.58,7.36,7.55
1785,2020-10-28,7.5,7.5,7.27,7.36
1784,2020-10-27,7.79,7.87,7.54,7.54
1783,2020-10-26,8.01,8.03,7.7801,7.81
1782,2020-10-23,8.2,8.2,8.03,8.05
1781,2020-10-22,7.97,8.25,7.9547,8.21
1780,2020-10-21,8.12,8.12,7.97,7.97
1779,2020-10-20,8.04,8.13,8.04,8.1
1778,2020-10-19,8.03,8.046,7.98,8.03
1777,2020-10-16,8.13,8.13,7.99,8.01
1776,2020-10-15,8.13,8.16,8.0217,8.16
1775,2020-10-14,8.14,8.26,8.084,8.18
1774,2020-10-13,8.06,8.13,7.99,8.1
1773,2020-10-12,8.18,8.18,8.03,8.1
1772,2020-10-09,8.26,8.26,8.14,8.18
1771,2020-10-08,7.84,8.23,7.84,8.22
1770,2020-10-07,7.76,7.865,7.75,7.8
1769,2020-10-06,7.87,7.93,7.69,7.73
1768,2020-10-05,7.53,7.808,7.53,7.79
1767,2020-10-02,7.27,7.48,7.27,7.48
1766,2020-10-01,7.48,7.485,7.34,7.45
1765,2020-09-30,7.66,7.77,7.39,7.45
1764,2020-09-29,7.45,7.79,7.41,7.71
1763,2020-09-28,7.5,7.54,7.33,7.5
1762,2020-09-25,7.42,7.47,7.335,7.4
1761,2020-09-24,7.48,7.48,7.2701,7.42
1760,2020-09-23,7.76,7.76,7.451,7.55
1759,2020-09-22,7.83,7.87,7.74,7.74
1758,2020-09-21,7.78,7.95,7.71,7.79
1757,2020-09-18,8.03,8.03,7.9673,8.0
1756,2020-09-17,8.11,8.13,7.99,8.03
1755,2020-09-16,8.03,8.21,7.99,8.1499
1754,2020-09-15,8.07,8.22,7.98,7.99
1753,2020-09-14,8.05,8.3,8.05,8.27
1752,2020-09-11,8.05,8.1424,8.05,8.06
1751,2020-09-10,8.32,8.32,8.03,8.03
1750,2020-09-09,8.1,8.27,8.0696,8.25
1749,2020-09-08,8.04,8.12,8.0,8.095
1748,2020-09-04,8.23,8.23,8.0,8.15
1747,2020-09-03,8.28,8.28,8.1,8.16
1746,2020-09-02,8.38,8.38,8.2,8.27
1745,2020-09-01,8.25,8.4,8.2,8.37
1744,2020-08-31,8.49,8.49,8.25,8.27
1743,2020-08-28,8.15,8.47,8.15,8.46
1742,2020-08-27,8.06,8.14,8.0,8.1
