,Date,Open,High,Low,Close
4560,2020-12-14,39.33,40.0,39.02,39.69
4559,2020-12-11,38.97,39.3,38.51,39.03
4558,2020-12-10,38.41,39.18,38.27,38.99
4557,2020-12-09,40.85,40.85,38.4,38.75
4556,2020-12-08,41.12,42.17,40.87,40.96
4555,2020-12-07,40.72,41.48,40.175,41.42
4554,2020-12-04,39.24,40.6,38.905,40.52
4553,2020-12-03,39.3,39.625,39.0,39.17
4552,2020-12-02,39.97,40.2,39.05,39.27
4551,2020-12-01,39.8,40.31,39.23,39.97
4550,2020-11-30,39.63,39.94,38.29,39.28
4549,2020-11-27,38.17,39.615,38.09,39.58
4548,2020-11-25,37.88,38.1,36.92,37.85
4547,2020-11-24,38.55,38.55,37.28,37.5
4546,2020-11-23,38.79,39.39,37.29,38.68
4545,2020-11-20,38.2,39.3735,38.19,38.46
4544,2020-11-19,38.0,38.62,37.65,38.53
4543,2020-11-18,38.58,38.99,37.71,37.91
4542,2020-11-17,39.56,39.99,38.28,38.67
4541,2020-11-16,40.45,40.9099,38.79,39.73
4540,2020-11-13,40.2,40.93,40.05,40.75
4539,2020-11-12,41.12,41.68,39.28,40.04
4538,2020-11-11,41.24,41.45,40.12,40.86
4537,2020-11-10,40.94,41.26,39.17,40.68
4536,2020-11-09,43.57,44.26,40.93,40.93
4535,2020-11-06,43.72,43.72,41.35,42.12
4534,2020-11-05,42.82,44.59,42.82,43.57
4533,2020-11-04,41.21,42.6,40.835,42.48
4532,2020-11-03,40.49,41.245,40.28,41.05
4531,2020-11-02,40.69,40.9199,39.39,40.0
4530,2020-10-30,41.5,41.795,39.5801,40.32
4529,2020-10-29,40.8,42.15,40.4,41.95
4528,2020-10-28,40.96,41.15,39.73,40.85
4527,2020-10-27,42.45,42.65,41.3,41.69
4526,2020-10-26,42.78,43.1,41.58,42.39
4525,2020-10-23,43.43,43.64,42.89,43.44
4524,2020-10-22,43.11,43.9599,42.88,43.52
4523,2020-10-21,43.6,44.36,43.09,43.18
4522,2020-10-20,44.41,44.93,43.38,43.64
4521,2020-10-19,43.94,44.7366,43.84,44.02
4520,2020-10-16,43.97,44.44,43.22,43.42
4519,2020-10-15,43.6,43.99,43.05,43.88
4518,2020-10-14,45.22,45.22,43.87,44.08
4517,2020-10-13,45.01,45.2,44.35,44.89
4516,2020-10-12,45.0,45.795,44.8201,45.09
4515,2020-10-09,42.35,44.83,42.255,44.81
4514,2020-10-08,41.12,41.77,41.0,41.73
4513,2020-10-07,40.64,41.295,40.21,40.79
4512,2020-10-06,40.19,41.325,39.81,40.26
4511,2020-10-05,39.3,40.185,39.22,40.03
4510,2020-10-02,39.49,39.92,38.73,39.05
4509,2020-10-01,40.06,40.8,39.56,40.41
4508,2020-09-30,39.41,39.84,39.15,39.37
4507,2020-09-29,39.04,39.81,39.03,39.65
4506,2020-09-28,38.33,39.145,37.97,39.07
4505,2020-09-25,37.5,38.01,37.18,37.68
4504,2020-09-24,36.4,37.51,36.0045,37.28
4503,2020-09-23,37.62,39.7,36.58,36.64
4502,2020-09-22,37.38,38.03,36.38,37.81
4501,2020-09-21,37.0,37.715,36.51,37.19
4500,2020-09-18,37.16,37.165,36.14,36.86
4499,2020-09-17,36.02,36.87,35.62,36.65
4498,2020-09-16,38.06,39.02,36.88,36.96
4497,2020-09-15,38.7,39.1,37.77,37.97
4496,2020-09-14,37.73,38.73,37.16,38.53
4495,2020-09-11,37.94,38.35,36.97,37.18
4494,2020-09-10,38.63,38.63,37.43,37.52
4493,2020-09-09,38.19,38.92,37.63,38.14
4492,2020-09-08,38.35,38.94,37.2225,37.43
4491,2020-09-04,39.87,40.33,37.86,39.32
4490,2020-09-03,42.28,42.28,39.41,40.21
4489,2020-09-02,43.56,43.99,42.31,42.68
4488,2020-09-01,42.23,43.49,42.215,43.23
4487,2020-08-31,42.96,43.05,42.22,42.25
4486,2020-08-28,42.1,43.5,42.1,43.05
4485,2020-08-27,42.23,43.12,41.33,41.49
4484,2020-08-26,42.3,42.63,41.96,42.35
4483,2020-08-25,42.06,42.31,41.65,42.29
4482,2020-08-24,42.68,42.81,41.61,41.77
4481,2020-08-21,42.1,42.5,41.08,42.11
4480,2020-08-20,42.26,43.018,41.9038,42.31
4479,2020-08-19,42.5,43.67,42.44,42.61
4478,2020-08-18,43.47,43.97,42.27,42.5
4477,2020-08-17,43.0,44.13,42.68,43.43
4476,2020-08-14,42.56,42.82,42.18,42.76
4475,2020-08-13,42.69,42.974,42.01,42.63
4474,2020-08-12,41.52,43.44,41.33,42.63
4473,2020-08-11,45.99,46.0,42.365,42.71
4472,2020-08-10,44.36,46.5,43.5,45.58
4471,2020-08-07,41.4,42.36,41.2,42.01
4470,2020-08-06,41.5,41.73,41.03,41.38
4469,2020-08-05,41.86,41.86,40.98,41.33
4468,2020-08-04,41.39,41.96,40.79,41.62
4467,2020-08-03,40.6,41.44,40.21,41.06
4466,2020-07-31,40.23,40.32,39.22,40.2
4465,2020-07-30,39.5,40.4,39.02,39.93
4464,2020-07-29,38.95,39.83,38.755,39.63
4463,2020-07-28,39.02,39.18,38.18,38.61
4462,2020-07-27,38.49,39.42,38.49,39.23
4461,2020-07-24,37.86,38.735,37.38,38.38
4460,2020-07-23,39.2,39.63,38.1101,38.48
4459,2020-07-22,39.66,39.9971,38.56,39.2
4458,2020-07-21,39.79,39.98,39.19,39.76
4457,2020-07-20,38.24,39.93,38.03,39.77
4456,2020-07-17,38.11,38.63,37.57,38.34
4455,2020-07-16,37.91,38.07,36.59,38.03
4454,2020-07-15,37.5,38.51,37.5,38.17
4453,2020-07-14,36.73,37.6,36.17,37.57
4452,2020-07-13,38.0,38.65,36.55,36.72
4451,2020-07-10,37.35,37.53,36.71,37.42
4450,2020-07-09,37.1,37.38,36.07,37.17
4449,2020-07-08,36.78,36.93,36.13,36.89
4448,2020-07-07,36.95,37.41,36.62,36.68
4447,2020-07-06,37.6,37.6,36.62,37.17
4446,2020-07-02,36.89,37.43,36.71,36.96
4445,2020-07-01,37.27,37.84,36.24,36.43
4444,2020-06-30,36.31,37.96,36.31,37.42
4443,2020-06-29,35.56,36.32,35.1,36.01
4442,2020-06-26,35.4,36.17,34.52,35.25
4441,2020-06-25,35.3,35.91,35.01,35.65
4440,2020-06-24,36.11,36.54,34.92,35.43
4439,2020-06-23,37.03,37.33,35.56,36.58
4438,2020-06-22,34.41,37.3,34.22,36.83
4437,2020-06-19,35.19,35.55,34.66,34.73
4436,2020-06-18,34.52,35.36,34.47,34.97
4435,2020-06-17,34.62,34.84,34.09,34.39
4434,2020-06-16,34.59,34.88,33.7,34.43
4433,2020-06-15,32.38,33.795,32.17,33.49
4432,2020-06-12,33.69,33.9,32.3,32.87
4431,2020-06-11,34.19,34.3,32.64,32.65
4430,2020-06-10,35.74,35.89,34.5,34.86
4429,2020-06-09,35.53,36.09,35.2,35.64
4428,2020-06-08,35.69,36.07,34.59,35.93
4427,2020-06-05,36.83,37.95,35.41,35.64
4426,2020-06-04,35.58,36.4,35.02,36.05
4425,2020-06-03,35.1,36.53,34.48,36.42
4424,2020-06-02,34.38,35.26,33.68,35.17
4423,2020-06-01,34.44,35.26,33.97,34.19
4422,2020-05-29,32.78,34.55,32.16,34.47
4421,2020-05-28,34.63,34.64,32.23,32.4
4420,2020-05-27,34.2,34.69,32.9,34.54
4419,2020-05-26,35.14,35.51,33.7144,33.87
4418,2020-05-22,34.0,34.73,33.305,34.72
4417,2020-05-21,33.63,34.81,32.99,34.03
4416,2020-05-20,32.68,33.77,32.5,33.64
4415,2020-05-19,32.3,32.765,31.72,31.78
