,Date,Open,High,Low,Close
5117,2020-12-14,12.66,13.6,12.66,12.92
5116,2020-12-11,12.47,12.84,12.26,12.44
5115,2020-12-10,12.55,12.7916,12.27,12.48
5114,2020-12-09,12.13,13.48,12.12,12.57
5113,2020-12-08,12.55,12.63,11.93,12.07
5112,2020-12-07,12.72,13.3,12.56,12.6
5111,2020-12-04,12.81,13.26,12.62,12.69
5110,2020-12-03,12.55,13.38,12.55,12.79
5109,2020-12-02,12.76,12.8,12.3,12.56
5108,2020-12-01,12.97,13.52,12.81,12.88
5107,2020-11-30,13.06,13.22,12.6735,12.84
5106,2020-11-27,12.41,13.28,12.41,13.0
5105,2020-11-25,12.42,12.88,12.27,12.33
5104,2020-11-24,13.14,13.27,12.15,12.2
5103,2020-11-23,13.26,13.5537,12.83,13.13
5102,2020-11-20,13.0,13.46,12.67,13.22
5101,2020-11-19,13.16,13.4732,12.81,12.91
5100,2020-11-18,13.5,14.09,13.13,13.13
5099,2020-11-17,13.46,13.775,13.36,13.55
5098,2020-11-16,13.45,13.7,13.29,13.5
5097,2020-11-13,13.37,13.78,13.25,13.49
5096,2020-11-12,13.16,13.79,13.1,13.27
5095,2020-11-11,12.96,13.3499,12.7576,13.06
5094,2020-11-10,12.67,13.06,12.39,12.95
5093,2020-11-09,13.32,13.79,12.79,12.86
5092,2020-11-06,13.96,13.98,12.96,13.06
5091,2020-11-05,13.75,14.42,13.67,14.11
5090,2020-11-04,13.37,13.92,13.31,13.61
5089,2020-11-03,12.67,13.17,12.47,13.07
5088,2020-11-02,13.09,13.1596,12.38,12.73
5087,2020-10-30,13.4,13.59,12.55,12.89
5086,2020-10-29,13.39,13.89,13.33,13.55
5085,2020-10-28,13.59,13.76,13.27,13.38
5084,2020-10-27,13.99,14.31,13.84,13.98
5083,2020-10-26,13.95,14.3,13.43,13.88
5082,2020-10-23,14.28,14.35,13.79,14.16
5081,2020-10-22,14.07,14.64,13.96,14.27
5080,2020-10-21,14.72,14.97,13.895,13.95
5079,2020-10-20,15.39,15.78,14.59,14.67
5078,2020-10-19,16.1,16.25,15.15,15.24
5077,2020-10-16,16.13,16.6,15.8,15.81
5076,2020-10-15,17.09,17.13,15.9,16.04
5075,2020-10-14,18.14,18.75,17.4,17.48
5074,2020-10-13,17.35,18.29,17.209,17.95
5073,2020-10-12,17.59,18.18,17.25,17.45
5072,2020-10-09,17.15,17.72,17.03,17.53
5071,2020-10-08,17.14,17.86,16.78,16.93
5070,2020-10-07,15.99,16.98,15.99,16.665
5069,2020-10-06,15.79,16.62,15.79,15.96
5068,2020-10-05,15.3,16.14,15.3,15.97
5067,2020-10-02,15.17,16.295,15.04,15.185
5066,2020-10-01,16.35,17.13,16.35,17.1
5065,2020-09-30,16.38,16.58,16.13,16.25
5064,2020-09-29,16.07,16.57,16.07,16.32
5063,2020-09-28,16.34,16.5867,15.84,16.1
5062,2020-09-25,15.54,16.24,15.28,16.09
5061,2020-09-24,15.68,16.12,15.285,15.51
5060,2020-09-23,17.32,17.52,16.24,16.3
5059,2020-09-22,17.9,18.2,17.32,17.65
5058,2020-09-21,18.74,18.8,17.27,17.73
5057,2020-09-18,18.35,18.91,17.8,18.86
5056,2020-09-17,17.35,18.28,16.91,18.16
5055,2020-09-16,17.12,18.11,17.1,17.88
5054,2020-09-15,17.0,17.74,16.84,17.25
5053,2020-09-14,15.9,16.87,15.9,16.83
5052,2020-09-11,15.1,15.86,14.945,15.6
5051,2020-09-10,14.94,15.71,14.7,14.92
5050,2020-09-09,14.86,15.18,14.71,14.95
5049,2020-09-08,14.9,15.35,14.5,14.52
5048,2020-09-04,16.11,16.1999,14.255,15.46
5047,2020-09-03,17.58,17.65,15.77,16.02
5046,2020-09-02,17.48,17.88,16.68,17.87
5045,2020-09-01,17.41,17.43,16.65,17.1
