,Date,Open,High,Low,Close
1811,2020-12-14,9.71,9.87,9.6,9.72
1810,2020-12-11,9.61,9.64,9.38,9.63
1809,2020-12-10,9.54,9.6013,9.37,9.55
1808,2020-12-09,9.64,9.75,9.47,9.64
1807,2020-12-08,9.34,9.55,9.34,9.46
1806,2020-12-07,9.51,9.51,9.14,9.34
1805,2020-12-04,9.27,9.48,9.27,9.46
1804,2020-12-03,9.1,9.39,9.1,9.27
1803,2020-12-02,9.02,9.24,9.02,9.14
1802,2020-12-01,9.1,9.2801,9.01,9.09
1801,2020-11-30,9.2,9.3,8.91,9.06
1800,2020-11-27,9.24,9.33,9.15,9.27
1799,2020-11-25,9.32,9.49,9.18,9.29
1798,2020-11-24,9.21,9.45,9.21,9.34
1797,2020-11-23,9.05,9.25,9.0,9.11
1796,2020-11-20,8.96,9.09,8.87,9.03
1795,2020-11-19,8.91,9.01,8.7,9.0
1794,2020-11-18,8.94,9.28,8.88,8.88
1793,2020-11-17,9.18,9.22,8.83,8.9
1792,2020-11-16,9.19,9.3,9.1,9.25
1791,2020-11-13,8.7,9.14,8.67,9.06
1790,2020-11-12,8.51,8.685,8.37,8.65
1789,2020-11-11,8.47,8.62,8.31,8.51
1788,2020-11-10,9.15,9.3601,8.62,8.67
1787,2020-11-09,10.19,10.2,9.9,9.92
1786,2020-11-06,10.3,10.32,9.75,9.79
1785,2020-11-05,10.05,10.29,10.05,10.28
1784,2020-11-04,10.05,10.22,9.84,10.07
1783,2020-11-03,9.5,9.99,9.5,9.94
1782,2020-11-02,9.28,9.5,9.28,9.46
1781,2020-10-30,9.49,9.53,9.13,9.16
1780,2020-10-29,9.32,9.5,9.1,9.47
1779,2020-10-28,8.8,9.33,8.75,9.22
1778,2020-10-27,9.04,9.13,8.85,8.88
1777,2020-10-26,9.04,9.06,8.88,8.9
1776,2020-10-23,9.04,9.27,9.0235,9.12
1775,2020-10-22,8.93,9.07,8.9,8.98
1774,2020-10-21,8.99,9.065,8.88,8.99
1773,2020-10-20,9.15,9.185,9.0,9.02
1772,2020-10-19,9.4,9.4,9.04,9.04
1771,2020-10-16,9.39,9.44,9.29,9.33
1770,2020-10-15,9.46,9.47,9.32,9.45
1769,2020-10-14,9.49,9.55,9.3816,9.48
1768,2020-10-13,9.46,9.5286,9.34,9.47
1767,2020-10-12,9.57,9.61,9.43,9.51
1766,2020-10-09,9.8,9.8,9.55,9.57
1765,2020-10-08,9.46,9.7846,9.44,9.68
1764,2020-10-07,9.47,9.47,9.23,9.41
1763,2020-10-06,9.41,9.6501,9.35,9.36
1762,2020-10-05,9.45,9.45,9.27,9.39
1761,2020-10-02,9.09,9.39,9.01,9.32
1760,2020-10-01,8.99,9.22,8.85,9.21
1759,2020-09-30,9.0,9.14,8.92,8.98
1758,2020-09-29,9.2,9.35,8.97,9.05
1757,2020-09-28,9.56,9.75,9.47,9.54
1756,2020-09-25,9.16,9.56,9.1101,9.44
1755,2020-09-24,9.34,9.34,8.93,9.22
1754,2020-09-23,9.68,9.71,9.25,9.29
1753,2020-09-22,9.54,9.79,9.44,9.67
1752,2020-09-21,9.72,9.76,9.4,9.53
1751,2020-09-18,9.88,9.91,9.68,9.84
