,Date,Open,High,Low,Close
379,2020-12-14,84.29,85.95,82.06,82.81
378,2020-12-11,79.11,85.36,78.76,85.11
377,2020-12-10,75.86,79.35,75.6,78.07
376,2020-12-09,78.0,82.49,74.35,75.57
375,2020-12-08,75.6,79.78,74.8,79.15
374,2020-12-07,75.7,77.8309,74.16,74.78
373,2020-12-04,72.7,75.1532,72.53,74.94
372,2020-12-03,72.29,73.54,70.92,72.68
371,2020-12-02,74.25,74.25,70.51,71.23
370,2020-12-01,78.35,78.4965,74.31,75.34
369,2020-11-30,74.58,77.95,72.6,77.58
368,2020-11-27,70.1,74.47,69.75,74.25
367,2020-11-25,68.04,69.72,67.1462,69.34
366,2020-11-24,68.95,69.04,66.77,67.25
365,2020-11-23,69.02,69.9,67.16,69.27
364,2020-11-20,66.95,69.72,66.65,68.71
363,2020-11-19,66.95,68.5,65.91,66.72
362,2020-11-18,64.2,66.98,64.1,66.4
361,2020-11-17,64.66,64.92,63.18,64.38
360,2020-11-16,61.6,65.1,61.0017,64.33
359,2020-11-13,64.4,64.7829,62.22,62.99
358,2020-11-12,63.89,65.2,61.8418,63.38
357,2020-11-11,60.91,64.9,60.86,63.96
356,2020-11-10,61.5,61.97,55.81,59.92
355,2020-11-09,64.53,64.76,60.0,62.09
354,2020-11-06,68.04,70.63,66.89,70.32
353,2020-11-05,69.06,69.78,67.25,67.59
352,2020-11-04,65.02,68.45,65.02,67.04
351,2020-11-03,61.29,65.055,60.4744,64.24
350,2020-11-02,62.13,62.56,59.7521,60.79
349,2020-10-30,66.91,66.98,60.61,61.6
348,2020-10-29,71.88,72.5,67.66,67.67
347,2020-10-28,68.75,72.54,68.71,72.01
346,2020-10-27,64.35,68.0,64.0129,67.72
345,2020-10-26,62.9,64.8786,61.68,63.49
344,2020-10-23,63.65,64.47,62.04,63.63
343,2020-10-22,65.14,65.72,63.1,63.62
342,2020-10-21,68.82,69.8,64.13,64.67
341,2020-10-20,68.7,69.9,67.73,68.11
340,2020-10-19,68.02,70.72,67.28,68.89
339,2020-10-16,69.43,69.8171,66.18,67.24
338,2020-10-15,62.83,65.72,62.5,64.88
337,2020-10-14,67.69,68.36,63.73,64.12
336,2020-10-13,64.15,67.03,63.83,66.86
335,2020-10-12,62.12,64.95,61.75,64.45
334,2020-10-09,59.32,61.85,58.85,61.58
333,2020-10-08,57.59,59.45,57.12,58.67
332,2020-10-07,57.27,58.14,56.43,57.04
331,2020-10-06,57.33,58.85,55.94,56.16
330,2020-10-05,56.31,57.74,56.01,57.52
329,2020-10-02,57.73,58.47,55.61,56.55
328,2020-10-01,55.67,59.17,55.3,58.93
327,2020-09-30,54.89,56.1,54.55,54.83
326,2020-09-29,56.37,57.16,54.9,54.97
325,2020-09-28,56.86,57.3032,54.76,56.37
324,2020-09-25,55.73,56.77,55.06,56.0
323,2020-09-24,54.5,55.86,53.05,54.96
322,2020-09-23,54.51,57.03,54.11,54.99
321,2020-09-22,53.93,54.73,52.76,54.48
320,2020-09-21,52.21,53.78,52.05,53.22
319,2020-09-18,54.34,54.85,51.25,53.0
318,2020-09-17,54.59,54.84,52.8588,54.42
317,2020-09-16,54.2,57.0,54.15,56.16
316,2020-09-15,53.5,54.6,52.77,54.11
315,2020-09-14,54.16,55.09,52.4,53.0
314,2020-09-11,58.82,61.25,53.57,53.81
313,2020-09-10,62.0,63.6802,59.62,59.69
312,2020-09-09,64.35,65.3,61.21,61.5
311,2020-09-08,59.93,63.3,59.45,60.8
310,2020-09-04,62.5,64.55,56.15,61.18
309,2020-09-03,68.39,69.53,60.66,61.94
308,2020-09-02,71.59,74.84,68.6572,70.1
307,2020-09-01,61.95,70.35,61.87,69.43
306,2020-08-31,60.09,61.84,58.8,61.07
305,2020-08-28,56.81,60.98,56.81,59.73
304,2020-08-27,58.01,58.3184,56.15,56.88
303,2020-08-26,56.94,59.42,56.87,58.28
302,2020-08-25,56.56,57.65,55.51,56.66
301,2020-08-24,57.59,58.46,55.31,57.06
300,2020-08-21,57.1,57.1,55.2,56.97
299,2020-08-20,56.04,57.655,56.0,57.21
298,2020-08-19,57.03,57.53,55.85,56.22
297,2020-08-18,56.0,57.6,55.63,57.12
296,2020-08-17,54.45,55.9,53.9,55.63
295,2020-08-14,54.97,54.97,52.67,53.79
294,2020-08-13,53.77,55.32,53.0601,54.62
293,2020-08-12,51.16,53.61,50.65,53.15
292,2020-08-11,52.71,52.96,50.22,50.61
291,2020-08-10,55.56,56.1,51.795,53.4
290,2020-08-07,56.54,56.73,53.51,54.91
289,2020-08-06,58.7,58.88,56.54,56.74
288,2020-08-05,57.67,58.88,57.21,58.82
287,2020-08-04,56.5,59.3,56.07,58.14
286,2020-08-03,53.75,57.49,53.4,56.84
285,2020-07-31,50.2,52.5,49.9107,52.49
284,2020-07-30,47.53,49.28,47.05,49.02
283,2020-07-29,46.42,47.84,45.8,47.59
282,2020-07-28,46.74,47.31,45.69,46.32
281,2020-07-27,46.07,47.52,45.8,46.73
280,2020-07-24,46.05,46.78,45.25,45.96
279,2020-07-23,48.97,49.61,47.02,47.52
278,2020-07-22,48.9,49.18,47.75,48.71
277,2020-07-21,49.68,49.68,47.88,48.81
276,2020-07-20,47.49,49.815,47.33,49.43
275,2020-07-17,48.34,49.33,46.75,46.8
274,2020-07-16,46.78,48.59,46.54,48.22
273,2020-07-15,47.54,47.55,46.0,47.12
272,2020-07-14,48.82,49.23,45.6,48.0
271,2020-07-13,48.61,52.54,48.56,49.05
270,2020-07-10,51.96,52.1,47.9,48.55
269,2020-07-09,50.29,51.94,49.54,51.92
268,2020-07-08,48.21,50.04,48.06,49.99
267,2020-07-07,47.37,48.24,46.6,47.8
266,2020-07-06,47.5,48.54,46.11,46.97
265,2020-07-02,46.92,47.85,46.21,47.08
264,2020-07-01,44.82,47.3,44.74,46.46
263,2020-06-30,45.25,46.39,44.31,44.69
262,2020-06-29,47.5,47.5,44.84,45.15
261,2020-06-26,49.38,50.33,46.87,46.94
260,2020-06-25,50.04,50.73,49.0425,49.44
259,2020-06-24,49.11,51.08,48.92,49.74
258,2020-06-23,51.03,51.82,48.48,48.91
257,2020-06-22,50.9,52.77,50.39,50.91
256,2020-06-19,48.5,51.11,47.45,50.3
255,2020-06-18,49.4,49.66,47.38,48.2
254,2020-06-17,47.4,50.0,46.76,49.56
253,2020-06-16,47.65,48.14,45.72,47.09
252,2020-06-15,48.11,48.92,46.47,46.76
251,2020-06-12,50.5,51.53,46.12,48.13
250,2020-06-11,47.97,52.45,47.5,49.18
249,2020-06-10,50.96,52.35,48.53,49.63
248,2020-06-09,49.97,52.26,48.13,51.51
247,2020-06-08,49.55,51.07,48.18,48.77
246,2020-06-05,47.55,50.12,47.55,48.44
245,2020-06-04,49.07,51.72,48.1332,49.11
244,2020-06-03,48.66,49.7,47.75,48.22
243,2020-06-02,45.19,49.42,45.11,49.42
242,2020-06-01,44.16,46.0,44.01,45.09
241,2020-05-29,42.8,44.5,42.425,44.44
240,2020-05-28,39.51,42.62,39.46,41.79
239,2020-05-27,41.06,41.09,36.65,40.13
238,2020-05-26,43.6,43.88,41.13,41.71
237,2020-05-22,40.2,42.8,40.105,42.75
236,2020-05-21,39.73,40.7,38.9,40.19
235,2020-05-20,40.68,40.78,38.15,39.45
234,2020-05-19,41.15,42.22,40.0,40.05
233,2020-05-18,42.1,43.18,40.0,41.08
232,2020-05-15,40.76,42.33,40.53,42.11
231,2020-05-14,41.8,42.445,40.31,41.29
230,2020-05-13,40.5,42.57,39.41,41.77
229,2020-05-12,39.66,41.79,37.65,40.36
228,2020-05-11,39.67,40.04,37.7859,39.05
227,2020-05-08,40.0,40.77,39.19,39.41
226,2020-05-07,40.96,41.35,39.32,39.4
225,2020-05-06,41.93,41.93,39.38,40.37
224,2020-05-05,40.0,42.26,39.7,42.09
223,2020-05-04,42.0,42.72,38.8006,39.24
222,2020-05-01,42.18,43.85,42.02,42.9
221,2020-04-30,44.92,45.06,42.98,43.24
220,2020-04-29,43.89,45.11,42.59,45.0
219,2020-04-28,46.18,46.5,42.94,44.16
218,2020-04-27,45.2,46.79,44.7001,46.18
217,2020-04-24,44.09,44.49,42.91,44.04
216,2020-04-23,45.0,45.4398,43.2801,43.35
215,2020-04-22,43.07,46.25,42.51,44.82
214,2020-04-21,43.82,44.95,41.75,43.44
213,2020-04-20,43.78,46.0,43.25,44.72
212,2020-04-17,42.02,44.35,41.13,43.78
211,2020-04-16,44.63,47.55,43.3946,44.91
210,2020-04-15,41.0,44.6989,40.3,43.91
209,2020-04-14,41.41,43.33,41.1963,41.32
208,2020-04-13,42.0,42.49,39.26,40.24
207,2020-04-09,37.2,42.69,37.0,42.61
206,2020-04-08,33.46,38.38,33.46,36.93
205,2020-04-07,33.76,34.1,31.81,33.31
204,2020-04-06,33.64,35.48,33.0,33.22
203,2020-04-03,35.23,35.4465,31.78,33.37
202,2020-04-02,35.34,36.98,34.2,35.06
201,2020-04-01,37.73,37.94,35.53,35.98
200,2020-03-31,38.38,38.85,37.07,37.49
199,2020-03-30,37.98,39.63,36.5116,38.0
198,2020-03-27,33.49,36.35,32.55,36.16
197,2020-03-26,30.89,34.35,30.5,33.81
196,2020-03-25,33.6,34.38,30.65,31.07
195,2020-03-24,32.98,33.8,30.02,33.65
194,2020-03-23,32.46,33.4,30.35,32.14
193,2020-03-20,32.75,33.45,29.155,31.92
192,2020-03-19,32.63,35.0,31.33,32.42
191,2020-03-18,26.46,31.73,26.39,30.85
190,2020-03-17,25.06,28.94,24.6549,27.91
189,2020-03-16,23.3,26.24,22.75,24.27
188,2020-03-13,24.32,26.1,23.26,26.05
187,2020-03-12,23.09,25.33,20.62,22.77
186,2020-03-11,26.72,26.89,24.83,25.46
185,2020-03-10,27.74,27.99,26.11,27.11
184,2020-03-09,26.39,27.68,26.0,27.29
183,2020-03-06,27.69,28.3168,27.46,28.02
182,2020-03-05,27.38,29.15,27.21,28.52
181,2020-03-04,28.16,28.29,27.26,27.93
180,2020-03-03,29.29,29.69,27.411,27.75
179,2020-03-02,30.0,30.0,28.25,28.93
