,Date,Open,High,Low,Close
5314,2020-12-14,6.19,6.23,6.1,6.1
5313,2020-12-11,6.15,6.24,6.03,6.17
5312,2020-12-10,6.4,6.425,6.08,6.13
5311,2020-12-09,6.52,6.58,6.45,6.47
5310,2020-12-08,6.15,6.5,6.13,6.5
5309,2020-12-07,6.29,6.39,6.27,6.27
5308,2020-12-04,6.14,6.4,6.14,6.33
5307,2020-12-03,6.27,6.27,6.19,6.19
5306,2020-12-02,6.41,6.51,6.19,6.25
5305,2020-12-01,6.46,6.61,6.34,6.4
5304,2020-11-30,6.36,6.49,6.3,6.34
5303,2020-11-27,6.32,6.48,6.24,6.47
5302,2020-11-25,6.3,6.43,6.22,6.38
5301,2020-11-24,6.07,6.4,6.01,6.36
5300,2020-11-23,6.08,6.08,5.98,6.01
5299,2020-11-20,5.98,6.2,5.92,6.05
5298,2020-11-19,6.05,6.12,5.9,6.09
5297,2020-11-18,6.22,6.38,6.03,6.07
5296,2020-11-17,6.25,6.48,6.2,6.24
5295,2020-11-16,6.14,6.38,6.04,6.36
5294,2020-11-13,5.86,6.12,5.86,6.03
5293,2020-11-12,6.09,6.09,5.84,5.9
5292,2020-11-11,6.23,6.34,6.13,6.19
5291,2020-11-10,6.18,6.42,6.16,6.29
5290,2020-11-09,5.96,6.4301,5.96,6.22
5289,2020-11-06,5.7,5.79,5.56,5.56
5288,2020-11-05,5.72,5.98,5.66,5.7
5287,2020-11-04,5.89,6.01,5.65,5.75
5286,2020-11-03,5.91,6.15,5.91,6.09
5285,2020-11-02,5.77,5.84,5.67,5.83
5284,2020-10-30,5.9,5.95,5.7,5.77
5283,2020-10-29,5.86,6.0,5.77,5.89
5282,2020-10-28,5.7,6.0,5.7,5.9
5281,2020-10-27,5.9,5.97,5.77,5.86
5280,2020-10-26,5.8,5.96,5.8,5.91
5279,2020-10-23,5.96,6.03,5.84,5.86
5278,2020-10-22,5.95,6.1,5.89,6.01
5277,2020-10-21,5.84,6.03,5.82,6.03
5276,2020-10-20,5.83,5.9,5.81,5.84
5275,2020-10-19,5.86,5.94,5.74,5.79
5274,2020-10-16,5.8,5.99,5.8,5.86
5273,2020-10-15,5.7,6.0,5.7,5.87
5272,2020-10-14,5.86,5.94,5.82,5.83
5271,2020-10-13,5.87,5.96,5.81,5.92
5270,2020-10-12,5.85,5.98,5.82,5.97
5269,2020-10-09,5.92,5.92,5.8,5.86
5268,2020-10-08,5.95,5.95,5.78,5.85
5267,2020-10-07,5.71,5.94,5.71,5.89
5266,2020-10-06,5.9,5.94,5.69,5.69
5265,2020-10-05,5.67,5.9,5.67,5.85
5264,2020-10-02,5.41,5.69,5.41,5.65
5263,2020-10-01,5.53,5.66,5.47,5.61
5262,2020-09-30,5.63,5.7,5.51,5.54
5261,2020-09-29,5.53,5.63,5.49,5.63
5260,2020-09-28,5.29,5.59,5.29,5.57
5259,2020-09-25,5.2,5.36,5.2,5.25
5258,2020-09-24,5.21,5.39,5.15,5.26
5257,2020-09-23,5.49,5.52,5.16,5.18
5256,2020-09-22,5.59,5.6025,5.4,5.55
5255,2020-09-21,5.53,5.65,5.37,5.52
5254,2020-09-18,5.78,5.82,5.49,5.78
5253,2020-09-17,5.77,5.87,5.72,5.72
