,Date,Open,High,Low,Close
5314,2020-12-14,37.22,37.4,35.39,36.29
5313,2020-12-11,36.55,37.21,35.9,36.4
5312,2020-12-10,36.74,37.34,36.39,37.17
5311,2020-12-09,37.14,37.62,36.59,37.04
5310,2020-12-08,37.14,37.99,36.5,36.87
5309,2020-12-07,37.88,38.11,36.52,37.66
5308,2020-12-04,36.3,38.25,35.85,38.06
5307,2020-12-03,35.15,36.43,34.0,35.97
5306,2020-12-02,34.0,35.15,33.8,34.93
5305,2020-12-01,33.69,34.7,33.07,34.17
5304,2020-11-30,36.04,36.38,33.01,33.07
5303,2020-11-27,36.34,36.84,35.81,36.21
5302,2020-11-25,38.31,38.31,36.73,36.86
5301,2020-11-24,37.5,38.685,36.85,38.52
5300,2020-11-23,36.16,37.05,36.13,36.54
5299,2020-11-20,35.91,36.59,35.56,35.65
5298,2020-11-19,35.21,36.54,34.81,36.37
5297,2020-11-18,35.77,36.0,35.02,35.37
5296,2020-11-17,34.37,34.83,33.41,34.68
5295,2020-11-16,34.64,35.66,34.065,34.87
5294,2020-11-13,33.31,34.59,32.97,33.44
5293,2020-11-12,33.4,33.76,32.67,32.88
5292,2020-11-11,35.56,35.56,33.09,33.92
5291,2020-11-10,34.23,35.8,33.02,35.28
5290,2020-11-09,30.37,35.09,30.19,34.06
5289,2020-11-06,28.3,29.17,27.37,28.5
5288,2020-11-05,27.75,28.44,26.8,28.13
5287,2020-11-04,28.51,29.41,27.61,28.2
5286,2020-11-03,29.0,29.91,28.89,29.41
5285,2020-11-02,28.39,29.28,27.3501,28.78
5284,2020-10-30,26.74,28.48,26.6,27.9
5283,2020-10-29,26.8,27.63,26.54,27.0
5282,2020-10-28,27.32,27.96,26.75,27.0
5281,2020-10-27,28.87,28.87,28.05,28.14
5280,2020-10-26,29.42,29.69,28.195,29.1
5279,2020-10-23,30.23,30.44,29.49,29.9
5278,2020-10-22,29.41,30.07,29.07,29.86
5277,2020-10-21,30.11,30.57,29.14,29.18
5276,2020-10-20,29.64,30.58,29.36,30.1
5275,2020-10-19,29.83,30.34,29.0,29.26
5274,2020-10-16,30.15,30.68,29.58,29.64
5273,2020-10-15,29.16,30.32,28.68,30.24
5272,2020-10-14,29.62,30.64,29.51,29.83
5271,2020-10-13,29.49,29.98,29.1,29.62
5270,2020-10-12,29.64,30.04,29.23,29.86
5269,2020-10-09,29.95,30.17,29.1605,29.64
5268,2020-10-08,29.69,29.76,28.84,29.46
5267,2020-10-07,28.41,29.505,28.23,29.18
5266,2020-10-06,28.65,28.98,27.81,27.86
5265,2020-10-05,28.59,29.1936,28.02,28.19
5264,2020-10-02,26.8,28.55,26.8,28.12
5263,2020-10-01,27.26,27.93,26.95,27.6
5262,2020-09-30,28.0,28.68,27.22,27.35
5261,2020-09-29,27.75,28.0,27.24,27.71
5260,2020-09-28,27.16,28.89,27.08,27.64
5259,2020-09-25,25.99,27.04,25.99,26.65
5258,2020-09-24,25.49,26.38,25.053,26.23
5257,2020-09-23,26.32,27.23,25.13,25.45
5256,2020-09-22,25.23,26.46,25.18,26.34
5255,2020-09-21,26.71,26.86,24.75,25.3
5254,2020-09-18,27.7,28.82,27.12,27.75
5253,2020-09-17,26.74,27.64,26.525,27.29
5252,2020-09-16,26.68,27.875,26.52,27.29
5251,2020-09-15,27.42,28.01,26.58,26.77
5250,2020-09-14,27.35,27.76,26.57,27.15
5249,2020-09-11,27.43,27.68,26.89,26.99
5248,2020-09-10,27.94,28.13,27.29,27.39
5247,2020-09-09,27.65,27.95,27.09,27.66
5246,2020-09-08,28.67,28.67,27.32,27.37
5245,2020-09-04,29.15,29.52,28.22,29.07
5244,2020-09-03,30.03,30.17,28.44,28.55
5243,2020-09-02,30.06,30.37,29.46,30.06
5242,2020-09-01,29.27,30.06,28.84,30.04
5241,2020-08-31,30.06,30.06,28.89,29.65
5240,2020-08-28,30.12,30.54,29.45,30.31
5239,2020-08-27,29.24,30.03,29.05,29.81
5238,2020-08-26,28.93,29.11,28.51,28.95
5237,2020-08-25,29.35,29.4499,28.39,28.93
5236,2020-08-24,28.26,29.12,27.76,28.98
5235,2020-08-21,28.18,28.65,27.66,27.86
5234,2020-08-20,28.35,28.9,28.17,28.46
5233,2020-08-19,29.2,29.86,28.81,28.9
5232,2020-08-18,30.23,30.23,29.07,29.13
5231,2020-08-17,30.93,31.15,29.97,30.3
5230,2020-08-14,29.94,31.06,29.63,30.82
5229,2020-08-13,30.37,30.96,29.91,30.38
5228,2020-08-12,31.0,31.7,30.53,30.78
5227,2020-08-11,31.64,32.61,30.44,30.61
5226,2020-08-10,32.26,32.61,29.0,31.05
5225,2020-08-07,30.21,32.68,27.81,32.3
5224,2020-08-06,30.11,30.9,29.65,30.18
5223,2020-08-05,29.36,30.57,29.08,30.33
5222,2020-08-04,27.89,29.0,27.86,28.92
5221,2020-08-03,26.23,28.04,25.54,28.0
5220,2020-07-31,27.88,28.05,25.74,26.22
5219,2020-07-30,27.81,28.35,27.4,28.17
5218,2020-07-29,27.92,28.61,27.78,28.55
5217,2020-07-28,27.85,28.5388,27.57,27.85
5216,2020-07-27,28.0,28.391,27.37,28.1
5215,2020-07-24,28.56,28.635,27.71,27.93
5214,2020-07-23,28.24,29.19,28.19,28.8
5213,2020-07-22,28.12,28.59,27.89,28.31
5212,2020-07-21,28.0,28.64,27.64,28.27
5211,2020-07-20,27.73,28.32,26.49,27.46
5210,2020-07-17,28.1,28.77,27.5,27.79
5209,2020-07-16,27.89,29.12,27.3,28.04
5208,2020-07-15,26.71,28.11,26.24,27.92
5207,2020-07-14,24.6,25.65,24.23,25.6
5206,2020-07-13,23.99,25.18,23.33,24.37
5205,2020-07-10,23.14,24.09,22.6,23.72
5204,2020-07-09,23.79,23.99,22.42,22.99
5203,2020-07-08,24.06,25.08,23.27,23.81
5202,2020-07-07,24.16,24.69,23.86,24.31
5201,2020-07-06,25.8,25.8,24.04,24.66
5200,2020-07-02,25.21,26.07,24.28,24.99
5199,2020-07-01,25.4,26.24,24.22,24.5
5198,2020-06-30,24.29,25.61,23.69,25.48
5197,2020-06-29,23.25,24.52,23.15,24.43
5196,2020-06-26,21.0,23.59,20.45,23.05
5195,2020-06-25,20.36,21.48,20.113,21.26
5194,2020-06-24,21.45,21.65,19.4805,20.13
5193,2020-06-23,22.39,22.78,21.69,22.05
5192,2020-06-22,22.51,23.0237,20.97,21.98
5191,2020-06-19,22.8,23.82,22.23,23.36
5190,2020-06-18,22.49,23.27,21.9,22.32
5189,2020-06-17,23.98,23.98,21.77,22.89
5188,2020-06-16,24.02,24.96,22.62,24.19
5187,2020-06-15,20.3,23.07,19.92,22.59
5186,2020-06-12,21.39,22.23,19.94,21.22
5185,2020-06-11,20.75,21.56,18.65,19.82
5184,2020-06-10,24.13,24.41,21.6994,22.64
5183,2020-06-09,26.08,26.53,22.71,24.11
5182,2020-06-08,24.2,26.98,24.07,26.24
5181,2020-06-05,21.62,24.67,21.4304,23.06
5180,2020-06-04,19.04,20.95,18.65,20.37
5179,2020-06-03,20.08,21.03,18.95,19.16
5178,2020-06-02,21.97,24.44,19.21,19.41
5177,2020-06-01,16.43,21.9,16.3101,20.93
5176,2020-05-29,14.46,16.745,14.0,16.08
5175,2020-05-28,16.19,16.33,15.15,15.95
5174,2020-05-27,16.6,16.93,14.9977,15.61
5173,2020-05-26,14.0,16.5599,13.99,16.39
5172,2020-05-22,13.24,13.31,12.2,13.29
5171,2020-05-21,11.95,13.5599,11.95,13.12
5170,2020-05-20,11.79,12.47,11.42,12.0
5169,2020-05-19,11.8,12.03,11.1,11.51
5168,2020-05-18,11.3,12.05,11.22,11.91
5167,2020-05-15,10.72,11.06,10.29,10.68
5166,2020-05-14,9.71,10.97,9.31,10.71
5165,2020-05-13,11.37,11.37,9.765,10.04
5164,2020-05-12,11.6,12.01,11.465,11.59
5163,2020-05-11,11.82,11.82,10.39,11.62
5162,2020-05-08,12.1,12.31,11.77,11.97
5161,2020-05-07,11.19,12.02,11.18,11.86
5160,2020-05-06,11.29,11.73,10.735,10.96
5159,2020-05-05,11.85,12.06,11.32,11.39
5158,2020-05-04,12.13,12.89,11.32,11.54
5157,2020-05-01,14.42,14.42,12.1,12.59
5156,2020-04-30,14.32,15.14,13.5844,14.93
5155,2020-04-29,13.31,15.055,13.28,14.7
5154,2020-04-28,11.55,13.1967,11.54,12.64
5153,2020-04-27,11.25,11.64,10.78,11.12
5152,2020-04-24,11.05,11.5301,10.87,10.94
5151,2020-04-23,11.09,11.98,11.09,11.46
5150,2020-04-22,10.99,11.26,10.76,11.12
5149,2020-04-21,10.1,10.77,10.02,10.67
5148,2020-04-20,10.81,10.95,10.37,10.42
5147,2020-04-17,10.73,11.667,10.73,11.48
5146,2020-04-16,11.08,11.18,10.11,10.31
5145,2020-04-15,11.21,11.39,10.39,11.2
5144,2020-04-14,12.8,12.89,11.59,11.84
5143,2020-04-13,11.98,13.1299,11.5,12.24
5142,2020-04-09,11.93,12.9,11.74,12.08
5141,2020-04-08,11.15,11.45,10.68,11.39
5140,2020-04-07,11.13,11.77,10.53,10.72
5139,2020-04-06,9.59,10.94,9.59,10.7
5138,2020-04-03,10.3,10.42,8.76,9.27
5137,2020-04-02,9.73,10.7499,9.72,10.41
