,Date,Open,High,Low,Close
28,2020-12-14,13.2,13.38,13.03,13.38
27,2020-12-11,13.1,13.14,12.85,12.87
26,2020-12-10,12.9,13.35,12.9,13.35
25,2020-12-09,13.23,13.23,12.95,12.95
24,2020-12-08,13.26,13.37,13.0,13.09
23,2020-12-07,13.55,13.55,13.19,13.2
22,2020-12-04,13.19,13.39,13.11,13.36
21,2020-12-03,13.6,13.6,12.9,13.09
20,2020-12-02,13.11,13.11,12.9,13.07
19,2020-12-01,13.08,13.33,13.08,13.2
18,2020-11-30,13.39,13.39,13.1,13.14
17,2020-11-27,13.65,13.65,13.4,13.46
16,2020-11-25,13.4,13.6447,13.4,13.46
15,2020-11-24,13.36,13.69,13.36,13.63
14,2020-11-23,13.5,13.5,13.1784,13.3
13,2020-11-20,13.2,13.21,13.1,13.19
12,2020-11-19,13.1,13.21,13.0,13.19
11,2020-11-18,12.81,13.31,12.81,13.18
10,2020-11-17,13.17,13.224,12.8,12.82
9,2020-11-16,13.18,13.19,13.165,13.165
8,2020-11-13,12.75,12.79,12.75,12.76
7,2020-11-12,13.31,13.31,12.66,12.66
6,2020-11-11,12.48,12.57,12.48,12.57
5,2020-11-10,12.94,12.94,12.94,12.94
4,2020-11-09,12.94,12.94,12.94,12.94
3,2020-11-05,11.68,12.359,11.68,12.31
2,2020-11-04,11.71,11.71,11.71,11.71
1,2020-11-03,11.71,11.71,11.71,11.71
0,2020-11-02,11.71,11.71,11.71,11.71
