,Date,Open,High,Low,Close
5310,2020-12-14,76.11,76.21,75.08,75.16
5309,2020-12-11,75.04,76.0,74.95,75.47
5308,2020-12-10,75.58,75.77,75.01,75.37
5307,2020-12-09,76.67,76.99,75.125,75.42
5306,2020-12-08,76.34,77.27,76.14,76.6
5305,2020-12-07,76.58,77.14,75.75,77.0
5304,2020-12-04,76.47,77.35,76.0,76.38
5303,2020-12-03,77.4,77.4,75.6156,77.0
5302,2020-12-02,76.49,77.63,76.02,77.29
5301,2020-12-01,76.66,77.97,75.47,77.06
5300,2020-11-30,75.02,81.0,74.75,77.15
5299,2020-11-27,71.18,76.86,70.81,72.55
5298,2020-11-25,70.78,71.4503,68.835,69.9
5297,2020-11-24,72.0,72.98,70.1682,70.43
5296,2020-11-23,70.88,73.5,70.88,71.87
5295,2020-11-20,67.07,70.0,67.07,69.92
5294,2020-11-19,66.85,68.0,65.52,67.07
5293,2020-11-18,67.26,68.48,67.0,67.09
5292,2020-11-17,66.16,68.32,65.2355,67.09
5291,2020-11-16,67.82,67.92,65.24,66.72
5290,2020-11-13,67.34,68.96,66.1919,66.79
5289,2020-11-12,66.93,68.63,65.04,66.65
5288,2020-11-11,65.84,68.82,65.05,67.0
5287,2020-11-10,64.78,69.1365,64.72,66.04
5286,2020-11-09,73.4,73.4,63.73,64.22
5285,2020-11-06,72.0,73.25,71.35,71.6
5284,2020-11-05,71.53,73.99,71.53,71.7
5283,2020-11-04,68.43,70.8599,66.63,70.51
5282,2020-11-03,63.55,70.0,61.5,69.13
5281,2020-11-02,56.14,58.65,56.0,57.95
5280,2020-10-30,56.82,57.305,53.25,54.93
5279,2020-10-29,57.39,59.51,56.58,56.95
5278,2020-10-28,57.87,57.87,55.69,57.21
5277,2020-10-27,59.97,60.65,58.52,59.29
5276,2020-10-26,59.88,61.23,58.7,59.96
5275,2020-10-23,60.28,60.87,59.84,60.42
5274,2020-10-22,61.47,61.9,59.56,60.13
5273,2020-10-21,64.06,64.5,60.84,61.04
5272,2020-10-20,61.6,65.63,61.6,64.51
5271,2020-10-19,60.49,61.92,60.49,61.5
