,Date,Open,High,Low,Close
914,2020-12-14,12.23,12.72,12.23,12.54
913,2020-12-11,12.32,12.43,12.11,12.23
912,2020-12-10,12.06,12.3994,11.85,12.32
911,2020-12-09,12.25,12.57,12.1,12.21
910,2020-12-08,11.87,12.375,11.81,12.31
909,2020-12-07,12.52,12.72,11.75,11.79
908,2020-12-04,13.02,13.5,12.18,12.41
907,2020-12-03,11.32,11.65,11.26,11.58
906,2020-12-02,11.19,11.395,10.91,11.2
905,2020-12-01,11.76,11.76,11.27,11.33
904,2020-11-30,11.77,12.0,11.59,11.68
903,2020-11-27,11.7,11.94,11.455,11.75
902,2020-11-25,11.44,11.65,11.25,11.57
901,2020-11-24,11.38,11.99,11.14,11.46
900,2020-11-23,11.38,11.3934,11.1147,11.26
899,2020-11-20,11.12,11.415,11.09,11.3
898,2020-11-19,10.72,11.25,10.71,11.18
897,2020-11-18,11.21,11.21,10.71,10.72
896,2020-11-17,10.97,11.21,10.8,11.12
895,2020-11-16,10.65,10.97,10.58,10.94
894,2020-11-13,10.6,10.75,10.5,10.67
893,2020-11-12,10.38,10.6,10.27,10.5
892,2020-11-11,10.18,10.37,10.08,10.34
891,2020-11-10,10.05,10.17,9.761,10.05
890,2020-11-09,10.55,10.82,10.05,10.09
889,2020-11-06,10.43,10.55,10.27,10.41
888,2020-11-05,10.43,10.6,10.3973,10.48
887,2020-11-04,10.29,10.48,10.09,10.22
886,2020-11-03,9.94,10.17,9.9,10.07
885,2020-11-02,9.76,9.865,9.64,9.81
884,2020-10-30,9.78,9.87,9.52,9.72
883,2020-10-29,9.65,9.95,9.6,9.88
882,2020-10-28,9.61,9.695,9.34,9.61
881,2020-10-27,9.9,10.1,9.85,9.94
880,2020-10-26,10.2,10.29,9.68,9.76
879,2020-10-23,10.3,10.4,10.1836,10.36
878,2020-10-22,10.14,10.28,9.95,10.24
877,2020-10-21,10.32,10.38,9.935,10.09
876,2020-10-20,10.43,10.635,10.31,10.31
875,2020-10-19,10.76,10.78,10.4,10.4
874,2020-10-16,10.69,10.87,10.67,10.71
873,2020-10-15,10.87,11.0223,10.615,10.64
872,2020-10-14,11.94,11.99,11.08,11.09
871,2020-10-13,11.87,12.46,11.761,11.88
870,2020-10-12,11.66,12.16,11.34,11.87
869,2020-10-09,11.28,11.57,11.23,11.43
868,2020-10-08,11.04,11.56,11.02,11.23
867,2020-10-07,10.82,10.98,10.71,10.93
866,2020-10-06,10.79,11.07,10.71,10.74
865,2020-10-05,10.79,10.9,10.59,10.72
864,2020-10-02,10.64,10.8588,10.53,10.61
863,2020-10-01,10.96,11.06,10.81,10.89
862,2020-09-30,10.94,11.1516,10.78,10.89
861,2020-09-29,10.92,11.08,10.85,10.95
860,2020-09-28,10.76,11.03,10.76,10.85
859,2020-09-25,10.63,10.89,10.53,10.79
858,2020-09-24,10.9,10.93,10.49,10.63
857,2020-09-23,10.92,11.44,10.8728,11.01
856,2020-09-22,10.86,11.01,10.73,11.0
855,2020-09-21,10.5,10.86,10.42,10.82
854,2020-09-18,10.93,10.96,10.46,10.69
853,2020-09-17,10.94,11.04,10.6876,10.77
852,2020-09-16,11.17,11.43,11.04,11.18
851,2020-09-15,11.12,11.22,10.9701,11.13
850,2020-09-14,11.06,11.16,10.85,11.08
849,2020-09-11,11.27,11.27,10.8,10.95
848,2020-09-10,11.59,11.8619,11.14,11.16
847,2020-09-09,11.24,11.6393,11.09,11.54
846,2020-09-08,10.85,11.18,10.72,10.89
845,2020-09-04,11.77,11.8,10.635,11.22
844,2020-09-03,12.67,12.9721,11.5,11.63
843,2020-09-02,14.14,14.1982,12.56,13.24
842,2020-09-01,13.31,13.97,13.12,13.86
841,2020-08-31,13.01,13.44,12.7716,13.21
840,2020-08-28,12.39,12.965,12.32,12.92
839,2020-08-27,12.43,12.53,12.11,12.39
838,2020-08-26,12.0,12.67,12.0,12.42
837,2020-08-25,11.82,12.02,11.71,11.89
836,2020-08-24,12.11,12.235,11.685,11.87
835,2020-08-21,12.1,12.22,11.735,11.94
834,2020-08-20,11.51,12.33,11.42,12.23
833,2020-08-19,11.62,11.85,11.5038,11.63
832,2020-08-18,11.38,11.6176,11.33,11.58
831,2020-08-17,11.32,11.5,11.2933,11.38
830,2020-08-14,11.48,11.54,11.2057,11.26
829,2020-08-13,11.4,11.78,11.39,11.5
828,2020-08-12,11.36,11.52,11.31,11.39
827,2020-08-11,11.25,11.59,11.23,11.27
826,2020-08-10,11.22,11.44,10.97,11.27
825,2020-08-07,11.5,11.62,11.095,11.25
824,2020-08-06,11.84,11.85,11.56,11.57
823,2020-08-05,11.66,11.93,11.62,11.86
822,2020-08-04,11.41,11.7,11.32,11.57
821,2020-08-03,11.25,11.635,11.2228,11.51
820,2020-07-31,11.41,11.42,10.99,11.27
819,2020-07-30,11.3,11.43,11.08,11.36
818,2020-07-29,11.29,11.54,11.26,11.48
817,2020-07-28,11.42,11.46,11.12,11.12
816,2020-07-27,11.49,11.49,11.14,11.48
815,2020-07-24,11.36,11.55,11.19,11.39
814,2020-07-23,11.65,11.95,11.3721,11.54
813,2020-07-22,11.55,11.88,11.535,11.7
812,2020-07-21,11.94,11.99,11.49,11.53
811,2020-07-20,11.55,11.815,11.354,11.79
810,2020-07-17,11.54,11.65,11.33,11.55
809,2020-07-16,11.35,11.73,11.24,11.48
808,2020-07-15,11.58,11.63,11.39,11.57
807,2020-07-14,11.21,11.61,10.97,11.56
806,2020-07-13,12.45,12.56,11.34,11.35
805,2020-07-10,12.24,12.66,12.21,12.4
804,2020-07-09,12.6,12.68,11.91,12.28
803,2020-07-08,11.91,12.52,11.9,12.5
802,2020-07-07,11.81,12.32,11.78,11.85
801,2020-07-06,12.45,12.53,11.76,11.9
800,2020-07-02,12.53,12.74,12.22,12.27
799,2020-07-01,12.7,12.82,12.32,12.38
798,2020-06-30,12.87,12.98,12.55,12.72
797,2020-06-29,13.5,13.58,12.73,12.96
796,2020-06-26,13.13,13.79,12.835,13.69
795,2020-06-25,12.04,13.15,12.01,13.12
794,2020-06-24,12.56,12.6697,11.84,12.03
793,2020-06-23,12.7,13.09,12.65,12.66
792,2020-06-22,12.86,12.92,12.47,12.64
791,2020-06-19,13.77,13.85,12.785,12.81
790,2020-06-18,12.8,13.93,12.68,13.71
789,2020-06-17,12.41,12.975,12.31,12.64
