,Date,Open,High,Low,Close
967,2020-12-14,6.56,6.64,6.415,6.43
966,2020-12-11,6.67,6.67,6.469,6.55
965,2020-12-10,6.48,6.76,6.4006,6.72
964,2020-12-09,6.55,6.7342,6.47,6.49
963,2020-12-08,6.36,6.65,6.36,6.5
962,2020-12-07,6.7,6.71,6.4298,6.49
961,2020-12-04,6.58,6.83,6.58,6.7
960,2020-12-03,6.56,6.635,6.49,6.51
959,2020-12-02,6.59,6.6887,6.49,6.56
958,2020-12-01,6.5,6.66,6.42,6.59
957,2020-11-30,6.24,6.48,6.24,6.35
956,2020-11-27,6.18,6.2936,6.0701,6.24
955,2020-11-25,6.2,6.29,6.05,6.1
954,2020-11-24,6.0,6.37,5.99,6.24
953,2020-11-23,6.05,6.1,5.97,5.99
952,2020-11-20,5.96,6.04,5.901,6.0
951,2020-11-19,6.01,6.11,5.91,6.03
950,2020-11-18,6.12,6.2333,6.1,6.1
949,2020-11-17,6.08,6.3327,6.03,6.11
948,2020-11-16,5.84,6.1,5.84,6.08
947,2020-11-13,5.59,5.78,5.59,5.69
946,2020-11-12,5.7,5.8,5.51,5.6
945,2020-11-11,5.85,5.95,5.64,5.72
944,2020-11-10,6.17,6.2,5.79,5.86
943,2020-11-09,5.9,6.82,5.9,6.17
942,2020-11-06,5.46,5.495,5.35,5.4
941,2020-11-05,5.3,5.55,5.3,5.46
940,2020-11-04,5.45,5.48,5.25,5.29
939,2020-11-03,5.5,5.62,5.47,5.47
938,2020-11-02,5.63,5.701,5.43,5.49
937,2020-10-30,5.54,5.69,5.48,5.62
936,2020-10-29,5.54,5.726,5.45,5.52
935,2020-10-28,5.77,5.825,5.465,5.54
934,2020-10-27,5.96,6.03,5.82,5.82
933,2020-10-26,5.93,6.07,5.8,5.98
932,2020-10-23,5.95,6.08,5.95,5.99
931,2020-10-22,6.1,6.1,5.95,5.95
930,2020-10-21,6.01,6.09,5.98,6.03
929,2020-10-20,6.1,6.116,6.04,6.08
928,2020-10-19,6.1,6.16,6.0,6.04
927,2020-10-16,6.14,6.215,6.0901,6.1
926,2020-10-15,6.2,6.32,6.1,6.18
925,2020-10-14,6.425,6.425,6.14,6.18
924,2020-10-13,6.49,6.49,6.27,6.3
923,2020-10-12,6.54,6.6,6.44,6.5
922,2020-10-09,6.75,6.75,6.56,6.59
921,2020-10-08,6.64,6.75,6.58,6.69
920,2020-10-07,6.57,6.64,6.39,6.54
919,2020-10-06,6.46,6.73,6.4201,6.52
918,2020-10-05,6.21,6.4,6.14,6.31
917,2020-10-02,5.97,6.14,5.95,6.1
916,2020-10-01,6.05,6.1699,5.98,6.08
915,2020-09-30,6.17,6.23,6.0,6.05
914,2020-09-29,6.35,6.35,6.075,6.12
913,2020-09-28,6.14,6.52,6.14,6.35
912,2020-09-25,5.91,6.11,5.86,6.08
911,2020-09-24,5.74,6.05,5.72,5.9
910,2020-09-23,5.92,5.94,5.68,5.7
909,2020-09-22,5.93,6.0504,5.87,5.89
908,2020-09-21,6.09,6.09,5.77,5.89
907,2020-09-18,6.26,6.29,6.0,6.19
906,2020-09-17,6.17,6.27,6.09,6.17
905,2020-09-16,6.15,6.34,6.15,6.24
904,2020-09-15,6.29,6.49,6.16,6.16
903,2020-09-14,6.0,6.4,5.9656,6.25
902,2020-09-11,6.24,6.24,5.94,5.94
901,2020-09-10,6.38,6.39,6.14,6.15
900,2020-09-09,6.45,6.58,6.33,6.38
899,2020-09-08,6.55,6.595,6.43,6.47
898,2020-09-04,6.76,6.8,6.46,6.59
897,2020-09-03,6.78,6.98,6.62,6.74
896,2020-09-02,6.75,6.8,6.67,6.77
895,2020-09-01,6.61,6.835,6.6,6.77
894,2020-08-31,6.56,6.83,6.5,6.67
893,2020-08-28,6.76,6.81,6.48,6.54
892,2020-08-27,6.49,7.23,6.49,6.76
891,2020-08-26,6.51,6.56,6.3,6.48
890,2020-08-25,6.69,6.73,6.52,6.61
889,2020-08-24,6.62,6.6856,6.54,6.64
888,2020-08-21,6.7,6.85,6.55,6.64
887,2020-08-20,6.91,6.98,6.59,6.8
886,2020-08-19,7.22,7.22,7.02,7.08
885,2020-08-18,7.45,7.45,7.0832,7.16
884,2020-08-17,7.46,7.56,7.31,7.41
883,2020-08-14,7.5,7.69,7.27,7.46
882,2020-08-13,8.05,8.22,7.54,7.58
881,2020-08-12,7.93,7.93,7.49,7.63
880,2020-08-11,7.07,8.08,7.07,7.81
879,2020-08-10,6.85,7.07,6.69,7.05
878,2020-08-07,6.44,6.89,6.41,6.75
877,2020-08-06,6.3,6.53,6.3,6.53
876,2020-08-05,6.44,6.49,6.21,6.33
875,2020-08-04,6.43,6.43,6.28,6.4
874,2020-08-03,6.65,6.65,6.27,6.42
873,2020-07-31,7.01,7.01,6.49,6.68
872,2020-07-30,6.99,6.99,6.69,6.91
871,2020-07-29,6.78,7.05,6.69,6.96
870,2020-07-28,6.62,6.79,6.51,6.69
869,2020-07-27,6.57,6.62,6.37,6.62
868,2020-07-24,6.62,6.62,6.46,6.55
867,2020-07-23,6.91,7.06,6.57,6.67
866,2020-07-22,6.86,7.01,6.86,6.99
865,2020-07-21,6.91,7.04,6.84,6.93
864,2020-07-20,7.14,7.14,6.57,6.83
863,2020-07-17,7.15,7.2,7.0,7.08
862,2020-07-16,7.3,7.305,7.06,7.15
861,2020-07-15,7.38,7.5,7.2,7.3
860,2020-07-14,7.12,7.27,7.01,7.13
859,2020-07-13,7.31,7.31,7.08,7.13
858,2020-07-10,7.29,7.33,7.13,7.22
857,2020-07-09,7.49,7.49,7.1,7.19
856,2020-07-08,7.84,7.9,7.41,7.5
855,2020-07-07,8.2,8.2,7.73,7.83
854,2020-07-06,8.49,8.49,8.245,8.33
