,Date,Open,High,Low,Close
27,2020-12-14,10.7,11.47,10.6,10.73
26,2020-12-11,10.6,10.6,10.35,10.56
25,2020-12-10,10.59,10.65,10.35,10.4285
24,2020-12-09,10.6,10.6,10.28,10.5
23,2020-12-08,10.6,10.6,10.25,10.35
22,2020-12-07,11.0,12.0,10.35,10.5
21,2020-12-04,10.27,10.3,10.196,10.25
20,2020-12-03,10.4,10.5,10.13,10.2
19,2020-12-02,11.0,11.0,10.2,10.6662
18,2020-12-01,11.04,12.14,10.105,10.3512
17,2020-11-30,10.22,10.28,10.05,10.245
16,2020-11-27,10.13,10.16,10.13,10.13
15,2020-11-25,10.1,10.2,10.1,10.15
14,2020-11-24,10.04,10.15,10.02,10.07
13,2020-11-23,10.0,10.07,9.99,10.02
12,2020-11-20,9.9007,10.02,9.9007,10.02
11,2020-11-19,9.92,9.92,9.8981,9.92
10,2020-11-18,9.93,9.93,9.93,9.93
9,2020-11-17,9.93,9.93,9.93,9.93
8,2020-11-16,10.87,10.87,9.66,9.93
7,2020-11-13,10.0285,10.23,10.0285,10.23
6,2020-11-12,10.3,10.3,10.3,10.3
5,2020-11-11,9.8,9.8,9.8,9.8
4,2020-11-10,9.8,9.8,9.8,9.8
3,2020-11-09,9.8,9.8,9.8,9.8
2,2020-11-06,9.8,9.8,9.8,9.8
1,2020-11-05,9.8,9.8,9.8,9.8
0,2020-11-04,9.8,9.8,9.8,9.8
