,Date,Open,High,Low,Close
2263,2020-12-14,38.91,39.8545,38.06,38.4
2262,2020-12-11,39.78,39.78,37.95,38.14
2261,2020-12-10,39.02,39.97,38.1,39.66
2260,2020-12-09,38.79,39.6181,38.43,39.03
2259,2020-12-08,38.61,39.815,38.555,38.71
2258,2020-12-07,39.05,39.45,38.89,39.33
2257,2020-12-04,39.0,39.92,38.66,39.13
2256,2020-12-03,37.5,39.75,37.42,38.79
2255,2020-12-02,34.79,37.2,34.41,37.1
2254,2020-12-01,36.055,36.8,34.81,35.55
2253,2020-11-30,36.09,36.31,35.0571,35.38
2252,2020-11-27,37.26,37.26,35.92,36.0
2251,2020-11-25,36.33,37.67,35.71,37.15
2250,2020-11-24,36.97,38.0,36.22,37.27
2249,2020-11-23,35.59,36.68,35.04,36.11
2248,2020-11-20,33.81,34.74,33.36,34.71
2247,2020-11-19,31.73,33.45,31.67,33.33
2246,2020-11-18,32.14,33.092,31.88,32.06
2245,2020-11-17,30.58,32.99,30.11,32.74
2244,2020-11-16,30.25,30.5,29.29,30.14
2243,2020-11-13,28.29,29.74,28.19,29.38
2242,2020-11-12,27.46,28.66,27.0,27.82
2241,2020-11-11,28.42,28.52,27.035,27.65
2240,2020-11-10,27.03,28.69,26.91,28.12
2239,2020-11-09,27.99,29.33,26.64,27.0
2238,2020-11-06,25.08,26.08,24.725,24.95
2237,2020-11-05,24.79,25.75,24.565,25.27
2236,2020-11-04,23.01,23.45,22.33,23.28
2235,2020-11-03,22.39,23.15,21.83,22.92
2234,2020-11-02,21.73,22.455,21.49,22.04
2233,2020-10-30,22.01,22.23,21.0,21.22
2232,2020-10-29,21.65,22.24,21.14,22.19
2231,2020-10-28,21.71,22.1,21.17,21.25
2230,2020-10-27,22.33,22.82,22.11,22.62
2229,2020-10-26,22.3,22.69,21.72,22.34
2228,2020-10-23,22.78,22.88,21.85,22.52
2227,2020-10-22,22.24,22.84,21.99,22.56
2226,2020-10-21,21.8,22.29,21.67,22.13
2225,2020-10-20,21.8,22.28,21.71,21.89
2224,2020-10-19,21.57,22.41,21.36,21.52
2223,2020-10-16,21.8,22.03,21.19,21.33
2222,2020-10-15,20.32,21.73,20.175,21.73
2221,2020-10-14,20.41,21.08,20.41,20.75
2220,2020-10-13,21.35,21.48,20.48,20.62
2219,2020-10-12,21.74,22.005,21.48,21.64
2218,2020-10-09,21.36,21.77,20.66,21.66
2217,2020-10-08,20.6,21.3399,20.52,21.12
2216,2020-10-07,19.9,20.585,19.9,20.49
2215,2020-10-06,19.89,20.35,19.37,19.51
2214,2020-10-05,18.8,19.665,18.66,19.56
2213,2020-10-02,17.29,18.58,17.11,18.46
2212,2020-10-01,18.11,18.6,17.91,18.11
2211,2020-09-30,17.74,18.345,17.74,18.0
2210,2020-09-29,18.88,18.88,17.66,17.69
2209,2020-09-28,19.98,20.49,18.575,18.92
2208,2020-09-25,19.56,19.78,19.24,19.46
2207,2020-09-24,19.71,20.01,18.95,19.71
2206,2020-09-23,20.67,21.12,20.005,20.08
2205,2020-09-22,20.22,20.64,19.86,20.5
2204,2020-09-21,21.01,21.09,20.18,20.42
2203,2020-09-18,21.5,21.555,20.31,20.84
2202,2020-09-17,21.45,22.23,21.14,21.65
2201,2020-09-16,22.17,23.12,21.88,21.89
2200,2020-09-15,21.6,21.87,21.11,21.15
2199,2020-09-14,20.48,21.43,20.44,21.3
2198,2020-09-11,20.06,20.5697,19.53,20.39
2197,2020-09-10,18.75,20.88,18.51,19.97
2196,2020-09-09,17.87,18.04,17.25,17.96
2195,2020-09-08,16.7,18.345,16.49,17.87
2194,2020-09-04,16.8,17.46,16.07,17.16
2193,2020-09-03,16.5,17.09,15.95,16.27
2192,2020-09-02,16.09,16.42,15.86,16.35
2191,2020-09-01,15.67,16.08,15.46,15.82
2190,2020-08-31,16.74,16.82,15.82,15.84
2189,2020-08-28,16.69,16.98,16.25,16.94
2188,2020-08-27,16.1,16.65,16.1,16.53
2187,2020-08-26,16.29,16.81,16.035,16.06
2186,2020-08-25,16.54,16.66,15.915,16.24
2185,2020-08-24,15.1,16.39,15.01,16.35
2184,2020-08-21,15.14,15.45,14.98,14.99
2183,2020-08-20,15.58,15.81,15.205,15.25
2182,2020-08-19,15.82,16.25,15.7,15.84
2181,2020-08-18,17.1,17.1,15.71,15.81
2180,2020-08-17,17.09,17.31,16.76,17.27
2179,2020-08-14,16.89,17.415,16.56,17.21
2178,2020-08-13,17.24,17.42,17.04,17.08
2177,2020-08-12,17.43,17.55,16.77,17.38
2176,2020-08-11,17.43,17.98,17.065,17.17
2175,2020-08-10,15.79,16.99,15.79,16.86
2174,2020-08-07,14.87,15.89,14.66,15.84
2173,2020-08-06,15.42,15.56,14.64,15.05
2172,2020-08-05,15.55,16.16,15.095,15.64
