,Date,Open,High,Low,Close
1533,2020-12-14,1.36,1.39,1.34,1.39
1532,2020-12-11,1.3,1.39,1.28,1.34
1531,2020-12-10,1.3,1.33,1.24,1.32
1530,2020-12-09,1.36,1.39,1.28,1.335
1529,2020-12-08,1.3733,1.39,1.31,1.385
1528,2020-12-07,1.39,1.425,1.35,1.37
1527,2020-12-04,1.33,1.47,1.31,1.42
1526,2020-12-03,1.35,1.36,1.31,1.33
1525,2020-12-02,1.37,1.4,1.25,1.33
1524,2020-12-01,1.59,1.6,1.33,1.45
1523,2020-11-30,1.25,1.27,1.22,1.22
1522,2020-11-27,1.22,1.22,1.18,1.22
1521,2020-11-25,1.22,1.23,1.19,1.2
1520,2020-11-24,1.2308,1.26,1.18,1.22
1519,2020-11-23,1.21,1.22,1.16,1.22
1518,2020-11-20,1.21,1.22,1.16,1.21
1517,2020-11-19,1.25,1.25,1.18,1.21
1516,2020-11-18,1.21,1.28,1.17,1.2
1515,2020-11-17,1.22,1.23,1.15,1.2
1514,2020-11-16,1.28,1.31,1.2,1.22
1513,2020-11-13,1.39,1.41,1.25,1.28
1512,2020-11-12,1.22,1.58,1.2,1.38
1511,2020-11-11,1.18,1.225,1.16,1.22
1510,2020-11-10,1.1877,1.22,1.08,1.22
1509,2020-11-09,1.16,1.22,1.1,1.22
1508,2020-11-06,1.13,1.17,1.02,1.13
1507,2020-11-05,1.13,1.14,1.06,1.13
1506,2020-11-04,1.08,1.12,1.04,1.11
1505,2020-11-03,1.03,1.09,1.01,1.07
1504,2020-11-02,0.95,1.02,0.95,1.02
1503,2020-10-30,0.9835,0.9898,0.91,0.9397
1502,2020-10-29,0.98,1.0,0.9335,0.984
1501,2020-10-28,0.9663,0.9799,0.9333,0.9463
1500,2020-10-27,0.994,0.995,0.94,0.992
1499,2020-10-26,1.02,1.03,0.949,0.9637
1498,2020-10-23,1.0251,1.09,0.986,1.01
1497,2020-10-22,0.9539,1.04,0.9346,1.04
1496,2020-10-21,1.0,1.01,0.9286,0.9412
1495,2020-10-20,1.01,1.03,0.9208,0.9796
1494,2020-10-19,1.1044,1.11,1.02,1.02
1493,2020-10-16,1.1,1.13,1.08,1.11
1492,2020-10-15,1.11,1.12,1.07,1.11
1491,2020-10-14,1.13,1.14,1.1,1.105
1490,2020-10-13,1.13,1.14,1.1,1.12
1489,2020-10-12,1.22,1.22,1.1001,1.14
1488,2020-10-09,1.25,1.26,1.19,1.2
1487,2020-10-08,1.18,1.26,1.16,1.23
1486,2020-10-07,1.21,1.27,1.16,1.21
1485,2020-10-06,1.11,1.28,1.04,1.21
1484,2020-10-05,1.77,1.89,1.76,1.89
1483,2020-10-02,1.78,1.915,1.72,1.8
1482,2020-10-01,1.81,1.86,1.71,1.86
1481,2020-09-30,1.99,2.0736,1.77,1.8
1480,2020-09-29,1.67,2.05,1.6586,1.97
1479,2020-09-28,1.66,1.67,1.52,1.64
1478,2020-09-25,1.57,1.7,1.53,1.565
1477,2020-09-24,1.45,1.59,1.39,1.54
1476,2020-09-23,1.65,1.6645,1.47,1.505
1475,2020-09-22,1.8,1.8,1.58,1.64
1474,2020-09-21,1.85,1.86,1.71,1.72
1473,2020-09-18,1.97,1.98,1.75,1.9
1472,2020-09-17,1.95,1.99,1.89,1.96
1471,2020-09-16,1.97,2.02,1.95,1.97
1470,2020-09-15,1.97,2.08,1.92,1.97
1469,2020-09-14,1.9345,2.0,1.86,1.93
1468,2020-09-11,2.3,2.3,1.81,1.88
1467,2020-09-10,2.53,2.54,2.23,2.27
1466,2020-09-09,2.27,2.56,2.25,2.44
1465,2020-09-08,2.23,2.45,1.95,2.23
1464,2020-09-04,9.36,9.6,8.92,9.25
1463,2020-09-03,9.25,9.52,9.05,9.38
1462,2020-09-02,8.9,9.39,8.796,9.38
1461,2020-09-01,9.35,9.41,8.46,8.91
1460,2020-08-31,9.2829,9.78,9.24,9.285
1459,2020-08-28,8.56,9.2,8.508,9.12
1458,2020-08-27,8.63,8.74,8.3314,8.56
1457,2020-08-26,8.22,8.8391,8.1559,8.63
1456,2020-08-25,7.94,8.34,7.8,8.21
1455,2020-08-24,8.01,8.0965,7.68,7.875
1454,2020-08-21,8.15,8.18,7.66,7.91
1453,2020-08-20,7.599,8.19,7.56,8.13
1452,2020-08-19,7.55,7.92,7.42,7.71
1451,2020-08-18,7.2,7.69,7.08,7.495
1450,2020-08-17,7.03,7.1699,6.84,7.1
1449,2020-08-14,7.35,7.585,6.62,6.97
1448,2020-08-13,7.09,7.36,7.0201,7.335
1447,2020-08-12,7.05,7.365,7.01,7.11
1446,2020-08-11,6.91,7.5347,6.7201,6.96
1445,2020-08-10,6.65,6.955,6.59,6.87
1444,2020-08-07,6.51,6.61,6.37,6.61
1443,2020-08-06,7.23,7.23,6.26,6.33
1442,2020-08-05,6.95,7.29,6.8507,7.15
1441,2020-08-04,6.81,6.917,6.61,6.86
1440,2020-08-03,6.42,6.94,6.4,6.79
1439,2020-07-31,6.7,6.78,6.19,6.27
1438,2020-07-30,6.45,6.96,6.42,6.67
1437,2020-07-29,6.94,6.99,6.4,6.44
1436,2020-07-28,7.2,7.32,6.825,6.87
1435,2020-07-27,6.95,7.325,6.93,7.18
1434,2020-07-24,6.79,7.04,6.67,6.91
1433,2020-07-23,6.66,6.98,6.61,6.8
1432,2020-07-22,6.8,6.842,6.5873,6.69
1431,2020-07-21,6.97,7.04,6.705,6.78
1430,2020-07-20,6.95,7.07,6.802,6.92
1429,2020-07-17,6.95,7.01,6.78,6.91
1428,2020-07-16,7.1,7.19,6.89,6.95
1427,2020-07-15,7.3,7.37,6.98,7.08
1426,2020-07-14,7.17,7.34,7.0,7.23
1425,2020-07-13,7.7,7.79,7.15,7.16
1424,2020-07-10,7.68,7.83,7.52,7.68
1423,2020-07-09,8.0,8.01,7.63,7.7
1422,2020-07-08,8.03,8.06,7.85,7.94
1421,2020-07-07,8.16,8.41,7.88,8.03
1420,2020-07-06,8.15,8.15,7.78,7.91
1419,2020-07-02,8.44,8.5,7.95,7.95
1418,2020-07-01,8.51,8.78,8.22,8.39
1417,2020-06-30,7.97,8.56,7.95,8.39
1416,2020-06-29,7.85,8.26,7.66,7.91
1415,2020-06-26,7.85,7.96,7.55,7.8
1414,2020-06-25,7.96,8.27,7.77,7.86
1413,2020-06-24,8.12,8.59,7.95,7.96
1412,2020-06-23,8.0,8.18,7.79,8.15
1411,2020-06-22,7.79,7.965,7.5556,7.84
