,Date,Open,High,Low,Close
5314,2020-12-14,11.26,11.36,11.25,11.26
5313,2020-12-11,11.45,11.48,11.43,11.46
5312,2020-12-10,11.43,11.5,11.4,11.47
5311,2020-12-09,11.45,11.46,11.42,11.44
5310,2020-12-08,11.4,11.45,11.35,11.43
5309,2020-12-07,11.35,11.42,11.3221,11.39
5308,2020-12-04,11.27,11.37,11.26,11.36
5307,2020-12-03,11.2,11.28,11.17,11.262
5306,2020-12-02,11.15,11.2,11.13,11.2
5305,2020-12-01,11.08,11.18,11.08,11.13
5304,2020-11-30,11.02,11.08,11.0,11.075
5303,2020-11-27,10.96,11.01,10.96,11.0
5302,2020-11-25,10.98,10.98,10.94,10.95
5301,2020-11-24,10.92,10.98,10.89,10.95
5300,2020-11-23,10.88,10.96,10.86,10.9
5299,2020-11-20,10.95,10.97,10.86,10.86
5298,2020-11-19,10.99,11.0,10.93,10.99
5297,2020-11-18,10.97,11.01,10.94,10.96
5296,2020-11-17,10.89,10.9611,10.87,10.92
5295,2020-11-16,11.05,11.05,10.91,10.93
5294,2020-11-13,11.02,11.055,10.9,11.01
5293,2020-11-12,11.1,11.13,11.06,11.11
5292,2020-11-11,11.12,11.14,11.08,11.1
5291,2020-11-10,11.14,11.14,11.04,11.11
5290,2020-11-09,11.15,11.3,11.04,11.11
5289,2020-11-06,10.97,11.04,10.88,10.99
5288,2020-11-05,10.88,11.1,10.8628,10.95
5287,2020-11-04,10.73,10.8778,10.7225,10.77
5286,2020-11-03,10.53,10.64,10.53,10.59
5285,2020-11-02,10.69,10.71,10.29,10.44
5284,2020-10-30,10.78,10.82,10.5618,10.63
5283,2020-10-29,10.61,10.81,10.6,10.74
5282,2020-10-28,10.69,10.74,10.56,10.625
5281,2020-10-27,10.74,10.83,10.74,10.82
5280,2020-10-26,10.8,10.8,10.68,10.76
5279,2020-10-23,10.82,10.82,10.76,10.81
5278,2020-10-22,10.78,10.81,10.7,10.76
5277,2020-10-21,10.75,10.8327,10.7407,10.75
5276,2020-10-20,10.77,10.83,10.71,10.75
5275,2020-10-19,10.81,10.88,10.7,10.71
5274,2020-10-16,10.93,10.96,10.86,10.88
5273,2020-10-15,10.92,10.97,10.9,10.96
5272,2020-10-14,10.95,10.978,10.895,10.95
5271,2020-10-13,11.23,11.23,11.15,11.19
5270,2020-10-12,11.17,11.24,11.1317,11.2
5269,2020-10-09,11.15,11.18,11.08,11.13
5268,2020-10-08,11.12,11.14,11.06,11.09
5267,2020-10-07,11.11,11.14,11.05,11.1
5266,2020-10-06,11.13,11.1799,11.01,11.03
5265,2020-10-05,11.04,11.15,11.0102,11.15
5264,2020-10-02,10.76,11.01,10.76,10.975
5263,2020-10-01,11.09,11.1,10.98,11.05
5262,2020-09-30,10.86,11.039,10.86,11.0
5261,2020-09-29,10.85,10.86,10.78,10.86
5260,2020-09-28,10.77,10.81,10.69,10.75
5259,2020-09-25,10.5,10.57,10.47,10.57
5258,2020-09-24,10.53,10.61,10.45,10.51
5257,2020-09-23,10.83,10.87,10.57,10.57
5256,2020-09-22,10.7,10.78,10.63,10.74
5255,2020-09-21,10.64,10.71,10.52,10.63
5254,2020-09-18,10.85,10.85,10.72,10.76
5253,2020-09-17,10.76,10.8278,10.68,10.78
5252,2020-09-16,10.96,10.96,10.84,10.87
5251,2020-09-15,11.06,11.0634,10.9,10.91
5250,2020-09-14,11.0,11.07,10.95,10.99
5249,2020-09-11,11.15,11.17,10.99,11.08
5248,2020-09-10,11.21,11.24,11.032,11.06
5247,2020-09-09,11.05,11.2,10.999,11.14
5246,2020-09-08,10.94,10.95,10.82,10.88
5245,2020-09-04,11.1,11.18,10.82,11.0602
5244,2020-09-03,11.2,11.2313,11.05,11.06
5243,2020-09-02,11.22,11.31,11.12,11.3
5242,2020-09-01,11.04,11.24,11.03,11.19
5241,2020-08-31,10.98,11.05,10.94,11.03
5240,2020-08-28,10.88,11.0,10.87,10.91
5239,2020-08-27,10.86,10.9,10.835,10.86
5238,2020-08-26,10.71,10.84,10.64,10.84
5237,2020-08-25,10.65,10.745,10.59,10.64
5236,2020-08-24,10.7,10.7,10.63,10.68
5235,2020-08-21,10.75,10.755,10.62,10.67
5234,2020-08-20,10.78,10.8,10.63,10.75
5233,2020-08-19,10.82,10.85,10.81,10.83
5232,2020-08-18,10.79,10.92,10.78,10.81
5231,2020-08-17,11.01,11.04,10.6,10.78
5230,2020-08-14,11.0,11.03,10.99,10.99
5229,2020-08-13,11.03,11.07,11.01,11.02
5228,2020-08-12,11.19,11.23,11.14,11.23
5227,2020-08-11,11.2,11.2,11.05,11.08
5226,2020-08-10,11.0,11.08,10.98,11.08
5225,2020-08-07,10.82,10.95,10.82,10.95
5224,2020-08-06,10.7,10.82,10.68,10.82
5223,2020-08-05,10.68,10.71,10.6668,10.71
5222,2020-08-04,10.55,10.66,10.545,10.625
5221,2020-08-03,10.49,10.6,10.4699,10.53
5220,2020-07-31,10.49,10.49,10.39,10.42
5219,2020-07-30,10.35,10.43,10.2659,10.43
5218,2020-07-29,10.36,10.4,10.33,10.37
5217,2020-07-28,10.35,10.37,10.32,10.34
5216,2020-07-27,10.36,10.4,10.31,10.35
5215,2020-07-24,10.25,10.3,10.21,10.3
5214,2020-07-23,10.29,10.29,10.18,10.27
5213,2020-07-22,10.29,10.29,10.21,10.26
5212,2020-07-21,10.25,10.3,10.24,10.26
5211,2020-07-20,10.13,10.24,10.1,10.24
5210,2020-07-17,10.08,10.18,10.07,10.14
5209,2020-07-16,10.08,10.15,10.05,10.07
5208,2020-07-15,10.24,10.29,10.13,10.16
5207,2020-07-14,10.29,10.29,10.17,10.21
5206,2020-07-13,10.45,10.55,10.42,10.45
5205,2020-07-10,10.37,10.42,10.33,10.41
5204,2020-07-09,10.44,10.44,10.26,10.36
5203,2020-07-08,10.28,10.41,10.28,10.38
5202,2020-07-07,10.3,10.41,10.26,10.27
5201,2020-07-06,10.33,10.35,10.27,10.31
5200,2020-07-02,10.25,10.3,10.19,10.21
5199,2020-07-01,10.02,10.25,10.02,10.16
5198,2020-06-30,9.84,10.09,9.84,10.05
5197,2020-06-29,9.67,9.79,9.6,9.79
5196,2020-06-26,9.82,9.86,9.65,9.69
5195,2020-06-25,9.8,9.88,9.61,9.82
5194,2020-06-24,10.0,10.02,9.78,9.87
5193,2020-06-23,10.1,10.12,10.0,10.0
5192,2020-06-22,10.07,10.07,9.95,10.02
5191,2020-06-19,10.1,10.1,10.01,10.06
5190,2020-06-18,9.96,10.06,9.93,10.03
5189,2020-06-17,9.91,10.0,9.85,9.93
5188,2020-06-16,10.04,10.04,9.77,9.85
5187,2020-06-15,9.55,9.8,9.45,9.71
5186,2020-06-12,10.11,10.11,9.54,9.86
5185,2020-06-11,10.29,10.29,10.0,10.07
5184,2020-06-10,10.55,10.58,10.47,10.5
5183,2020-06-09,10.55,10.56,10.47,10.53
5182,2020-06-08,10.61,10.62,10.53,10.59
5181,2020-06-05,10.43,10.53,10.41,10.46
5180,2020-06-04,10.3,10.4,10.24,10.32
5179,2020-06-03,10.24,10.42,10.24,10.36
5178,2020-06-02,10.2,10.2,10.1,10.2
5177,2020-06-01,9.95,10.07,9.91,10.07
5176,2020-05-29,9.8,9.9,9.74,9.89
5175,2020-05-28,9.71,9.87,9.69,9.84
5174,2020-05-27,9.65,9.67,9.55,9.67
5173,2020-05-26,9.6,9.64,9.53,9.53
5172,2020-05-22,9.37,9.45,9.34,9.45
5171,2020-05-21,9.3,9.38,9.29,9.35
5170,2020-05-20,9.28,9.35,9.28,9.33
5169,2020-05-19,9.26,9.3,9.22,9.25
5168,2020-05-18,9.24,9.25,9.17,9.25
5167,2020-05-15,9.0,9.05,8.93,8.99
5166,2020-05-14,8.91,9.1,8.33,9.05
5165,2020-05-13,9.49,9.49,9.21,9.28
5164,2020-05-12,9.58,9.6,9.31,9.4
5163,2020-05-11,9.49,9.56,9.44,9.55
5162,2020-05-08,9.49,9.49,9.39,9.45
5161,2020-05-07,9.25,9.34,9.24,9.33
5160,2020-05-06,9.18,9.27,9.15,9.2
5159,2020-05-05,9.14,9.19,9.12,9.14
5158,2020-05-04,8.91,9.09,8.85,9.09
5157,2020-05-01,9.1,9.16,8.99,9.06
5156,2020-04-30,9.13,9.23,9.06,9.21
5155,2020-04-29,9.03,9.19,9.0,9.11
5154,2020-04-28,8.86,9.02,8.85,8.92
5153,2020-04-27,8.7,8.86,8.7,8.8
5152,2020-04-24,8.65,8.69,8.58,8.67
5151,2020-04-23,8.54,8.64,8.54,8.61
5150,2020-04-22,8.42,8.56,8.39,8.53
5149,2020-04-21,8.43,8.49,8.24,8.32
5148,2020-04-20,8.56,8.7,8.51,8.59
5147,2020-04-17,9.0,9.03,8.63,8.75
5146,2020-04-16,8.81,8.81,8.55,8.63
5145,2020-04-15,8.68,8.71,8.55,8.66
5144,2020-04-14,9.03,9.03,8.72,8.95
5143,2020-04-13,9.17,9.2,8.82,9.05
5142,2020-04-09,8.69,8.94,8.6,8.94
5141,2020-04-08,8.27,8.5,8.27,8.43
5140,2020-04-07,8.22,8.65,8.04,8.06
5139,2020-04-06,7.85,7.98,7.74,7.95
5138,2020-04-03,7.65,7.65,7.37,7.49
5137,2020-04-02,7.42,7.65,7.41,7.58
5136,2020-04-01,7.56,7.86,7.49,7.5
5135,2020-03-31,8.09,8.16,7.85,7.96
5134,2020-03-30,7.84,8.09,7.7,7.86
5133,2020-03-27,8.04,8.2,7.83,7.96
5132,2020-03-26,7.86,8.55,7.86,8.24
5131,2020-03-25,7.25,8.1,7.13,7.71
5130,2020-03-24,6.62,7.19,6.62,7.07
5129,2020-03-23,6.65,6.7,5.85,6.13
5128,2020-03-20,6.56,7.24,6.56,6.6
5127,2020-03-19,5.9,6.84,5.5,6.51
5126,2020-03-18,6.76,7.25,5.43,5.96
5125,2020-03-17,7.26,7.79,7.0,7.43
5124,2020-03-16,7.08,7.81,6.91,7.1
5123,2020-03-13,8.03,8.19,7.65,8.16
5122,2020-03-12,8.14,8.3,7.56,7.66
5121,2020-03-11,9.02,9.18,8.97,9.11
5120,2020-03-10,9.46,9.63,9.02,9.3
5119,2020-03-09,8.51,9.31,8.31,8.86
5118,2020-03-06,9.71,9.87,9.53,9.81
