,Date,Open,High,Low,Close
5314,2020-12-14,40.22,40.29,39.43,39.43
5313,2020-12-11,39.54,39.63,39.1,39.58
5312,2020-12-10,39.53,40.13,39.5,39.6
5311,2020-12-09,40.83,40.89,39.87,40.18
5310,2020-12-08,40.95,41.61,40.89,41.17
5309,2020-12-07,41.11,41.42,40.96,41.37
5308,2020-12-04,41.93,42.06,41.59,41.82
5307,2020-12-03,41.24,41.49,41.0,41.29
5306,2020-12-02,39.95,40.68,39.9,40.16
5305,2020-12-01,40.34,40.56,40.08,40.38
5304,2020-11-30,40.46,40.51,39.08,39.25
5303,2020-11-27,40.56,40.92,40.36,40.47
5302,2020-11-25,42.11,42.56,42.06,42.46
5301,2020-11-24,40.53,41.94,40.32,41.87
5300,2020-11-23,40.06,40.07,39.04,39.46
5299,2020-11-20,39.48,39.87,39.41,39.66
5298,2020-11-19,39.57,39.83,39.27,39.78
5297,2020-11-18,40.44,40.58,39.95,39.96
5296,2020-11-17,39.78,40.14,39.385,40.1
5295,2020-11-16,40.2,40.5,39.87,40.06
5294,2020-11-13,39.47,39.83,39.38,39.53
5293,2020-11-12,39.96,40.02,38.87,39.08
5292,2020-11-11,40.05,40.25,39.65,39.94
5291,2020-11-10,39.54,40.39,39.46,39.79
5290,2020-11-09,39.18,39.47,37.74,37.9
5289,2020-11-06,38.4,38.79,37.84,37.94
5288,2020-11-05,37.34,37.93,37.26,37.36
5287,2020-11-04,36.97,37.03,36.15,36.59
5286,2020-11-03,38.04,38.71,38.03,38.32
5285,2020-11-02,36.66,36.78,36.25,36.78
5284,2020-10-30,35.49,35.64,34.85,35.15
5283,2020-10-29,33.92,35.21,33.8,35.08
5282,2020-10-28,33.99,34.34,33.57,33.77
5281,2020-10-27,35.64,35.7645,35.3,35.36
5280,2020-10-26,36.91,36.958,35.8272,36.1
5279,2020-10-23,37.41,37.49,36.95,37.32
5278,2020-10-22,36.87,37.2,36.49,36.93
5277,2020-10-21,37.65,38.0,37.42,37.56
5276,2020-10-20,38.32,38.3394,37.735,37.83
5275,2020-10-19,38.67,38.8,37.76,37.86
5274,2020-10-16,38.23,38.74,38.09,38.31
5273,2020-10-15,37.29,37.87,37.26,37.87
5272,2020-10-14,38.41,38.69,38.18,38.32
5271,2020-10-13,38.85,38.99,38.45,38.58
5270,2020-10-12,39.7,39.9,39.54,39.62
5269,2020-10-09,39.91,40.0,39.46,39.53
5268,2020-10-08,39.72,39.98,39.51,39.8
5267,2020-10-07,38.28,39.35,38.26,39.03
5266,2020-10-06,38.17,38.57,37.55,37.57
5265,2020-10-05,36.85,37.57,36.81,37.55
5264,2020-10-02,35.38,36.72,35.37,36.55
5263,2020-10-01,36.14,36.305,35.8,36.01
5262,2020-09-30,36.18,36.48,35.87,36.09
5261,2020-09-29,36.61,36.92,36.38,36.46
5260,2020-09-28,36.79,37.03,36.7,36.86
5259,2020-09-25,35.37,36.07,35.29,36.06
5258,2020-09-24,35.43,35.89,35.18,35.51
5257,2020-09-23,35.84,35.95,35.13,35.14
5256,2020-09-22,35.69,35.94,35.39,35.87
5255,2020-09-21,35.64,35.72,34.84,35.72
5254,2020-09-18,37.93,38.16,37.36,37.56
5253,2020-09-17,38.49,39.005,38.44,38.7
5252,2020-09-16,39.0,39.37,38.94,38.95
5251,2020-09-15,38.58,39.05,38.49,38.78
5250,2020-09-14,37.94,37.955,37.71,37.84
5249,2020-09-11,37.21,37.84,37.0,37.38
5248,2020-09-10,37.44,37.5559,36.69,36.74
5247,2020-09-09,36.93,37.47,36.82,37.17
5246,2020-09-08,36.05,36.65,35.92,36.03
5245,2020-09-04,36.42,36.81,35.57,36.47
5244,2020-09-03,37.0,37.12,35.8,35.98
5243,2020-09-02,37.76,37.86,37.27,37.79
5242,2020-09-01,37.4,37.95,37.11,37.91
5241,2020-08-31,37.49,37.58,37.07,37.1
5240,2020-08-28,38.26,38.33,37.78,37.88
5239,2020-08-27,38.86,38.87,37.9,38.2
5238,2020-08-26,38.8,38.98,38.71,38.85
5237,2020-08-25,39.15,39.22,38.34,38.56
5236,2020-08-24,39.84,39.9,39.42,39.59
5235,2020-08-21,38.2,38.98,38.19,38.82
5234,2020-08-20,38.69,39.19,38.61,39.08
5233,2020-08-19,39.55,40.0593,39.46,39.84
5232,2020-08-18,40.18,40.18,39.65,39.94
5231,2020-08-17,39.72,39.95,39.62,39.7
5230,2020-08-14,39.07,39.4,38.9,39.02
5229,2020-08-13,39.66,39.95,39.49,39.58
5228,2020-08-12,40.11,40.61,39.89,39.95
5227,2020-08-11,39.53,39.67,39.11,39.12
5226,2020-08-10,38.92,39.161,38.74,38.98
5225,2020-08-07,38.2,38.8,38.17,38.79
5224,2020-08-06,38.04,38.6,38.03,38.45
5223,2020-08-05,38.12,38.57,38.12,38.25
5222,2020-08-04,36.91,37.5,36.88,37.5
5221,2020-08-03,37.39,37.69,37.15,37.59
5220,2020-07-31,37.04,37.11,36.11,36.39
5219,2020-07-30,36.5,37.24,36.08,37.21
5218,2020-07-29,37.36,38.0099,37.3,37.87
5217,2020-07-28,38.19,38.28,37.58,37.6
5216,2020-07-27,38.33,38.88,38.27,38.84
5215,2020-07-24,38.01,38.27,37.86,38.16
5214,2020-07-23,38.62,38.73,38.2,38.44
5213,2020-07-22,38.68,38.9,38.59,38.8
5212,2020-07-21,39.04,39.17,38.61,38.72
5211,2020-07-20,38.37,39.07,38.28,38.89
5210,2020-07-17,38.01,38.24,37.87,38.15
5209,2020-07-16,37.9,38.27,37.75,38.17
5208,2020-07-15,38.25,38.4,37.59,38.06
5207,2020-07-14,35.96,37.25,35.91,37.16
5206,2020-07-13,36.7,36.82,35.7,35.79
5205,2020-07-10,36.22,36.57,36.02,36.52
5204,2020-07-09,36.28,36.32,35.17,35.4
5203,2020-07-08,35.8,36.16,35.52,35.83
5202,2020-07-07,36.61,36.65,35.94,36.14
5201,2020-07-06,36.37,36.5,36.05,36.23
5200,2020-07-02,35.85,36.3,35.5,35.66
5199,2020-07-01,34.55,34.94,34.52,34.83
5198,2020-06-30,33.79,34.39,33.55,34.31
5197,2020-06-29,34.3,34.7,34.09,34.48
5196,2020-06-26,34.22,34.25,33.73,33.81
5195,2020-06-25,33.64,34.07,33.32,34.06
5194,2020-06-24,34.65,34.76,33.76,33.84
5193,2020-06-23,36.01,36.1,35.47,35.51
5192,2020-06-22,35.2,35.34,34.91,35.2
5191,2020-06-19,36.14,36.17,34.39,34.67
5190,2020-06-18,35.34,35.91,35.24,35.73
5189,2020-06-17,36.65,36.65,35.52,35.56
5188,2020-06-16,36.58,36.64,35.59,36.08
5187,2020-06-15,33.13,34.51,32.95,34.32
5186,2020-06-12,33.91,34.12,32.92,33.71
5185,2020-06-11,33.68,34.19,32.49,32.59
5184,2020-06-10,36.23,36.25,35.45,35.45
5183,2020-06-09,35.66,36.17,35.56,35.83
5182,2020-06-08,36.77,36.85,35.74,36.25
5181,2020-06-05,36.68,37.54,36.68,36.83
5180,2020-06-04,35.52,36.15,35.35,35.69
5179,2020-06-03,35.13,35.64,35.09,35.48
5178,2020-06-02,33.52,33.98,33.29,33.93
5177,2020-06-01,32.8,33.09,32.66,32.8
5176,2020-05-29,32.98,33.03,31.96,32.16
5175,2020-05-28,32.65,32.65,31.94,32.01
5174,2020-05-27,32.14,32.27,31.64,32.22
5173,2020-05-26,31.1,31.18,30.7,30.84
5172,2020-05-22,30.19,30.22,29.75,29.92
5171,2020-05-21,30.16,30.3,29.62,29.81
5170,2020-05-20,29.71,30.53,29.63,30.11
5169,2020-05-19,29.66,29.99,29.31,29.33
5168,2020-05-18,29.25,30.2,29.14,30.04
5167,2020-05-15,27.38,27.86,27.26,27.86
5166,2020-05-14,26.93,28.27,26.56,27.99
5165,2020-05-13,28.19,28.19,27.48,27.76
5164,2020-05-12,28.7,28.78,28.19,28.22
