,Date,Open,High,Low,Close
381,2020-12-14,176.8115,179.5131,172.88,173.8
380,2020-12-11,177.17,178.88,171.38,175.92
379,2020-12-10,165.35,181.8,164.15,179.99
378,2020-12-09,175.44,177.7,162.89,166.17
377,2020-12-08,171.29,178.88,170.8,177.48
376,2020-12-07,168.0,172.69,166.1001,170.72
375,2020-12-04,160.36,168.97,157.59,167.26
374,2020-12-03,159.52,165.75,155.54,161.19
373,2020-12-02,144.36,144.69,138.24,141.84
372,2020-12-01,153.5,153.9999,145.67,147.5
371,2020-11-30,154.55,155.0,146.3075,153.28
370,2020-11-27,150.38,152.19,148.53,150.83
369,2020-11-25,150.0,151.7,147.193,149.96
368,2020-11-24,145.7,149.5,143.7735,149.45
367,2020-11-23,146.5,149.13,142.45,147.54
366,2020-11-20,145.19,146.95,143.26,145.72
365,2020-11-19,138.39,147.09,138.015,143.76
364,2020-11-18,137.73,139.47,135.0,137.68
363,2020-11-17,132.74,139.8,130.5,137.78
362,2020-11-16,129.39,132.89,128.215,131.58
361,2020-11-13,137.75,138.0,131.19,132.18
360,2020-11-12,132.92,137.5,132.1,137.3
359,2020-11-11,128.1327,132.1764,127.5,130.96
358,2020-11-10,127.08,128.0,118.1,123.5
357,2020-11-09,136.25,137.36,126.02,126.55
356,2020-11-06,138.58,144.29,138.11,141.79
355,2020-11-05,140.485,141.6,137.71,138.92
354,2020-11-04,133.98,137.13,132.0,136.32
353,2020-11-03,125.71,127.47,123.83,126.86
352,2020-11-02,124.55,126.76,121.77,124.47
351,2020-10-30,125.4,126.32,120.45,123.84
350,2020-10-29,132.36,132.7,126.34,127.36
349,2020-10-28,132.05,132.82,129.11,131.57
348,2020-10-27,134.078,136.1287,131.63,133.48
347,2020-10-26,134.01,138.45,129.52,133.08
346,2020-10-23,134.91,135.54,132.8,135.42
345,2020-10-22,136.83,138.68,131.64,134.54
344,2020-10-21,143.07,143.6699,132.55,135.14
343,2020-10-20,145.285,146.49,142.1501,142.64
342,2020-10-19,146.72,149.59,143.67,144.66
341,2020-10-16,148.0,148.88,144.91,145.34
340,2020-10-15,143.39,145.75,141.13,145.36
339,2020-10-14,153.6,153.9,145.325,147.79
338,2020-10-13,147.08,153.6299,147.0079,152.8
337,2020-10-12,146.5,149.75,144.82,145.96
336,2020-10-09,144.1,145.63,142.6101,143.57
335,2020-10-08,146.45,146.46,141.53,142.97
334,2020-10-07,146.0,148.84,144.28,144.57
333,2020-10-06,146.0,148.67,143.5,145.13
332,2020-10-05,143.81,148.28,142.81,144.88
331,2020-10-02,139.73,145.5,138.6,139.87
330,2020-10-01,139.5,145.7599,138.0,142.87
329,2020-09-30,135.31,139.02,133.655,137.32
328,2020-09-29,137.7,138.3546,135.365,136.35
327,2020-09-28,137.82,141.67,136.3,137.43
326,2020-09-25,135.8,138.6,134.6501,136.39
325,2020-09-24,137.12,137.9,132.4,133.9
324,2020-09-23,141.0,143.7,136.91,138.6
323,2020-09-22,138.52,142.68,134.2,142.68
322,2020-09-21,127.25,138.55,125.45,138.13
321,2020-09-18,130.22,132.1,126.72,131.43
320,2020-09-17,127.48,129.23,124.8,128.58
319,2020-09-16,132.0,133.84,129.52,131.15
318,2020-09-15,130.6514,132.19,127.35,131.45
317,2020-09-14,127.78,129.9,127.15,128.5
316,2020-09-11,131.12,131.6642,122.85,126.28
315,2020-09-10,130.28,134.05,128.4,129.35
314,2020-09-09,129.611,129.6959,124.0,128.18
313,2020-09-08,118.86,128.93,118.0,125.63
