,Date,Open,High,Low,Close
1518,2020-12-14,8.82,9.28,8.8,8.86
1517,2020-12-11,8.55,8.9,8.5264,8.84
1516,2020-12-10,8.17,8.7299,8.15,8.55
1515,2020-12-09,8.25,8.39,8.1075,8.21
1514,2020-12-08,8.1,8.25,7.93,8.225
1513,2020-12-07,8.23,8.418,8.02,8.04
1512,2020-12-04,8.0,8.24,8.0,8.19
1511,2020-12-03,8.33,8.33,7.87,8.04
1510,2020-12-02,8.27,8.39,8.15,8.36
1509,2020-12-01,8.46,8.6,8.229,8.27
1508,2020-11-30,8.27,8.47,8.268,8.39
1507,2020-11-27,8.24,8.48,8.21,8.36
1506,2020-11-25,8.57,8.57,8.14,8.19
1505,2020-11-24,8.77,8.88,8.52,8.58
1504,2020-11-23,8.86,9.0,8.6462,8.79
1503,2020-11-20,8.84,8.99,8.76,8.98
1502,2020-11-19,8.76,8.9,8.73,8.84
1501,2020-11-18,8.66,8.85,8.645,8.71
1500,2020-11-17,8.61,8.85,8.55,8.77
1499,2020-11-16,8.58,8.8145,8.5,8.65
1498,2020-11-13,8.29,8.68,8.29,8.54
1497,2020-11-12,8.23,8.36,8.02,8.32
1496,2020-11-11,8.35,8.45,8.02,8.26
1495,2020-11-10,8.0,8.35,7.9,8.27
1494,2020-11-09,8.41,8.71,8.0,8.03
1493,2020-11-06,8.95,9.08,8.33,8.5
1492,2020-11-05,8.88,9.33,8.5,8.89
1491,2020-11-04,8.65,8.82,8.24,8.39
1490,2020-11-03,8.13,8.745,8.05,8.62
1489,2020-11-02,7.69,8.175,7.55,8.04
1488,2020-10-30,7.97,8.03,7.56,7.65
1487,2020-10-29,8.0,8.16,7.83,7.96
1486,2020-10-28,8.3,8.404,8.01,8.11
1485,2020-10-27,8.2,8.5,8.19,8.43
1484,2020-10-26,8.2,8.43,8.1,8.19
1483,2020-10-23,8.28,8.39,8.17,8.3
1482,2020-10-22,8.04,8.31,7.87,8.26
1481,2020-10-21,8.36,8.36,7.98,8.0
1480,2020-10-20,8.48,8.71,8.28,8.37
1479,2020-10-19,8.63,8.85,8.51,8.59
1478,2020-10-16,8.44,8.59,8.4,8.555
1477,2020-10-15,8.6,8.65,8.28,8.46
1476,2020-10-14,8.85,9.39,8.62,8.65
1475,2020-10-13,8.27,9.0,8.27,8.87
1474,2020-10-12,8.19,8.45,8.13,8.29
1473,2020-10-09,8.25,8.32,7.97,8.22
1472,2020-10-08,8.43,8.44,8.06,8.09
1471,2020-10-07,8.19,8.45,8.1513,8.35
1470,2020-10-06,8.1,8.34,8.065,8.11
1469,2020-10-05,7.86,8.15,7.86,8.08
1468,2020-10-02,7.82,7.9703,7.66,7.86
1467,2020-10-01,8.02,8.11,7.71,7.86
1466,2020-09-30,8.1,8.24,7.89,7.975
1465,2020-09-29,7.86,8.13,7.79,8.07
1464,2020-09-28,7.92,8.0,7.81,7.87
1463,2020-09-25,7.55,7.93,7.54,7.88
1462,2020-09-24,7.72,7.82,7.51,7.57
1461,2020-09-23,8.11,8.24,7.77,7.79
1460,2020-09-22,8.36,8.49,8.02,8.19
1459,2020-09-21,8.51,8.62,8.19,8.34
1458,2020-09-18,8.8,8.92,8.63,8.67
1457,2020-09-17,8.48,8.78,8.3,8.73
1456,2020-09-16,8.27,8.4558,8.15,8.31
1455,2020-09-15,8.2,8.47,8.13,8.28
1454,2020-09-14,7.71,8.2,7.7,8.15
1453,2020-09-11,7.94,8.08,7.5929,7.69
1452,2020-09-10,7.77,8.11,7.73,7.91
1451,2020-09-09,7.4,7.86,7.37,7.78
1450,2020-09-08,7.5,7.6,7.13,7.37
1449,2020-09-04,7.74,7.78,7.26,7.46
1448,2020-09-03,8.35,8.405,7.69,7.71
1447,2020-09-02,8.5,8.59,8.36,8.5
1446,2020-09-01,8.69,8.75,8.36,8.49
1445,2020-08-31,8.24,8.55,8.18,8.44
1444,2020-08-28,8.2,8.38,8.15,8.245
1443,2020-08-27,8.49,8.49,8.02,8.165
1442,2020-08-26,8.46,8.58,8.33,8.49
1441,2020-08-25,8.5,8.66,8.35,8.52
1440,2020-08-24,8.54,8.7425,8.32,8.385
1439,2020-08-21,8.72,8.72,8.38,8.43
1438,2020-08-20,8.9,9.0,8.65,8.695
1437,2020-08-19,8.95,9.46,8.87,8.93
1436,2020-08-18,8.74,8.93,8.62,8.9
1435,2020-08-17,8.56,8.82,8.52,8.76
1434,2020-08-14,8.7,8.7,8.37,8.53
1433,2020-08-13,8.67,8.78,8.575,8.67
1432,2020-08-12,9.2,9.4,8.6,8.71
1431,2020-08-11,9.4,9.56,9.22,9.29
