,Date,Open,High,Low,Close
5314,2020-12-14,19.08,19.31,18.66,18.67
5313,2020-12-11,19.33,19.69,18.59,18.79
5312,2020-12-10,17.66,19.38,17.61,19.11
5311,2020-12-09,18.31,18.31,17.04,17.71
5310,2020-12-08,17.23,17.59,17.07,17.44
5309,2020-12-07,17.5,17.66,17.14,17.39
5308,2020-12-04,17.17,17.535,17.04,17.45
5307,2020-12-03,17.09,17.26,16.8901,17.1
5306,2020-12-02,17.2,17.3384,16.66,16.97
5305,2020-12-01,17.5,17.8099,17.1,17.41
5304,2020-11-30,17.54,18.03,17.06,17.16
5303,2020-11-27,17.11,18.085,17.11,17.8
5302,2020-11-25,16.61,17.23,16.5548,17.01
5301,2020-11-24,16.77,17.06,16.46,16.75
5300,2020-11-23,17.05,17.4,16.64,16.68
5299,2020-11-20,16.71,17.08,16.67,16.82
5298,2020-11-19,16.81,17.11,16.54,16.92
5297,2020-11-18,17.25,17.88,16.81,16.9
5296,2020-11-17,17.12,17.69,16.93,17.53
5295,2020-11-16,16.9,17.98,16.85,17.95
5294,2020-11-13,18.48,18.61,16.12,16.7
5293,2020-11-12,17.44,17.8016,17.19,17.5
5292,2020-11-11,17.37,17.73,17.11,17.66
5291,2020-11-10,17.0,17.37,16.59,17.17
5290,2020-11-09,16.98,17.61,16.69,16.76
5289,2020-11-06,16.35,16.46,15.82,16.12
5288,2020-11-05,15.63,16.45,15.63,16.365
5287,2020-11-04,15.43,16.05,15.26,15.58
5286,2020-11-03,15.48,16.01,15.42,15.76
5285,2020-11-02,14.89,15.3,14.76,15.13
5284,2020-10-30,15.07,15.07,14.54,14.73
5283,2020-10-29,14.62,15.28,14.5,15.03
5282,2020-10-28,15.0,15.22,14.62,14.74
5281,2020-10-27,15.36,15.75,15.21,15.45
5280,2020-10-26,15.52,15.885,15.22,15.38
5279,2020-10-23,15.96,16.1,15.58,15.86
5278,2020-10-22,15.92,16.176,15.7,15.89
5277,2020-10-21,17.07,17.41,15.8,15.84
5276,2020-10-20,16.75,17.8144,16.73,17.13
5275,2020-10-19,16.8,17.07,16.44,16.64
5274,2020-10-16,16.93,17.1067,16.7,16.72
5273,2020-10-15,16.33,17.0,16.0944,16.98
5272,2020-10-14,16.7,16.9095,16.57,16.61
5271,2020-10-13,16.68,16.9672,16.5,16.72
5270,2020-10-12,16.73,16.99,16.65,16.91
5269,2020-10-09,16.59,16.76,16.36,16.68
5268,2020-10-08,16.41,16.59,16.21,16.37
5267,2020-10-07,16.24,16.49,16.0,16.21
5266,2020-10-06,16.25,16.6192,15.77,16.09
5265,2020-10-05,15.81,16.3,15.81,16.19
5264,2020-10-02,15.34,15.77,15.34,15.65
5263,2020-10-01,15.8,15.8877,15.2867,15.65
5262,2020-09-30,16.03,16.06,15.53,15.63
5261,2020-09-29,15.46,16.1,15.4,15.985
5260,2020-09-28,14.66,15.42,14.66,15.24
5259,2020-09-25,14.61,14.77,14.36,14.58
