,Date,Open,High,Low,Close
1783,2020-12-14,2.8,2.9,2.2,2.32
1782,2020-12-11,2.59,2.75,2.54,2.71
1781,2020-12-10,2.44,2.6,2.44,2.59
1780,2020-12-09,2.44,2.531,2.44,2.53
1779,2020-12-08,2.51,2.55,2.44,2.48
1778,2020-12-07,2.47,2.56,2.45,2.5
1777,2020-12-04,2.38,2.561,2.38,2.525
1776,2020-12-03,2.489,2.57,2.28,2.43
1775,2020-12-02,2.56,2.58,2.44,2.53
1774,2020-12-01,2.51,2.56,2.49,2.54
1773,2020-11-30,2.49,2.6,2.45,2.49
1772,2020-11-27,2.51,2.57,2.4353,2.54
1771,2020-11-25,2.52,2.58,2.4,2.51
1770,2020-11-24,2.72,2.72,2.5,2.61
1769,2020-11-23,2.6,2.72,2.5,2.6401
1768,2020-11-20,2.51,2.6,2.51,2.58
1767,2020-11-19,2.67,2.675,2.39,2.56
1766,2020-11-18,2.6,2.75,2.6,2.67
1765,2020-11-17,2.57,2.67,2.5,2.63
1764,2020-11-16,2.71,2.71,2.4201,2.52
1763,2020-11-13,2.35,2.56,2.35,2.51
1762,2020-11-12,2.25,2.47,2.211,2.44
1761,2020-11-11,2.14,2.29,2.14,2.29
1760,2020-11-10,2.11,2.27,2.06,2.2
1759,2020-11-09,2.2,2.22,2.08,2.15
1758,2020-11-06,2.11,2.15,2.06,2.07
1757,2020-11-05,2.08,2.18,2.08,2.15
1756,2020-11-04,2.22,2.22,2.02,2.08
1755,2020-11-03,2.24,2.28,2.16,2.28
1754,2020-11-02,2.17,2.22,2.13,2.16
1753,2020-10-30,2.11,2.2,2.1001,2.17
1752,2020-10-29,2.05,2.19,1.99,2.17
1751,2020-10-28,2.05,2.125,2.01,2.02
1750,2020-10-27,2.29,2.29,2.13,2.15
1749,2020-10-26,2.3,2.331,2.24,2.24
1748,2020-10-23,2.31,2.39,2.31,2.39
1747,2020-10-22,2.41,2.4413,2.3,2.36
1746,2020-10-21,2.4,2.46,2.37,2.38
1745,2020-10-20,2.4,2.45,2.4,2.42
1744,2020-10-19,2.59,2.59,2.43,2.44
1743,2020-10-16,2.65,2.65,2.485,2.54
1742,2020-10-15,2.47,2.67,2.38,2.605
1741,2020-10-14,2.48,2.58,2.47,2.48
1740,2020-10-13,2.55,2.64,2.48,2.49
1739,2020-10-12,2.52,2.61,2.46,2.51
1738,2020-10-09,2.58,2.6287,2.4,2.54
1737,2020-10-08,2.54,2.82,2.54,2.6
1736,2020-10-07,2.68,2.68,2.35,2.6
1735,2020-10-06,2.35,2.64,2.35,2.64
1734,2020-10-05,2.35,2.46,2.34,2.4
1733,2020-10-02,2.4,2.47,2.2,2.39
1732,2020-10-01,2.55,2.65,2.4,2.41
1731,2020-09-30,2.47,2.55,2.47,2.5
1730,2020-09-29,2.63,2.63,2.44,2.44
1729,2020-09-28,2.36,2.64,2.35,2.64
1728,2020-09-25,2.26,2.59,2.26,2.44
1727,2020-09-24,2.39,2.48,2.23,2.31
1726,2020-09-23,2.41,2.65,2.4001,2.41
1725,2020-09-22,2.59,2.62,2.37,2.39
1724,2020-09-21,2.55,2.645,2.39,2.55
1723,2020-09-18,2.61,2.72,2.57,2.69
1722,2020-09-17,2.52,2.68,2.52,2.6
1721,2020-09-16,2.72,2.84,2.59,2.62
1720,2020-09-15,3.01,3.02,2.75,2.75
1719,2020-09-14,2.9,3.03,2.9,3.0
1718,2020-09-11,3.03,3.04,2.9,2.94
1717,2020-09-10,3.07,3.085,3.0,3.02
1716,2020-09-09,3.09,3.17,3.01,3.04
