,Date,Open,High,Low,Close
105,2020-12-14,9.8,9.901,8.9,9.0
104,2020-12-11,10.0,10.01,8.6617,9.61
103,2020-12-10,7.35,10.04,7.05,9.89
102,2020-12-09,7.17,7.37,7.02,7.3
101,2020-12-08,7.29,7.3882,7.02,7.16
100,2020-12-07,7.42,7.4501,7.13,7.28
99,2020-12-04,7.57,7.57,7.12,7.28
98,2020-12-03,7.0,7.36,7.0,7.34
97,2020-12-02,7.18,7.34,7.02,7.09
96,2020-12-01,6.9,7.147,6.7,6.95
95,2020-11-30,7.21,7.21,6.86,6.9
94,2020-11-27,7.12,7.12,6.85,7.06
93,2020-11-25,7.12,7.12,6.94,6.94
92,2020-11-24,7.07,7.1613,6.655,7.12
91,2020-11-23,7.0,7.1181,6.57,6.83
90,2020-11-20,7.43,7.6,6.32,6.99
89,2020-11-19,7.26,7.41,7.09,7.15
88,2020-11-18,7.69,7.69,7.3,7.41
87,2020-11-17,7.49,7.705,7.4122,7.58
86,2020-11-16,7.98,7.98,7.51,7.65
85,2020-11-13,7.87,7.98,7.63,7.87
84,2020-11-12,7.59,8.06,7.5179,7.68
83,2020-11-11,7.59,7.87,7.07,7.79
82,2020-11-10,8.33,8.33,7.28,7.6
81,2020-11-09,8.07,8.396,8.0,8.12
80,2020-11-06,7.8,8.06,7.6,7.85
79,2020-11-05,7.4,7.76,7.27,7.7
78,2020-11-04,7.65,7.7416,7.24,7.25
77,2020-11-03,7.47,7.75,7.42,7.47
76,2020-11-02,7.19,7.65,7.19,7.51
75,2020-10-30,7.28,7.39,7.1,7.26
74,2020-10-29,7.4,7.74,7.28,7.4
73,2020-10-28,7.13,7.35,6.88,7.31
72,2020-10-27,7.19,7.33,7.14,7.14
71,2020-10-26,7.45,7.57,7.25,7.29
70,2020-10-23,7.41,7.64,7.41,7.58
69,2020-10-22,7.15,7.4,7.15,7.34
68,2020-10-21,7.22,7.31,7.13,7.27
67,2020-10-20,7.04,7.21,6.92,7.11
66,2020-10-19,7.02,7.148,6.76,6.82
65,2020-10-16,7.38,7.38,6.91,7.08
64,2020-10-15,7.05,7.32,6.91,7.23
63,2020-10-14,7.11,7.21,7.0,7.1
62,2020-10-13,7.09,7.4,7.08,7.1
61,2020-10-12,7.4,7.75,7.16,7.24
60,2020-10-09,7.31,7.4,7.06,7.33
59,2020-10-08,7.41,7.74,6.97,7.43
58,2020-10-07,7.73,7.795,7.0,7.22
57,2020-10-06,7.76,7.95,7.62,7.62
56,2020-10-05,7.95,7.95,7.5,7.82
55,2020-10-02,7.57,7.97,7.52,7.85
54,2020-10-01,7.83,8.06,7.5101,7.86
53,2020-09-30,7.63,7.7499,7.52,7.7
52,2020-09-29,7.69,8.0,7.49,7.51
51,2020-09-28,7.36,7.68,7.33,7.63
50,2020-09-25,7.17,7.32,6.94,7.21
49,2020-09-24,7.35,7.43,7.045,7.29
48,2020-09-23,7.13,7.48,7.13,7.21
47,2020-09-22,7.53,7.75,7.1,7.1
46,2020-09-21,7.67,8.99,7.51,7.58
45,2020-09-18,8.41,9.085,7.31,7.52
44,2020-09-17,8.29,8.6037,8.13,8.4
43,2020-09-16,9.28,9.28,8.27,8.29
42,2020-09-15,9.99,9.99,8.9,9.0
41,2020-09-14,9.3,9.98,9.3,9.89
40,2020-09-11,9.67,10.13,8.89,9.34
39,2020-09-10,9.59,10.16,9.5784,9.74
38,2020-09-09,9.78,10.43,9.515,9.65
37,2020-09-08,9.97,10.245,9.7,9.8
36,2020-09-04,9.05,10.2,9.0101,9.97
35,2020-09-03,9.43,9.59,9.01,9.13
34,2020-09-02,9.6,9.85,9.43,9.5
33,2020-09-01,9.53,9.6,9.29,9.59
32,2020-08-31,9.79,10.13,9.04,9.53
31,2020-08-28,9.8,9.8,9.38,9.63
30,2020-08-27,9.54,9.63,8.9,9.63
29,2020-08-26,9.44,9.5,8.73,8.94
28,2020-08-25,8.34,8.97,8.27,8.72
27,2020-08-24,8.42,8.73,8.25,8.46
26,2020-08-21,8.76,8.76,8.37,8.41
25,2020-08-20,8.72,9.0,8.41,8.64
24,2020-08-19,8.48,8.95,8.46,8.9
23,2020-08-18,9.06,9.3583,8.41,8.48
22,2020-08-17,8.68,8.8352,8.4,8.42
21,2020-08-14,8.76,8.76,8.53,8.6
20,2020-08-13,9.16,9.23,8.4501,8.69
19,2020-08-12,9.11,9.2486,9.0,9.07
18,2020-08-11,10.29,10.66,9.11,9.11
17,2020-08-10,9.49,9.54,8.7,9.54
16,2020-08-07,7.5,8.79,7.3,8.45
15,2020-08-06,7.43,7.45,6.9,7.0
14,2020-08-05,6.9,7.13,6.8825,6.93
13,2020-08-04,6.8599,7.04,6.81,6.96
12,2020-08-03,6.91,7.16,6.75,6.75
11,2020-07-31,7.03,7.03,6.77,6.78
10,2020-07-30,7.13,7.13,6.95,6.95
9,2020-07-29,7.2,7.27,7.025,7.06
8,2020-07-28,7.41,7.41,7.2,7.28
7,2020-07-27,6.78,7.52,6.78,7.41
6,2020-07-24,6.9,6.99,6.74,6.75
5,2020-07-23,7.26,7.36,6.6501,6.74
4,2020-07-22,7.0,7.66,7.0,7.1
3,2020-07-21,8.92,8.96,6.775,6.97
2,2020-07-20,9.54,9.627,8.68,8.75
1,2020-07-17,9.39,9.6,9.25,9.33
0,2020-07-16,10.6,10.6,9.17,9.3
