,Date,Open,High,Low,Close
1106,2020-12-14,25.87,25.9,25.81,25.88
1105,2020-12-11,25.78,25.87,25.78,25.86
1104,2020-12-10,25.83,25.8899,25.76,25.81
1103,2020-12-09,25.92,25.99,25.85,25.89
1102,2020-12-08,25.89,26.0099,25.89,26.0
1101,2020-12-07,25.88,25.97,25.8663,25.97
1100,2020-12-04,25.9,25.9,25.85,25.88
1099,2020-12-03,25.75,25.86,25.73,25.86
1098,2020-12-02,25.79,25.84,25.74,25.77
1097,2020-12-01,25.86,25.86,25.74,25.79
1096,2020-11-30,25.87,25.87,25.73,25.73
1095,2020-11-27,25.79,25.8599,25.78,25.84
1094,2020-11-25,25.83,25.86,25.7826,25.811
1093,2020-11-24,25.9,25.9,25.77,25.83
1092,2020-11-23,25.8,25.86,25.7805,25.85
1091,2020-11-20,25.88,25.8802,25.76,25.82
1090,2020-11-19,25.88,25.89,25.82,25.87
1089,2020-11-18,25.86,25.88,25.82,25.85
1088,2020-11-17,25.83,25.9,25.83,25.88
1087,2020-11-16,25.81,25.94,25.79,25.9
1086,2020-11-13,25.81,25.9,25.81,25.81
1085,2020-11-12,25.83,25.9,25.56,25.87
1084,2020-11-11,25.82,25.93,25.82,25.83
1083,2020-11-10,25.73,25.89,25.73,25.87
1082,2020-11-09,25.74,25.86,25.68,25.75
1081,2020-11-06,25.75,25.79,25.63,25.64
1080,2020-11-05,25.72,25.904,25.72,25.81
1079,2020-11-04,25.62,25.7779,25.62,25.72
1078,2020-11-03,25.55,25.72,25.55,25.62
1077,2020-11-02,25.72,25.74,25.55,25.55
1076,2020-10-30,25.69,25.74,25.5925,25.66
1075,2020-10-29,25.74,25.97,25.66,25.66
1074,2020-10-28,25.87,25.87,25.75,25.77
1073,2020-10-27,26.19,26.295,26.1001,26.15
1072,2020-10-26,26.17,26.32,26.16,26.27
1071,2020-10-23,26.15,26.3,26.04,26.3
1070,2020-10-22,26.05,26.15,25.98,26.14
1069,2020-10-21,26.14,26.14,25.93,25.99
1068,2020-10-20,26.14,26.16,26.07,26.11
1067,2020-10-19,26.16,26.16,26.06,26.11
1066,2020-10-16,26.12,26.19,26.12,26.16
1065,2020-10-15,26.09,26.18,25.9847,26.18
1064,2020-10-14,26.12,26.18,26.06,26.14
1063,2020-10-13,26.09,26.1667,26.08,26.15
